Unnamed: 1,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ADF,553200,1404720,2209200,0,0,0,1247040,221280,1691520,16320,0,0,9624240,0,6583920,11123040,21600,168720,35280,0,0,0,0,0,0,239280,0,0,0,0,0,3953760,0,33600,987600,2034720,657600,15360,1492800,13841760,0,349200,0,0,0,0,0,1130880,0,0,4911120,1237440,1440720,693360,1270560,425280,0,6351840,0,0,0,0,0,0,0,0,0,0,307920,0,0,353520,278640,1350720,295680,4755840,0,0,0,0,0,980400,0,9120,3204960,18480,0,0,0,0,224160,0,0,469440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADL,1404720,476640,72240,4560,0,7200,6600240,234720,7824000,80880,1200,8298720,0,0,9381360,5130480,6907440,0,0,0,246480,193200,0,292320,159120,552000,0,0,24960,0,149520,22080,134160,171360,2946000,2746560,8584560,0,156240,21120,3576240,230640,3186240,0,0,0,204480,632400,0,0,0,0,976560,10320,0,426720,0,101040,162480,62880,0,0,0,0,0,0,0,0,115200,0,0,0,86640,102720,0,4618080,0,0,12960,0,0,0,2193120,1016640,3284880,1240320,0,0,0,0,1689600,0,2639040,7440,0,0,149520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFD,2209200,72240,304320,0,0,0,11805120,42960,0,1606320,0,0,14417760,0,6540960,1235040,3960000,4191600,0,0,55200,55440,0,35280,0,0,0,0,0,0,0,231120,27840,0,0,90240,1836720,18193440,17007360,3195360,0,0,0,0,0,0,0,0,0,0,28320,135360,0,0,0,12960,0,24000,92640,0,0,1680,0,0,0,0,0,0,114480,0,0,0,364800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32160,19440,0,0,0,0,1197840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM,0,4560,0,0,50640,333120,0,0,0,0,432960,0,0,4104720,0,0,0,0,0,0,0,0,0,0,0,0,0,820080,23280,3774720,900720,1440000,0,5280,2490240,0,0,736800,0,0,0,3062160,6349920,208800,5148720,0,3576000,245040,2732400,0,0,0,1535520,0,0,0,0,0,0,189600,0,0,190560,0,0,0,0,0,96960,0,3553920,0,1242720,324000,1121040,0,38640,0,0,0,2333760,2350080,82800,929520,923760,2241120,0,0,1699920,1770240,508320,3945360,0,10320,803760,0,1382880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALN,0,0,0,50640,0,0,0,0,0,0,22320,0,0,0,0,0,0,0,0,0,0,0,0,199680,0,0,0,1256880,4559520,0,123120,0,0,0,6000,0,8400,20880,0,0,320160,0,0,0,0,0,0,0,0,0,125760,0,0,150960,0,668160,0,0,0,0,0,1101120,540480,299760,25680,0,0,0,954480,2935680,2310960,22560,862800,0,3189360,65280,4028160,2304480,0,0,2970240,0,36960,108720,137520,4800,606720,0,151200,0,0,0,0,8880,0,0,3947520,0,0,0,0,0,0,61440,0,0,0,17280,0,0,0,9840,0
AQR,0,7200,0,333120,0,0,0,0,0,0,0,0,295200,0,0,0,0,4266000,9230640,114960,0,0,205680,0,0,0,0,91200,93360,15360,0,379200,0,167280,1593120,0,2189760,0,86640,341520,5433840,7215360,1821120,20640,0,1356000,7728240,11508960,13680,435360,1772640,0,0,810480,0,1680,0,6720240,0,0,181680,185280,0,0,0,0,0,0,11760,44400,500640,253440,348240,1076160,155520,73920,0,43920,0,164640,1055760,0,0,0,2588400,103440,311760,51360,0,0,0,3360,0,524400,450480,1200,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASE,1247040,6600240,11805120,0,0,0,326880,2371920,4800960,5148480,1547280,3013200,756960,0,15918240,3018240,12786000,2777520,0,0,0,282240,0,290880,29280,0,17520,0,396240,0,0,22080,2640,0,3840,3474960,15709440,5262960,17562960,3796080,0,0,0,0,0,16080,0,0,0,0,276000,21360,258960,0,0,25200,0,480,129360,182160,0,0,3120,0,0,12240,0,0,20160,0,0,0,25440,33120,0,41040,0,0,0,0,0,58560,91200,15600,6960,3360,0,0,0,10080,545280,0,1495920,63600,11520,0,55680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG,221280,234720,42960,0,0,0,2371920,0,180720,6507600,1602720,401760,0,0,1525920,9840,7463280,25200,4080,0,0,0,0,0,0,0,240240,0,284160,0,0,0,0,0,0,9611280,2280960,806640,279120,1247520,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,6240,0,885360,0,6000,0,0,0,11157360,0,0,0,1920,0,0,0,552720,73920,1680,105600,1314720,101520,0,74880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH,1691520,7824000,0,0,0,0,4800960,180720,367200,443040,108000,1678080,0,0,5144880,3194160,3120,0,0,0,0,0,0,0,0,0,29760,0,0,0,0,2918400,0,0,8068320,2764800,4340640,0,160560,1426800,5287200,7523040,3174240,150000,204240,0,646800,475920,0,0,211920,0,10317120,8880,0,1018560,0,512640,0,0,0,0,0,0,0,0,0,137280,0,0,0,0,0,224640,0,2050320,0,0,0,0,0,712800,0,3714240,4469520,577200,0,0,0,0,10678320,5040,2731440,714720,1040640,369840,2514720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,16320,80880,1606320,0,0,0,5148480,6507600,443040,18960,630720,1245600,11040,0,1674480,1048320,26315520,83760,0,0,203520,286800,0,336720,104400,0,0,0,37200,0,3600,86160,140160,0,0,3182160,2713200,1241280,1166160,152400,0,0,17760,0,0,0,0,0,0,0,51120,269760,0,0,0,86160,0,0,107760,221760,0,0,0,0,0,0,0,0,440640,0,0,0,48960,0,0,0,0,26880,16080,0,0,72480,0,0,2160,324960,0,0,14160,486240,0,0,0,11040,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJ,0,1200,0,432960,22320,0,1547280,1602720,108000,630720,606000,7590240,0,0,214560,158640,48720,0,0,0,11040,287520,0,89040,117600,0,0,0,61440,0,149520,202800,56400,0,0,2591280,29760,293040,0,0,0,0,246960,38400,29280,0,0,0,0,0,0,46080,64080,0,0,13680,0,0,73440,213840,0,0,0,0,0,0,0,0,0,0,24000,0,127440,0,41520,1111920,49920,0,5280,0,235200,11054640,4015920,7353120,162960,43440,0,0,48720,328560,3831840,11760,13537680,0,0,0,760320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASK,0,8298720,0,0,0,0,3013200,401760,1678080,1245600,7590240,567600,0,0,1208160,18000,500880,0,0,0,0,269760,0,155520,3360,0,0,0,116880,0,159120,0,55920,0,659040,15393120,3456240,714720,0,0,0,0,373440,0,266160,0,0,0,0,0,0,0,1379520,0,0,1680,0,0,102720,14400,0,0,960,0,0,0,0,0,0,0,45360,0,376320,0,0,0,130560,0,0,0,0,3879360,2338560,2580000,315360,303120,0,0,0,222000,5840880,164880,11975040,0,0,0,168960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUA,9624240,0,14417760,0,0,295200,756960,0,0,11040,0,0,116880,0,203040,2200080,221280,3200640,3813120,0,315360,16800,0,27120,25200,0,0,0,0,0,0,11819520,90720,0,0,45120,1224000,12445440,10095840,2406960,2117040,1160400,173040,4678800,0,0,0,106320,0,0,5112240,16788480,0,226320,559200,1118880,0,2193120,205440,0,0,612240,0,0,0,0,0,195360,61920,0,0,0,592800,0,0,0,0,1200,10800,0,0,20880,0,0,60240,0,0,0,617280,104880,0,0,0,0,113760,50640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,4104720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756080,0,0,0,0,0,0,0,23040,0,594240,0,0,0,0,0,0,0,0,88320,0,0,3398880,2323920,14640,2977680,0,4728240,88560,1157760,0,0,0,295920,0,0,475680,0,0,0,0,0,0,0,34320,0,0,0,0,0,0,0,26640,0,1866240,462240,0,0,0,0,0,252000,9360,0,20160,667200,7207680,0,0,0,136560,251760,5706000,87840,22320,2462640,1956720,167760,0,0,0,0,0,0,0,12960,0,4800,0,0,0,0,0,0
AWA,6583920,9381360,6540960,0,0,0,15918240,1525920,5144880,1674480,214560,1208160,203040,0,0,12840000,261840,0,76320,0,0,6480,0,3840,0,0,0,0,0,0,0,0,0,0,328080,4306320,169680,25920,6075840,7121760,8640,128160,0,0,0,0,0,0,0,0,0,36720,1534080,12720,0,69840,0,122880,0,0,0,0,0,0,0,0,0,0,0,0,0,11760,720,2400,15360,177840,0,0,0,0,0,596880,92400,554400,1094880,0,0,0,0,0,6041280,0,2874480,76800,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWB,11123040,5130480,1235040,0,0,0,3018240,9840,3194160,1048320,158640,18000,2200080,0,12840000,88320,1045200,0,220080,0,0,0,0,0,0,83760,0,0,0,0,0,477360,0,17760,441120,1843200,674640,24720,1951920,6006720,265440,26400,0,0,0,0,20400,527040,0,0,575280,2063760,1314000,322080,19200,8400,0,880800,0,0,0,0,0,0,0,0,0,0,48480,0,0,83760,8640,0,311280,2936640,0,0,0,0,0,1491360,0,343200,6678480,0,0,0,0,0,4125360,0,0,0,0,0,580560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
