Unnamed: 1,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ADF,99840,0,1579520,0,0,0,841472,0,1120512,2048,0,0,2075136,0,1699072,2320384,62464,27136,148224,0,0,0,0,0,0,53504,0,0,0,0,0,1411584,0,97536,57344,406528,289792,99584,2431232,3564800,0,355584,0,0,0,0,0,24576,0,0,814848,293888,73216,0,132096,0,0,2085888,0,0,0,0,0,0,0,0,0,0,0,0,0,296192,193536,157184,461568,1579008,0,0,0,0,0,0,0,0,1752576,0,0,0,0,0,0,0,9984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADL,0,239104,0,0,0,0,836352,0,522496,636672,198656,3288832,0,0,907264,455680,2380288,0,0,0,24576,168960,0,169984,45312,59648,0,0,0,0,0,0,31488,119552,199680,562432,1144320,0,3072,0,23808,105984,371200,0,0,0,155392,178176,0,0,0,0,1024,0,0,0,0,0,55808,39936,0,0,0,0,0,0,0,0,0,0,0,0,43520,0,0,1291008,0,0,0,0,0,0,1450240,0,122880,466688,0,0,10496,0,0,0,823552,0,0,0,356864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFD,1579520,0,167936,0,0,0,1600256,0,0,265216,0,0,2753024,0,38912,224256,1189888,1385472,0,0,1536,0,0,0,6912,0,0,0,41216,0,0,260352,4864,0,0,1792,621568,4366336,4616448,955904,0,0,0,0,0,0,0,0,0,0,7936,49920,0,0,0,0,0,8960,27648,0,0,0,0,0,0,0,0,0,0,0,0,0,190720,0,0,5120,0,0,0,0,0,0,0,0,7424,0,0,0,0,23040,0,0,0,0,765440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM,0,0,0,0,0,0,28672,0,0,0,96000,0,0,0,92672,126464,0,0,23040,0,11008,129280,0,0,0,4608,0,482048,0,0,496128,515072,16640,7936,1058816,0,0,88832,0,0,13568,477440,1053952,206336,1544704,0,343296,0,2792448,0,0,0,533248,0,0,0,0,0,0,126208,0,69120,160000,0,0,0,0,0,0,0,322048,0,641024,320256,665856,79616,61184,15616,0,0,0,485632,27648,0,522752,285952,0,0,862976,598528,0,0,0,145152,7424,0,510720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASE,841472,836352,1600256,28672,0,0,68864,680448,1385728,1606144,518400,428288,42240,0,4775680,2402304,4090624,97536,0,0,25600,15104,0,1792,19200,0,0,0,79872,0,0,67328,18176,0,0,1541120,4494080,1544960,5062144,1779968,1024,0,0,0,0,0,33536,7680,0,0,40448,0,270080,0,0,0,0,9472,71936,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73984,0,0,0,0,0,57088,14848,0,40192,6656,0,0,21504,0,0,0,517376,0,16640,0,55808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG,0,0,0,0,0,0,680448,0,0,1243904,325120,42752,0,0,178176,7936,1585152,0,0,0,0,0,0,0,0,0,0,0,36608,0,0,0,0,0,0,2922752,905984,508928,74240,248320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102272,0,0,0,0,0,0,0,132352,0,0,2816,65280,97792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH,1120512,522496,0,0,0,0,1385728,0,162048,0,19456,478464,0,0,3014656,1284352,0,0,32000,0,0,8704,0,0,18176,0,0,0,0,0,0,701440,6912,0,2816256,1068544,1681664,0,132608,830464,187904,3775488,418304,9984,13312,0,209152,369152,0,0,343808,0,3032064,0,0,608000,0,102656,512,0,0,0,0,0,0,0,0,145152,0,0,42752,175360,32256,206080,0,1463808,48640,0,4864,0,0,425472,0,0,1630976,662528,0,0,0,39168,0,0,683008,147200,152064,198144,356608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,2048,636672,265216,0,0,0,1606144,1243904,0,99584,345600,527872,0,0,362752,661504,7235328,942080,0,0,44288,42752,0,28416,73216,0,0,0,46848,0,0,0,24064,0,0,1342208,580352,218880,986880,2048,59392,0,0,0,0,0,0,0,0,0,3840,122624,0,0,0,33792,0,0,24832,27392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,0,0,9472,8192,0,17152,38656,0,0,37888,159488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJ,0,198656,0,96000,0,0,518400,325120,19456,345600,479744,2806528,11264,0,250624,211712,0,0,0,0,19968,116480,0,91136,92928,0,0,0,77056,0,5376,102400,62720,0,0,1522688,0,16640,0,0,0,0,77568,87552,0,0,0,0,0,0,0,40192,182272,0,0,0,0,0,88320,135424,0,0,0,0,0,0,0,0,0,0,70656,0,55296,0,2304,234240,45312,0,0,0,0,3155968,726016,0,33792,1536,0,0,0,90624,0,0,4922368,0,0,0,390400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASK,0,3288832,0,0,0,0,428288,42752,478464,527872,2806528,374528,0,0,131840,0,559104,0,0,0,0,14592,0,16640,0,0,0,0,77824,0,0,8960,512,0,266496,3651328,1188352,255744,0,0,0,61952,0,0,0,0,0,0,0,0,0,0,1774592,0,0,0,0,0,15360,16384,0,0,0,0,0,0,0,0,0,0,28416,0,23296,0,0,33536,0,0,0,0,0,164096,633344,0,0,1280,0,0,0,4864,0,0,3767040,0,0,0,530176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUA,2075136,0,2753024,0,0,0,42240,0,0,0,11264,0,79360,0,0,232192,21760,300288,257280,0,108800,28928,0,43520,39424,22016,0,0,31488,0,0,3968256,0,37888,0,0,300288,4920832,3207168,737536,360960,197632,345088,733696,0,0,0,0,0,0,1183488,3169024,0,3584,37632,436992,0,561152,182016,13824,0,117504,0,0,0,0,0,152832,0,0,0,0,190976,0,0,0,0,40192,0,0,0,0,0,0,0,0,0,0,182784,267264,0,0,0,0,3584,163072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWA,1699072,907264,38912,92672,0,0,4775680,178176,3014656,362752,250624,131840,0,0,98816,3202304,154112,2560,58112,0,0,40704,0,0,0,0,0,0,0,0,0,286208,0,0,7168,747776,256768,0,772608,1102592,0,243712,0,0,0,0,14336,57344,0,0,1536,256,107264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133888,0,122368,0,166400,0,0,0,0,0,329984,18944,0,324352,0,0,0,0,0,0,0,1065728,0,5120,0,349696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWB,2320384,455680,224256,126464,0,0,2402304,7936,1284352,661504,211712,0,232192,0,3202304,224000,413952,0,0,0,0,0,0,0,0,55552,0,0,0,0,0,835584,0,64000,281344,604160,473088,0,1345536,1576704,125952,59392,1024,6144,0,0,39936,236032,0,0,0,644352,553984,0,0,1792,0,144896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406784,0,0,0,0,0,49152,0,0,1500672,47360,0,0,0,0,0,0,57856,0,0,0,275968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWC,62464,2380288,1189888,0,0,0,4090624,1585152,0,7235328,0,559104,21760,0,154112,413952,2196224,285952,0,0,124928,104704,0,52480,94208,0,0,0,93952,0,0,0,64256,0,0,4266752,3435008,1548288,2766336,843776,97536,0,0,0,0,0,0,0,0,0,129536,270336,0,0,0,301824,0,0,109568,162048,0,8192,0,0,0,0,0,0,0,0,0,0,498944,0,0,0,0,1536,1024,0,0,84480,15360,0,0,1792,0,0,0,379904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAG,27136,0,1385472,0,0,0,97536,0,0,942080,0,0,300288,0,2560,0,285952,2147584,279296,0,104960,0,213760,0,193024,234752,0,0,238592,0,0,142592,80128,246528,0,0,840448,2300672,1942016,976640,713216,451584,1569792,1609984,0,189696,7424,329472,0,0,2084864,3488256,0,2333952,407552,224512,0,1182720,154880,2304,220672,429312,0,0,0,147968,0,0,0,0,0,0,98560,369920,0,0,0,146176,512,230656,0,0,0,0,34816,0,512,14848,89600,676352,0,0,0,0,900864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,148224,0,0,23040,0,0,0,0,32000,0,0,0,257280,0,58112,0,0,279296,0,172544,0,0,49152,0,0,43520,0,768,140544,0,101888,415232,177408,106496,1600256,0,449536,0,0,1491456,273664,1800704,1399296,644608,298752,0,236032,2697216,362496,0,4096,100096,0,55808,142848,111104,0,1302528,0,0,89856,45824,0,0,131328,0,0,0,0,0,871168,2957056,339456,3369984,562688,41216,0,977664,0,146688,0,23552,0,0,1127168,105472,0,0,0,0,0,0,11520,1101312,483584,19456,404992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172544,333824,0,0,0,0,0,0,0,96000,0,0,0,0,0,0,418048,0,265472,0,66816,0,900096,76032,190976,7424,51712,259328,815360,256,107008,105984,0,0,28160,136192,2099712,0,0,0,0,0,0,90368,0,0,0,0,0,0,0,0,0,0,0,70144,87808,0,0,0,0,0,1423872,4864,0,0,94208,265216,0,0,0,0,0,0,0,0,0,193024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2D,0,24576,1536,11008,0,0,25600,0,0,44288,19968,0,108800,0,0,0,124928,104960,0,0,0,100352,0,0,1556736,0,0,0,0,0,0,289792,1193728,0,63232,0,0,161792,6912,0,256,0,188416,75008,112384,0,0,0,196608,0,0,65024,98048,0,1873664,0,2651392,0,1817600,0,0,81920,101888,70656,60928,568320,540928,157440,0,0,0,0,0,43008,58368,0,0,0,2589184,0,0,9728,22016,0,59136,3328,0,0,1630464,0,0,0,0,214016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L/R,0,168960,0,129280,0,0,15104,0,8704,42752,116480,14592,28928,0,40704,0,104704,0,0,0,100352,0,133632,2206976,870656,908800,0,239104,0,0,1670656,557312,97280,0,56832,0,1024,110592,76032,0,0,22784,0,241408,0,0,0,0,35328,0,0,124160,0,0,1071104,0,3072,0,25600,2194432,0,81664,0,335104,28672,635392,5662208,958208,0,0,0,24576,69888,153856,0,363520,1024,49408,446976,210176,0,26368,107776,0,0,0,0,0,141568,0,0,0,23040,81408,0,0,385024,0,0,8448,3328,0,0,0,0,0,0,0,0,0,0,0,0
IL2V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213760,49152,0,0,133632,0,0,0,992256,0,0,0,0,0,153600,0,481024,64768,0,162048,0,0,0,0,13568,0,0,0,56064,0,0,117248,2560,164608,39424,0,115200,1508608,0,2081792,6912,0,0,1685248,1024,60160,0,98560,357376,1061888,492544,0,0,93440,47104,50688,19200,2048,21248,0,0,0,2626816,0,0,0,0,0,0,0,108544,0,1361920,0,0,0,169728,0,0,0,0,206336,0,74752,0,0,0,1024,0,0,0,0,0,0,0,0
OLL,0,169984,0,0,0,0,1792,0,0,28416,91136,16640,43520,0,0,0,52480,0,0,0,0,2206976,0,220928,264960,307968,0,707584,16640,0,1880832,67584,44288,78592,3328,0,77824,113152,77824,0,19456,0,95488,3379200,0,275200,0,0,0,126464,0,1363456,0,813312,33024,28416,0,0,848384,1716480,993792,0,1720576,752896,1794048,1210368,3701760,1789440,0,0,144384,18944,224768,34048,11520,237056,612608,803328,0,124928,0,55808,67328,0,0,166400,0,124672,882432,1280000,0,0,0,4608,0,80896,5888,0,0,8192,15872,0,0,0,0,0,0,0,0,0,0,0,0
OLQD,0,45312,6912,0,0,0,19200,0,18176,73216,92928,0,39424,0,0,0,94208,193024,0,0,1556736,870656,0,264960,0,0,0,0,0,0,358400,1024,5418240,0,122880,4096,0,129024,0,18944,0,15872,172544,452352,5632,182528,0,0,16384,351744,0,539136,59648,441600,2567936,0,332800,0,3249152,0,0,18944,1447168,76800,263424,370688,2134272,105984,0,0,0,0,0,424192,1399040,0,243456,0,586752,0,0,51968,103680,0,48128,80128,6912,3072,985856,0,0,0,11264,1411840,32512,544768,0,0,0,2304,0,0,0,0,0,0,0,0,0,0,0,256,0
OLQV,53504,59648,0,4608,0,0,0,0,0,0,0,0,22016,0,0,55552,0,234752,43520,0,0,908800,992256,307968,0,476416,0,0,0,0,140288,147456,0,1016064,383744,0,0,4352,0,8192,8192,27648,110336,103168,0,430336,45312,34816,509184,124160,26112,382720,0,327424,3458816,0,617728,71424,0,0,1788928,24832,151296,23040,1423104,135424,1500672,126208,0,0,0,27136,464128,84992,0,701952,0,0,0,529664,0,0,0,0,97536,78848,0,118016,0,502016,0,0,0,518912,0,253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21760
PLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAAD,0,0,0,482048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,96000,0,239104,0,707584,0,0,0,1131776,2045440,0,329216,0,0,291584,456448,0,1846272,0,0,5888,1007104,2048,73216,591104,47872,358144,0,0,121856,335616,159744,38144,178944,3426816,0,6012928,0,0,0,6144,0,2286080,739328,18432,864512,0,0,0,0,0,553216,57344,424704,1106432,1006848,2964224,1344000,2838784,0,0,1664768,0,0,0,44800,39424,869376,202496,18688,0,0,0,0,339968,33792,646144,894976,0,0,0,0,0,0,0,6912,0,0,0,512,0,0,0,0
SAAV,0,0,41216,0,0,0,79872,36608,0,46848,77056,77824,31488,0,0,0,93952,238592,140544,0,0,0,0,16640,0,0,0,2045440,736512,0,139008,0,223232,0,659200,0,390912,45312,0,0,4995584,135936,123136,212480,0,178944,0,29952,0,0,751616,0,0,1410304,378112,7487488,0,23552,0,218624,0,1233152,167168,282112,539392,0,0,0,0,0,482560,435456,584448,248576,1681152,612096,5138432,2021888,0,0,270848,0,0,0,0,0,423168,0,0,0,0,0,0,426496,64512,8192,1227520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URB,0,0,0,496128,0,0,0,0,0,0,5376,0,0,0,0,0,0,0,101888,0,0,1670656,0,1880832,358400,140288,0,329216,139008,0,0,829440,0,3072,637696,0,0,5888,0,0,123648,5376,550144,25344,16640,0,37376,0,339968,13056,57856,7424,194304,0,0,16128,0,0,0,2218496,0,357888,401920,756224,0,0,21248,0,0,0,129280,348416,790784,1150464,879360,98304,288512,157696,0,0,0,0,6912,0,0,95488,0,23808,1584128,860416,0,0,0,1702400,7424,5888,0,0,0,945152,432384,0,0,437760,830208,0,0,261888,10496,0,0,0,38656
URX,1411584,0,260352,515072,0,0,67328,0,701440,0,102400,8960,3968256,0,286208,835584,0,142592,415232,0,289792,557312,153600,67584,1024,147456,0,0,0,0,829440,0,1454336,480512,678656,61696,312576,159744,221440,19968,136192,144384,156928,270080,84992,107520,32256,738560,172544,0,1874176,425472,3072,416768,134400,0,126720,1721856,19712,300800,155648,0,0,0,0,7424,89344,0,0,0,160000,16384,85504,7936,7680,85504,78592,5120,0,210432,0,227072,95744,0,360448,114944,0,9984,1755136,40960,0,0,199424,212736,0,0,748544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYD,0,31488,4864,16640,0,0,18176,0,6912,24064,62720,512,0,0,0,0,64256,80128,177408,0,1193728,97280,0,44288,5418240,0,0,0,223232,0,0,1454336,0,0,262912,17152,247040,41984,0,36352,186880,70400,354816,1440512,0,190464,0,0,19968,196352,0,826624,0,545024,436480,187648,0,0,4083456,0,0,274176,392192,0,1242880,672768,321792,244224,0,0,103680,0,221440,768,69376,0,1170688,133376,2068480,0,0,27136,86784,0,43520,138752,0,134400,1591808,0,0,0,0,53248,111872,118272,0,0,0,0,0,9984,0,0,0,0,0,0,0,0,0,0,0
URYV,97536,119552,0,7936,0,0,0,0,0,0,0,0,37888,0,0,64000,0,246528,106496,0,0,0,481024,78592,0,1016064,0,291584,0,0,3072,480512,0,0,150016,0,264960,0,0,34304,96512,62464,151040,1568256,0,457728,84992,44544,262912,186624,114688,1236992,0,519168,826880,7936,14592,124416,0,0,3018496,1024,2120960,7168,681472,369408,497152,1295616,0,0,205568,0,107776,196608,148224,0,36352,571392,0,661504,0,0,0,0,193792,64000,18176,451072,0,2831872,0,0,0,114432,768,374784,0,0,48640,0,0,0,11008,0,0,0,0,0,0,0,0,0,0
ADA,57344,199680,0,1058816,0,0,0,0,2816256,0,0,266496,0,0,7168,281344,0,0,1600256,418048,63232,56832,64768,3328,122880,383744,0,456448,659200,0,637696,678656,262912,150016,114688,125440,303360,0,0,225536,2582528,2023424,803584,248320,534272,39680,34048,590336,668416,0,122880,0,740864,14336,187648,1731072,0,0,0,0,32256,219136,0,0,7936,0,0,0,0,0,256512,498176,937472,1172480,640768,314624,156672,795392,149504,39680,564224,10496,0,0,807936,534528,0,0,327936,162304,0,0,159744,3039744,169216,0,407808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,406528,562432,1792,0,0,0,1541120,2922752,1068544,1342208,1522688,3651328,0,0,747776,604160,4266752,0,0,0,0,0,0,0,4096,0,0,0,0,0,0,61696,17152,0,125440,165376,5005568,242432,289280,1268480,1024,0,3840,0,0,0,43520,0,0,0,0,0,1050880,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410880,0,0,0,0,0,2662912,2048,0,0,30464,0,0,0,15872,0,0,1306368,6400,4352,0,25088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIB,289792,1144320,621568,0,0,0,4494080,905984,1681664,580352,0,1188352,300288,0,256768,473088,3435008,840448,449536,265472,0,1024,162048,77824,0,0,0,1846272,390912,0,0,312576,247040,264960,303360,5005568,364288,993536,708864,1760512,1569024,1392128,216576,1814784,0,2331648,13056,436992,0,707328,145920,843008,312320,2723584,47872,5039872,0,144640,8960,0,166656,2288896,0,0,0,68864,0,33536,0,0,1020160,62976,128256,223232,576512,49664,1914624,520448,0,180736,10752,27136,54272,0,0,0,2502656,350208,0,38144,0,0,450560,0,125952,292096,387072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIN,99584,0,4366336,88832,0,0,1544960,508928,0,218880,16640,255744,4920832,0,0,0,1548288,2300672,0,0,161792,110592,0,113152,129024,4352,0,0,45312,0,5888,159744,41984,0,0,242432,993536,1149952,246272,0,101632,0,113920,0,0,0,0,0,0,0,50176,1085952,0,0,5376,18944,0,0,122112,91648,0,66048,0,0,0,0,0,1536,0,0,72192,0,96512,0,0,0,0,73728,0,0,0,0,0,0,105728,350976,0,0,198912,118784,0,0,0,0,1585664,39936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIY,2431232,3072,4616448,0,0,0,5062144,74240,132608,986880,0,0,3207168,0,772608,1345536,2766336,1942016,0,66816,6912,76032,0,77824,0,0,0,0,0,0,0,221440,0,0,0,289280,708864,246272,140288,2429440,0,303360,50176,5888,0,0,333824,0,0,0,1608448,2270976,274176,0,1015040,307712,0,649728,18944,0,0,101888,0,0,0,0,0,41216,0,0,0,0,440832,0,95232,556032,0,0,0,0,0,52992,0,0,41216,869120,0,0,0,0,0,0,9984,0,0,480768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,3564800,0,955904,0,0,0,1779968,248320,830464,2048,0,0,737536,0,1102592,1576704,843776,976640,1491456,0,0,0,0,0,18944,8192,0,5888,0,0,0,19968,36352,34304,225536,1268480,1760512,0,2429440,807680,30976,262400,168448,3611904,0,503552,0,0,0,0,3275776,1509376,0,2036992,1489920,3279616,0,1006848,32256,0,0,0,0,0,0,0,0,3584,0,0,434944,0,486912,157952,1847296,2877184,0,0,0,0,0,73472,0,0,1191168,0,370688,0,0,0,0,0,768,218112,227840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVA,0,23808,0,13568,0,0,1024,0,187904,59392,0,0,360960,0,0,125952,97536,713216,273664,900096,256,0,0,19456,0,8192,0,1007104,4995584,0,123648,136192,186880,96512,2582528,1024,1569024,101632,0,30976,538624,1071360,717056,80384,0,901120,155648,1164032,0,0,1436416,496384,5632,94720,475392,2695168,0,91136,0,165120,0,1142272,272640,493056,243200,0,0,0,0,0,451584,224000,202496,301312,356864,0,2257152,1078016,21504,0,1499904,0,0,0,342016,134144,335104,0,66816,0,0,0,58624,2423552,201728,0,78592,31488,0,0,0,17664,0,0,0,60928,0,0,0,76032,0,0,0
