RIM,SAAD,0
RIM,SAAV,0
RIM,SMDD,0
RIM,SMDV,0
RIR,AIZ,0
RIR,RIA,0
RIR,URX,0
RIS,AVE,0
RIS,AVK,0
RIS,CEPD,0
RIS,CEPV,0
RIS,RIB,0
RIS,RIM,0
RIS,RMDL/R,0
RIV,BWM05V,0
RIV,RIA,0
RIV,RMDL/R,0
RIV,SAAD,0
RIV,SMDD,0
RIV,SMDV,0
RMDD,BWM01D,0
RMDD,BWM02D,0
RMDD,BWM03D,0
RMDD,BWM04D,0
RMDD,BWM05D,0
RMDD,RMDV,0
RMDL/R,BWM02D,0
RMDL/R,BWM02V,0
RMDL/R,BWM04D,0
RMDL/R,BWM04V,0
RMDL/R,IL1L/R,0
RMDL/R,RIA,0
RMDL/R,RMDD,0
RMDL/R,RMDL/R,0
RMDL/R,RMDV,0
RMDL/R,RMEL/R,0
RMDL/R,RMH,0
RMDV,BWM01V,0
RMDV,BWM02V,0
RMDV,BWM03V,0
RMDV,BWM04V,0
RMDV,BWM05V,0
RMDV,RMDD,0
RMDV,RMDV,0
RMED,BWM01V,0
RMED,BWM03V,0
RMED,RMDV,0
RMED,SMDD,0
RMEL/R,BWM02D,0
RMEL/R,BWM02V,0
RMEL/R,BWM04V,0
RMEV,BWM01D,0
RMEV,BWM03D,0
RMG,AVB,0
RMG,BWM06D,0
RMG,BWM06V,0
RMG,BWM08D,0
RMG,BWM08V,0
RMG,RMDL/R,0
RMG,RMDV,0
RMG,SMBV,0
RMH,BWM02D,0
RMH,BWM02V,0
RMH,BWM04D,0
RMH,BWM04V,0
RMH,RMDL/R,0
SAAD,AVA,0
SAAD,RIM,0
SAAD,SMDV,0
SAAV,AVA,0
SAAV,RIM,0
SAAV,SMDD,0
SDQ,AVB,0
SDQ,RIC,0
SDQ,SIBV,0
SMBD,BWM01D,0
SMBD,BWM02D,0
SMBD,BWM03D,0
SMBD,BWM04D,0
SMBD,BWM05D,0
SMBD,RMED,0
SMBD,SAAV,0
SMBV,BWM01V,0
SMBV,BWM03V,0
SMBV,BWM04V,0
SMBV,BWM05V,0
SMBV,BWM07V,0
SMBV,SAAD,0
SMDD,BWM01D,0
SMDD,BWM03D,0
SMDD,RIA,0
SMDD,SMDV,0
SMDV,BWM01V,0
SMDV,BWM03V,0
SMDV,RIA,0
SMDV,SMDD,0
URAD,BWM01D,0
URAD,BWM02D,0
URAD,RIP,0
URAD,RMED,0
URAD,RMEL/R,0
URAV,BWM01V,0
URAV,BWM02V,0
URAV,IL1V,0
URAV,RIP,0
URAV,RMEL/R,0
URAV,RMEV,0
URB,ADA,0
URB,RIC,0
URB,RMDL/R,0
URB,URX,0
URX,AUA,0
URX,AVE,0
URX,RIA,0
URX,RIG,0
URX,RIR,0
URX,RMG,0
URYD,AVE,0
URYD,RIB,0
URYD,RMDD,0
URYD,RMDV,0
URYD,SMDD,0
URYV,AVE,0
URYV,RIB,0
URYV,RMDD,0
URYV,RMDV,0
URYV,SMDV,0
ADA,AVD,1
ADE,RIV,1
ADE,RMDL/R,1
ADE,RMH,1
ADE,SAAD,1
ADF,ADA,1
ADF,AIA,1
ADF,AIM,1
ADF,AVB,1
ADF,AVF,1
ADF,AVH,1
ADF,AVJ,1
ADF,AWB,1
ADF,RIF,1
ADF,RIP,1
ADF,RIR,1
ADL,ADA,1
ADL,AIM,1
ADL,ASI,1
AIA,ADL,1
AIA,AIM,1
AIA,AIZ,1
AIA,ASE,1
AIA,RIR,1
AIB,AIZ,1
AIB,AVA,1
AIB,AVE,1
AIM,AIB,1
AIM,ALM,1
AIM,ASH,1
AIM,AVA,1
AIM,AVB,1
AIM,AVD,1
AIM,AVE,1
AIM,AVJ,1
AIM,RIF,1
AIN,AIA,1
AIN,AIB,1
AIN,ASE,1
AIN,RID,1
AIN,RMF,1
AIY,RIR,1
AIZ,AWC,1
ALA,ADL,1
ALA,AIA,1
ALA,ASJ,1
ALA,ASK,1
ALA,AVJ,1
ALA,IL2D,1
ALA,PVQ,1
ALA,URB,1
ALM,AVD,1
ALM,AVJ,1
ALN,RMG,1
ALN,SAAD,1
ALN,SMDV,1
ASE,ADA,1
ASE,ADF,1
ASE,ASE,1
ASE,AWA,1
ASE,RIR,1
ASG,ASI,1
ASH,BDU,1
ASH,RIF,1
ASH,RIR,1
ASI,AIN,1
ASI,ASE,1
ASI,RIA,1
ASJ,AIM,1
ASJ,ASG,1
ASJ,AVF,1
ASK,ADA,1
ASK,ALA,1
ASK,ASJ,1
ASK,AVJ,1
ASK,RIP,1
AUA,AVD,1
AUA,BAG,1
AUA,URX,1
AVF,ADA,1
AVF,AVH,1
AVF,AVJ,1
AVF,RIF,1
AVF,RMG,1
AVF,SMBV,1
AVH,AIM,1
AVH,ALA,1
AVH,AQR,1
AVH,AVA,1
AVH,AVB,1
AVH,AVF,1
AVH,AVJ,1
AVH,IL2D,1
AVH,PVC,1
AVH,RIC,1
AVH,RIF,1
AVH,RIP,1
AVH,URAD,1
AVJ,ADA,1
AVJ,ADL,1
AVJ,AVA,1
AVJ,AVD,1
AVJ,AVH,1
AVJ,RIP,1
AVK,AIB,1
AVK,AVK,1
AVK,RIG,1
AVK,RIS,1
AVK,RIV,1
AVK,RMF,1
AVK,SIAD,1
AVK,SMDD,1
AVK,SMDV,1
AVL,RMEL/R,1
AWA,AIA,1
AWA,AIB,1
AWA,ASH,1
AWA,AVJ,1
AWA,RIF,1
AWA,RIP,1
AWA,RIR,1
AWB,ADA,1
AWB,AIA,1
AWB,AIB,1
AWB,AIM,1
AWB,AIY,1
AWB,ASH,1
AWC,ADA,1
AWC,RIR,1
BAG,RID,1
BAG,RIR,1
BAG,RMF,1
BDU,AVB,1
BDU,BDU,1
BDU,PVQ,1
BDU,PVW,1
BDU,RIF,1
BDU,RIP,1
CEPD,ADA,1
CEPD,AVB,1
CEPD,RMF,1
CEPD,SIAD,1
CEPD,SIAV,1
CEPD,SMBD,1
CEPV,PLN,1
CEPV,RIB,1
CEPV,RMF,1
CEPV,SIBD,1
CEPV,SMBV,1
CEPV,URB,1
DVA,AUA,1
DVA,RIA,1
DVA,RID,1
DVC,BAG,1
DVC,IL2D,1
DVC,IL2L/R,1
DVC,IL2V,1
DVC,RIA,1
DVC,RIH,1
FLP,RIM,1
IL1D,IL1L/R,1
IL1D,OLL,1
IL1D,RMDD,1
IL1D,RMH,1
IL1D,SMDD,1
IL1D,URAD,1
IL1D,URB,1
IL1L/R,RIC,1
IL1V,RMH,1
IL1V,SMDV,1
IL1V,URB,1
IL2D,RIV,1
IL2D,SAAV,1
IL2D,URYD,1
IL2L/R,ADF,1
IL2L/R,AIY,1
IL2L/R,DVC,1
IL2L/R,IL2D,1
IL2L/R,IL2V,1
IL2L/R,URB,1
IL2V,DVC,1
IL2V,RIG,1
IL2V,SAAD,1
IL2V,URYV,1
OLL,IL1D,1
OLL,IL1V,1
OLL,OLL,1
