pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
ADEL,SMDVR,0,0,0,1,0,0,0,0,0,0,0
ADEL,URBL,0,0,0,0,1,0,0,0,1,2,0
ADER,ADAR,0,1,1,0,1,1,1,1,0,0,0
ADER,ADEL,0,0,1,0,1,3,2,3,0,3,0
ADER,AINR,0,0,0,0,0,0,0,2,0,0,0
ADER,ALMR,0,0,0,0,0,1,0,1,0,0,0
ADER,ALNR,0,0,0,0,0,0,0,1,0,0,0
ADER,AQR,0,0,0,2,0,0,1,0,2,0,0
ADER,AVAL,0,1,1,2,1,1,7,4,0,1,0
ADER,AVAR,0,0,1,0,1,2,3,1,0,1,1
ADER,AVBR,0,0,0,0,0,0,1,0,0,0,0
ADER,AVDR,0,0,0,0,1,1,0,2,0,0,0
ADER,AVER,0,0,0,0,1,0,1,1,0,1,1
ADER,AVKL,0,0,0,0,1,0,2,0,0,0,0
ADER,AVKR,0,0,0,0,0,0,0,3,0,1,0
ADER,BWM-DR04,0,0,0,0,0,1,2,0,0,0,0
ADER,BWM-VR04,0,0,0,0,0,1,0,0,0,0,0
ADER,CEPDR,0,0,0,0,0,1,1,1,0,0,1
ADER,CEPVR,0,0,0,0,1,0,2,1,0,0,0
ADER,DVA,0,0,0,0,0,0,1,0,0,0,0
ADER,DVC,0,0,0,0,0,0,2,0,0,0,0
ADER,FLPL,0,1,0,0,0,0,1,1,0,0,0
ADER,FLPR,0,0,0,0,2,0,0,0,0,0,0
ADER,IL1R,0,0,0,0,1,1,3,4,0,0,0
ADER,IL2R,0,0,0,0,0,1,2,3,0,1,0
ADER,OLLR,0,0,0,0,0,0,2,2,0,0,0
ADER,PVCR,1,0,0,0,0,0,0,0,0,0,0
ADER,PVPL,0,0,0,0,0,0,1,0,0,0,0
ADER,PVR,0,0,0,0,1,1,0,2,0,0,0
ADER,PVT,0,0,0,0,0,0,0,1,0,3,0
ADER,PVWL,0,0,0,0,0,0,1,0,0,0,0
ADER,RIGL,1,0,0,0,2,3,10,10,2,6,2
ADER,RIGR,1,0,0,2,1,2,9,6,4,3,1
ADER,RIH,0,0,0,0,0,0,2,0,0,0,0
ADER,RIS,0,0,0,0,0,0,0,0,1,0,0
ADER,RIVL,0,0,0,0,0,0,3,0,2,1,2
ADER,RIVR,0,0,0,0,0,0,2,3,3,1,2
ADER,RMDL,0,0,0,0,0,0,1,1,0,2,1
ADER,RMDR,0,0,0,0,0,0,2,2,4,5,0
ADER,RMEL,0,0,0,0,0,0,0,0,6,3,0
ADER,RMFL,0,0,0,0,0,0,4,1,0,0,1
ADER,RMFR,0,0,0,0,0,0,2,0,0,0,1
ADER,RMGR,0,0,0,0,0,0,1,0,0,0,0
ADER,RMHL,0,0,0,0,0,0,2,0,1,0,1
ADER,RMHR,0,0,0,0,0,0,0,0,1,0,0
ADER,SAADL,0,0,0,0,0,0,1,1,2,0,1
ADER,SAADR,0,0,0,0,0,0,0,0,1,0,0
ADER,SAAVL,0,0,0,0,0,0,0,1,0,0,0
ADER,SDQR,0,0,0,0,1,1,0,0,0,0,0
ADER,SIADL,0,0,0,0,0,0,0,1,0,0,0
ADER,SIBDL,0,0,0,0,0,1,0,0,0,0,0
ADER,SMBVR,0,0,0,0,0,0,1,1,0,0,0
ADER,URBR,0,0,0,0,0,0,1,1,1,2,0
ADFL,ADAL,0,0,0,2,0,0,1,0,0,1,1
ADFL,ADFR,0,0,0,1,0,0,0,0,0,0,0
ADFL,AFDL,0,0,0,1,0,0,0,0,0,0,0
ADFL,AIAL,0,0,0,0,0,0,0,2,1,2,0
ADFL,AIBL,0,0,0,0,1,0,1,1,0,0,0
ADFL,AIBR,0,0,0,0,0,0,0,1,0,0,1
ADFL,AIML,0,0,0,0,0,0,0,0,10,8,6
ADFL,AIYL,1,1,1,0,0,1,0,1,1,0,0
ADFL,AIZL,3,5,4,6,6,6,6,18,8,10,8
ADFL,AIZR,0,0,1,1,1,0,2,0,0,0,0
ADFL,ASEL,0,0,0,0,0,0,0,0,0,0,1
ADFL,ASER,1,0,0,0,1,0,2,0,0,0,0
ADFL,ASHL,0,0,1,1,1,0,0,1,0,1,0
ADFL,AUAL,2,1,3,3,3,3,4,0,4,2,3
ADFL,AUAR,0,0,0,0,1,0,0,0,0,0,0
ADFL,AVBL,0,0,0,0,0,0,0,0,1,0,0
ADFL,AVFR,0,0,0,0,0,0,0,0,0,1,0
ADFL,AVHR,1,2,0,0,0,0,1,1,0,1,0
ADFL,AVJL,0,0,0,0,0,0,0,0,2,4,3
ADFL,AVJR,0,0,0,0,0,0,0,0,1,2,0
ADFL,AWAL,0,0,0,0,0,0,0,0,1,0,0
ADFL,AWBL,0,0,1,0,0,0,2,1,1,4,3
ADFL,BAGR,0,0,0,0,0,0,0,1,0,0,0
ADFL,IL2L,0,0,0,0,0,0,0,0,0,1,0
ADFL,OLQVL,0,0,0,0,0,1,1,1,0,0,0
ADFL,PVQL,0,0,0,0,0,0,1,0,0,0,0
ADFL,RIAL,2,4,6,8,8,11,15,17,8,6,1
ADFL,RICR,0,0,0,0,0,0,1,0,0,0,0
ADFL,RIFL,0,0,0,0,0,0,0,0,2,2,0
ADFL,RIFR,0,0,0,0,0,0,0,0,1,0,0
ADFL,RIGL,0,0,0,0,1,2,4,3,0,0,0
ADFL,RIGR,0,0,0,0,0,0,1,0,0,0,0
ADFL,RIMR,0,0,0,1,0,0,0,0,0,0,0
ADFL,RIPL,0,0,0,0,0,0,0,0,1,3,1
ADFL,RIR,0,2,0,0,3,0,3,2,1,0,0
ADFL,SIBDL,0,1,0,0,0,0,0,0,0,0,0
ADFL,SIBVL,0,1,0,0,1,1,1,0,0,1,0
ADFL,SMBDL,0,1,1,0,1,4,1,0,0,0,0
ADFL,SMBVL,0,1,2,4,0,5,5,5,1,1,0
ADFL,URXL,0,0,1,0,0,1,1,2,0,1,0
ADFL,URYVL,0,0,0,0,0,0,1,0,0,0,0
ADFR,ADAR,0,0,0,0,0,0,0,0,2,1,0
ADFR,ADFL,0,0,0,1,0,0,0,0,0,0,0
ADFR,ADLR,0,0,0,0,0,0,0,0,0,1,2
ADFR,AFDR,0,0,0,1,1,0,0,0,0,0,0
ADFR,AIAR,1,0,1,1,0,0,0,0,1,0,1
ADFR,AIMR,0,0,0,0,0,0,0,0,9,7,5
ADFR,AIYR,0,0,0,0,1,0,0,0,0,0,0
ADFR,AIZL,0,0,0,0,0,0,2,0,0,1,0
ADFR,AIZR,7,4,5,5,10,5,9,13,12,7,10
ADFR,ASEL,0,0,1,0,0,0,0,0,0,0,0
ADFR,ASER,1,0,0,0,0,0,0,0,0,0,0
ADFR,ASGR,0,0,0,0,0,0,1,0,0,0,0
ADFR,ASHR,0,0,0,0,0,0,0,0,0,4,1
ADFR,AUAR,2,2,0,1,4,4,9,3,5,3,1
ADFR,AVAR,0,0,0,0,0,0,0,0,0,1,0
ADFR,AVBL,0,0,0,0,0,0,0,0,0,0,1
ADFR,AVBR,0,0,0,0,0,0,0,0,1,1,1
ADFR,AVER,0,0,0,0,0,0,0,0,0,0,1
ADFR,AVFL,0,0,0,0,0,0,0,0,1,0,0
ADFR,AVFR,0,0,0,0,0,0,0,0,1,0,1
ADFR,AVHL,0,1,0,0,1,0,1,0,4,4,1
ADFR,AVJL,0,0,0,0,0,0,0,0,4,4,0
ADFR,AVJR,0,0,0,0,0,0,0,0,3,1,4
ADFR,AWAR,0,0,1,0,0,0,0,0,0,0,0
ADFR,AWBR,0,0,0,0,0,0,0,1,3,2,0
ADFR,DVA,0,1,0,0,1,0,0,0,1,0,0
ADFR,OLQVR,0,0,0,0,1,0,0,1,1,0,0
ADFR,RIAR,2,3,2,7,12,8,20,12,6,6,2
ADFR,RIFR,0,0,0,0,0,0,0,0,1,2,2
ADFR,RIGR,0,0,0,1,3,3,4,4,0,0,0
ADFR,RIH,0,0,0,0,0,0,0,1,0,1,0
ADFR,RIPR,0,0,0,0,0,0,0,0,2,3,1
ADFR,RIR,0,1,0,2,1,0,3,5,2,2,2
ADFR,SIBVR,0,0,0,0,0,0,0,1,0,1,0
ADFR,SMBDR,0,0,0,0,3,0,0,1,0,0,0
ADFR,SMBVR,0,0,1,1,7,1,7,3,0,0,2
ADFR,URXL,0,0,0,0,0,0,1,0,0,0,0
ADFR,URXR,1,0,0,1,0,0,2,0,2,0,0
ADLL,ADAL,0,0,2,3,2,0,0,2,3,1,0
ADLL,AIAL,1,1,4,6,3,6,5,8,4,5,4
ADLL,AIAR,0,0,0,0,0,1,0,0,0,1,0
ADLL,AIBL,2,1,4,4,5,5,13,18,4,6,5
ADLL,AIBR,0,0,0,0,0,0,0,0,0,1,0
ADLL,AIML,0,0,0,0,0,0,0,0,1,0,0
ADLL,ALA,0,0,0,0,0,0,0,0,1,0,0
ADLL,ASEL,0,0,3,0,1,2,5,1,1,1,0
ADLL,ASGL,0,0,0,0,0,0,0,1,0,0,0
ADLL,ASHL,0,0,0,1,3,2,6,9,1,0,1
ADLL,ASIL,0,0,0,0,0,0,0,0,3,0,1
ADLL,ASJL,0,0,0,1,0,0,0,0,0,0,0
ADLL,ASKL,5,1,2,6,4,2,2,5,2,1,2
ADLL,AVAL,0,0,0,3,2,2,2,16,3,2,0
ADLL,AVAR,0,0,0,0,0,1,0,0,1,0,0
