pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
ADL,URYV,0,0,0,0,0,0,0,1,0,0,0
AFD,ADF,1,0,0,0,1,0,0,0,1,0,1
AFD,AIA,0,0,0,0,0,0,0,0,0,1,2
AFD,AIB,0,0,1,0,0,0,0,0,0,0,0
AFD,AIN,0,0,0,0,0,0,0,1,0,0,1
AFD,AIY,6,5,8,11,16,15,27,20,24,21,20
AFD,AIZ,0,0,0,1,1,0,0,1,0,0,0
AFD,ASE,0,0,1,0,1,1,2,1,2,2,6
AFD,AUA,0,0,0,0,1,0,0,0,1,0,2
AFD,AWA,0,0,0,1,0,1,0,0,1,0,4
AFD,AWB,0,0,0,0,0,0,0,1,0,0,0
AFD,AWC,0,0,1,0,0,0,0,0,1,0,0
AFD,BAG,0,0,0,3,1,0,0,3,0,0,0
AFD,IL2L/R,0,0,0,0,0,0,0,0,0,0,1
AIA,ADA,0,1,4,0,1,5,4,5,6,11,7
AIA,ADF,0,1,0,0,1,0,0,0,0,0,0
AIA,ADL,0,0,0,1,0,1,2,7,2,3,4
AIA,AFD,0,0,0,0,0,0,0,0,0,0,2
AIA,AIA,0,0,0,0,0,0,0,0,1,0,0
AIA,AIB,5,10,14,17,21,21,25,35,22,22,21
AIA,AIM,0,0,0,0,0,0,0,0,1,1,2
AIA,AIN,0,0,0,0,0,1,0,0,0,0,2
AIA,AIY,0,0,0,0,1,0,0,0,1,1,0
AIA,AIZ,0,0,0,2,3,3,0,0,4,2,1
AIA,ASE,1,0,0,1,1,0,2,1,4,2,8
AIA,ASG,0,0,1,0,1,2,2,3,0,0,1
AIA,ASH,1,1,2,3,2,0,1,0,4,0,6
AIA,ASI,0,0,0,0,1,0,2,1,0,0,1
AIA,ASK,4,5,6,5,2,4,5,3,1,0,3
AIA,AVA,0,0,0,0,0,0,0,0,0,0,2
AIA,AVH,0,0,0,0,0,0,0,0,0,0,1
AIA,AVJ,0,0,0,0,0,0,0,0,1,0,1
AIA,AWA,0,0,0,1,0,0,1,0,1,0,2
AIA,AWB,1,0,0,0,0,0,0,0,0,0,0
AIA,AWC,1,1,7,6,13,8,13,21,8,14,2
AIA,BDU,0,0,0,0,0,0,0,0,0,1,0
AIA,HSN,0,0,0,0,0,0,2,0,0,0,0
AIA,PVQ,0,1,1,0,0,0,0,1,0,0,1
AIA,RIF,2,4,4,2,3,2,3,3,3,3,0
AIA,RIM,0,0,0,0,0,0,0,0,1,1,0
AIA,RIP,0,0,0,0,0,0,0,0,0,1,1
AIA,RIR,0,0,0,0,0,0,0,0,3,1,1
AIA,SMBV,0,0,0,0,0,0,0,0,1,0,0
AIB,ADA,0,0,0,0,0,0,2,0,0,0,3
AIB,ADL,0,0,0,0,0,0,0,1,0,0,0
AIB,AIA,0,0,0,0,0,0,0,1,0,0,0
AIB,AIB,0,0,0,0,0,0,0,2,0,0,1
AIB,AIY,0,0,0,0,0,0,0,1,0,0,0
AIB,AIZ,0,0,0,0,1,0,0,2,7,4,7
AIB,AQR,0,0,0,0,0,0,1,0,0,0,0
AIB,AUA,0,0,0,0,0,0,1,4,0,0,1
AIB,AVA,0,0,0,1,1,0,9,7,3,4,3
AIB,AVB,5,6,8,9,10,13,17,14,9,11,10
AIB,AVD,0,0,0,0,0,0,0,0,1,0,0
AIB,AVE,4,2,1,0,2,0,2,3,6,4,3
AIB,AVK,0,0,0,0,0,0,0,1,3,0,0
AIB,BAG,0,1,0,0,0,1,1,2,1,1,0
AIB,DVA,0,0,0,0,0,1,2,1,0,0,0
AIB,DVC,0,0,0,0,0,0,1,0,0,0,0
AIB,FLP,0,0,0,0,0,0,0,0,1,0,0
AIB,IL2V,0,0,0,0,0,0,0,0,1,0,0
AIB,PVP,0,1,0,0,0,0,0,0,1,0,0
AIB,RIA,0,0,0,0,0,0,1,1,0,0,0
AIB,RIB,5,7,6,10,11,9,15,22,12,8,11
AIB,RID,0,0,0,0,0,0,0,0,2,0,0
AIB,RIG,0,0,1,0,0,0,1,4,3,0,1
AIB,RIM,12,17,19,19,27,31,53,43,24,25,24
AIB,RIS,0,0,0,0,0,0,0,0,0,0,1
AIB,RIV,0,0,0,1,0,0,1,1,0,0,1
AIB,RMED,0,0,0,0,0,0,0,0,1,0,0
AIB,RMEV,0,0,0,1,0,0,0,0,0,0,0
AIB,RMF,0,0,0,0,0,1,2,4,0,3,0
AIB,SAAD,1,0,2,2,2,1,8,5,3,1,2
AIB,SAAV,0,0,0,0,0,1,2,4,0,0,4
AIB,SIAD,1,0,0,0,0,2,1,0,1,0,2
AIB,SIAV,0,0,0,0,0,0,0,0,1,0,0
AIB,SIBD,0,0,0,0,0,0,0,0,0,0,1
AIB,SIBV,0,0,0,0,0,0,1,1,0,0,0
AIB,SMBD,0,0,0,0,1,0,0,0,2,0,1
AIB,SMDD,4,6,6,5,8,9,6,11,5,6,8
AIB,SMDV,2,4,4,6,5,8,18,13,8,6,5
AIB,URYD,0,0,0,0,0,0,0,0,2,0,0
AIM,ADA,0,0,0,0,0,0,1,2,2,0,1
AIM,ADF,0,0,0,0,0,0,0,0,0,0,1
AIM,ADL,0,0,0,0,0,0,0,0,0,1,1
AIM,AIA,6,9,9,6,10,12,15,19,10,6,3
AIM,AIB,0,0,0,0,1,0,0,0,9,5,1
AIM,AIM,0,0,0,1,0,0,2,1,0,0,0
AIM,AIY,0,0,0,0,0,0,1,0,0,0,1
AIM,AIZ,0,0,0,0,0,0,1,3,0,0,1
AIM,ALM,0,0,0,2,3,0,1,2,3,1,1
AIM,ASG,4,9,5,5,7,8,13,14,0,0,0
AIM,ASH,0,0,1,2,0,0,4,2,1,1,2
AIM,ASI,0,0,0,0,1,0,0,0,0,0,0
AIM,ASJ,3,5,0,1,0,4,1,4,2,1,0
AIM,ASK,1,1,1,2,5,4,6,8,1,0,0
AIM,AVA,0,0,0,0,0,0,1,1,8,19,14
AIM,AVB,0,0,0,1,0,1,3,3,7,4,6
AIM,AVD,0,0,0,1,2,0,2,3,14,11,8
AIM,AVE,0,0,0,0,1,0,0,0,5,3,2
AIM,AVF,0,0,0,0,6,6,10,7,1,0,2
AIM,AVH,0,0,0,0,0,1,0,0,1,0,1
AIM,AVJ,0,0,0,0,0,0,1,2,6,3,3
AIM,AWB,0,0,0,0,0,1,2,2,1,0,0
AIM,AWC,1,0,0,0,0,0,0,0,0,0,0
AIM,CEPV,0,0,0,0,0,0,1,1,0,0,0
AIM,HSN,0,0,0,0,0,0,3,0,0,0,0
AIM,PVP,0,0,0,0,0,0,0,0,0,1,0
AIM,PVQ,0,0,1,0,0,0,0,0,0,0,0
AIM,PVW,0,0,0,0,0,0,2,0,0,0,0
AIM,RIC,0,0,0,0,0,0,1,0,0,0,0
AIM,RID,0,0,0,0,0,0,2,0,0,0,0
AIM,RIF,0,0,0,0,0,0,2,4,3,1,1
AIM,RMG,0,0,0,0,0,1,1,1,1,0,2
AIM,SDQ,0,0,0,0,0,0,1,0,0,0,0
AIM,SIAD,0,0,0,0,0,0,1,1,0,1,0
AIM,SIBD,0,0,0,1,2,1,0,1,0,1,0
AIM,SMBD,0,0,0,0,0,1,1,1,0,0,0
AIM,SMBV,0,0,0,0,0,0,1,1,2,1,0
AIM,SMDD,0,0,0,0,1,0,0,0,0,0,0
AIM,URB,0,0,0,0,0,0,0,0,0,0,1
AIM,URX,0,0,0,0,1,1,1,0,1,0,0
AIM,URYD,0,0,0,0,0,0,0,0,1,0,1
AIM,URYV,0,0,0,0,0,0,0,0,0,1,0
AIN,ADF,0,1,0,0,0,0,0,0,0,0,0
AIN,AFD,5,5,8,9,10,9,16,17,5,9,5
AIN,AIA,1,1,0,0,0,0,0,1,1,1,2
AIN,AIB,1,2,0,0,0,0,4,2,1,1,1
AIN,AIN,0,1,0,0,0,2,0,1,1,0,0
AIN,AIY,0,0,0,0,0,0,0,1,0,0,0
AIN,ASE,1,1,4,1,0,1,3,3,6,4,3
AIN,ASG,1,1,0,0,0,0,0,0,0,1,0
AIN,ASI,0,0,0,0,0,0,0,0,1,0,0
AIN,ASJ,0,0,0,0,0,0,0,0,0,0,1
AIN,ASK,0,0,0,0,0,0,0,0,0,0,3
AIN,AUA,3,4,4,4,8,6,7,5,3,2,8
AIN,AVA,0,0,0,0,0,0,0,1,0,0,2
AIN,AVE,0,0,0,0,0,0,0,0,2,0,2
AIN,AWC,0,2,0,2,0,0,1,0,2,0,3
AIN,BAG,3,1,4,7,5,12,19,16,18,14,12
AIN,BWM03V,0,0,0,0,0,0,0,0,0,0,2
AIN,CEPD,0,0,0,0,0,0,0,0,0,0,1
AIN,CEPV,1,0,0,1,1,1,3,5,0,0,2
AIN,IL2D,0,0,0,0,0,0,0,0,0,0,1
AIN,IL2L/R,0,0,0,0,1,0,0,0,0,0,0
AIN,PVQ,0,0,0,0,0,0,0,0,0,0,3
AIN,RIA,0,0,0,0,0,0,1,0,0,0,1
AIN,RIB,2,0,1,3,5,7,15,13,14,12,19
AIN,RID,0,1,1,2,1,0,1,5,3,4,4
AIN,RIM,0,0,0,0,1,0,4,2,1,0,0
AIN,RIP,0,0,0,0,0,0,0,0,0,0,2
AIN,RMF,0,0,0,0,0,0,0,2,10,9,6
AIN,URX,0,0,0,0,0,0,1,0,0,0,0
AIY,ADF,3,6,2,2,0,0,2,1,1,1,0
AIY,AFD,0,0,0,2,1,1,2,1,0,3,1
AIY,AIA,0,1,0,0,0,0,0,0,0,0,0
AIY,AIB,0,0,0,0,0,0,1,2,0,0,0
AIY,AIY,0,0,0,0,0,1,1,0,0,0,0
AIY,AIZ,8,12,12,14,23,21,26,23,25,26,12
AIY,ASE,0,0,1,0,0,0,4,3,3,0,1
AIY,AUA,1,0,0,1,0,0,0,3,2,0,2
AIY,AVB,0,0,0,0,0,0,0,1,1,1,0
AIY,AWA,0,1,0,0,2,3,1,3,2,1,1
AIY,AWB,0,1,2,0,1,1,0,2,0,0,0
AIY,AWC,0,0,0,0,0,0,1,0,2,3,0
AIY,BAG,2,0,1,6,3,0,1,3,2,0,0
AIY,DVA,0,0,0,0,0,0,0,0,1,1,0
AIY,RIA,3,6,5,6,10,7,11,6,8,8,6
AIY,RIB,5,9,6,8,8,7,12,12,9,9,9
AIY,RIH,0,0,0,0,0,0,0,0,0,2,1
AIY,RIM,0,0,0,0,0,0,0,1,1,1,0
AIY,RIR,0,1,0,0,0,2,1,0,3,3,2
AIY,RIV,0,1,0,0,0,0,0,0,0,0,0
AIY,SIBD,1,1,0,0,0,0,0,0,0,0,0
AIY,URX,0,0,0,0,0,0,0,0,1,0,0
AIZ,ADF,2,0,0,4,1,2,1,0,1,1,0
AIZ,AFD,0,0,0,0,0,0,1,0,1,0,0
AIZ,AIA,2,2,2,6,6,9,10,22,16,13,8
AIZ,AIB,8,12,11,21,29,34,46,73,24,26,29
AIZ,AIM,0,0,0,0,0,0,0,0,2,1,0
AIZ,AIN,0,0,0,0,0,0,0,0,1,0,0
AIZ,AIY,0,0,0,0,1,1,0,1,0,1,0
AIZ,AIZ,0,0,0,0,1,0,0,1,1,1,0
AIZ,ASE,1,1,0,0,3,4,3,3,6,7,3
AIZ,ASG,0,0,0,0,0,0,0,1,1,1,0
AIZ,ASH,0,0,0,0,0,0,0,0,0,0,1
AIZ,AUA,0,0,0,0,1,0,0,0,0,0,0
AIZ,AVA,0,0,0,1,1,0,0,1,0,0,2
AIZ,AVD,0,0,0,0,0,0,0,1,0,0,0
AIZ,AVE,4,3,4,5,8,11,24,20,4,9,5
AIZ,AVH,0,0,0,0,0,1,0,0,0,0,0
AIZ,AVK,0,0,0,0,0,1,0,0,1,0,0
AIZ,AWA,0,0,0,0,0,1,2,1,1,1,0
AIZ,AWB,0,1,0,1,0,1,1,2,0,3,0
AIZ,AWC,0,0,0,0,1,0,3,3,5,2,2
AIZ,BAG,0,0,0,1,0,1,2,2,0,0,0
AIZ,DVA,0,0,0,0,0,0,1,1,1,1,0
AIZ,RIA,5,7,4,12,15,17,24,20,20,22,14
AIZ,RIB,1,1,1,1,1,0,0,0,0,0,0
AIZ,RID,0,0,0,0,0,0,0,1,0,0,0
AIZ,RIG,0,0,0,0,0,0,0,0,2,0,1
AIZ,RIH,0,0,0,0,0,0,0,1,1,0,1
AIZ,RIM,7,11,8,14,20,17,24,40,8,8,16
AIZ,SIBD,0,1,0,0,0,0,0,0,0,1,0
AIZ,SMBD,5,6,6,13,14,19,28,22,18,22,11
AIZ,SMBV,5,6,5,16,18,21,28,27,23,20,13
AIZ,SMDD,0,0,0,0,0,0,0,0,1,0,2
AIZ,SMDV,0,0,0,3,0,0,0,0,0,0,7
AIZ,URYD,0,0,0,0,0,0,1,0,0,0,0
ALA,ADA,0,0,0,0,0,0,0,0,0,0,1
ALA,ADL,0,0,0,0,0,0,1,1,6,1,6
ALA,AIA,0,0,0,0,0,0,0,0,2,2,1
ALA,ASG,0,0,0,0,0,0,0,0,0,0,1
ALA,ASI,0,0,0,0,0,0,0,0,1,0,3
ALA,ASJ,0,0,0,2,1,0,0,0,4,4,1
ALA,ASK,0,0,0,0,0,0,0,0,9,7,10
ALA,AVA,0,0,0,0,0,0,0,1,0,0,0
ALA,AVD,0,0,0,0,0,0,0,0,1,0,1
ALA,AVE,2,3,3,4,4,3,7,4,2,2,1
ALA,AVF,0,0,0,0,0,0,0,0,3,0,0
ALA,AVH,0,0,0,0,0,0,0,0,3,0,0
ALA,AVJ,0,0,0,0,0,0,0,0,5,3,1
ALA,AWA,0,0,0,0,0,0,0,0,0,0,1
ALA,AWC,0,0,0,0,0,0,0,0,0,0,5
ALA,BDU,0,0,0,0,0,0,1,0,0,0,0
ALA,BWM01D,0,0,0,0,0,0,0,0,0,0,1
ALA,IL1D,0,0,0,0,0,0,0,0,0,1,0
ALA,IL1L/R,1,0,0,2,0,0,0,0,0,0,2
ALA,IL2D,0,0,0,0,0,0,0,0,6,1,2
ALA,IL2L/R,0,0,0,2,0,0,0,0,1,2,0
ALA,OLL,0,0,0,0,0,0,0,0,0,1,0
ALA,PVQ,0,0,0,0,0,0,0,0,5,3,3
ALA,PVW,0,0,0,0,0,0,1,0,0,0,0
ALA,RIF,0,0,0,0,0,0,0,0,1,0,0
ALA,RIP,0,0,0,0,0,0,0,0,0,0,2
ALA,URB,0,0,0,0,0,0,0,0,1,2,1
ALA,URX,0,0,0,0,0,0,0,0,2,0,1
ALM,ADA,0,0,0,0,1,0,0,0,0,1,0
ALM,ADE,0,0,0,0,0,0,0,2,0,0,0
ALM,AIM,0,0,0,0,1,0,0,0,0,0,0
ALM,AIN,0,0,0,0,0,0,0,0,0,1,0
ALM,ALN,0,0,0,0,0,0,1,0,0,0,0
ALM,AVB,0,0,0,1,1,1,1,0,0,0,0
ALM,AVD,0,0,0,0,0,3,1,5,2,8,3
ALM,AVE,0,0,0,0,1,0,0,0,1,0,0
ALM,AVF,0,0,0,0,1,0,0,0,0,0,0
ALM,AVJ,0,0,0,0,0,0,0,0,3,1,4
ALM,AVM,0,0,0,0,0,0,0,1,3,0,0
ALM,BDU,2,2,4,6,9,11,16,15,3,3,2
ALM,CEPD,1,3,1,2,5,5,5,8,3,2,5
ALM,CEPV,0,0,3,5,5,6,9,9,6,4,2
ALM,IL2L/R,0,0,0,0,1,0,0,0,0,0,0
ALM,PVC,0,0,0,2,2,9,12,17,3,4,1
ALM,PVR,2,0,2,0,1,0,2,0,0,0,0
ALM,PVW,0,0,0,0,0,0,2,2,0,1,0
ALM,RID,0,0,0,0,1,0,0,1,1,1,0
ALM,RIF,0,1,0,2,1,2,0,2,0,0,0
ALM,RIP,0,0,0,0,0,0,0,0,0,1,0
ALM,RMDD,0,0,0,0,0,0,1,0,0,0,0
ALM,RMG,0,0,0,0,1,0,0,0,0,0,0
ALM,SDQ,0,0,0,0,2,4,1,0,1,1,0
ALM,SIBD,0,0,0,0,0,0,0,0,0,1,0
ALM,SMBD,0,0,0,0,0,0,1,0,0,0,0
ALM,URB,0,0,1,0,0,0,0,0,0,0,0
ALM,URX,0,0,0,0,0,0,0,0,1,0,0
ALN,ADE,0,0,0,0,0,0,0,1,1,0,0
ALN,AVA,0,0,0,0,0,2,0,2,1,0,1
ALN,AVK,0,0,0,0,0,0,0,0,0,1,0
ALN,BWM04D,0,0,0,0,0,0,0,1,0,0,0
ALN,BWM06D,0,0,0,0,0,0,1,0,0,0,0
ALN,RIA,0,0,0,0,1,0,1,1,2,0,0
ALN,RIC,0,0,0,0,0,0,0,0,0,0,1
ALN,RIG,0,0,0,0,0,0,1,0,0,0,0
ALN,RIM,0,0,0,0,0,0,0,0,1,1,0
ALN,RIV,0,0,0,0,0,1,4,1,0,1,1
ALN,RMDL/R,0,0,0,0,0,0,0,0,0,1,0
ALN,RMDV,0,0,0,0,0,0,0,0,1,0,1
ALN,RMF,0,0,0,0,0,0,0,0,1,1,0
ALN,RMG,0,0,0,0,0,0,2,1,3,2,2
ALN,RMH,0,0,0,0,0,0,1,0,0,0,1
ALN,SAAD,0,0,0,0,0,0,1,0,1,2,2
ALN,SAAV,0,0,0,0,3,8,20,19,10,15,2
ALN,SIBD,0,0,0,0,0,0,0,0,1,0,0
ALN,SIBV,0,0,0,0,0,0,0,0,1,0,0
ALN,SMBD,0,0,0,0,2,5,8,8,2,9,1
ALN,SMDD,0,0,0,0,0,0,1,1,3,0,0
ALN,SMDV,0,0,0,0,1,0,3,2,2,2,1
AQR,ADA,0,0,0,1,0,0,0,0,0,0,1
AQR,ADE,0,0,0,1,0,3,1,0,0,0,0
