pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_tem,adult_sem,dauer_sem_1,dauer_sem_2,dauer_daf2
ADA,ADE,0,0,0,0,0,0,1,0,0,0,0
ADA,AIA,0,0,0,0,1,1,2,0,0,0,0
ADA,AIB,2,1,0,1,2,1,6,0,0,0,2
ADA,AIZ,0,0,0,1,0,0,0,0,0,0,0
ADA,AQR,0,0,0,0,0,0,0,0,1,0,0
ADA,ASH,0,2,0,0,2,1,0,0,0,1,0
ADA,AVA,3,4,5,1,2,9,3,6,11,20,7
ADA,AVB,5,8,9,10,21,25,28,46,26,27,22
ADA,AVD,2,2,0,2,0,2,1,1,4,2,2
ADA,AVE,0,0,0,1,2,0,4,1,1,0,0
ADA,AVH,0,0,1,0,0,1,0,0,0,1,0
ADA,AVJ,3,2,4,5,7,8,10,18,5,7,4
ADA,DVA,0,0,0,1,0,0,3,0,0,0,0
ADA,IL2D,0,0,0,0,1,0,0,0,1,0,0
ADA,OLQV,0,0,0,1,2,1,0,1,0,0,0
ADA,PVC,0,0,0,0,0,0,0,0,0,0,1
ADA,PVP,0,1,0,0,0,1,0,0,1,0,0
ADA,RIA,0,0,0,0,1,0,0,0,0,0,0
ADA,RIC,2,2,2,2,4,1,3,1,4,2,0
ADA,RID,0,1,0,0,0,0,0,0,0,0,0
ADA,RIF,0,0,0,0,0,0,1,0,1,0,0
ADA,RIM,2,4,5,5,10,8,13,11,5,7,4
ADA,RIP,0,0,1,4,4,5,8,13,0,0,0
ADA,RIV,0,0,0,0,0,0,0,0,0,1,0
ADA,RMF,0,0,0,0,0,0,1,4,0,0,0
ADA,SAAD,0,0,0,0,0,0,1,1,0,1,1
ADA,SAAV,0,0,0,1,0,0,0,0,1,0,0
ADA,SDQ,0,0,0,0,0,1,0,0,0,0,0
ADA,SIBD,0,0,0,0,0,0,0,0,1,0,0
ADA,SIBV,0,0,0,0,1,0,0,0,0,0,0
ADA,SMBD,0,0,0,0,0,0,0,0,1,0,0
ADA,SMBV,0,0,0,0,0,0,0,0,1,0,0
ADA,SMDD,0,1,0,0,0,0,0,0,1,0,0
ADA,SMDV,0,0,0,0,0,0,1,2,0,0,0
ADA,URAD,0,0,0,1,0,0,0,0,0,0,0
ADA,URAV,0,0,0,0,1,0,0,0,0,0,0
ADA,URX,0,0,0,0,0,0,2,0,0,0,0
ADE,ADA,1,3,1,0,1,3,2,2,0,0,0
ADE,ADE,0,1,2,0,2,4,9,7,2,6,2
ADE,AIN,0,0,0,0,0,1,0,2,0,0,0
ADE,ALM,0,0,0,0,0,1,1,1,0,0,0
ADE,ALN,0,0,0,0,0,0,2,2,0,0,0
ADE,AQR,0,0,0,2,0,0,3,0,2,0,0
ADE,ASJ,0,0,0,0,0,0,1,0,0,0,0
ADE,AVA,2,4,3,4,4,5,12,9,0,4,2
ADE,AVB,0,0,0,0,0,0,1,0,0,0,0
ADE,AVD,1,0,0,1,1,4,0,2,0,0,0
ADE,AVE,0,0,0,0,1,0,1,1,0,1,2
ADE,AVK,0,0,0,1,1,0,5,4,0,3,0
ADE,AVL,0,0,0,0,0,0,0,0,0,2,0
ADE,BDU,0,0,0,0,0,0,1,0,0,0,0
ADE,BWM04D,0,0,0,0,0,1,2,0,0,0,0
ADE,BWM04V,0,0,0,0,0,1,0,0,1,0,0
ADE,CEPD,0,0,0,0,0,1,3,3,0,0,1
ADE,CEPV,0,0,0,0,2,1,2,2,0,0,0
ADE,DVA,0,0,0,0,0,0,1,0,0,0,0
ADE,DVC,0,0,0,0,0,0,2,0,0,0,0
ADE,FLP,1,1,1,0,2,0,1,1,0,0,3
ADE,IL1L/R,0,0,0,0,1,2,8,5,0,1,0
ADE,IL2L/R,0,0,0,0,0,3,3,4,1,1,0
ADE,OLL,0,0,0,0,0,3,6,2,0,0,0
ADE,PVC,1,0,0,0,1,0,0,0,0,0,0
ADE,PVP,0,0,0,0,0,0,1,0,0,0,0
ADE,PVR,0,0,0,0,1,1,0,2,0,0,0
ADE,PVT,0,0,0,0,0,0,0,2,0,3,0
ADE,PVW,0,0,0,0,0,0,1,0,0,0,0
ADE,RIF,0,0,0,1,0,0,0,1,0,0,0
ADE,RIG,2,0,1,4,8,10,34,34,7,19,9
ADE,RIH,0,0,0,0,0,0,3,0,1,0,1
ADE,RIS,0,0,0,1,0,0,0,0,1,2,0
ADE,RIV,0,0,0,0,0,1,6,6,5,4,4
ADE,RMDD,0,0,0,0,0,0,0,2,0,0,0
ADE,RMDL/R,0,0,0,0,0,1,8,6,7,14,1
ADE,RMEL/R,0,0,0,0,0,0,1,0,12,8,0
ADE,RMF,0,0,0,0,0,0,7,5,0,1,2
ADE,RMG,0,0,0,0,0,0,1,0,0,0,1
ADE,RMH,0,0,0,0,0,1,2,2,5,2,1
ADE,SAAD,0,0,1,1,0,1,2,3,3,1,1
ADE,SAAV,0,0,0,0,0,0,1,1,0,1,0
ADE,SDQ,0,0,0,0,3,2,0,1,0,0,0
ADE,SIAD,0,0,0,0,0,0,0,1,0,1,0
ADE,SIBD,0,0,0,0,0,1,0,0,0,0,0
ADE,SIBV,0,0,0,0,0,0,2,0,0,2,0
ADE,SMBD,0,0,0,0,1,0,2,2,0,0,0
ADE,SMBV,0,0,0,0,0,0,1,1,0,0,0
ADE,SMDD,0,0,0,0,0,0,0,1,0,0,0
ADE,SMDV,0,0,0,1,0,0,0,1,0,0,0
ADE,URB,0,0,0,0,1,0,1,1,2,4,0
ADF,ADA,0,0,0,2,0,0,1,0,2,2,1
ADF,ADF,0,0,0,2,0,0,0,0,0,0,0
ADF,ADL,0,0,0,0,0,0,0,0,0,1,2
ADF,AFD,0,0,0,2,1,0,0,0,0,0,0
ADF,AIA,1,0,1,1,0,0,0,2,2,2,1
ADF,AIB,0,0,0,0,1,0,1,2,0,0,1
ADF,AIM,0,0,0,0,0,0,0,0,19,15,11
ADF,AIY,1,1,1,0,1,1,0,1,1,0,0
ADF,AIZ,10,9,10,12,17,11,19,31,20,18,18
ADF,ASE,2,0,1,0,1,0,2,0,0,0,1
ADF,ASG,0,0,0,0,0,0,1,0,0,0,0
ADF,ASH,0,0,1,1,1,0,0,1,0,5,1
ADF,AUA,4,3,3,4,8,7,13,3,9,5,4
ADF,AVA,0,0,0,0,0,0,0,0,0,1,0
ADF,AVB,0,0,0,0,0,0,0,0,2,1,2
ADF,AVE,0,0,0,0,0,0,0,0,0,0,1
ADF,AVF,0,0,0,0,0,0,0,0,2,1,1
ADF,AVH,1,3,0,0,1,0,2,1,4,5,1
ADF,AVJ,0,0,0,0,0,0,0,0,10,11,7
ADF,AWA,0,0,1,0,0,0,0,0,1,0,0
ADF,AWB,0,0,1,0,0,0,2,2,4,6,3
ADF,BAG,0,0,0,0,0,0,0,1,0,0,0
ADF,DVA,0,1,0,0,1,0,0,0,1,0,0
ADF,IL2L/R,0,0,0,0,0,0,0,0,0,1,0
ADF,OLQV,0,0,0,0,1,1,1,2,1,0,0
ADF,PVQ,0,0,0,0,0,0,1,0,0,0,0
ADF,RIA,4,7,8,15,20,19,35,29,14,12,3
ADF,RIC,0,0,0,0,0,0,1,0,0,0,0
ADF,RIF,0,0,0,0,0,0,0,0,4,4,2
ADF,RIG,0,0,0,1,4,5,9,7,0,0,0
ADF,RIH,0,0,0,0,0,0,0,1,0,1,0
ADF,RIM,0,0,0,1,0,0,0,0,0,0,0
ADF,RIP,0,0,0,0,0,0,0,0,3,6,2
ADF,RIR,0,3,0,2,4,0,6,7,3,2,2
ADF,SIBD,0,1,0,0,0,0,0,0,0,0,0
ADF,SIBV,0,1,0,0,1,1,1,1,0,2,0
ADF,SMBD,0,1,1,0,4,4,1,1,0,0,0
ADF,SMBV,0,1,3,5,7,6,12,8,1,1,2
ADF,URX,1,0,1,1,0,1,4,2,2,1,0
ADF,URYV,0,0,0,0,0,0,1,0,0,0,0
ADL,ADA,1,0,3,4,3,1,0,2,5,3,1
ADL,ADF,0,0,0,0,0,0,0,0,0,0,1
ADL,AIA,4,4,7,10,8,11,14,21,12,12,11
ADL,AIB,5,2,8,9,13,11,24,30,10,15,13
ADL,AIM,0,0,0,0,0,0,0,0,2,1,1
ADL,AIN,0,0,0,0,0,0,0,0,0,0,1
ADL,ALA,0,0,0,0,0,0,0,0,2,0,0
ADL,ASE,1,0,4,0,5,3,10,3,1,3,1
ADL,ASG,0,0,0,0,0,0,0,1,0,0,0
ADL,ASH,0,0,1,4,6,3,11,12,1,0,2
ADL,ASI,0,0,0,0,0,0,0,0,3,2,2
ADL,ASJ,0,0,0,1,0,0,0,0,0,0,0
ADL,ASK,8,5,6,9,6,5,2,5,4,1,6
ADL,AVA,0,0,0,7,2,4,10,30,6,6,0
ADL,AVB,0,0,0,0,0,1,2,1,0,0,0
ADL,AVD,0,2,4,5,14,9,14,26,10,10,4
ADL,AVE,0,0,0,0,0,1,2,1,0,0,0
ADL,AVH,0,0,0,0,0,0,0,1,0,0,0
ADL,AVJ,0,2,2,2,8,5,8,5,2,2,2
ADL,AWA,0,0,0,0,0,0,0,2,1,0,0
ADL,AWB,0,0,0,0,0,0,1,2,0,0,0
ADL,AWC,3,1,5,4,7,8,8,13,5,4,10
ADL,BDU,0,0,0,0,0,0,0,0,0,0,1
ADL,HSN,0,0,0,0,0,0,2,0,0,0,0
ADL,IL1L/R,0,0,0,0,0,0,0,0,2,0,0
ADL,IL2L/R,0,0,0,0,0,0,0,0,1,0,0
ADL,OLL,0,2,0,1,0,0,0,0,1,0,0
ADL,OLQV,0,0,0,0,2,0,0,2,0,0,0
ADL,PVC,0,0,0,0,0,2,0,2,0,0,1
ADL,PVP,0,0,0,0,0,1,1,0,0,0,0
ADL,PVQ,1,0,0,0,1,0,2,0,0,0,0
ADL,PVW,0,0,0,0,0,0,1,0,0,0,0
ADL,RIP,0,0,0,0,0,0,0,0,0,0,2
ADL,RIR,0,0,0,0,0,0,0,0,0,0,1
ADL,SIAD,0,0,1,0,0,0,0,0,0,0,0
ADL,SIBD,0,0,1,1,0,0,2,0,0,0,0
ADL,SMBV,0,1,0,0,1,1,6,10,1,1,0
ADL,URB,0,0,0,0,1,0,0,0,0,0,0
