pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
AIYR,AVHL,0,41216,12960,0,40440,23992,0,0,900,0
AVBR,DVC,0,20224,3720,0,0,54743,0,0,113200,113920
BAGR,RIVL,43680,99840,0,96240,0,19937,102240,96000,27000,126240
AFDL,AVHR,0,0,18840,0,480,0,0,0,0,0
BWM-DL04,BWM-VL06,0,0,0,233280,0,0,0,0,0,0
BWM-VL02,IL1VL,47640,15872,104760,71520,395400,235192,853920,156400,226900,196440
AINL,BAGL,422160,1475584,434520,918120,1555800,903260,3313920,1543900,1373400,1266800
RMDDL,URBL,0,0,24600,0,0,0,181680,0,0,0
RMDDR,SIADL,52200,236544,58440,84000,219240,480860,316800,270700,219400,521600
PVT,SDQR,0,0,0,0,0,0,8160,0,0,0
PVWL,RID,0,0,0,0,0,0,454560,0,59600,108400
BWM-VR06,RMGR,118320,274688,220200,228480,422760,571760,704160,1054200,1417600,1004640
IL2DL,SAAVR,0,0,600,0,0,0,0,287400,62100,140320
BWM-VL01,IL1VL,61800,92672,87000,35520,313800,668405,244800,466200,482400,409040
ADFL,URYVL,25560,7936,40080,47160,1560,0,2640,71300,150600,55160
IL1VL,OLLR,15720,0,0,47520,0,1013,0,61200,0,205000
SIBVL,URBR,86040,107008,139320,266520,465360,803235,589200,85400,450400,284960
BAGR,RIMR,41520,26880,0,0,0,0,0,0,13400,90400
BAGR,IL1DL,2160,4608,0,0,54720,8785,62880,0,200,0
RMDVL,SMDDR,116400,133120,379200,53760,33840,412600,183120,413500,247100,646880
RMHR,URADR,0,0,0,0,0,16896,78960,44000,0,80
PVCR,RICR,0,0,4080,6240,306840,43253,278640,468600,543200,115520
IL1VL,SIADL,9600,46080,40080,24120,62760,83128,47760,0,63000,117400
IL2DL,RIS,0,0,0,0,0,0,22800,51200,12100,196120
AIAL,ASJL,385320,900096,552480,585600,1026360,641034,1804320,499400,333000,887720
AVDL,PVQR,0,0,0,0,0,0,9360,0,0,0
RIH,RIPL,573720,1045248,719760,1400280,1076760,1795706,3182160,1479400,1850800,1977520
RMEL,RMGR,0,0,0,0,0,10475,0,0,0,0
BWM-DL01,SMDDL,36240,7680,0,3000,0,0,0,14200,18400,19960
IL1R,RMDVL,151560,332032,334920,153000,329040,719431,1055040,926800,866600,1070800
OLLL,RIH,0,33024,0,668280,12960,160849,0,0,120000,0
URBL,URYVL,0,3072,1920,0,0,0,0,141400,25400,239120
PVQL,RIR,240,0,0,0,0,0,0,0,0,0
ADFL,RIBR,0,0,19440,0,0,0,5760,0,0,0
AIMR,URADR,0,20224,0,7080,1920,74004,108000,76800,87300,0
RMDVL,SMDVR,0,76544,40440,17880,43080,5406,69120,0,102200,0
CEPDR,RMFL,0,0,0,0,0,0,890640,1518000,1066200,1005120
ADAR,BWM-VR04,0,0,0,0,0,3379,0,0,0,0
AVFL,IL2R,0,0,0,0,0,3717,0,284300,87000,98080
AVM,PVCR,0,0,0,0,1240440,1722040,2450640,2687900,1987600,2693680
BDUL,PVPR,0,0,0,0,480,4730,0,0,0,0
RMED,SIBVL,0,6144,0,0,0,0,0,0,0,0
ADFR,RIMR,0,0,0,26280,3000,0,176640,175800,0,23120
ADAL,IL2DL,0,63232,11520,0,90240,0,116400,133800,259600,111800
ASHR,IL2R,0,8704,0,0,5760,0,0,0,0,0
ADFR,SMBVR,246120,819456,540960,290160,1950120,1148252,3198000,1501100,1301100,1920720
OLLR,RIS,0,0,54840,0,182160,270336,0,4200,81800,10880
AQR,AVJR,0,0,0,0,132240,110837,100560,614500,0,320
AVDR,SAADR,115080,46080,63720,24000,25560,2365,0,44400,85600,180440
RIGL,RIH,237000,354048,140280,0,191400,917452,404880,479200,169300,354640
BAGR,SIBDR,47280,40192,55560,32520,50160,64542,244800,33900,78800,60320
FLPR,SIBVR,0,70144,49320,8160,38640,0,0,117500,142600,19120
IL1VR,URXR,90960,101376,128640,0,124920,207482,367200,0,0,0
CEPDL,PVR,181800,897024,251520,220920,829800,140236,878640,2114200,1418000,1440240
AIZL,AQR,0,0,0,1800,44880,6082,311520,0,0,0
ADLL,AWAL,185760,570880,464640,441600,1698360,2023464,4686480,1756200,1721200,1455600
AVBR,AVKL,0,0,2880,20520,0,64880,309600,0,0,0
AIBL,FLPR,0,0,0,125280,8880,892784,684960,0,74000,705720
AIMR,CEPVR,75840,50688,67800,0,194880,222351,273120,104000,0,0
BWM-VL01,BWM-VR01,491640,506112,998160,574080,1116480,624476,1755840,2155800,1952000,1623720
RMDVR,SDQL,0,0,0,0,0,0,8160,0,0,0
AVBR,RMHL,0,0,0,16920,0,0,146640,41300,24400,360
AVBL,URYVR,31320,6400,0,0,139800,121313,99840,0,58000,81840
AIMR,AUAR,0,0,0,0,0,21626,0,0,0,0
AIYL,ASHL,66000,37632,55200,31560,109560,8448,12480,12600,97400,5880
RIFR,RIS,0,0,0,0,45960,309872,0,0,0,0
AWAL,RIFR,0,0,0,109200,0,4392,0,14700,0,0
RIPR,SDQR,0,0,0,0,0,0,0,0,0,85040
AVKL,RIAL,0,0,5280,0,0,0,0,0,0,0
BWM-VR02,BWM-VR08,0,1280,21120,10680,3120,0,0,7200,202200,480
PVCR,RIPL,0,0,0,0,0,7434,0,0,0,42720
ADFR,SIBDR,0,0,85920,0,0,0,2640,0,7700,0
ALMR,BWM-DR04,30240,0,21600,29640,0,0,0,51700,0,560
ASEL,RIBR,0,0,0,0,0,0,21360,0,0,0
BWM-DR02,RMDDL,318600,587008,575880,179760,277440,585615,606960,798800,591800,995280
IL2L,URAVL,25200,108800,461640,366480,543600,1340866,1571520,639400,131500,257880
IL2DR,SMDVL,0,0,0,0,0,0,0,0,0,174720
AFDR,AVJL,0,0,0,0,0,0,0,0,0,80
ADAL,ADEL,180240,251904,294720,316920,931200,560609,2233920,191700,1435600,1007760
ALNL,IL1L,0,0,0,0,2280,0,0,0,0,5440
AVBL,BDUR,91920,180480,14040,0,0,128071,0,0,0,0
RIAL,RMHR,0,0,0,0,33120,0,0,0,0,0
RMFR,SIADL,0,0,0,0,0,33116,0,0,0,0
BWM-VL01,SMDDR,0,0,7800,0,2160,41564,28320,25800,13000,5440
ASJL,ASJR,263760,479744,140160,57840,275160,499107,606000,443000,695300,489600
BAGL,IL1L,0,2304,17400,6000,48720,0,114000,0,6000,0
RICL,RIH,0,258560,2400,0,0,0,0,277800,0,0
ADAR,PLNR,0,0,0,0,0,0,1920,0,0,0
BDUL,PLNL,0,0,0,0,0,0,11280,0,0,0
