pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
AUAL,URXL,1107960,1777920,1898280,1260240,3631920,5833512,6808320,2928800,3119600,4069600
AVBR,URADR,9360,43520,50160,31440,7560,78059,96480,0,0,0
AINL,ASEL,144960,605952,366960,975240,547080,1069178,2455200,1462400,2755600,1563440
RIH,RIVR,217320,452096,771840,0,598560,1284096,1327440,0,0,0
BAGR,SMBDR,3720,0,0,0,0,23654,0,0,0,0
RIH,URADL,0,33792,23520,42240,133680,149698,316560,249400,520600,203360
ADLL,RICR,0,0,0,0,0,0,0,11800,0,0
ASHR,URBR,0,0,0,15960,0,0,0,0,0,21680
AIML,AVFR,0,0,0,39960,947040,1468938,4435440,1344800,2226600,645760
RIVL,SIBVL,8520,88064,70680,31560,26880,32778,0,0,0,94280
AIML,PVQL,267000,1102080,1042920,608880,1074840,812697,1292640,646200,712200,915040
ADAR,RIFR,133560,371968,276000,155400,260400,261212,491280,1441800,1585000,761920
BWM-VR06,RIAL,0,0,0,0,0,16558,0,0,0,0
SMBVR,URAVR,0,13056,0,0,3960,0,0,127600,257000,42520
CEPVR,RMDDR,546960,692224,877080,502920,1563000,1529763,2596560,1709000,1205800,1113640
ADAL,FLPL,24240,19456,50160,0,371160,243302,328080,640500,80400,436880
AIBR,AVAL,0,61184,52440,48240,0,38860,1337280,50800,117600,127360
RMDDL,URYDL,0,0,0,0,76560,0,0,0,0,0
AVEL,RMDDL,0,0,0,0,0,38522,0,0,25400,0
AFDL,AIBL,316320,358144,175800,558120,859320,960030,1067520,1468400,1625200,1479920
PVCR,URYDR,0,0,0,0,480,0,0,0,0,137160
ASIL,OLQDL,25440,7168,31320,35160,36000,95293,61920,303200,111100,24800
BWM-DL05,RICR,53760,0,0,0,0,100024,0,0,13900,0
AVHL,RMDVR,0,0,0,0,0,0,0,137800,0,0
AVBR,CEPVR,52800,52736,14640,34320,86520,0,25920,604000,413100,377680
ADFL,RIS,0,0,0,0,0,0,0,0,2600,0
ALMR,SAADL,154200,347392,153960,97320,193200,760320,69360,875000,557400,204000
BWM-VL06,BWM-VL08,38640,363008,117480,641040,821880,2117744,4264800,2280200,0,1577080
PLNR,RIML,0,0,0,0,0,0,0,473700,60200,1120
RMHR,URAVL,0,0,0,0,0,0,0,500500,342200,422880
AVAL,PVPR,194280,369664,185880,57360,260640,99010,62880,95900,1146500,192000
DVA,SIADL,271440,416000,327000,586800,675480,998215,1937520,479400,1479400,1735000
BWM-DL01,BWM-DR05,0,0,0,0,0,15206,51120,0,32300,0
BDUR,OLQDR,0,0,19200,8160,0,1351,0,0,0,0
OLQVR,RMDR,0,0,0,0,0,0,0,0,59000,12040
AVHR,PVQL,0,0,0,31200,0,0,0,0,0,0
SIBDL,URYDR,28560,84480,14760,19440,9240,50688,34080,0,137700,121880
ADEL,SAADR,477960,600832,411480,54600,290520,729907,1990080,0,910600,1123720
PLNR,SDQR,0,0,0,0,0,0,6240,70200,0,0
BWM-VR04,PVWL,0,0,0,0,0,0,0,113400,0,0
RIR,SIADR,64200,0,0,0,545400,0,0,0,0,0
PVCR,RIVR,0,0,0,56760,0,142602,167280,40400,26400,227280
AIZR,RIH,346800,909312,567720,440040,757200,1070192,2683920,2350200,3458400,3950360
IL2VR,SIADR,12120,26624,6960,3840,48240,31426,33600,98600,207200,63720
PVCR,URADL,0,0,0,42000,0,96307,0,0,0,0
ASJR,IL1R,62880,48896,0,4440,148200,7772,49440,125600,24500,100240
ASJL,URBL,2640,0,9600,0,48240,43591,59040,3000,81000,91160
ASEL,SAAVR,41160,44032,80520,64560,136800,31426,205440,92800,125200,233720
AUAL,OLQVL,0,9728,2760,81480,9000,0,0,54100,364400,41960
AIZL,AVER,369000,323584,427080,322200,1759680,1882552,2785440,2073600,1410200,1778880
AIBR,ASIR,292080,176896,79800,161280,489120,455854,919200,189800,51600,296080
ADLL,RIPL,0,0,0,0,0,0,0,54000,79400,122320
AVKR,RIGR,285840,350208,799560,40680,287640,432199,562800,373500,740000,908080
URADL,URAVL,0,0,0,0,0,2027,0,729400,142200,365840
AVDR,SAADL,15120,4608,128400,0,960,0,2400,0,0,5600
RIGL,RMFR,0,0,0,0,0,1628098,2122800,131400,102200,38080
AIBL,IL1DL,7560,0,0,0,17400,0,49920,0,0,0
PVT,SIADL,0,0,0,0,0,0,0,52800,0,0
AVEL,RICL,0,0,11640,0,80280,0,1440,0,3300,0
IL2VL,SMDDL,0,0,6360,0,0,0,0,0,0,34800
PVPR,SIBVR,20760,59904,0,0,34200,0,0,8200,0,0
AIBR,AVFR,0,0,0,0,2040,0,0,0,0,0
AVHR,RIR,393480,909568,513720,626640,1170240,1468262,3597120,1772800,2384800,1841720
BWM-DR07,RMDDL,0,0,13320,15480,152040,595752,850560,31600,208800,75000
AVJR,OLQDR,12240,39168,31080,15960,52440,48660,42960,0,55000,4240
BWM-VR05,BWM-VR07,55080,0,188640,849360,0,3309926,6419520,806200,2581600,1239440
AIYR,ASIR,500280,423168,353760,67440,505920,731596,1058640,135100,52200,29360
ASJR,AWBR,37680,67584,39840,0,106320,206807,127200,41400,195800,296400
AVBL,SIAVR,174240,35072,102480,57360,404160,220323,1227600,338600,186000,96400
AIMR,AQR,0,0,0,0,0,0,0,114400,66800,0
ADLL,AVJL,41280,103424,140160,159120,202920,141588,571920,284700,4700,412080
ASJL,HSNR,0,0,0,0,0,0,12720,0,0,0
RMGL,RMHL,0,0,0,504600,977760,756264,3021600,575600,677200,1269640
SIAVL,URYVL,720,0,0,0,82800,2703,0,125500,2800,1120
BWM-DL07,RICL,0,26880,7680,5280,18960,0,144240,29200,0,0
ADFL,OLQVL,40320,8192,27840,72600,57840,69949,102720,60200,145200,56320
CEPDR,SIBVR,107880,160256,160800,134040,259560,224378,880080,50800,145400,82000
CEPVR,HSNR,0,0,0,0,0,0,85440,0,0,0
OLQDL,RMHR,0,0,0,0,0,28047,0,387000,112800,120080
OLQDL,RID,1080,32512,0,37680,0,0,78960,155200,0,920
IL2L,RMDVL,0,0,2400,3120,0,0,0,0,0,0
AFDL,RIAL,5160,4608,17160,0,11040,21626,14400,2300,8400,1600
RMDVL,SIBDL,9240,26880,40560,22200,0,50350,123600,16400,30100,106160
BWM-VR04,URBR,29040,370688,218520,11520,141120,22302,0,0,0,0
RMER,URXL,0,0,0,0,48600,0,0,0,0,0
RIS,SIADL,6360,0,103200,0,213360,142264,13440,78700,0,5040
IL2DL,PVWL,0,0,0,0,0,0,12960,197900,312600,79680
ASER,ASKL,0,0,0,0,0,38522,0,0,0,0
ADAL,IL1L,0,0,0,0,0,0,0,0,9600,0
AVBL,URYVL,15600,33792,51480,71040,50760,0,419280,183200,524400,355480
RIGL,RMED,1920,32768,0,108840,364800,486942,1079040,17200,92400,145520
RICL,RMFR,0,0,0,0,0,9799,0,0,596800,20480
IL2VL,PVPL,0,0,0,2280,0,0,0,0,188600,100480
AWAL,SIADR,0,0,720,0,0,0,0,0,0,0
ADLR,AWBR,39480,219904,210600,324960,804960,1336473,2113920,288200,1265800,794760
AINL,IL1DR,20640,23040,15480,30480,45840,48322,91200,81600,92500,79880
ALNL,RID,0,0,0,0,3480,0,0,0,0,0
PVCR,RIFR,2760,140288,11280,144480,254400,30412,90480,75400,157500,0
BWM-DR02,RMDDR,0,0,0,0,0,0,10560,0,0,80
AVL,IL2VL,1920,62720,2640,0,0,0,0,0,77800,68240
AVER,PVCR,32280,0,55200,19080,254280,94279,88560,240800,181900,182880
BWM-DL06,SAAVL,5040,0,4680,0,14160,85831,74640,47900,79400,26320
BAGL,RID,226200,456448,435960,578280,405600,1067827,1817520,2190700,2302200,1317120
AQR,AVAR,0,0,0,449400,1185360,2542848,1512960,1590000,2177600,1971240
AVFL,RIH,0,0,0,0,0,0,0,0,11600,0
AIZR,PVCR,0,0,0,4200,6720,0,0,0,0,0
IL1R,RIVR,143280,137984,44040,41760,254880,205793,84240,245600,428400,753840
ASHR,RIH,0,0,0,0,0,0,0,0,85500,0
AVKL,RIS,543360,998144,919560,1978560,1414800,1764956,4446000,3711800,2959300,3153360
AINL,SDQL,0,0,0,0,0,0,70320,0,242400,4640
PVPL,SMBVL,120240,68864,42720,0,297600,0,487200,0,200,2880
ASKL,IL2L,19080,6400,10680,5280,30960,89210,159120,0,1200,0
SMBVL,URAVL,0,0,0,0,0,0,0,0,0,169200
AVHL,IL2DL,1440,59136,0,3600,0,1013,480,177800,94800,98640
AWAR,OLQDR,0,0,9120,0,32880,9799,0,0,0,4960
OLQDL,SIADR,0,0,5280,0,31440,20951,157680,83400,42000,260080
ADAR,SMDVR,0,0,0,0,9960,0,0,0,0,0
AVER,IL2DR,0,0,40560,0,114480,142602,0,108200,0,24960
AVL,RIVL,336000,5120,243120,0,148080,54067,40320,316300,215800,137120
BWM-VL02,SIBDL,0,0,0,4680,14520,0,0,0,0,0
ASGL,RMGL,0,0,0,0,0,0,61440,0,0,0
ASKR,OLQDR,1080,0,10560,17400,0,0,3360,0,12600,24760
AIZL,RIPL,0,0,0,0,0,0,0,9200,0,2560
IL1L,URAVL,146040,223744,116520,323640,288240,657254,586800,5600,405900,237200
BWM-VL02,RMDDR,0,0,1920,3000,33120,33116,41760,5300,900,27560
AIBL,RMGR,60480,326400,343080,21960,187440,370022,332880,199400,241000,380000
IL1VR,RMDVL,137400,13312,122880,27360,44880,21964,186240,428200,135800,362800
BWM-DR01,BWM-DR07,104160,226560,27600,0,0,16220,16320,45600,0,0
DVA,PVWR,0,0,0,0,0,0,0,137800,1000,285120
RMDDL,SIAVR,7560,51968,57000,94920,158280,209172,241920,240300,198000,124560
BWM-VL01,SIBDL,0,0,0,0,720,0,0,0,0,0
ASKR,AWCL,14040,0,10680,36600,0,157808,8880,0,28800,0
AVBR,AVDL,275520,197888,174120,98280,812160,830945,3007440,1454100,1015600,1043440
IL2L,RICR,0,0,0,0,9720,143953,32160,0,0,8160
OLLR,URBR,408840,815872,676560,326040,1335360,1497661,1390800,2708000,3134900,3582600
ADEL,IL2L,0,0,0,0,94920,1002270,353520,1156800,643000,832720
BDUR,URADR,6840,88576,26520,33840,54840,102727,31200,64400,51800,44480
RMGR,URYDR,0,0,0,11280,0,0,0,0,0,0
BWM-VL01,RMDDR,0,0,1680,0,0,0,0,0,0,0
BWM-DR08,RIML,0,0,0,0,0,474439,347760,0,2700,259520
AIMR,RIGR,0,0,0,0,0,0,0,0,16800,0
ALA,BDUL,0,0,0,0,0,0,0,52000,0,0
AVL,RIMR,156000,243712,317520,30840,433680,394352,122160,0,55800,66720
CEPDR,OLLR,130680,499968,511560,719400,622320,973885,2318640,1314600,1193100,1422160
AVL,SMBVR,0,0,0,0,240,169297,838320,0,358400,106920
AVKR,RIFL,0,0,0,0,0,0,40800,0,0,0
AVL,IL1DL,0,0,0,29040,72000,70963,138240,82500,0,72640
FLPL,RID,0,0,0,0,0,97320,0,0,0,0
CEPVR,RMGR,173880,12800,51120,0,330240,323389,428400,884400,200800,249680
IL2R,RIMR,0,0,0,0,0,0,0,0,0,199120
RIMR,RMDL,595440,842496,830400,1654920,3114600,4261847,8470080,4296600,6317600,7513200
ADAL,AVER,0,1280,0,5760,0,25006,60960,188300,0,0
IL2R,SMBVR,130560,173056,135480,104280,56880,33116,377520,196000,339600,378080
BWM-DL01,BWM-DL03,662400,2157312,633960,1981440,3718080,3818833,13914720,6116700,7618200,5393040
AVL,RMGL,2880,2304,0,0,21480,0,0,0,0,0
AFDR,RIMR,0,0,0,49440,0,0,12960,0,124400,0
CEPDR,SIADL,0,0,0,0,0,11489,252000,213200,90600,331840
RIH,SMDDR,16080,0,600,30480,0,0,0,0,0,0
ALMR,PVCR,0,279040,214560,77280,375360,793436,1430880,844100,510800,648400
AFDR,SMBVR,0,5120,0,0,0,0,0,0,0,0
RIFR,URBR,65520,99072,37080,0,0,0,0,0,0,0
BWM-VL02,URBL,375120,373504,15000,47520,0,0,0,0,0,0
AVAR,RMDL,9960,117760,10560,0,61560,0,0,0,40600,66880
IL2DL,SAADL,0,0,0,0,3240,0,0,0,0,800
BDUR,CEPVR,0,116992,0,0,0,46632,39840,252400,147600,141240
BWM-DR04,SIBDL,2280,0,0,0,0,0,0,0,0,0
AVKL,OLQVL,0,0,0,0,4680,28047,144000,447200,492600,278240
SAADL,SMDVL,360,37376,0,11400,70920,55418,300480,221200,211200,0
AVBR,AVEL,0,0,0,0,49560,49674,150240,0,202200,109520
AIMR,SMBDL,0,0,0,0,0,30750,241440,0,0,0
CEPDR,DVA,0,0,0,0,0,0,156480,0,0,0
RIH,SMDVR,0,0,15480,0,0,94279,570960,0,0,1000
AVAL,SIBDL,34800,40704,33960,125160,131520,152739,1151520,118000,373200,221040
RMDL,SMDVR,44520,114688,177120,140160,476880,455854,40800,142000,308900,111120
AVJR,URADR,31680,25088,10440,18840,6480,46295,94800,47200,14600,77600
BWM-VR01,SMDDL,0,24576,6720,19440,30960,0,24720,2800,134000,69760
BWM-VL03,BWM-VR07,0,0,0,0,0,0,27600,0,0,1760
SIADR,SIBDL,20640,36864,31560,68880,15480,53729,197520,57700,80100,150520
OLLR,SAADL,180840,288768,300360,254880,964080,1168527,616320,1047700,1707200,782720
CEPVR,URYVR,999000,1325056,1263120,656760,1279800,1160417,906000,163000,533400,16000
AVL,SIBDR,30720,0,0,0,0,0,6720,0,0,8800
AVAL,RMDDR,0,32768,16080,36600,0,0,0,0,0,0
ASEL,OLQDL,0,0,7320,0,0,0,0,0,0,0
AVDL,BAGL,220440,507392,145200,595320,953400,1250304,1068240,744700,1033200,990960
IL2L,RIPL,49680,3072,0,13800,0,37509,35280,9600,13500,8800
ASHR,PVCR,0,162304,27840,11160,59400,8110,0,0,0,0
ALNR,PVT,0,0,0,0,0,0,0,0,0,128560
RMFL,SIBVR,0,0,0,0,0,730920,62880,8800,0,0
IL2R,SIBDR,0,9216,26880,0,0,0,129600,0,0,0
ADFR,HSNR,0,0,0,0,0,0,66000,0,0,0
AFDR,SIBDR,33240,70144,14880,160200,92160,54405,355440,100400,230400,32560
BAGL,URYDR,0,0,0,0,0,0,0,0,0,2000
ADFR,AVHR,0,0,18840,0,12360,0,0,4200,71400,2160
ALA,PVWL,0,0,0,0,0,0,0,6400,0,0
RICR,RMHL,0,0,0,969120,1902120,1246924,2734560,2439800,1773600,1487760
ASEL,IL2R,32520,5120,5640,11280,31680,6420,183840,0,121800,153080
ADEL,SIBVL,0,0,3120,0,11280,145643,600960,10100,168100,0
CEPVL,PVT,0,0,0,0,1320,0,27360,0,0,0
AIAL,AVBR,0,0,6000,0,42960,0,615840,0,36200,4360
ADLL,ASIR,53760,0,0,0,45360,25344,0,0,0,0
BWM-VL05,PLNL,0,0,0,0,0,0,0,0,0,5160
RMDDR,SMDVL,281160,473344,291360,356280,557640,1241180,883680,1206800,1377300,1115440
RIFR,SAADL,66360,115712,6720,6240,0,71976,0,0,77600,0
IL1VR,RICR,49800,33792,4560,67080,5520,48998,150240,46900,0,0
AVAR,RMDR,74280,148224,31920,0,0,47984,0,0,0,223080
AVHR,RMFL,0,0,0,0,0,0,95040,0,0,0
DVC,PVT,1300680,3497728,2460480,5053920,4623840,5603727,12707280,6948400,7310000,6326720
AIMR,AVKR,0,0,0,23400,0,0,401760,0,0,0
FLPL,SIADR,0,0,12360,0,67440,0,0,0,6800,0
AVFR,URYDR,0,0,0,0,18360,0,1680,66000,0,0
ALNL,RIVR,0,0,0,0,0,151726,356400,600,381000,519880
RIR,RIVL,304440,51200,478560,965520,466680,315617,546000,768200,497000,747440
SIBVR,SMBDR,346440,750336,585000,753600,1367040,1693992,2915280,1199000,1487400,1402160
BWM-VL03,OLLL,0,0,0,0,0,23654,101520,0,0,0
ADLL,AVFR,0,0,0,0,138480,12840,100800,211400,0,323840
ASIL,OLLL,35280,0,12000,9600,0,32778,111120,131400,12000,301400
RID,SIBVR,362040,1225472,701280,663720,1287480,2639493,3006000,1361600,2350200,2129600
ADLL,PVQL,345720,320000,352320,770640,519720,1249628,1170000,275500,153100,874320
RIBR,RMDR,0,0,0,0,15480,0,0,0,0,0
BWM-DR07,BWM-DR08,0,0,0,0,0,0,0,53600,0,0
AVDR,IL2DR,2520,0,0,6240,2640,0,2400,208300,258600,420000
AVL,RMDDL,0,0,0,240,0,0,19200,0,208000,45440
PVCR,SMDVR,0,0,1560,0,0,10137,0,0,0,166960
SAAVL,SDQR,0,0,0,275520,97560,678205,373920,227000,441200,232240
AVAL,URBL,3240,54784,14400,45600,0,0,0,0,47500,0
ASGL,RICL,88680,46080,720,180360,85920,0,737280,0,361600,160240
BAGL,RIVR,58320,52736,32040,49080,66000,254791,209040,94800,105000,64560
SIBDL,SMDDR,12240,0,22680,0,7440,55080,0,50900,7200,18680
BAGL,URADL,5160,512,0,8400,0,0,0,0,0,0
BWM-VL04,IL1L,0,20992,5160,0,288840,107120,107520,17200,0,0
SIADR,URBL,24960,116736,5880,3360,60120,12503,64320,0,19800,122400
ALML,SDQL,0,0,0,0,1490640,1030993,1013040,850200,1694600,1118320
AQR,SAAVL,0,0,0,4440,0,7434,0,0,0,68640
SIBDL,SMDVR,18720,90368,24240,61200,55440,149022,150720,90000,139300,186640
ASHL,SMBDL,112680,0,69480,0,0,0,0,0,0,80
AVFR,URADL,0,0,0,0,0,0,0,191600,120400,10400
RMDVL,RMGR,0,62720,85320,90000,153840,13516,694800,796200,1458700,993200
RIGR,RMDL,0,0,0,0,0,35143,0,0,0,0
RIVL,SMBDL,49080,56320,73800,107640,152640,69949,566160,112300,209100,327360
URAVL,URAVR,0,0,0,0,0,0,0,0,0,5040
ADAL,HSNL,0,0,0,0,0,0,402240,0,0,0
IL2VR,RIMR,0,0,3960,0,0,0,0,94500,0,0
AVJL,SDQL,0,0,0,0,0,0,0,70400,125600,0
RIR,SMBVR,111600,0,0,0,85080,487956,62400,498400,17800,279960
IL2DL,RIH,416760,916992,832560,1049640,1500840,1293895,3201600,1452200,1421600,1820640
IL2VR,SMBVR,0,21248,8280,0,102000,0,89040,0,0,188520
BWM-DR03,URYDR,0,2304,32520,37920,86880,380835,267840,0,0,0
AVKL,OLQDL,4200,0,0,480,36960,95631,0,0,0,55120
PVQL,PVQR,16200,0,0,0,0,0,0,0,0,0
AVAL,AVHR,12240,175104,182880,271440,693720,385228,1499760,588700,411900,517520
ADAR,FLPR,14280,45056,71520,178440,315960,30750,650160,0,273400,391840
ASKR,URADR,0,0,0,840,0,0,0,0,0,18480
RIR,RMGL,0,0,0,0,0,0,72960,0,0,0
PVCL,SIBVL,106440,86528,54480,289560,0,520058,547200,49400,139800,214480
AIAL,BDUL,0,0,0,0,0,0,0,763600,717000,612080
IL1R,RIMR,0,0,0,0,0,0,0,0,0,352480
ADAR,ASJR,0,0,4560,17400,0,0,0,0,0,0
OLLR,RIH,0,0,0,344640,0,0,0,72800,12200,1280
ALNL,BWM-DL06,0,0,0,0,0,0,0,7400,0,0
AVL,RICL,0,0,0,0,0,15544,17760,0,0,0
AQR,SMDDL,0,0,0,0,0,0,0,116400,0,0
BWM-VR07,RMED,0,0,0,0,0,0,15600,0,7200,0
BWM-DL04,BWM-VL02,600,280576,0,57480,275880,123002,457920,37900,953200,468480
AIMR,RIFL,10800,0,0,67200,0,8448,0,0,0,0
AINR,IL2L,62640,51712,11520,26400,49320,337,144960,143400,178200,243040
DVA,SAAVR,17400,74240,54720,27600,115680,0,308400,0,255600,223600
IL2R,RICL,0,0,0,20760,73680,99010,84960,0,0,108160
BWM-DR07,SIBVR,0,0,21360,59520,0,0,0,86000,0,0
AWAL,RIVL,0,0,0,0,0,0,0,0,16600,0
IL2VR,SMDDR,0,0,0,0,0,0,0,0,0,3080
SMDDR,SMDVL,1824120,2831616,2610480,3750120,3858960,6525911,11351760,7628700,10071400,7621160
RIR,SIBDR,23520,22272,720,0,0,0,0,107700,0,0
AIBR,AWAR,169320,144128,110520,86520,150120,47646,32160,5400,185600,409440
IL2VR,SIBDR,15720,19968,13680,7200,86760,56770,50640,35600,69200,46840
BWM-DR03,URADL,0,0,0,0,0,0,0,0,0,18920
ADAL,AVJL,147840,21504,0,0,0,0,52320,0,0,40000
ASKR,CEPVR,0,4864,0,0,37320,31426,4560,2300,18200,320
ALA,SAADL,0,0,840,0,0,0,0,0,0,0
ALA,ASGR,0,0,0,0,0,0,0,506600,0,361840
CEPVL,RMEL,0,8960,0,0,34920,0,0,0,0,0
DVA,RIS,1320,19456,0,0,0,277094,0,0,0,0
RMFR,SMDVL,0,0,0,0,0,0,431520,219200,338800,36640
OLQDR,SAADR,0,0,0,0,0,0,0,170600,0,0
RMFL,SIADL,0,0,0,0,151560,0,635760,235400,9400,0
DVC,RMEL,68880,0,98160,49440,0,81438,1200,44800,330200,229600
SAAVR,SMDDL,1212840,2233600,1703280,2436600,3644760,6244423,8508240,5001600,7149300,8194200
AIYR,AWAR,264000,367616,232080,430560,939000,1537873,2278560,2096400,1351000,1467120
ADEL,URAVL,0,0,0,0,0,0,0,151800,0,0
ALNR,RMDL,0,0,0,0,186000,459233,285360,427800,246200,843360
AVFR,CEPVL,0,0,0,0,63960,133140,0,5500,181500,41400
AVDL,PVR,206280,477696,443400,164160,524400,110161,1426080,615900,1040900,290160
IL1R,SMDVR,45480,72704,29640,45960,225000,471398,118080,381900,602200,650760
AVDL,SMDVL,32880,219904,20400,241680,113880,46970,119760,0,0,0
AVBR,RID,330720,559360,462480,371160,1481880,2109972,2646960,1216900,2012400,1420960
AIAL,PVWL,0,0,0,0,0,0,116160,0,6200,0
ASER,RIH,0,0,0,0,0,0,0,22000,220100,0
AVFR,RIFR,0,0,0,0,783480,1416222,1795200,194800,174800,352160
AVHL,SAAVL,0,0,0,0,0,0,0,97500,1400,0
OLQDL,RIVL,0,0,0,23520,0,0,0,0,0,0
AWAL,IL1DL,0,0,0,2280,0,0,0,0,27200,0
AQR,PVPL,0,0,0,1102680,3614880,3919196,5662800,2950500,3680400,2443240
ADER,SAADR,121800,174336,1440,125520,0,0,12240,816800,0,0
AVFL,IL2L,0,0,0,0,14280,64204,30000,69800,112400,148880
CEPVL,RMDL,210720,644096,550920,923040,1240440,1591941,2901360,2311700,1579400,1761920
RIVL,URAVR,0,0,8640,0,360,0,0,0,0,43720
RIR,RMDDL,0,0,0,19800,0,0,0,0,36400,20000
ADFR,URYVR,240,89600,6720,5880,54840,5744,30960,71000,68500,139280
AINL,AVDR,0,0,0,0,0,0,0,0,0,114000
AVDR,RMDVL,24120,0,2400,0,90960,73666,133200,0,0,10480
AQR,RIR,0,0,0,1272240,1835520,1810913,6720240,1184600,2155600,1943960
AWAL,RMGL,53040,311040,19200,0,35280,11827,0,0,0,52320
RID,SIADL,0,0,0,0,1560,0,518400,0,0,0
DVC,RMDL,0,0,0,0,0,0,0,33200,5400,8880
PVT,RIS,75360,131584,102480,77400,21600,1351,100560,756600,1600,181000
BWM-VL05,RMDDR,0,4864,0,0,0,0,0,0,0,0
RMEV,URADR,115680,201472,107760,418800,224160,726190,969120,1080100,553400,394760
IL1VR,RIPR,442080,719104,811200,601320,1828560,1840650,2330640,1581800,1497800,1737920
IL1R,RMDDL,176400,393728,240240,189240,505680,765388,981600,623200,463000,714040
IL2DL,PVCR,0,0,0,2400,0,0,0,0,0,38400
ADAL,RIPR,0,0,0,0,0,0,506160,0,0,0
AUAL,OLLL,52920,0,20160,0,1080,0,27120,29000,3800,0
RIAL,SMBDR,0,0,0,0,10680,36495,0,33800,0,94800
BWM-VR03,SIAVR,0,0,0,11160,0,0,0,0,0,0
SMDDL,URXR,35880,0,14040,74520,129000,179097,0,115200,59200,16360
AIBR,AVL,205320,281856,410040,244080,871440,418344,879360,126000,286800,357360
BWM-DR01,RIPR,6600,19712,33600,64920,102120,119623,70560,0,4600,56880
CEPDL,DVC,18120,0,0,0,0,7772,4560,0,0,0
ASHL,RIFL,983040,1424384,503280,1682160,3342480,4191221,5386800,4393600,4175100,3611080
RMDVR,URADR,0,41728,14520,4800,0,0,1440,464600,297400,365760
ADEL,AQR,0,0,0,0,117960,706252,825360,125900,558400,207680
AIZL,RIR,354960,540928,572400,885720,1026600,642723,2022240,2055200,1844600,2327360
AVHL,SMDDL,0,0,0,0,0,75694,0,0,0,0
AWAL,SIBDR,0,0,6960,0,12000,0,0,0,0,0
RMDDR,RMFR,0,0,0,0,0,0,238080,364800,291000,3920
AIYL,ASGL,11400,45056,13320,70680,47040,71976,225360,43400,12200,20160
ASIL,AWCL,1230480,2882304,1111680,2603160,4810920,5772011,8883120,2974200,3546400,4468000
AIZR,AVAR,7680,0,0,0,0,0,0,12000,0,61080
OLQVL,SMBVL,337440,372480,367560,433800,912240,996526,1349520,951600,1133200,1141120
AIML,AIMR,98040,196352,48840,137760,173280,190924,366240,160700,151800,131760
SAADL,URBR,129960,201728,144120,131160,52680,48998,213840,383200,209700,348520
OLQDL,RMGL,0,0,0,0,0,0,960,0,0,0
ALMR,ALNR,0,0,0,1560,0,0,42240,0,0,0
FLPR,SMDVL,0,0,0,10800,0,0,0,0,0,8520
CEPVL,RMDR,92160,237568,151920,54720,189480,114554,113280,173400,148000,187680
AWCL,CEPDR,17520,0,19200,6720,0,0,0,0,71400,0
AVHL,PVQL,0,0,23640,0,0,0,0,0,0,0
IL2VR,RICL,23520,22784,13680,3720,108120,61501,219120,0,138800,103960
DVC,RMDR,0,0,0,0,4080,81438,28320,0,0,53520
RIAR,RIH,671640,692224,714840,1063320,2092680,2664161,5303520,1607400,3144800,1862360
PVR,SMBVL,24360,0,42240,0,0,0,0,0,31000,0
IL1VL,RMFR,0,0,0,0,0,0,40560,0,0,0
PVWL,RMDDR,0,0,0,0,0,0,0,0,140200,0
HSNL,RIFR,0,0,0,0,0,0,1116240,0,0,0
SDQR,SMDVL,0,0,0,264720,532440,358871,0,39000,505200,263360
AIBL,BAGL,114840,327168,134280,304920,308880,630558,1104960,517000,213200,213040
SIADL,URYVL,66120,38400,69600,110160,193320,127057,289200,4900,104200,106640
OLQDL,SMDDR,18360,94208,23280,0,220800,0,0,85100,22600,901840
RMGR,SMDVR,0,0,0,6360,0,0,0,0,0,0
SIBVR,URBL,39360,352000,119400,164640,647640,678543,1573440,0,262600,211520
IL1VL,RIGL,25440,42240,7920,0,26880,63866,129360,117800,48000,67240
RMHL,SMBVL,0,0,0,4320,331560,124692,70800,174500,0,487840
IL2L,PVQL,23400,23040,11520,11760,19080,20613,3840,1800,4800,1600
AVEL,PVR,0,59904,0,0,720,49336,0,0,0,0
AIAR,AINL,0,85248,32280,3960,27240,155105,30000,177200,384800,168240
AVAL,URYVR,40560,53760,43080,49440,347040,135168,236640,324100,204200,565520
AWCL,BAGR,30360,0,170880,341880,54840,481198,1619760,0,0,734160
AVFL,URXR,0,0,0,0,229080,12165,147600,0,253600,73920
SAAVL,URYDL,66720,79104,16920,29280,29880,32440,62160,137200,327500,113320
SIADR,URYVR,104640,167168,48720,77760,212880,97658,394560,137600,155900,169440
AVAR,AWCR,0,768,0,0,0,225730,0,167400,0,0
AVDR,IL2DL,23880,107520,31080,30360,103200,110499,100800,289300,338700,224320
IL1L,RIFL,81360,131584,42240,9960,30960,5406,0,0,91000,0
AVHL,PVPL,66720,44800,2880,72360,82560,0,0,0,0,167200
OLLL,RMDVL,324840,811520,666720,1072440,2142720,2441134,4017840,2102700,2527400,3313000
RMDDR,RMED,93600,246016,70200,169800,5160,415641,630960,556000,530800,133920
ADAL,AVAL,400440,403712,236760,240960,849480,614676,1946880,1092300,1964800,1769120
IL1DL,IL2L,0,0,0,63360,76320,186531,181920,0,104100,33600
AVDL,BDUL,0,0,53160,0,90960,43253,221760,0,54800,6480
AVHL,RIR,299520,913408,592440,774000,2189760,1934929,3768720,1601200,2259600,2149160
