pre,post,L1_0hr,L1_5hr,L1_8hr,L1_16hr,L2,L3,adult_sem,dauer_sem_1,dauer_sem_2,dauer_FIB
BWM01D,PVR,149880,13312,0,55920,1440,0,0,389400,54500,0
AIB,SDQ,0,0,0,2280,0,722472,4930800,2965100,3424300,2622840
IL2L/R,RMED,393240,635392,587400,397560,1042800,1014434,2177280,1091800,594300,769880
ADA,URB,219840,637696,429120,698400,1006920,1026938,3806880,644600,1249300,728320
RIC,RMF,0,0,0,0,0,9799,174000,313000,936900,435360
RIG,RIG,291720,798720,522960,173760,907680,1599037,1622880,1311800,1635400,1959840
ASI,RMEV,0,0,0,12000,0,0,0,0,0,0
AVM,RIS,0,0,0,32520,1074720,1978521,1956720,1480800,831800,1550400
RMDV,RMDV,1008000,1353984,927120,568200,2442240,1750425,2292480,2110200,1521900,1562880
AIZ,SIBD,199200,486912,147240,223560,1013880,828241,1345200,719700,688800,627640
BWM07D,SIBD,0,11264,0,0,0,0,0,0,0,0
SMDV,URAV,0,0,0,0,0,0,0,389900,47200,153800
AIM,RIS,0,65536,68400,56760,489360,292976,0,0,120000,98560
AIZ,AVM,0,0,0,0,10200,0,0,0,0,0
ASH,RIF,1850400,3032064,1728720,3050280,6112080,8611552,10317120,8354700,7981700,8114560
AWC,CEPV,130440,379904,215640,58320,287280,590682,380400,630800,383500,423400
AVA,SIBD,239520,202496,194160,391920,561240,329470,3095760,901500,813900,908480
AVK,IL1V,0,0,0,0,0,4055,22320,0,66200,214240
IL1L/R,RIB,0,22528,113520,91680,205920,277093,290880,440600,355600,484800
AIZ,AIZ,326880,807680,558840,257880,1062960,1033021,1207200,784000,1182000,758560
RMH,URAV,0,0,0,0,3240,43253,181200,848500,707000,1576680
BWM04V,CEPV,230520,677376,351240,299520,1343760,1663241,3411360,741200,473900,1320840
ALM,RIM,0,0,0,0,11160,0,0,0,0,0
AVA,AVM,0,0,0,0,138600,0,0,0,0,0
AIN,OLQV,0,4352,0,12840,33600,7096,0,112500,542200,480
ASE,AWA,2463000,4775680,3115200,3479280,8521440,9936875,15918240,11674200,13798200,13470040
AFD,RIP,0,0,0,0,0,0,0,4400,28000,0
OLQV,SMBD,0,0,0,0,0,0,0,45400,0,0
AIM,ASE,2520,57088,169200,240,11880,6082,58560,319200,653900,1190160
AIB,AQR,0,0,0,335400,622920,1011393,2189760,195300,315700,331320
ASK,AVB,0,61952,93720,0,0,0,0,0,0,0
AVF,DVA,0,0,0,350400,804720,249046,715200,32600,312500,0
ADL,AVJ,83160,466688,440880,294000,1327080,952595,1240320,2314100,1901100,1899920
BWM05V,BWM07V,91800,430336,275640,868320,1687080,6243409,10373280,1079100,4339100,2579360
OLQV,RMDD,63720,151296,149160,171960,578160,469370,463440,590600,719300,456720
IL1L/R,RMEL/R,1669920,2066176,2223840,2230320,4843440,6912828,10623360,3200,1728900,220440
ALA,AWA,0,18944,0,3240,0,20613,92400,38800,114300,195760
IL2V,OLQV,585480,992256,764160,562440,1742040,2050836,1883520,2617600,2423900,3124520
ASK,OLL,17280,16640,0,2040,55800,79072,155520,0,79900,19680
ADF,URX,1010760,1411584,1026720,2030520,1659840,3436307,3953760,1939200,2854800,2443960
ASK,SMDD,1200,0,0,0,10440,23654,130560,0,0,0
AVE,OLQV,146640,103168,72000,151800,209160,83803,245520,278100,367800,480760
AFD,IL2D,1440,1536,5400,0,15960,10137,55200,200,4000,146720
