is_neuron,is_postemb,name,type,x,y,z,zorder
1,0,ADL,sensory,-167.46978180000002,-66.95855663,-176.4279077,-1.1761860515
1,0,ADF,sensory,-84.43028115999999,-73.40689336,-120.1565242,-0.8010434945
1,0,AFD,sensory,-170.63079315,-215.7048163,-109.34653385499999,-0.7289768925
1,0,ASE,sensory,-179.29242885,-183.690983,-133.8549971,-0.8923666475
1,0,ASH,sensory,-134.162324,42.17425108102925,-120.43302665,-0.8028868440000001
1,0,AWA,sensory,-190.07052299999998,-123.264137,-218.14346965,-1.454289798
1,0,AWB,sensory,-132.78549955,-87.88067807,-134.5455773,-0.896970515
0,0,IL2L/R,sensory,100.42548944306142,-35.41288631,-93.85143553500001,-0.625676237
1,0,RIB,inter,-13.8197991495,39.36866369570372,68.40125554075772,0.4560083702717181
1,0,AIM,modulatory,-219.58605805000002,-157.2064239,-189.43758585,-1.262917239
1,0,AVH,modulatory,-102.621070085,48.48039956775673,-187.18789470000002,-1.2479192984999998
1,0,PVQ,modulatory,-242.90460185,-171.2224015,-137.68456295,-0.9178970865
1,0,ASI,sensory,-190.64346510000001,-224.9008593,-209.5828901,-1.3972192675000001
1,0,ASJ,sensory,-257.9555919,-231.5229359,-193.1198544,-1.287465696
1,0,ASK,sensory,-242.38675395,-181.4768336,-117.87576035000001,-0.7858384025
1,0,AWC,sensory,-201.14924094999998,-233.7022395,-130.503454405,-0.870023029
1,0,OLL,sensory,77.91086598206041,27.35006874623601,-4.6632687205000005,-0.031088458212015734
1,0,AIA,inter,-222.35423115,-191.2935712,-25.190443675,-0.16793629100000002
1,0,AVJ,modulatory,-99.008451235,204.60424578537643,-36.25108899,-0.24167392650000002
1,0,ALA,modulatory,-56.92342927,-46.4788771,-142.1093245,-0.947395496
1,0,AIN,inter,-129.6648866,-141.4288395,-174.1619579,-1.1610797195
1,0,AIY,inter,-142.94739955,-188.3767366,-68.368232535,-0.45578821699999994
1,0,ALM,sensory,-61.74979956999999,246.25108253839028,-158.66333525,-1.0577555685
1,0,RIG,inter,0.8975440339999996,82.02807913,-90.15164937,-0.6010109960000001
1,1,ALN,sensory,42.96152030514695,107.7247589437796,-89.20860856,-0.5947240565
1,1,RMF,motor,52.80527278286441,47.42783154984337,0.4678310986500014,0.0031188740000000006
1,1,AQR,sensory,-52.83881881,193.76775976138111,-98.46028487,-0.656401899
1,0,BAG,sensory,-42.390702935,-6.423886204,-17.25806027,-0.11505373499999999
1,0,DVA,sensory,-31.44733002,104.4846066858595,-96.35649377,-0.642376625
1,0,AVB,inter,-80.17724289,205.33707684288592,71.75750603045573,0.4783833735294072
1,0,BDU,inter,-86.76245279,261.8557859851636,-116.26866720000001,-0.7751244479999999
1,0,PVP,inter,-69.239098045,214.0250886611952,-122.26367809999999,-0.8150911875
1,0,RIF,inter,-128.53908940000002,156.3901795452406,-140.83156350000002,-0.9388770900000001
1,0,RIR,inter,-33.8370963,49.64688991496296,-87.37030821,-0.582468721
1,0,DVC,inter,-20.15224653,98.07422514520226,-124.7060899,-0.831373933
1,1,PVW,modulatory,-129.38862306666667,160.6877925118532,-91.64493528333334,-0.6109662353333333
1,0,RIC,modulatory,50.35124135322236,76.16301321756139,13.13880481265741,0.08759203185042935
1,0,AIZ,inter,-72.51821059,-67.430971,-51.30749523,-0.3420499685
1,0,ASG,sensory,-247.20449345,-194.1045654,-116.72761995,-0.778184133
1,0,RIP,inter,161.55475079811376,-102.8248869,117.76403939025991,0.785093595935066
1,1,AVF,modulatory,-177.22731844999998,59.448401740249416,-135.79939495000002,-0.9053292995
1,0,URB,sensory,75.56978880938672,58.83620767228732,-102.478718445,-0.6831914565
1,0,AUA,sensory,-28.27171589,30.891592246629703,-20.281532095000003,-0.135210214
1,0,URX,sensory,4.224259470986794,66.91660258,-98.53911876000001,-0.656927458
1,0,AIB,inter,-97.837596425,-32.792814,-1.4775806989999998,-0.009850537999999999
1,0,RIH,inter,87.01696954481251,-64.36874177,-87.22666689,-0.581511113
1,1,AVM,sensory,-89.43597411,308.0325992268636,-179.1638676,-1.194425784
1,0,PVR,inter,25.954485080889285,127.65170706104476,-75.23901474,-0.501593432
1,0,RIM,inter,-3.73262192327418,74.56200555932932,39.7303056222288,0.2648687041481919
1,1,SDQ,sensory,-29.038740525,197.25454823670768,-66.22860399000001,-0.4415240265
1,0,PVC,inter,-68.183615315,288.8409677342859,-40.055628145,-0.267037521
1,0,RMG,modulatory,49.1809753190132,63.64063671468301,-40.812973064999994,-0.272086487
1,0,FLP,sensory,-59.187294699999995,248.4481748021896,-112.79440725,-0.7519627149999999
1,1,PLN,sensory,37.93589519508757,68.87087281331719,-110.5215025,-0.7368100165
1,0,ADE,modulatory,-5.5046907965,152.97141924488662,-140.4819506,-0.9365463375
0,0,IL2D,sensory,169.09883605704977,-149.3775899,-67.88712769,-0.452580851
0,0,URYD,sensory,90.4559948740021,6.932666101625086,-17.018909855,-0.113459399
0,0,URAD,motor,181.7519623117101,-165.2138729,11.893016794511482,0.079286779
0,0,OLQV,sensory,75.92358351515284,-1.107482396,15.690171523083091,0.10460114348722055
0,0,IL2V,sensory,172.5981665149949,-136.888125,-60.592957355,-0.40395304899999995
1,0,PVT,inter,16.130908629459903,57.68807157399462,-180.0394493,-1.200262995
0,0,OLQD,sensory,105.69622758087775,19.694468263032437,-0.9887510410131879,-0.006591673720087952
0,0,SAAD,sensory,17.891132614366875,104.40554333933888,4.306069382159811,0.028707128999999998
0,0,SAAV,sensory,11.585912372564513,121.35136713966232,-20.9187108755,-0.1394580725
0,0,IL1D,motor,170.8434777579521,-92.31117759,43.633909360859306,0.2908927290723954
0,0,IL1L/R,motor,150.84862139516792,-72.71062696,35.5003344404869,0.23666889626991267
0,0,IL1V,motor,172.23736657621052,-98.46125229,38.597300649964026,0.25731533766642684
0,0,SMDV,motor,71.82978015637023,24.469621609196704,143.13692543129685,0.954246169541979
1,0,AVK,modulatory,22.453292469227666,111.21180171000135,-39.55815332,-0.2637210225
0,0,CEPD,modulatory,85.61510247972916,58.93865944822837,-67.48229486,-0.4498819655
0,0,CEPV,modulatory,69.8071230504063,55.30100650718352,-39.604618634999994,-0.264030791
0,0,URYV,sensory,56.39443271867875,44.119559213928014,-6.7574506565,-0.045049671
1,0,RIA,inter,70.9094864927142,-6.952346609,4.506470059735059,0.030043133898233702
0,0,SIAV,motor,39.907091962780996,124.2392138299528,124.07342115370685,0.8271561410247121
0,0,SMBV,motor,43.98331337738228,-42.71783471,12.907415783340642,0.0860494385556042
1,0,ADA,inter,-55.13663494,123.00571890900434,-47.828266375,-0.318855109
1,0,RIV,motor,85.71350257289143,8.081940753,-48.1988654,-0.321325769
1,1,RMH,motor,109.26759287508312,19.652449664549263,60.840175849658735,0.40560117233105825
0,0,SMBD,motor,59.025686616281206,-3.666176271,18.584412297492538,0.1238960820382947
1,0,RIS,modulatory,28.04077200701831,100.22160919173146,-76.1747124,-0.507831416
0,0,URAV,motor,188.6848369590261,-197.1274823,31.055849992482948,0.20703899994988625
0,0,RMED,motor,173.97129182610678,-130.3120328,70.60219339703947,0.47068128922231794
0,0,RMEV,motor,168.97129182610678,-135.3120328,70.60219339703947,0.47068128922231794
1,0,AVA,inter,-47.219242285,158.36689769506688,86.04776294051335,0.5736517529367557
1,0,AVD,inter,-98.68836604500001,192.61958770935263,53.05022533432687,0.3536681688557269
1,0,AVE,inter,11.417710132397698,73.58576561487122,110.13199618986033,0.7342133079324021
0,0,RMDL/R,motor,100.80559319810598,2.458545850664153,80.6051543265918,0.537367695510612
0,0,SMDD,motor,78.08930806303078,9.412342042357134,116.19932582450848,0.77466217216339
0,0,RMDD,motor,139.90515376600837,-64.75106366,137.1464751397891,0.9143098342652605
0,0,RMDV,motor,141.5817036761817,-69.55941658,133.3079472648602,0.8887196484324011
0,0,RMEL/R,motor,189.07757003896535,-156.3790085,98.90736822580385,0.6593824548386924
1,0,AVL,modulatory,33.33128056693163,54.382530457215175,-80.71310834,-0.538087389
0,0,SIAD,motor,22.221502149004166,32.98013314635837,129.91251858523623,0.8660834572349081
0,0,SIBD,motor,-27.920451565,97.87904604572311,101.40128242183042,0.6760085494788695
0,0,SIBV,motor,3.7612171573830944,184.6838047929724,104.2942024214056,0.6952946828093707
1,0,RID,modulatory,-81.58531163,212.48360274141143,74.79653861,0.4986435907628893
0,0,BWM01D,muscle,166.34482911999504,-116.0524617,218.01142276618657,1.453409485107911
0,0,BWM01V,muscle,167.95491755952017,-164.174161,209.78419579611523,1.3985613053074348
0,0,BWM02D,muscle,172.08170580150772,-89.23007194,202.64741745005816,1.3509827830003878
0,0,BWM02V,muscle,176.45010189402893,-112.6932237,210.31504542715265,1.4021003029862777
0,0,BWM03D,muscle,147.04901111228622,-82.75202749,226.4010716693745,1.5093404777958301
0,0,BWM03V,muscle,144.515549135048,-85.31066288,224.88273565661711,1.4992182377107808
0,0,BWM04D,muscle,136.26026255507762,-67.33614659,202.43720667695004,1.3495813778463335
0,0,BWM04V,muscle,124.13064234358076,-68.03530728,201.43848758862055,1.3429232505908035
0,0,BWM05D,muscle,122.27961355733808,-37.30874936,224.60027809178,1.4973351872785332
0,0,BWM05V,muscle,125.54943651225983,-56.92055595,201.7029175848475,1.3446861172323168
0,0,BWM06D,muscle,73.34768082944115,50.94611549274989,155.03912252290291,1.0335941501526862
