,name,celltype,is_postemb,type,x,y,zorder
0,ADAL,neuron,0,inter,-58.45041699987862,37.52593171695711,-0.2501728781130474
1,AIAL,neuron,0,inter,-218.29945000106144,33.11872470744522,-0.2207914980496347
2,AIBL,neuron,0,inter,-99.64244694475894,2.2738462088369005,-0.0151589747255793
3,AIBR,neuron,0,inter,-96.03274591284418,0.6813151885033077,-0.0045421012566887
4,AIZL,neuron,0,inter,-69.86699343460036,63.46750976500676,-0.4231167317667117
5,ASHL,neuron,0,sensory,-131.35227354949575,120.54338377348644,-0.8036225584899097
6,AVAL,neuron,0,inter,-50.83633008151188,-84.69601865807017,0.5646401243871345
7,AVAR,neuron,0,inter,-43.60215448597423,-87.39950722295653,0.5826633814863769
8,AVBL,neuron,0,inter,-80.1439439845829,-74.11228043091145,0.4940818695394097
9,AVBR,neuron,0,inter,-80.21054180493394,-69.4027316279107,0.4626848775194047
10,AVDR,neuron,0,inter,-105.41391769200068,-52.74082726193565,0.351605515079571
11,AVEL,neuron,0,inter,7.139971579797567,-106.40913766321644,0.7093942510881096
12,AVER,neuron,0,inter,15.69544868499783,-113.8548547165042,0.7590323647766947
13,AVHR,neuron,0,modulatory,-95.3549915706582,187.9671173485234,-1.2531141156568226
14,AVJL,neuron,0,inter,-98.9471581079865,44.09450986573816,-0.2939633991049211
15,AVJR,neuron,0,inter,-99.06974435785143,28.407668107420434,-0.1893844540494695
16,DVA,neuron,0,sensory,-31.447330017903884,96.35649377257664,-0.6423766251505109
17,IL2DL,neuron,0,sensory,173.15874017492033,55.13952766719035,-0.3675968511146023
18,OLQVL,neuron,0,sensory,82.27083341096952,-16.234164739436338,0.1082277649295755
19,PVPL,neuron,0,inter,-69.20205436420329,111.25959613286446,-0.741730640885763
20,RIAL,neuron,0,inter,68.98347319726167,-22.02674096947012,0.1468449397964674
21,RICL,neuron,0,modulatory,49.64647226912057,-16.21597735512881,0.1081065157008587
22,RICR,neuron,0,modulatory,51.05601043732416,-10.06163227018601,0.0670775484679067
23,RID,neuron,0,modulatory,-81.58531163206302,-74.7965386144334,0.4986435907628893
24,RIML,neuron,0,inter,-8.396554899840037,-37.14088807638709,0.2476059205092472
25,RIPL,neuron,0,inter,172.65353967782556,-118.6604427009182,0.7910696180061213
26,RIPR,neuron,0,inter,150.45596191840195,-116.86763607960162,0.7791175738640108
27,RMFL,neuron,1,motor,49.21788873651537,4.0424316347654266,-0.0269495442317695
28,SAADL,neuron,0,sensory,15.940049803481736,-3.241861498005378,0.0216124099867025
29,SAAVL,neuron,0,sensory,11.042303262925786,35.4130019622495,-0.23608667974833
30,SDQR,neuron,1,sensory,-27.458190081502984,82.76476039165439,-0.551765069277696
31,SIBVL,neuron,0,motor,10.178173283766188,-112.65058433569423,0.7510038955712949
32,SMDDL,neuron,0,motor,70.79593121603367,-126.45614990151984,0.8430409993434655
33,SMDVR,neuron,0,motor,69.40023588338578,-136.0105384761937,0.9067369231746246
34,URXL,neuron,0,sensory,6.169727046927648,102.05308609193348,-0.6803539072795565
35,ADAR,neuron,0,inter,-51.82285287544751,58.13060102874709,-0.3875373401916472
36,ADER,neuron,0,modulatory,-4.483554840949467,136.49757140452,-0.9099838093634666
37,AIAR,neuron,0,inter,-226.4090122812732,17.262162636123076,-0.1150810842408205
38,ASHR,neuron,0,sensory,-136.97237453317788,120.32266951256,-0.8021511300837333
39,AVDL,neuron,0,inter,-91.96281438575495,-53.35962340671808,0.3557308227114538
40,OLQVR,neuron,0,sensory,69.57633361933618,-15.146178306729844,0.1009745220448656
41,RIFR,neuron,0,inter,-132.38992444223783,146.92129234559542,-0.9794752823039694
42,RIMR,neuron,0,inter,0.9313110534516396,-42.319723168070496,0.2821314877871366
43,RMFR,neuron,1,motor,56.39265682921345,-4.978093832300003,0.0331872922153333
44,SAADR,neuron,0,sensory,19.84221542525201,-5.370277266314244,0.0358018484420949
45,SMDVL,neuron,0,motor,74.25932442935469,-150.26331238640003,1.0017554159093336
46,URADR,neuron,0,motor,171.46099297318762,-11.146663581293684,0.0743110905419579
47,URAVR,neuron,0,motor,180.4384014759859,-36.38341097951451,0.2425560731967633
48,URXR,neuron,0,sensory,2.27879189504594,95.02515142029851,-0.6335010094686567
49,ADEL,neuron,0,modulatory,-6.525826751796091,144.4663298406119,-0.9631088656040794
50,AINL,neuron,0,inter,-114.62970753163567,171.4065280300235,-1.1427101868668237
51,ALML,neuron,0,sensory,-52.55885584374879,158.1374175997439,-1.0542494506649591
52,ALNL,neuron,1,sensory,42.455593467687216,116.15453467414024,-0.7743635644942682
53,AQR,neuron,1,sensory,-52.838818806710265,98.4602848689185,-0.6564018991261233
54,ASJL,neuron,0,sensory,-251.41448832549588,196.6087937705362,-1.3107252918035748
55,AVKL,neuron,0,modulatory,22.96907662502679,29.65068488217824,-0.1976712325478549
56,AVKR,neuron,0,modulatory,21.93750831342854,49.46562175864128,-0.3297708117242752
57,BDUL,neuron,0,inter,-78.6430722673228,130.77783604331069,-0.8718522402887379
58,CEPDL,neuron,0,modulatory,93.81755207850368,64.2064119566657,-0.4280427463777713
59,CEPVL,neuron,0,modulatory,70.32351729843913,17.07259361292148,-0.1138172907528098
60,CEPshDL,other,0,other,-119.11002399374024,6.377760804378326,-100000.04251840536
61,CEPshDR,other,0,other,-137.55638022179966,8.509895405805983,-100000.05673263605
62,CEPshVL,other,0,other,-95.66143907080549,-6.84984518078139,-99999.95433436548
63,FLPL,neuron,0,sensory,-57.25908741411464,108.49439639366696,-0.7232959759577796
64,FLPR,neuron,0,sensory,-61.11550198747309,117.09441809903304,-0.7806294539935535
65,IL1L,neuron,0,motor,160.28789148138634,-30.25027819655072,0.2016685213103381
66,IL2L,neuron,0,sensory,103.707696307112,111.58677451945486,-0.7439118301296991
67,OLLL,neuron,0,sensory,76.3609593193087,9.395206627222104,-0.0626347108481473
68,PVCL,neuron,0,inter,-58.21575925821714,39.31450771723272,-0.2620967181148848
69,PVT,neuron,0,inter,16.130908629459903,180.03944932439325,-1.200262995495955
70,RIFL,neuron,0,inter,-124.68825437537843,134.7418346877296,-0.8982788979181974
71,RIGL,neuron,0,inter,9.27479579761032,95.63047993385504,-0.6375365328923669
72,RIGR,neuron,0,inter,-7.479707729980054,84.67281881468833,-0.5644854587645889
73,RIH,neuron,0,inter,87.01696954481251,87.22666688705887,-0.5815111125803925
74,RIS,neuron,0,modulatory,28.04077200701831,76.17471239869778,-0.5078314159913185
75,RIVL,neuron,0,motor,86.37434090833823,47.33803835602767,-0.3155869223735177
76,RIVR,neuron,0,motor,85.05266423744462,49.05969244389966,-0.3270646162926643
77,RMDDR,neuron,0,motor,137.48801357423227,-133.2194105798869,0.8881294038659127
78,RMDL,neuron,0,motor,97.15845351180322,-102.7019774300206,0.6846798495334707
79,RMDR,neuron,0,motor,104.45273288440876,-58.50833122316299,0.3900555414877533
80,RMER,neuron,0,motor,190.53677849269428,-95.00341129412364,0.6333560752941576
81,RMHR,neuron,1,motor,112.06289876720284,-54.54672094169009,0.3636448062779339
82,SDQL,neuron,1,sensory,-30.619290969753887,49.69244759244538,-0.3312829839496359
83,SIBVR,neuron,0,motor,-2.655738969148577,-95.93782050711698,0.6395854700474466
84,SMBDR,neuron,0,motor,66.82764536933443,-31.16668846148842,0.2077779230765894
85,SMDDR,neuron,0,motor,85.38268491002789,-105.94250174749712,0.7062833449833142
86,URBL,neuron,0,sensory,76.55761530167092,86.71342749025833,-0.5780895166017221
87,AINR,neuron,0,inter,-144.70006570190927,176.91738784293474,-1.1794492522862317
88,ALMR,neuron,0,sensory,-70.94074329655771,159.1892528542439,-1.0612616856949593
89,ALNR,neuron,1,sensory,43.46744714260669,62.26268241862905,-0.415084549457527
90,BWM-DR04,muscle,0,muscle,129.99185441416083,-201.49863230692705,1.3433242153795135
91,BWM-VR04,muscle,0,muscle,115.03592287075378,-195.9928877107838,1.3066192514052253
92,CEPDR,neuron,0,modulatory,77.41265288095465,70.75817776129274,-0.4717211850752849
93,CEPVR,neuron,0,modulatory,69.29072880237348,62.1366436616017,-0.4142442910773447
94,CEPshVR,other,0,other,-101.11959640789787,-28.535677650786727,-99999.809762149
95,DVC,neuron,0,modulatory,-20.15224652594105,124.70608991345536,-0.8313739327563692
96,GLRR,other,0,other,117.30545598875356,-104.48579577161831,-99999.3034280282
97,IL1R,neuron,0,motor,141.40935130894948,-40.75039068442308,0.2716692712294872
98,IL2R,neuron,0,sensory,97.14328257901084,76.11609656906062,-0.5074406437937374
99,OLLR,neuron,0,sensory,79.46077264412084,-0.0686691863952791,0.0004577945759685273
100,PVCR,neuron,0,inter,-78.15147136767521,40.79674856758156,-0.271978323783877
101,PVWR,neuron,1,modulatory,-114.0331266724613,99.70747031455886,-0.6647164687637257
102,PVR,neuron,0,inter,25.954485080889285,75.23901474381931,-0.5015934316254621
103,RMGR,neuron,0,modulatory,48.79109126199428,44.32718651589704,-0.2955145767726469
104,RMHL,neuron,1,motor,106.4722869829634,-67.13363075762739,0.4475575383841826
105,SIADL,neuron,0,motor,24.675426475090514,-138.8477664278361,0.925651776185574
106,SIBDL,neuron,0,motor,-24.424749100971024,-98.87685517672672,0.6591790345115115
107,SMBVR,neuron,0,motor,48.66783373001848,-22.99027001326027,0.1532684667550684
108,URBR,neuron,0,sensory,74.58196231710252,118.24400935065898,-0.7882933956710599
109,ADFL,neuron,0,sensory,-83.28993366080277,103.63175208135884,-0.6908783472090588
110,ADFR,neuron,0,sensory,-85.57062865805278,136.68129634329188,-0.9112086422886124
111,AFDL,neuron,0,sensory,-163.09577530117016,125.45758778430978,-0.8363839185620652
112,AIYL,neuron,0,inter,-134.0436319314542,87.73610474193129,-0.5849073649462085
113,AIZR,neuron,0,inter,-75.169427753144,39.14748069131782,-0.2609832046087854
114,ASER,neuron,0,sensory,-184.2673371129436,123.12608649425894,-0.8208405766283929
115,AUAL,neuron,0,sensory,-24.29514674096311,21.59252553694713,-0.1439501702463142
116,AUAR,neuron,0,sensory,-32.24828504032603,18.970538650228224,-0.1264702576681881
117,AWBL,neuron,0,sensory,-131.00429546774694,122.35491956756368,-0.8156994637837579
118,BAGR,neuron,0,sensory,-43.57181788909434,19.887581874637824,-0.1325838791642521
119,PVQL,neuron,0,modulatory,-236.7212635968793,133.01550327775047,-0.8867700218516699
120,RIR,neuron,0,inter,-33.83709630011877,87.37030820916537,-0.5824687213944358
121,SMBDL,neuron,0,motor,51.22372786322798,-6.002136133496658,0.0400142408899777
122,SMBVL,neuron,0,motor,39.29879302474608,-2.8245615534210127,0.01883041035614
123,URYVL,neuron,0,sensory,62.953550364921874,8.93143946397854,-0.0595429297598569
124,AFDR,neuron,0,sensory,-178.16581101552063,93.23547990851294,-0.6215698660567529
125,AIYR,neuron,0,inter,-151.8511672147687,49.00036033327296,-0.3266690688884864
126,ASEL,neuron,0,sensory,-174.31752057020938,144.58390766109676,-0.963892717740645
127,ASGR,neuron,0,sensory,-251.4484435516092,117.44513577165992,-0.7829675718110662
128,AVHL,neuron,0,modulatory,-109.88714855902722,186.4086721172406,-1.242724480781604
129,AWAR,neuron,0,sensory,-196.04294139578565,216.03819849452196,-1.4402546566301462
130,AWBR,neuron,0,sensory,-134.56670357501383,146.73623497461642,-0.9782415664974428
