neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ADFL,0,133,187,0,1124,5,31,0,0,0,38,704,67,132,0,1248,0,125,0,96,0,0,0,1257,0,0,2172,0,4666,0,51,18,0,0,136,0,0,0,0,1449,0,0,0,0,0,0,0,178,0,0,0,0,0,0,28,0,0,0,0,1483,0,0,0,189,0,485,0,688,0,28,0,0,44,609,1,1823,0,79,0,266,9,112,9,0,0,275,333,9,0,79,0,291,0,0,0,297,0,190,0,951,11,2,0,106,107,0,520,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,21,4,24,0,327,21,187,0,491,0,1055,0,0,1,0,0,0,0,0,0,0,0,1917,0,0,25,597,13,1812,0,0,0,1,0,0,0,0,0,0,2,19,0,0,1,30,15,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFR,133,0,0,194,0,937,0,16,0,0,34,461,476,0,87,0,1180,0,64,0,186,0,0,301,1188,0,0,2172,279,3891,15,44,3,0,99,0,0,0,0,0,894,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1706,0,0,0,185,0,287,0,613,79,120,109,0,0,604,72,1836,0,88,0,179,62,68,18,71,319,159,0,19,0,0,0,487,0,0,0,634,4,210,17,1429,0,0,85,0,63,0,208,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,210,12,90,0,180,0,707,0,617,2,0,0,0,0,0,0,0,0,0,0,2071,4,534,178,1926,73,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,4,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLL,187,0,0,618,0,0,0,0,0,0,0,1422,14,0,0,846,0,1103,13,191,20,2923,631,0,0,0,2100,0,2073,0,1365,101,0,0,0,0,0,90,0,264,0,38,0,100,0,118,0,0,0,0,0,0,0,352,0,0,0,24,0,0,0,141,0,122,0,854,0,1199,173,1217,73,194,0,1,0,100,0,245,0,25,0,0,1297,4,0,19,232,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,114,0,7,70,0,96,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,21,0,118,0,0,0,6,0,333,0,2299,359,23,0,67,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,194,618,0,0,0,0,37,0,0,0,7,892,0,0,0,899,0,1337,0,97,0,2561,0,0,0,0,1908,0,2224,177,1172,0,0,17,0,0,0,37,0,113,0,0,0,159,0,201,0,112,0,0,0,0,0,146,0,0,0,172,0,4,0,200,0,36,0,1091,0,1189,0,1226,0,0,0,29,0,98,0,263,0,3,1264,227,0,7,668,594,0,0,0,1,0,32,0,0,0,25,0,0,0,91,0,0,0,0,0,0,520,9,0,143,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,579,0,0,0,0,0,37,0,0,0,0,0,384,1130,285,79,285,15,0,0,0,0,4,0,0,0,0,0,0,0,966,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDL,1124,0,0,0,0,301,0,0,0,0,16,227,2566,0,0,0,0,54,48,0,0,24,0,3776,0,0,1098,0,298,5,301,416,13,311,1,0,0,30,0,548,0,0,0,38,0,72,0,100,0,0,0,0,0,0,56,0,0,22,0,144,0,127,0,0,0,0,0,378,8,621,0,755,3763,3863,46,956,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,274,0,44,0,0,0,81,5,7,0,0,156,63,0,59,0,0,0,65,0,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,0,0,313,57,0,0,2,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDR,5,937,0,0,301,0,0,0,0,0,0,2665,456,0,0,0,0,0,254,0,0,0,31,140,3580,0,0,1508,244,526,803,517,491,0,0,0,0,0,52,0,525,0,0,0,110,0,35,0,0,0,0,0,0,1,10,0,0,0,88,0,235,0,6,0,0,0,2,0,106,17,359,3527,983,136,3803,0,555,0,66,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,45,6,395,0,10,0,0,16,0,61,0,36,336,0,90,0,109,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,39,0,16,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALML,31,0,0,0,0,0,0,0,583,0,2,0,0,0,0,75,0,0,0,73,0,0,0,0,0,1862,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,4094,3,330,0,429,0,178,0,20,0,1253,0,0,0,0,0,466,0,0,0,0,0,22,0,438,29,1999,884,222,0,1304,9,1881,0,870,0,0,0,1279,0,0,0,0,0,326,0,0,0,0,0,0,370,0,0,3,0,486,0,0,0,5,0,0,204,7,0,0,0,0,0,0,0,0,113,1,0,0,1672,0,0,0,770,0,194,0,318,0,0,6,105,0,0,0,0,0,0,455,0,529,0,0,59,92,543,0,0,0,0,852,0,1277,0,0,2179,744,765,0,0,268,0,422,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,16,0,37,0,0,0,0,0,138,26,0,0,0,0,0,47,0,0,0,107,0,81,0,0,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,613,0,0,0,0,2259,0,351,0,747,0,2,0,20,0,986,0,0,0,0,0,333,0,0,0,0,0,0,572,777,436,1706,0,125,321,850,0,2543,0,1301,0,145,1740,0,0,0,0,0,0,265,0,0,0,0,0,0,668,0,0,0,0,74,0,0,0,0,73,0,10,71,0,0,0,0,0,0,0,0,0,0,1490,0,0,0,812,0,50,12,405,0,0,9,62,0,0,0,0,0,0,0,0,817,0,245,74,0,0,0,1081,0,0,0,0,492,0,1882,0,3372,1089,1535,0,1,63,159,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALNL,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,101,0,0,0,269,0,0,0,0,0,719,0,975,1143,832,299,298,0,537,0,79,0,0,0,0,0,66,0,0,0,0,50,213,0,0,0,0,0,0,564,0,0,15,121,94,0,0,0,0,0,9,0,0,0,0,104,0,0,0,0,0,0,809,0,0,16,314,0,0,0,0,0,54,0,0,0,0,844,0,233,40,195,27,9,0,0,0,0,364,837,366,2522,2,1658,20,0,0,1228,515,142,37,1267,129,0,181,669,0,452,0,0,0,0,452,0,29,0,0,0,0,54,0,2,400,0,0,0,0,0,0,33,0,0,0,0,7,108,5,0,3728,0,0,0,0,0,0,13,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNR,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,18,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,163,0,2,0,0,0,7,1091,562,125,1137,0,180,0,481,0,49,0,0,0,0,0,54,0,0,3,0,0,42,0,0,0,0,371,1,36,3,0,52,0,1,12,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,750,0,476,20,0,0,0,0,0,0,242,0,0,493,71,182,20,384,87,73,11,0,0,0,0,805,368,1889,439,3127,0,0,101,1193,0,0,161,1536,0,0,149,1263,213,405,0,0,0,0,0,0,485,0,100,13,0,0,0,30,361,0,0,0,106,0,0,0,0,0,0,0,0,66,98,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,162,0,193,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
