neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AQR,38,34,0,0,16,0,2,26,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,23,12,20,0,0,0,0,0,0,720,917,1602,63,123,18,8,32,20,120,108,0,0,0,0,10,0,0,0,0,120,14,2,0,49,0,8,495,70,47,0,3,69,91,409,0,0,64,125,0,0,228,128,15,3,874,728,768,902,456,62,0,5,162,72,0,0,1757,2732,3235,3577,52,283,82,45,1,15,80,20,146,96,3,14,5,0,81,1363,0,0,0,0,2,97,92,142,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,47,77,240,475,377,1041,586,89,103,25,3,0,0,31,8,0,0,0,10,333,630,78,47,0,0,0,1152,910,87,111,38,0,0,0,0,311,9,0,0,0,0,81,602,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,704,461,1422,7,227,2665,0,0,0,0,0,0,305,829,0,493,0,228,413,520,0,856,0,0,188,0,3883,45,1287,101,2093,582,295,17,0,0,0,0,83,73,130,0,0,5,23,0,54,0,0,0,0,0,0,0,90,0,0,0,69,0,77,1,53,0,0,196,0,1687,428,1698,209,1648,211,1050,1049,446,278,0,40,3,0,1,90,0,0,4,9,31,0,0,0,0,0,0,0,3,56,3,0,123,0,0,0,40,1,0,214,0,312,0,58,0,78,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,407,48,175,19,30,15,1,0,0,0,0,56,0,0,0,0,0,11,294,0,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,67,476,14,892,2566,456,0,0,0,0,3,305,0,196,808,17,278,458,319,0,402,0,821,145,47,0,300,2767,314,1334,456,1734,0,131,3,0,0,2,1,51,14,0,0,28,14,76,6,132,0,0,0,0,0,98,0,0,0,23,9,1,0,82,101,0,0,0,108,317,914,288,1286,142,1186,1274,1016,311,431,31,0,0,4,60,3,0,0,3,36,0,8,0,0,0,1,0,0,86,0,46,41,2,152,0,0,36,0,1,5,116,208,11,34,79,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,28,5,0,0,32,0,12,0,0,0,0,0,4,301,155,43,54,1,2,0,0,0,1,0,121,0,0,0,0,0,0,401,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,132,0,0,0,0,0,0,0,0,0,0,829,196,0,0,36,0,5209,0,2870,0,1255,0,0,0,0,288,0,7,0,1870,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,1724,0,245,0,0,42,105,0,223,0,0,0,71,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,7,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3894,0,141,0,0,0,0,0,0,0,0,0,149,0,0,0,0,2,197,0,219,0,36,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,87,0,0,0,0,0,0,0,0,0,0,808,0,0,0,51,0,4239,0,3325,0,1236,0,0,0,0,609,0,29,1100,1621,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1403,0,259,210,0,0,160,0,292,0,0,0,31,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,136,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3926,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,17,0,245,0,154,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1248,0,846,0,0,0,75,0,0,0,4,493,17,36,0,0,381,6,0,73,0,285,9,0,0,25,2197,115,1646,1,36,0,0,0,0,0,0,0,0,26,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,46,0,0,0,703,0,57,0,51,0,2065,0,1189,1,512,0,0,0,63,20,346,40,1046,0,894,17,507,1237,76,0,913,1315,2134,37,149,0,52,0,0,0,0,0,1,0,3464,17,0,0,224,121,1,1959,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,27,10,5,0,292,0,0,13,0,0,0,0,0,0,0,0,935,5,0,542,676,184,355,0,0,0,17,0,7,0,0,0,119,160,449,0,97,2,309,114,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,1180,0,899,0,0,0,47,0,18,1,0,278,0,51,381,0,0,3,0,0,25,535,0,0,38,9,2375,62,1622,0,1,0,0,0,0,0,0,144,0,1,0,0,0,0,0,37,0,0,0,2,0,0,0,0,0,0,0,1,0,812,0,317,0,46,0,1985,8,1380,0,462,0,0,0,48,8,322,0,911,6,883,1290,420,0,42,1783,343,393,1716,14,25,0,83,0,0,0,78,0,0,2,3402,0,0,60,0,79,0,2169,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,103,0,5,18,0,25,0,444,20,0,26,0,0,0,0,0,0,0,0,1220,0,1347,56,375,106,0,0,0,0,8,0,5,0,0,90,2,10,548,0,239,0,134,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,125,0,1103,0,54,0,0,0,0,0,0,228,458,5209,0,6,0,0,70,1050,0,738,0,0,0,0,720,0,393,0,1442,1512,0,0,0,0,0,68,0,60,0,0,0,25,0,100,0,54,0,0,0,0,0,72,64,0,0,25,0,32,0,82,0,0,0,5,0,640,0,334,0,200,99,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,119,0,14,0,0,0,41,11,0,0,0,0,73,0,98,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,55,0,0,0,0,0,43,0,305,0,0,0,0,0,0,0,12,0,183,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,64,13,1337,48,254,0,0,0,0,0,413,319,0,4239,0,3,70,0,0,1037,0,296,0,0,0,0,499,0,495,1441,2219,33,0,0,0,0,0,48,0,100,0,0,0,45,0,100,0,0,0,0,0,0,31,80,0,0,0,58,0,23,0,72,0,0,0,0,68,608,5,165,828,140,0,52,0,84,0,18,0,5,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,29,0,88,0,6,0,0,0,0,29,0,5,0,0,47,0,125,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,3,0,99,0,0,0,0,0,34,485,0,0,0,0,0,0,0,0,24,0,285,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,96,0,191,0,0,0,73,0,17,0,0,520,0,2870,0,73,0,1050,0,0,488,4452,50,2,0,0,865,0,542,0,8,0,0,0,0,0,0,52,0,181,0,0,0,149,0,117,0,0,0,0,0,0,0,117,53,0,0,196,0,110,0,75,0,0,0,0,0,556,0,0,0,191,0,0,0,2,0,36,0,0,0,220,0,9,0,211,0,101,0,0,0,0,0,0,0,0,0,38,0,30,0,0,0,2,0,0,327,0,0,65,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,146,0,0,0,15,204,0,0,7,0,0,70,0,0,0,74,0,2025,25,1109,1256,138,552,0,0,0,0,23,0,171,0,0,0,0,0,5205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,186,20,97,0,0,0,107,0,30,0,0,402,0,3325,0,0,0,1037,488,0,158,3806,0,4,0,0,770,0,476,0,68,0,0,0,0,0,0,90,0,125,0,0,0,39,0,73,0,0,0,0,0,0,63,0,0,13,0,150,0,232,0,130,0,0,0,0,0,443,0,39,9,0,0,0,0,0,0,0,0,0,0,147,0,218,0,147,0,125,0,0,0,0,0,0,0,0,0,57,0,6,0,0,0,0,0,0,618,0,0,68,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,127,0,0,0,0,0,0,167,23,0,0,0,0,36,0,0,0,0,85,2478,1409,374,1471,0,208,0,0,0,0,53,0,303,0,0,0,0,44,5297,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,2923,0,24,0,0,0,0,0,0,856,0,1255,0,285,25,738,0,4452,158,0,806,0,0,0,1186,45,205,0,449,0,0,0,0,0,0,39,0,181,0,0,0,52,0,64,0,0,0,0,0,0,0,0,71,0,0,7,0,16,0,53,0,0,0,425,0,3251,133,514,0,253,0,0,0,1,0,3,0,0,0,0,38,0,0,4,12,818,25,0,0,0,0,0,0,0,0,45,0,219,0,0,0,0,12,0,2355,0,0,59,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0,1947,0,2771,352,1069,68,0,0,0,0,0,0,166,0,0,0,0,45,4954,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,0,631,2561,0,31,0,81,0,0,0,0,821,0,1236,9,535,0,296,50,3806,806,0,0,0,0,18,629,0,131,15,250,0,0,0,0,0,0,46,0,225,0,0,0,145,0,123,0,0,0,0,0,0,59,0,0,31,0,155,0,4,0,209,0,0,0,384,56,3442,0,739,10,0,0,0,0,6,0,0,0,0,109,170,0,0,15,571,57,481,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,9,0,1862,0,0,133,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,37,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,1912,2897,108,54,0,169,0,0,0,0,0,0,156,0,0,0,0,77,4982,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,1257,301,0,0,3776,140,0,0,0,0,23,0,145,0,0,0,0,0,0,2,0,0,0,0,216,0,23,0,210,41,28,0,414,1094,276,0,0,456,0,1660,0,0,0,2,0,42,0,466,0,0,0,0,0,3,9,0,0,4,0,2469,0,146,0,187,0,0,0,16,0,156,66,313,2815,1639,0,453,1,409,0,1,31,46,218,676,0,0,0,0,0,0,0,0,8,0,0,653,0,2100,0,0,0,13,3,80,95,64,0,0,277,204,0,25,0,0,0,203,0,0,0,0,0,0,0,0,0,0,214,4,0,0,0,0,0,0,0,134,173,14,0,0,0,0,0,0,0,64,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,120,0,72,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,0,1188,0,0,0,3580,0,0,0,0,12,188,47,0,0,0,0,0,0,0,4,0,0,216,0,0,0,2,0,124,126,74,915,454,130,0,0,0,253,0,1159,0,0,0,0,0,46,0,141,0,0,0,0,0,34,0,0,0,0,0,2450,0,189,0,270,0,0,0,1,86,110,2225,648,0,1890,12,346,0,719,0,67,316,76,0,834,0,0,0,0,0,0,0,67,0,0,0,615,133,2183,0,0,16,187,36,2,148,0,0,229,0,171,0,43,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,188,8,18,0,0,0,0,0,0,0,66,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,216,0,7,0,0,0,0,0,0,0,0,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,0,0,0,1862,1643,0,0,20,0,0,0,0,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,498,850,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,208,10,0,0,0,0,0,0,0,0,1,100,0,13,0,0,0,0,91,187,0,3,60,2,779,803,1544,1114,11,58,2228,2284,650,580,2639,2167,381,287,1565,0,0,0,0,0,363,412,0,1,10,30,39,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,4,0,0,78,595,0,5,6,23,181,86,0,0,0,0,0,0,0,3,0,2,0,103,8,157,654,0,7,0,0,0,241,115,0,1493,2247,2068,0,107,40,211,383,214,287,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
