neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RICRp,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASJR,0,10,104,26,0,0,0,128,0,119,0,0,337,0,2525,0,0,0,691,380,0,39,3281,0,8,0,0,177,0,189,0,9,0,0,0,0,0,0,98,0,182,0,0,0,62,0,166,0,0,0,0,1,0,89,0,0,0,0,93,0,191,101,0,0,0,0,0,83,596,0,0,0,49,0,0,0,0,0,0,0,0,0,168,0,44,0,147,0,146,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,4,275,0,0,51,0,109,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,107,0,0,0,14,0,0,0,43,0,0,0,0,53,0,0,0,66,49,1702,1074,144,1981,0,237,0,0,0,0,9,0,228,0,0,0,0,146,4103,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,2347,18,71,0,166,0,0,0,0,985,0,936,0,258,0,381,0,3220,39,0,313,0,0,0,694,0,50,0,387,5,0,0,0,0,0,2,0,83,0,0,0,73,0,82,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,67,0,0,203,0,3045,20,718,0,190,4,0,0,3,0,0,0,0,0,93,18,0,0,369,70,370,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,6,0,1530,0,0,32,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1019,0,2520,428,92,34,0,0,0,0,0,0,47,0,0,0,0,27,4107,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,0,192,1879,0,7,0,0,0,1,0,0,617,0,560,0,389,0,384,158,3281,313,0,0,0,0,0,365,0,0,0,366,0,0,0,0,0,0,28,0,45,0,0,0,40,0,108,0,0,0,0,0,0,77,0,0,0,0,14,0,41,76,0,0,0,0,79,69,3259,0,500,0,248,0,0,0,3,0,0,0,0,23,26,0,0,16,526,0,256,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,26,1965,0,0,45,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,4,0,0,0,0,28,0,0,0,0,0,1285,1991,152,633,0,0,0,0,0,0,0,0,40,0,0,1,0,37,4375,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,1381,25,0,0,2922,0,0,0,0,0,30,34,814,0,0,0,9,4,0,0,0,0,0,0,148,0,13,0,362,60,7,0,341,441,221,0,0,227,0,1351,0,0,0,10,0,15,0,112,0,0,0,0,0,6,0,0,0,0,0,1770,0,0,101,117,0,0,1,39,0,172,50,348,2168,1257,0,153,15,432,0,20,0,0,275,444,0,0,0,0,0,0,0,0,0,0,0,589,0,1577,66,0,54,5,0,73,76,0,2,0,263,92,0,5,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119,0,1,0,0,0,0,0,0,0,66,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,68,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,298,1564,0,0,322,2755,0,0,0,0,8,169,118,0,0,0,1,0,19,0,8,0,0,148,0,8,0,0,0,255,48,29,485,412,297,0,0,0,172,0,889,0,0,0,0,0,63,0,160,0,0,0,0,0,21,0,0,0,0,0,1795,133,0,0,263,0,3,0,0,135,167,2926,465,3,1183,16,279,0,512,1,0,11,88,0,441,0,0,0,0,0,0,0,7,0,0,0,471,65,1602,0,4,0,28,8,0,105,0,0,160,0,131,0,44,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,23,19,0,3,0,0,0,0,0,56,0,66,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,117,0,145,0,0,0,0,0,0,0,0,0,105,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,64,0,0,0,0,974,1700,0,0,4,0,0,0,0,48,70,0,0,0,0,0,0,0,8,0,5,22,0,0,0,0,0,0,21,654,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,213,0,0,0,0,0,0,0,0,12,58,0,3,0,0,0,0,58,39,0,0,0,0,409,613,564,946,0,5,1567,1316,574,376,2133,1743,125,66,1561,0,0,0,0,0,185,57,1,2,126,135,108,101,77,0,0,0,0,0,0,0,0,0,12,0,1,15,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,187,478,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,11,82,0,0,0,0,0,150,264,0,1584,1516,982,0,0,17,17,146,249,217,36,7,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,103,0,0,5,0,56,0,34,106,5,0,118,0,324,0,254
AWAL,1451,0,1503,0,1173,0,0,0,0,0,4,3306,64,586,0,1095,311,495,0,393,0,694,0,13,0,5,0,118,6743,80,543,168,0,1,81,0,0,0,0,65,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,25,0,0,164,0,1186,23,336,6,0,8,1355,0,972,0,6,0,10,0,0,0,0,0,44,394,210,113,6,0,28,0,0,0,0,0,19,0,732,75,0,0,0,0,0,944,0,110,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,433,0,79,1125,210,0,210,0,0,0,0,0,0,0,0,0,0,111,1309,33,0,27,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,1397,0,1351,0,1026,0,0,0,0,9,20,3171,0,500,0,1551,0,595,0,177,0,365,0,0,22,118,0,46,5904,39,357,0,0,88,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,14,0,53,49,834,0,159,1,0,0,1121,0,913,0,29,0,99,44,0,0,0,555,247,228,294,0,66,0,659,0,0,0,0,0,60,0,2004,0,0,0,0,4,0,1117,183,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,0,0,0,0,0,0,0,0,9,0,632,107,616,273,229,0,0,0,0,0,0,0,0,0,0,0,8,0,775,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,2553,2,1301,0,346,0,0,0,0,0,0,1431,170,2,0,1464,82,278,0,229,0,50,0,362,0,0,6743,46,0,243,130,0,0,0,170,0,0,0,0,70,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,13,0,0,1,0,0,763,0,959,22,243,109,0,0,699,0,750,1,109,0,3,0,0,0,0,0,245,287,0,0,0,0,31,0,0,0,58,0,255,0,486,118,0,0,0,5,0,342,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,102,0,4,33,365,0,276,0,968,0,0,0,0,0,0,0,0,0,0,0,1853,0,2,983,636,0,400,0,0,0,0,0,0,0,0,0,0,0,167,0,0,267,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,37,3431,0,1219,0,633,0,0,0,1,62,0,1193,0,0,0,1354,0,333,0,189,0,0,60,255,0,80,5904,243,0,0,73,0,0,178,0,0,0,0,0,2,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,255,0,0,0,55,0,936,119,452,25,0,0,0,0,819,0,1003,0,136,7,46,62,2,0,0,662,223,0,0,0,368,0,29,0,0,0,73,0,411,0,1323,0,0,0,0,6,5,172,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,0,463,2,0,0,0,0,0,0,0,0,0,0,1415,0,576,308,496,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,47,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,10,32,1162,158,330,706,0,0,0,0,0,1853,329,1767,1667,0,0,1414,1468,3,0,387,0,7,48,0,543,39,130,0,0,2568,233,6,0,0,0,4,21,7,69,0,0,4,18,25,8,0,0,0,0,0,0,0,9,0,0,0,21,0,5,22,20,0,0,69,14,1533,870,916,166,491,70,814,964,284,341,0,0,0,0,0,4,0,0,22,1,0,0,0,0,0,0,0,0,1,39,41,21,0,0,0,0,10,19,0,0,1,139,9,16,1,59,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,267,128,139,0,0,0,0,0,0,0,0,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,7,4,239,1002,573,640,0,0,0,0,0,186,1541,1064,1056,0,6,1659,1657,0,9,5,366,0,29,0,168,357,0,73,2568,0,54,447,0,0,0,56,53,21,26,0,0,16,17,81,13,0,0,0,0,0,0,10,22,0,0,1,2,0,4,45,136,0,0,3,19,435,1102,223,632,155,550,1185,1104,228,180,0,0,0,0,0,0,0,0,22,49,0,0,0,0,0,0,0,0,4,6,0,39,0,0,0,0,39,0,25,0,8,106,53,35,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,36,16,0,0,0,0,0,282,46,0,0,0,0,0,0,0,0,0,43,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,34,0,0,0,539,0,0,0,0,575,275,0,0,234,0,0,0,199,0,0,0,0,341,485,0,0,0,0,0,233,54,0,1054,176,0,0,148,27,65,158,0,77,0,0,117,2,0,90,0,0,0,115,83,25,0,0,0,0,0,269,3,14,0,47,0,0,0,0,361,0,940,114,79,550,5,180,69,722,207,14,704,503,1,702,9,0,0,0,0,491,0,0,0,42,0,507,310,987,0,0,0,835,143,0,0,0,0,570,81,6,0,0,0,3,112,74,0,0,0,0,23,0,0,0,0,0,0,457,78,0,3,96,16,48,55,66,65,69,3,9,0,0,0,0,55,7,21,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,10,0,0,196,307,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,0,0,0,0,200,5,0,0,0,0,893,0,513,23,0,0,0,199,0,0,0,0,0,441,412,0,1,0,0,0,6,447,1054,0,162,0,0,63,99,36,38,260,0,0,0,43,143,53,0,0,0,50,0,50,188,0,0,0,0,137,41,147,0,99,0,0,0,4,0,0,271,285,1100,399,134,137,0,559,115,5,122,193,644,605,152,0,0,0,0,12,27,36,0,0,134,450,0,975,328,0,0,814,123,64,129,2,0,0,293,3,77,0,14,6,0,97,243,0,0,0,0,0,46,0,0,0,0,642,75,0,0,567,18,0,71,106,70,91,29,13,9,0,0,0,0,18,78,0,41,39,0,0,0,0,0,0,0,0,0,0,61,75,4,0,20,335,0,236,0,0,0,0,0,2,0,0,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,277,154,9,0,35,0,18,0,0,0,1205,16,4,0,0,0,0,0,0,0,0,0,0,221,297,21,81,88,170,178,0,0,176,162,0,289,18,41,61,133,96,240,225,0,0,0,0,0,29,31,0,64,109,77,38,271,336,0,37,26,150,197,133,93,301,349,325,0,0,134,107,0,0,178,128,454,394,219,209,187,336,500,643,779,544,18,13,1,0,260,440,1152,791,0,0,0,32,58,105,97,143,11,43,91,87,260,51,0,421,0,0,0,0,40,85,16,22,0,0,0,0,11,11,0,0,0,0,0,4,52,5,214,568,925,755,307,421,824,959,380,276,86,114,0,0,15,156,0,0,87,92,82,1,10,0,0,3,11,866,657,70,61,0,0,4,0,0,15,0,0,60,0,0,164,98,40,968,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,289,0,13911,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,305,2537,1178,0,0,0,0,0,0,0,0,1507,0,4,0,0,579,0,0,115,0,0,0,244,2342,61,675,0,774,0,207,0,333,100,0,1509,0,1,0,0,0,78,0,0,0,39,0,344,25,151,250,0,199,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,921,0,0,0,18,0,77,0,0,0,118,5,388,6,20,0,0,0,0,63,0,0,0,0,1884,1193,0,0,0,5,49,0,155,40,15,0,0,0,0,0,32,0,0,230,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,18,13911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,461,0,0,0,0,0,0,0,0,12,0,0,0,0,118,0,0,70,60,0,119,1425,930,9,246,0,0,0,0,0,0,0,0,2243,742,0,19,0,0,0,0,0,0,0,3,123,291,13,51,453,0,0,0,0,0,0,0,0,0,260,105,0,0,0,0,0,0,0,0,0,0,81,10,0,0,10,226,0,325,0,89,0,438,22,595,0,0,0,0,0,0,0,0,0,0,4587,2907,0,0,0,0,0,433,24,32,44,199,0,0,0,0,251,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,136,0,21,0,84,0,0,0,0,0,5,0,0,85,0,44,0,49,0,2,0,227,0,0,0,0,0,0,4,56,148,63,41,0,0,0,0,257,0,0,0,0,0,1852,0,0,0,0,0,0,0,334,229,0,0,341,0,398,0,0,3750,0,0,161,0,0,0,0,22,57,26,0,0,67,0,264,142,101,28,458,422,187,0,279,80,114,0,0,0,0,0,102,101,0,0,8,0,76,0,297,0,621,4,0,1054,0,0,3604,0,0,0,0,0,165,217,0,104,0,0,106,0,358,363,677,372,0,29,2,91,102,0,0,0,121,95,67,175,162,100,0,0,154,2,47,97,4398,0,0,0,0,0,58,0,111,124,17,382,0,14,0,118,1586,0,0,0,333,121,255,33,0,0,69,146,73,146,25,0,0,174,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,0,0,139,0,30,0,0,0,0,17,34,0,0,0,0,85,0,57,0,98,0,28,0,172,0,0,0,0,0,21,53,27,99,61,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,132,137,298,0,0,0,0,0,839,2591,0,0,0,0,352,0,3,110,0,86,46,0,16,0,219,0,241,270,137,554,269,0,203,350,158,0,193,0,202,0,0,177,84,0,0,0,29,0,66,0,356,565,0,0,0,1200,0,0,3546,0,0,0,0,63,134,95,0,0,0,0,87,302,440,411,350,21,17,1,36,0,24,0,1,0,89,0,2,136,6,0,0,2,32,13,89,0,4034,0,0,0,0,0,41,146,11,131,22,295,0,89,221,0,1894,0,0,387,165,112,16,0,24,0,184,71,0,64,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,679,0,161,0,717,0,2,0,18,0,4,14,38,0,0,0,0,72,0,168,0,83,0,1351,0,0,65,0,70,0,7,21,65,36,133,0,0,257,0,0,0,923,0,1009,0,799,0,757,0,0,0,0,147,0,0,4,0,2442,0,2142,0,0,13,181,0,81,0,6,0,0,94,0,110,591,0,155,0,0,0,0,0,13,28,116,0,2,0,0,0,0,0,241,0,0,1,83,0,273,0,0,0,39,0,710,3,0,67,0,831,0,0,1701,0,259,0,132,0,0,43,4,13,0,0,406,229,1151,378,15,1,0,207,0,0,8,0,7,6,10,62,0,0,173,0,0,8,24,0,352,0,987,0,1283,0,117,0,230,168,119,0,135,0,0,0,5,0,2,0,349,13,0,0,113,0,6,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,841,0,258,0,403,0,0,0,0,3,130,3,0,0,0,18,0,78,0,182,0,45,0,889,0,0,24,0,2,69,26,158,38,96,0,0,0,0,0,0,0,567,0,1038,0,968,0,797,0,0,29,1,0,0,0,7,0,2120,0,2102,0,0,0,122,0,121,0,10,0,4,259,0,0,659,0,325,1,59,0,0,0,27,0,51,12,14,0,0,0,0,0,53,0,0,0,12,0,213,0,202,0,141,716,0,6,0,159,753,0,127,0,1896,0,177,0,138,2,0,11,1,0,0,326,1467,480,474,1,24,146,0,0,0,0,13,0,45,20,116,8,5,0,135,4,0,0,107,0,708,0,851,0,1218,0,561,161,383,668,235,0,0,0,0,0,0,0,5,59,3,0,0,0,131,0,0,5,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,240,0,0,0,0,923,0,0,0,0,0,0,0,2090,0,0,0,434,0,0,0,0,0,0,0,19,0,0,0,2773,0,251,0,0,0,0,223,0,0,0,0,9,0,0,23,2,185,0,115,0,60,0,0,0,0,0,0,0,0,0,83,142,0,71,0,0,0,363,0,498,109,0,1649,0,154,0,0,0,0,3475,0,0,41,59,0,0,0,0,80,617,468,809,414,30,0,93,0,141,0,77,0,89,0,69,121,212,0,6,0,0,0,0,0,0,0,4085,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,800,0,783,0,0,0,0,0,33,105,221,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,3,0,107,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,77,0,225,0,0,0,0,0,567,0,0,0,2,0,0,0,2024,0,0,0,257,0,0,0,0,0,361,0,170,0,0,0,3651,0,129,0,0,0,0,0,0,0,0,0,0,108,3,157,8,675,0,0,0,52,0,0,0,0,143,0,45,34,94,0,71,0,132,0,0,0,358,432,19,60,0,1595,90,0,0,0,0,0,3700,63,0,0,73,0,0,40,0,380,998,485,355,0,45,0,0,0,195,0,118,0,115,250,161,0,20,0,61,0,0,0,0,0,0,0,4387,0,0,0,34,0,0,0,2,0,153,92,264,0,0,0,300,695,0,0,0,0,0,0,61,68,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,13,0,0,0,0,0,0
OLLL,0,0,127,0,85,0,24,0,173,0,0,14,4,0,0,0,0,76,0,48,0,73,0,10,0,0,18,0,17,0,4,16,0,0,0,0,0,0,0,1009,0,0,0,0,211,494,0,718,0,0,0,1,277,0,26,0,0,1497,0,421,0,0,303,302,0,3,0,0,0,0,79,0,65,23,0,0,0,0,11,0,0,122,0,0,1708,73,0,0,0,0,0,0,0,0,88,59,0,546,1,0,0,362,0,0,13,12,0,0,0,1419,10,1016,0,1580,67,0,0,509,101,37,140,554,33,349,273,0,56,148,7,0,24,0,58,95,0,0,159,24,0,0,3,71,0,52,442,88,294,81,0,52,9,48,0,11,0,79,62,32,0,0,0,37,0,751,0,663,0,73,0,0,0,39,0,6,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLLR,0,0,0,150,0,83,0,5,0,296,32,9,4,0,0,0,0,0,54,0,62,0,40,0,0,0,0,4,0,0,18,17,0,0,0,0,0,0,0,0,1038,0,2,211,0,0,397,0,916,0,0,399,0,16,0,0,4,0,1511,0,459,239,0,0,349,0,71,0,2,79,1,43,11,0,30,0,0,0,0,0,0,0,132,1828,0,0,86,0,0,0,0,0,0,0,9,0,42,1,513,0,0,0,405,28,9,16,0,0,0,88,1324,0,959,36,1428,0,0,83,611,118,11,0,454,92,3,213,217,13,276,46,0,16,0,0,74,78,0,56,66,59,0,0,0,396,7,325,42,0,116,0,113,0,82,0,28,59,8,73,0,0,0,7,9,0,742,0,621,37,0,0,0,0,13,0,2,29,0,31,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDL,0,0,305,0,0,0,0,0,99,0,0,0,0,0,0,28,0,212,0,91,0,82,0,15,0,0,3,0,0,0,25,81,117,43,0,0,0,1852,0,799,0,0,0,494,0,0,0,0,0,0,0,0,0,0,6,0,0,132,0,11,0,0,2362,0,0,8,0,4,0,1,4,31,80,0,0,8,0,55,0,0,0,24,247,0,521,48,0,1,0,0,0,0,0,175,68,4,1,267,0,7,0,215,0,353,0,0,349,0,0,2187,0,0,0,0,0,0,0,171,572,17,53,213,64,208,186,44,215,0,1,347,218,0,264,0,0,0,0,894,0,0,886,0,0,0,17,0,0,956,0,0,0,0,0,143,0,148,99,110,168,0,0,0,11,792,0,0,0,47,3,2,0,90,0,140,185,233,0,0,0,0,0,0,0,0,0,7,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,0,0,217,0,2,0,0,0,144,0,1,0,0,0,0,0,0,181,0,166,0,108,0,63,0,0,0,0,0,8,13,2,143,0,0,0,0,2218,0,968,0,0,0,397,0,0,0,0,0,0,0,134,0,0,0,0,0,142,0,0,2020,0,0,0,0,0,0,82,21,0,186,235,0,0,0,16,0,0,0,3,182,1,405,0,0,24,0,32,0,0,0,0,348,24,0,10,0,153,0,9,0,169,271,0,0,0,525,0,0,2354,0,0,0,0,0,0,570,189,31,29,66,270,213,37,283,136,0,0,118,173,507,0,0,0,1,0,0,1028,838,0,0,0,36,0,0,0,0,703,0,0,0,0,0,148,141,33,176,0,169,0,0,0,0,810,0,0,66,43,18,0,0,48,281,147,285,80,9,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,109,0,0,0,21,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,757,0,2090,0,718,0,0,0,0,0,486,0,0,0,0,0,0,0,262,0,301,0,0,0,2161,0,148,0,0,0,0,1,0,138,0,0,0,0,0,0,0,13,0,151,0,333,0,173,0,0,76,0,239,0,0,164,38,39,304,0,0,0,348,0,425,0,0,476,0,92,0,0,0,0,2166,0,0,7,205,0,0,34,0,679,239,498,0,233,0,124,366,0,0,0,188,0,1345,0,0,16,0,0,634,0,0,0,0,0,0,0,1146,0,0,0,231,0,0,0,0,0,132,280,0,203,0,0,706,0,143,0,0,0,0,0,198,76,272,67,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0
OLQVR,0,185,0,48,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,19,0,0,90,0,29,0,0,0,0,0,797,0,2024,0,916,0,0,0,0,0,226,0,0,0,0,0,0,0,786,0,230,0,0,0,2237,0,351,0,0,16,0,15,0,0,0,0,25,0,0,33,18,214,0,254,0,146,0,0,0,0,107,0,203,45,244,19,70,0,448,0,0,0,269,396,0,0,0,695,128,0,0,0,0,0,2229,0,0,0,257,10,0,731,0,71,13,503,102,19,7,0,457,0,0,0,182,0,1376,14,13,0,35,0,665,0,0,0,0,0,0,0,1317,0,0,0,176,0,0,0,154,0,0,162,150,0,0,0,550,60,0,0,0,0,0,1,222,224,0,93,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,80,0,69,0,9
