neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RICRp,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AQR,8,143,26,0,19,0,10,6,0,96,0,0,5,0,0,0,87,0,0,0,0,0,0,30,8,4,4,9,0,62,0,0,575,893,1205,3,135,0,17,4,3,0,52,0,32,0,0,17,16,0,0,20,0,2,0,0,4,0,9,441,618,0,16,17,21,92,439,0,0,132,57,0,0,103,72,0,0,607,651,429,595,9,226,93,0,109,548,272,436,2219,1069,2788,2691,11,109,111,95,20,0,30,185,151,178,0,6,30,0,21,870,0,24,0,0,0,45,39,7,18,0,0,0,0,0,0,0,0,0,0,0,137,0,28,123,68,388,183,166,217,291,26,31,2,2,44,0,0,0,0,5,0,55,206,282,22,249,0,13,80,999,1327,115,141,49,0,62,0,0,223,297,529,334,0,0,180,0,0,1219,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,270,62,1060,0,225,2471,0,0,0,0,0,0,219,540,30,660,0,274,558,524,0,985,0,34,169,0,3306,20,1431,0,1853,186,275,0,16,0,0,0,34,14,130,0,0,14,9,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,58,36,0,0,0,393,0,1179,313,1492,60,1251,348,834,992,282,341,0,4,0,0,0,13,0,16,26,3,0,0,0,0,0,0,0,0,0,59,0,6,67,0,0,0,0,0,0,16,0,233,0,36,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,191,0,112,115,0,0,1,0,0,0,0,8,1,0,0,0,0,0,540,0,0,39,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,359,294,22,1076,2330,301,0,0,0,0,5,219,0,0,399,0,223,453,219,0,337,0,617,814,118,0,64,3171,170,1193,329,1541,0,513,4,0,0,5,0,38,3,0,0,4,4,0,0,0,0,0,0,0,0,119,0,0,0,0,0,26,10,0,0,1,0,0,63,329,942,103,1035,42,1428,1115,839,280,370,21,0,0,0,4,0,0,0,23,115,59,3,0,0,0,0,0,0,67,0,22,47,0,88,0,0,8,0,2,0,350,335,3,0,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,21,361,41,19,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,435,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,91,0,23,0,7,0,0,0,0,0,0,540,0,0,0,0,0,4073,0,1817,0,936,0,0,0,0,586,0,2,0,1767,1064,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,373,0,48,45,137,0,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,0,18,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,36,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,112,0,0,0,52,0,0,0,0,0,30,399,0,0,0,11,0,2807,0,2525,0,560,0,0,0,0,500,0,0,1667,1056,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1262,0,156,35,43,0,211,0,268,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908,327,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,25,0,0,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,615,0,1122,0,0,0,32,0,0,0,0,660,0,0,0,0,306,1,0,31,0,258,0,0,0,48,1095,0,1464,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,170,0,0,2578,0,1182,0,500,0,0,0,28,0,221,0,500,83,464,18,366,857,46,0,542,1342,1557,220,16,0,246,0,0,0,15,0,0,0,2913,263,0,0,38,176,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,927,0,0,591,580,153,672,0,0,0,0,0,17,0,0,40,1,191,690,0,131,117,0,511,6,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,12,934,0,673,0,3,0,253,0,0,87,0,223,0,11,306,0,0,0,0,0,0,389,9,1,70,311,1551,82,1354,0,6,0,0,0,0,0,0,85,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,56,0,0,26,0,1546,9,1290,26,383,0,0,0,87,18,400,0,501,35,1009,969,172,0,0,814,886,558,1519,1,11,82,362,5,0,0,8,0,2,11,2384,0,0,0,0,159,52,1971,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,3,0,0,0,0,356,3,0,0,0,0,0,0,0,0,0,0,667,0,180,13,112,34,0,0,0,0,0,0,0,0,54,148,313,2,205,0,189,223,0,18,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,0,0,909,11,323,0,0,0,0,0,0,274,453,4073,0,1,0,0,35,957,0,381,0,4,0,0,495,0,278,0,1414,1659,0,199,0,0,0,44,0,72,0,0,0,76,0,212,0,0,0,0,0,0,0,63,0,0,0,40,0,141,0,0,109,0,0,6,0,557,8,188,0,219,891,123,1,23,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,45,0,41,0,0,0,0,0,10,4,0,0,0,0,54,0,117,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,19,0,279,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,0,0,793,0,489,0,0,0,0,0,558,219,0,2807,0,0,35,0,0,691,0,384,0,19,0,0,595,0,333,1468,1657,199,0,0,0,0,0,57,0,78,0,0,0,54,0,181,0,0,0,0,0,0,50,59,0,0,0,43,0,26,104,0,0,0,0,0,0,694,0,125,859,280,0,115,0,5,0,0,0,0,0,4,0,0,0,189,0,0,0,0,0,0,0,0,0,52,0,50,0,0,0,0,0,0,19,0,0,0,0,35,0,65,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,5,255,0,0,0,24,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,0,0,414,0,0,0,60,0,25,0,0,524,0,1817,0,31,0,957,0,0,380,3220,158,0,0,0,393,0,229,0,3,0,0,0,0,0,0,49,0,168,0,0,0,48,0,91,0,0,0,0,0,0,1,0,62,0,0,33,0,28,0,0,118,0,0,2,0,643,4,1,0,6,0,0,0,0,0,0,0,0,0,241,0,47,0,235,0,1,0,0,0,0,0,0,0,0,0,39,0,12,0,0,0,0,0,0,135,0,0,57,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,68,0,0,0,41,6,0,0,0,0,0,36,0,0,0,0,0,1754,5,1119,2047,577,198,0,0,0,0,0,0,171,0,0,0,0,0,4941,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
