neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AUAL,1510,0,0,0,3609,10,0,0,0,181,0,0,0,0,72,0,2,0,0,0,0,90,53,0,179,0,16,58,371,598,141,0,0,106,0,167,0,0,0,51,0,290,0,0,0,0,0,76,0,19,0,1737,0,81,0,84,0,0,0,6,0,36,4,835,2333,1818,78,320,0,180,0,98,0,23,4,923,0,0,0,0,0,0,0,0,0,0,0,470,0,1764,0,0,0,0,0,71,160,0,0,0,156,83,0,86,0,0,0,124,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,173,0,0,0,0,0,0,0,0,0,26,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,104,1228,0,0,12,3210,0,0,72,197,0,1,0,30,0,0,0,0,0,0,90,0,0,23,0,419,142,0,654,301,26,0,0,0,135,0,114,0,0,0,51,0,65,0,166,9,12,6,117,0,72,0,1699,0,93,0,103,13,3,0,2,57,45,1797,456,2,2395,45,550,0,278,0,144,412,425,0,702,0,0,0,0,0,0,0,0,0,1,0,495,435,1576,0,0,0,103,4,6,158,0,0,84,0,56,0,126,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,57,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,1406,0,881,0,0,0,21,0,3166,0,1287,0,3077,154,162,0,1970,0,751,0,53,0,0,251,6776,450,36,0,0,0,0,0,0,0,0,44,0,0,0,0,0,51,0,14,0,0,0,0,0,0,0,262,0,65,0,7,0,49,0,925,167,306,1,0,0,530,0,482,0,0,0,273,0,0,0,8,0,0,0,0,0,0,49,135,23,0,0,0,0,6,0,516,0,0,0,0,0,0,0,0,63,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,1,0,0,4,0,0,3,0,1157,0,0,0,0,0,0,0,0,0,0,0,757,674,442,147,566,0,0,0,0,0,0,0,0,1805,727,8,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,2053,0,2748,0,104,0,0,0,2772,0,639,0,2161,0,532,0,806,0,1009,0,23,251,0,35,7411,8,118,0,0,22,0,0,0,0,0,49,0,0,0,0,0,13,0,91,0,0,0,0,0,0,0,826,0,30,0,48,0,243,0,718,0,403,0,0,0,687,0,338,0,147,4,70,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,122,0,182,0,0,0,0,18,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,31,13,0,0,0,0,50,0,1133,0,0,0,0,0,0,0,0,0,0,0,408,388,1211,0,0,0,0,0,0,0,0,0,0,2103,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,3267,287,187,0,241,0,0,0,3082,99,156,0,987,0,650,0,174,0,403,0,179,0,6776,35,0,510,586,0,0,9,162,0,0,0,0,0,0,0,0,0,0,1,0,146,0,0,0,0,0,0,0,1052,0,6,0,104,0,201,0,812,66,434,102,0,0,995,42,1479,0,0,0,79,63,0,0,0,0,0,0,0,0,0,367,846,397,0,0,0,0,206,0,220,0,0,0,0,43,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,164,0,8,0,0,0,151,0,600,0,0,0,0,0,0,0,0,0,0,0,484,1,20,232,2942,0,0,0,0,0,0,0,0,250,488,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,100,4145,0,974,27,1140,0,3,0,2106,0,14,67,1510,0,519,0,141,0,419,0,419,450,7411,510,0,35,477,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,1203,0,11,0,144,0,259,0,433,119,298,118,0,9,1188,44,729,0,127,225,173,14,0,6,0,69,0,1,0,0,0,4,1326,0,0,0,24,0,272,0,216,0,0,0,0,152,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,220,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,124,10,2862,1,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,58,6,1586,112,850,1478,20,2,968,623,1097,204,0,0,2350,2204,36,0,311,92,16,142,36,8,586,35,0,1445,71,91,0,0,0,1,72,32,29,0,0,64,10,140,75,0,0,0,0,14,50,23,12,9,18,29,37,0,0,0,0,1128,633,709,284,1218,179,659,624,95,74,0,0,0,0,47,21,0,0,12,0,0,0,0,0,0,0,0,0,3,61,102,0,0,0,0,0,0,96,0,0,0,0,94,30,62,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,17,0,0,0,0,0,0,0,0,0,0,22,43,0,0,0,0,28,0,0,0,4,0,0,0,3,12,71,51,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,53,38,111,1518,491,539,0,34,393,1086,0,1235,0,0,1580,3331,0,9,0,273,58,0,0,118,0,477,1445,0,0,2,0,0,0,64,32,55,54,0,0,22,29,214,90,0,0,0,0,16,4,23,101,4,0,79,29,0,0,0,0,503,1784,141,835,53,649,289,730,79,144,17,0,0,0,0,34,0,0,3,2,0,0,0,0,0,0,0,0,15,3,0,2,0,0,0,0,0,0,77,0,0,4,63,37,52,125,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,33,198,0,0,0,0,0,0,1,0,22,0,37,29,0,0,0,0,0,120,1,0,10,0,0,0,9,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,50,0,0,49,231,0,0,95,0,0,0,0,0,0,9,0,0,0,0,371,654,0,0,0,0,71,0,0,1488,221,0,0,76,21,1,3,0,130,0,0,125,15,0,145,76,0,249,85,0,0,46,133,125,0,0,361,0,0,0,39,69,16,1055,295,198,456,8,613,226,239,258,6,747,649,133,915,0,0,0,0,0,0,0,25,0,218,5,623,730,1607,0,0,53,920,63,1,458,0,0,359,52,38,22,0,0,168,113,105,0,0,0,0,0,2,0,0,0,0,24,29,0,15,66,237,135,288,55,16,0,0,0,0,109,28,76,1,0,228,0,0,0,0,0,198,0,6,7,31,0,0,0,304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,294,0,0,0,252,19,0,0,0,73,12,0,0,0,312,0,0,0,0,0,598,301,0,0,9,0,91,2,1488,0,167,0,0,30,91,0,170,223,0,0,32,16,131,279,0,418,0,80,160,0,7,288,1,54,58,273,0,0,0,0,0,60,489,353,791,632,121,507,5,309,69,0,356,1213,725,963,158,0,0,0,0,0,0,187,0,0,3,576,0,1553,343,0,0,896,96,49,227,28,0,0,399,39,116,0,29,77,0,84,105,0,0,0,0,0,0,0,25,0,0,16,18,14,0,72,112,210,251,35,34,0,0,0,0,31,95,11,44,72,0,0,0,0,0,0,0,4,0,1,0,0,33,209,0,465,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,169,280,0,8,0,0,0,109,0,6,0,0,2,136,0,0,0,0,0,0,141,26,0,22,162,141,0,0,221,167,0,0,0,0,0,0,0,94,81,0,0,0,0,10,174,70,62,303,116,29,78,84,55,108,108,66,172,640,424,0,5,332,146,0,0,0,2,538,399,423,79,760,926,1283,753,265,241,404,74,466,109,257,684,1229,1905,427,0,0,0,26,15,53,0,20,27,0,75,182,0,0,1093,0,0,0,0,98,141,8,189,0,0,0,0,17,56,0,0,0,3,762,1022,1615,1660,359,356,1782,1501,222,309,55,117,0,0,242,218,0,0,189,166,7,585,40,0,0,431,863,0,0,0,0,0,0,1,2,28,3,295,267,939,1,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,709,0,0,24,0,0,0,0,0,0,0,989,1580,0,40,0,1944,0,163,0,0,0,0,1007,1160,507,0,0,0,0,0,0,0,0,0,579,108,181,0,0,0,0,29,0,0,0,0,0,0,884,694,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,6,0,92,134,0,0,0,0,0,0,0,0,0,0,3484,9686,0,0,0,0,0,257,411,438,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,92,0,0,0,0,0,0,0,126,0,0,384,1120,446,0,778,1850,0,0,619,0,0,1417,5979,5469,15,0,139,0,0,0,0,0,0,1015,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,220,0,65,0,0,0,0,0,0,0,0,3167,2311,0,0,0,64,0,0,0,0,0,0,0,0,84,0,160,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,5,0,65,0,0,0,0,14,0,0,23,0,35,0,40,0,4,0,106,0,0,0,0,0,1,64,76,30,0,0,0,0,0,228,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,417,0,1330,0,0,0,0,0,0,0,0,0,87,73,12,0,0,0,0,0,36,0,51,41,26,0,72,0,193,0,0,0,0,0,222,0,0,0,28,0,55,0,5,0,516,0,0,2968,54,0,2141,0,0,0,0,0,0,0,0,210,0,0,68,0,548,498,1019,457,0,0,0,0,0,0,36,0,0,210,0,0,0,0,0,0,4387,0,0,0,0,0,15,0,37,30,0,0,0,0,789,0,0,0,0,7,0,8,70,0,0,0,0,100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,0,0,42,0,40,0,0,3,0,0,0,0,0,0,148,0,59,0,3,0,135,0,0,0,0,72,32,21,91,0,0,0,0,0,0,3,0,0,0,0,0,1802,0,0,0,9,0,0,0,0,0,817,0,1164,0,0,0,0,0,40,45,0,55,40,0,17,0,0,0,0,0,0,131,124,0,13,0,71,0,211,0,0,0,0,230,38,0,0,0,21,0,129,0,155,916,0,0,386,2819,0,0,2257,0,0,0,0,0,0,203,0,0,0,0,42,123,574,497,137,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,3575,0,0,0,0,0,19,155,0,96,13,0,7,0,1208,0,0,0,0,8,0,35,0,0,0,0,0,0,0,0,0,0,0,332,31,103,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,0,0,26,0,94,0,2,0,1,73,0,0,6,0,53,0,196,0,73,0,167,0,44,0,0,0,32,55,1,0,0,0,0,228,0,0,0,0,0,2051,0,0,0,2396,0,0,135,0,0,2210,0,474,0,0,0,0,0,138,0,0,0,21,0,9,197,3,0,0,0,3,0,0,0,0,0,454,0,5,18,0,0,0,0,0,0,0,0,0,0,86,0,5,0,0,0,793,0,0,71,0,0,0,0,2010,0,189,0,96,0,0,0,63,164,0,0,813,47,3304,477,0,0,120,0,42,61,78,9,0,3,254,0,0,38,17,0,924,0,841,0,0,0,359,0,67,0,0,0,0,0,0,0,0,0,0,105,0,125,10,0,0,364,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,0,0,253,0,108,0,1,152,1,0,0,0,0,0,51,0,298,0,29,0,114,0,49,0,0,29,54,3,170,0,0,0,0,3,0,0,0,158,0,1893,0,1562,0,747,216,0,0,0,0,2605,0,534,0,2,0,0,0,95,0,0,46,21,90,0,0,66,0,0,0,0,0,0,0,2,0,299,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,941,0,0,0,357,0,0,558,0,1845,0,9,0,46,4,0,100,2,0,8,677,2405,42,583,0,0,0,84,50,0,193,20,1,1,0,368,25,0,0,4,0,885,0,254,0,0,0,124,150,0,0,0,0,0,0,0,0,0,0,0,66,13,86,0,0,0,274,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0
IL2VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,94,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,29,0,0,0,0,0,135,0,0,0,1378,0,322,0,0,0,0,127,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,271,72,3,254,0,0,0,44,0,471,8,0,3090,0,0,0,0,0,0,3758,0,0,0,0,0,0,0,0,87,648,1156,659,341,74,0,229,0,350,0,150,60,148,0,65,0,0,0,0,0,0,0,6638,0,0,0,0,0,0,0,0,0,0,78,0,0,715,0,21,0,0,272,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,81,0,0,0,0,0,158,0,0,0,0,0,0,0,1519,0,61,0,0,0,0,0,239,0,0,0,877,0,59,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,0,46,0,18,0,0,0,99,556,3,3,0,4971,1,0,0,0,0,0,2899,15,0,0,10,0,0,32,0,459,1029,527,711,0,54,0,36,0,103,64,53,0,37,0,26,0,0,0,0,0,0,0,4293,0,0,0,0,0,0,0,24,7,84,0,0,0,228,0,0,0,88,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,49
OLLL,0,0,36,0,0,0,82,0,5,39,0,0,0,0,79,0,57,0,47,0,51,0,0,0,0,0,64,22,0,0,0,0,0,0,0,2051,0,0,0,0,121,654,0,497,0,0,492,0,0,1830,0,75,0,201,0,454,0,2,0,3,0,13,0,73,30,0,0,0,0,0,0,0,0,243,0,6,1695,174,0,0,0,0,0,0,0,0,120,16,3,677,14,0,0,236,0,0,12,0,0,0,4,734,0,1562,0,1016,0,32,0,477,5,63,358,423,71,263,27,355,363,3,26,32,0,4,206,17,3,0,22,148,0,67,470,202,354,0,0,10,0,0,0,167,0,39,2,0,0,0,0,873,0,937,0,0,60,0,2,0,0,129,73,0,0,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLLR,0,0,0,115,0,76,0,113,116,0,0,0,0,0,0,63,0,102,0,41,0,51,0,0,0,0,10,29,0,32,0,0,0,0,0,0,1893,0,0,121,0,0,200,0,446,407,0,0,0,0,1441,0,49,0,94,0,520,0,15,0,1,32,20,52,14,0,9,0,0,0,0,0,0,0,226,1483,1,0,173,0,0,0,0,0,0,0,12,0,28,93,679,0,2,0,193,0,8,0,0,0,0,47,883,0,1765,83,631,0,11,51,417,243,41,25,342,213,345,309,41,17,1,0,18,205,0,2,2,28,0,0,136,440,81,342,38,0,0,0,33,0,0,0,112,151,0,48,0,0,0,0,737,0,874,0,0,30,0,8,0,48,0,33,0,0,0,0,0,0,0,0,79,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0
OLQDL,0,0,108,0,30,0,0,0,6,0,0,0,205,0,220,0,92,0,96,0,290,0,51,0,1,0,140,214,125,16,0,0,0,2017,0,0,0,0,0,654,0,0,0,92,0,0,0,0,0,243,0,262,0,1723,0,0,0,191,0,47,0,30,0,141,121,0,0,0,0,74,0,78,0,392,312,7,405,232,31,2,0,0,0,11,0,13,0,0,0,196,0,20,0,26,0,266,0,0,664,0,0,2687,0,0,0,0,0,0,0,157,502,0,0,203,0,471,302,0,10,0,0,0,0,0,0,538,0,0,1263,0,0,2,0,0,0,1877,0,0,0,0,0,82,0,155,44,0,0,0,0,639,0,0,0,5,40,0,340,620,81,5,0,0,33,47,1,0,0,4,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,0,0,99,0,45,0,0,43,2,0,0,0,53,0,116,0,127,0,88,0,65,0,13,0,0,75,90,15,131,0,0,0,0,1802,0,1562,0,0,0,200,0,0,0,0,0,0,31,0,0,469,0,15,0,2560,0,0,0,291,0,60,0,59,105,92,0,66,0,1,0,274,0,5,258,349,186,0,0,62,0,0,0,0,0,0,69,68,0,0,0,45,0,140,0,141,353,0,0,0,497,0,0,2592,0,0,0,0,1,32,293,258,0,0,27,210,130,22,289,12,0,0,0,0,0,0,0,444,1145,0,0,0,0,90,0,32,0,2106,0,0,0,0,0,257,310,0,205,8,0,60,0,607,0,0,0,0,91,312,608,0,25,0,0,0,0,0,0,0,0,0,0,9,0,39,0,30,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,147,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,146,0,0,0,0,279,10,0,0,0,0,2396,0,1192,0,497,0,92,0,0,0,0,0,0,0,0,0,222,0,0,0,967,0,434,0,0,0,0,9,0,0,0,0,51,0,0,0,61,0,0,253,0,366,0,140,0,0,0,289,188,0,503,101,26,0,130,0,0,0,166,0,735,0,0,506,0,59,15,0,0,0,2119,0,0,0,90,0,4,0,0,376,226,490,0,523,0,0,106,0,273,0,34,117,0,0,850,0,0,0,0,0,11,0,1530,0,0,0,0,0,0,0,128,9,0,72,0,0,996,0,367,0,0,528,178,195,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,973,0,0,0,0,0,0,0,0,0,0
OLQVR,0,81,0,0,0,0,0,25,0,4,0,0,0,7,0,0,0,0,0,0,0,166,0,91,0,193,0,0,145,0,174,0,0,0,0,0,747,0,1519,0,446,0,0,0,0,0,0,0,0,0,428,0,182,0,0,0,1186,0,864,0,0,0,0,0,0,0,17,0,137,0,0,170,34,318,0,508,0,82,0,0,0,0,0,0,88,363,130,3,18,0,373,0,0,0,415,653,0,0,0,614,65,0,0,0,0,0,2405,0,0,0,104,0,0,702,0,6,0,693,297,0,0,0,32,0,522,252,188,0,0,0,607,0,0,0,0,0,0,0,1738,0,0,0,0,0,161,0,1,23,84,0,0,0,711,0,0,0,226,572,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,69,0,1869,0,4365
SAADL,0,0,0,31,0,0,0,1096,0,0,0,0,0,0,0,14,0,53,0,0,0,9,0,0,0,0,0,0,76,418,70,0,0,0,0,0,216,29,0,0,407,0,0,0,0,0,1362,88,926,0,548,0,3,11,107,218,0,525,94,0,0,472,353,0,52,0,0,24,62,365,441,0,24,295,482,212,287,106,369,0,0,0,0,0,17,0,16,120,0,2,0,0,148,1483,294,0,1040,1279,0,0,0,0,0,0,170,52,0,0,1341,372,0,0,0,0,217,0,0,0,0,563,74,101,36,327,3,386,267,689,176,256,215,265,5,42,1268,0,0,8,0,0,0,0,21,15,0,100,140,696,3,0,0,0,0,164,0,0,51,88,5,23,504,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAADR,0,23,0,0,0,0,1567,0,0,0,0,0,7,0,0,0,18,0,0,0,0,12,0,0,0,0,0,0,0,0,62,0,0,0,9,135,0,0,61,492,0,0,0,0,0,1362,0,667,196,550,0,15,17,18,42,0,377,167,511,0,0,588,479,13,0,0,0,43,167,623,523,59,0,279,416,289,19,45,43,0,0,0,152,0,0,0,100,11,56,1,0,144,0,451,1046,43,1594,1278,0,0,58,0,0,227,0,0,126,1310,50,0,235,29,83,244,0,0,0,0,0,118,740,75,46,31,292,335,231,106,608,145,187,29,338,1259,186,0,0,0,23,0,0,25,0,8,208,0,601,157,17,0,0,0,0,0,0,0,11,29,157,68,294,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
SAAVL,2,0,3,0,1,49,0,0,0,2,0,194,0,0,76,0,0,0,0,55,76,6,0,0,0,0,14,16,249,80,303,0,0,0,0,0,0,0,0,0,0,0,31,0,0,88,667,0,1409,46,0,0,0,168,101,0,7,296,1257,11,1,233,102,0,186,0,0,104,30,2045,1069,28,155,179,266,113,75,31,0,0,0,0,5,14,72,0,17,109,62,33,0,0,0,62,314,0,948,1487,0,0,0,0,0,32,0,0,0,745,545,4,10,93,8,123,37,0,0,0,0,311,61,153,75,286,503,285,189,219,274,0,399,328,1263,934,303,0,0,0,0,0,611,0,82,0,0,0,13,137,0,0,0,0,0,0,0,0,33,153,320,53,467,98,0,0,0,281,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAAVR,0,0,0,0,152,20,0,0,53,0,313,0,0,0,0,33,106,0,76,0,0,117,0,0,0,0,50,4,85,160,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,196,1409,0,0,0,0,0,107,118,0,0,929,48,0,0,65,260,96,0,0,0,0,0,1269,2503,32,0,66,270,87,168,8,0,0,0,0,0,82,1,0,0,45,110,0,101,0,0,396,13,0,1257,876,0,0,1,0,0,0,0,0,0,425,731,29,0,191,125,16,136,0,0,0,0,102,799,30,134,460,439,181,109,180,228,355,0,1378,370,363,820,0,0,0,0,946,47,3,0,0,24,3,35,14,0,0,0,0,0,0,0,0,243,157,74,19,155,209,0,0,0,0,0,0,0,0,0,0,187,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URBL,0,0,113,0,0,0,5049,0,0,8,0,0,1,0,10,0,59,0,104,0,19,0,0,0,0,0,23,23,0,0,29,0,0,0,0,2210,0,0,0,1830,0,243,0,0,0,0,550,46,0,0,0,496,0,0,0,0,0,1097,0,0,0,23,0,0,30,0,0,0,0,94,0,159,0,88,495,63,0,102,156,62,0,0,32,0,0,267,1,2,0,0,0,116,0,0,0,0,0,0,0,0,329,0,0,2815,0,0,0,328,0,0,110,80,661,0,0,0,0,448,0,0,170,441,0,409,278,405,122,0,1315,135,0,0,309,81,0,0,0,0,0,0,0,34,0,411,0,0,0,0,0,1539,0,251,0,0,160,0,876,293,111,0,0,0,0,1848,0,630,0,614,687,0,0,0,0,0,0,0,0,0,1672,0,541,0,0,0,0,0,0,0,0,0,0,0,0
URBR,0,0,0,117,0,15,0,2845,31,0,0,0,0,1,0,60,0,55,0,0,0,72,0,0,0,0,12,101,0,7,78,0,0,0,0,0,2605,0,0,0,1441,0,469,0,428,548,0,0,0,0,0,0,422,0,0,0,0,0,172,0,0,21,19,59,0,0,0,0,0,0,0,0,8,811,316,0,122,275,0,0,41,0,0,0,0,172,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,4,0,2348,0,0,0,393,160,1,323,32,0,0,0,453,0,0,8,0,0,999,268,889,358,1021,765,98,0,240,285,0,0,22,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,1764,0,991,0,0,3,822,880,0,0,0,211,0,0,0,0,0,0,0,0,1914,0,740,0,26,0,0,0,0,0,0,0,0,0,0,0,1644,0,108,0,168,0,0
URXL,2008,0,21,0,373,0,709,0,134,0,0,0,651,0,5,0,237,0,43,0,1737,0,262,0,1052,0,9,4,46,288,84,0,0,417,0,474,0,135,0,75,0,262,0,222,0,0,15,0,0,496,0,0,0,394,0,213,0,605,0,6,0,57,183,57,67,522,0,370,0,24,0,186,37,274,17,257,1,254,171,0,0,0,20,630,0,0,114,775,0,451,0,30,0,294,0,11,0,0,0,0,952,38,0,258,0,108,0,0,0,0,1,0,0,1,0,0,0,0,0,0,104,0,0,0,153,0,0,0,0,129,0,0,51,0,0,206,0,294,0,0,0,782,0,619,222,874,0,0,12,1008,0,0,0,184,97,0,141,0,56,1,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
