neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASGL,114,0,0,0,38,0,0,0,803,232,0,0,8,0,1534,0,1060,0,180,0,0,0,1287,0,156,0,1097,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,2814,0,644,0,866,0,210,0,473,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4444,0,0,0,0,0,0,0,0,0,114,0,0,51,0,523,0,431,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,0,0,122,0,0,0,0,0,631,0,0,0,18,0,1748,0,1032,0,20,0,1,0,639,0,14,204,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,3663,0,811,0,415,0,125,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4065,0,0,0,0,0,0,0,0,0,153,0,0,381,0,121,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,306,0,81,0,0,0,58,0,796,0,8,0,0,78,0,0,970,0,1292,0,0,0,3077,0,987,67,0,0,0,0,2,0,0,23,0,6,0,0,0,0,0,205,0,0,0,0,7,0,0,1,0,651,0,122,0,5,0,1721,0,907,0,254,37,0,0,97,0,310,0,299,0,2057,71,233,109,57,0,205,805,470,0,0,1049,979,29,0,0,47,0,0,0,2161,0,0,0,0,224,0,0,0,162,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,11,264,0,19,49,145,57,198,0,1430,0,0,5,0,0,104,0,0,0,0,0,946,307,63,421,1399,0,0,0,13,0,14,0,0,1213,502,59,0,652,12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,435,0,631,0,0,0,134,0,699,0,18,78,0,0,0,0,227,0,995,0,30,154,2161,0,1510,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,53,0,7,0,0,0,0,0,1,0,1113,0,66,0,56,0,1912,0,774,0,323,0,0,0,34,0,262,0,258,322,2557,467,374,0,0,710,113,404,33,68,0,0,1660,0,0,0,31,0,0,1,2307,0,9,0,0,86,0,0,34,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,102,45,0,704,66,82,57,180,0,282,0,1259,2,0,0,0,0,0,0,0,0,0,0,1195,50,2399,181,0,0,0,0,83,0,2,0,0,1578,0,201,0,39,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,10,0,662,0,1290,0,0,0,371,866,1534,0,0,0,0,394,376,0,587,0,72,0,162,0,650,0,2350,1580,0,312,0,0,0,35,0,53,0,0,0,79,0,220,0,0,0,0,0,76,0,10,0,5,0,96,0,0,0,0,0,999,0,386,0,377,1465,246,0,0,0,22,0,0,0,19,0,0,0,176,0,0,0,0,0,0,0,0,0,29,0,17,0,0,0,0,0,0,10,0,0,0,0,90,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,14,385,366,0,827,0,203,1192,315,0,1748,0,0,394,0,0,506,0,530,0,0,0,532,0,519,2204,3331,9,0,0,0,0,0,148,0,51,0,0,0,63,0,116,0,0,14,0,0,33,0,60,0,0,0,48,0,0,0,0,98,691,0,432,345,38,0,1049,0,79,0,0,0,0,0,110,0,0,0,82,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,165,0,0,0,20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,0,0,638,0,0,0,345,0,427,0,1060,0,970,0,376,0,0,628,3025,5,2,0,1970,0,174,0,36,0,0,0,0,0,0,40,0,196,0,0,0,57,0,92,0,0,0,0,18,0,106,59,0,237,0,79,0,0,0,22,0,1394,0,31,0,243,0,0,0,0,0,0,0,0,0,92,0,179,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,203,0,0,0,0,7,0,0,0,0,176,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,31,0,0,0,10,277,0,0,12,0,0,30,0,0,0,0,0,4408,494,1775,14,0,0,0,0,33,0,145,0,0,4075,95,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,0,0,395,0,0,0,385,0,132,0,1032,0,227,0,506,628,0,225,3707,0,0,0,806,0,141,0,9,0,0,0,0,0,0,59,0,298,0,0,0,102,0,127,0,0,53,0,0,0,0,55,0,235,0,166,0,0,0,66,0,1331,0,17,0,170,0,0,0,0,0,22,0,4,0,262,0,79,0,162,0,0,0,0,0,0,0,0,0,0,0,12,0,508,0,0,0,0,21,0,0,0,0,104,0,228,0,0,0,0,29,0,0,0,0,0,0,0,0,0,194,0,0,0,30,0,0,0,13,0,0,244,31,0,0,0,0,118,0,0,0,0,480,4200,1533,0,137,0,0,0,0,67,0,182,0,0,3329,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,3617,0,0,0,112,0,1097,0,180,0,1292,0,587,0,3025,225,0,405,0,0,751,0,403,0,311,0,0,0,0,0,0,4,0,73,0,0,0,47,0,96,0,0,0,0,0,0,76,104,0,43,0,49,0,0,0,468,0,3678,24,1195,0,523,0,0,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1121,0,0,0,0,5,0,0,0,0,183,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,49,0,0,0,0,89,0,0,24,0,0,27,0,0,0,0,0,400,16,1350,0,0,0,0,0,0,0,89,0,0,3700,53,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,1,428,4019,0,4,0,39,0,577,0,20,0,995,0,530,5,3707,405,0,0,0,0,1009,0,419,92,273,0,0,0,0,0,0,3,0,29,0,0,0,41,0,88,0,0,0,0,55,0,0,0,0,27,0,79,0,0,0,242,0,4016,0,1163,0,336,0,8,0,2,0,33,1,48,0,51,0,0,0,27,0,0,0,0,0,130,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,3,0,0,0,0,0,146,9,0,0,0,0,10,0,0,0,0,0,1076,1632,64,3,0,0,0,0,0,0,65,0,0,3765,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
