neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASEL,231,127,1016,29,83,2595,0,0,0,0,0,0,201,1654,0,174,0,191,259,484,0,804,0,28,430,0,3295,42,1928,97,1118,840,98,0,10,0,0,11,22,3,236,0,0,3,37,48,9,0,3,0,0,0,0,0,39,0,0,2,23,0,242,49,7,0,0,94,0,1034,296,1503,253,900,202,797,1051,299,301,0,3,0,0,0,6,0,0,29,45,0,0,0,0,0,0,0,0,0,24,8,0,60,0,0,0,0,0,0,249,0,122,21,3,0,14,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,3,0,0,0,0,10,0,0,0,0,6,34,2,0,0,0,0,861,0,170,31,115,0,1,0,0,0,0,15,0,0,0,0,0,0,490,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,213,731,0,911,1847,368,0,0,0,0,0,201,0,7,1100,0,214,425,172,0,464,0,684,320,69,0,37,3054,65,1184,316,1646,0,151,27,0,0,0,8,138,14,0,0,39,32,0,10,0,0,0,0,0,0,84,0,0,0,28,120,22,7,0,24,0,0,0,100,327,1070,78,1101,6,917,866,942,149,307,35,0,0,2,0,11,0,0,30,42,0,0,0,0,0,0,0,0,55,3,8,5,0,90,0,0,0,0,1,0,31,180,1,13,46,9,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,7,0,9,0,0,1,0,0,0,0,18,708,101,42,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,258,0,0,0,0,0,0,0,0,0,0,1654,7,0,0,7,0,3557,0,3076,0,470,0,0,0,0,557,0,16,0,1353,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,814,0,107,0,110,0,170,0,335,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855,0,204,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,117,0,166,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,9,0,0,0,61,0,0,0,0,0,0,1100,0,0,0,85,0,3741,0,3328,0,869,0,0,0,0,491,0,0,546,1794,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,0,12,0,66,0,305,0,429,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3709,760,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,919,0,1204,0,0,0,0,0,5,0,0,174,0,7,0,0,272,0,0,2,0,183,0,0,0,0,1587,148,1248,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,499,0,25,0,18,0,2222,0,973,1,275,0,0,0,8,0,368,0,636,0,888,16,214,961,10,0,505,1477,1640,280,66,10,170,0,0,0,44,0,0,0,3415,52,0,0,27,116,0,3200,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,26,0,0,67,27,19,0,0,404,0,0,1,0,0,0,0,0,0,0,0,1074,0,0,767,1196,73,556,0,0,0,5,0,0,0,0,2,190,0,449,9,98,0,705,60,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,532,0,875,0,0,0,1,0,0,5,0,214,0,85,272,0,0,0,0,1,0,452,0,0,0,0,1461,58,620,0,5,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,67,0,488,0,135,0,0,0,2423,14,1851,4,303,0,0,0,54,11,388,0,553,33,600,1252,409,0,57,1404,304,540,1965,302,112,11,332,0,0,0,45,0,0,41,3581,0,0,0,0,88,96,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,61,0,0,0,0,509,0,0,0,0,0,1,0,0,0,0,0,1355,0,26,560,754,223,0,0,0,0,0,0,18,0,427,225,0,0,723,22,198,0,13,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,6,0,860,0,336,0,0,0,0,0,0,191,425,3557,0,0,0,0,30,1036,0,709,0,0,0,0,375,0,431,0,1929,939,0,125,0,0,0,66,0,28,0,0,0,41,0,56,0,0,0,0,0,0,0,30,41,0,0,39,0,4,0,67,0,0,0,0,0,584,0,127,0,115,533,199,0,0,0,33,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,43,0,0,0,0,25,0,67,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,0,166,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,53,0,781,0,116,0,0,0,0,0,259,172,0,3741,0,0,30,0,0,844,0,908,0,1,0,0,371,0,713,1771,1635,207,0,0,0,0,0,27,0,37,0,0,0,39,0,92,0,0,0,0,0,0,8,31,0,0,0,55,0,0,0,14,0,0,0,0,0,650,0,158,618,247,0,57,0,25,0,10,0,0,0,2,0,0,0,414,0,0,0,0,0,0,0,0,0,7,0,83,0,0,0,0,0,0,22,0,0,0,0,22,0,18,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,4,124,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,67,0,164,0,0,0,272,0,23,0,0,484,0,3076,0,2,0,1036,0,0,236,2162,0,0,0,0,864,0,924,0,0,0,0,0,0,0,0,45,0,98,0,0,0,24,0,57,0,0,0,0,0,0,3,0,44,0,0,80,0,186,0,79,0,0,0,4,0,732,0,0,0,97,0,0,0,0,0,36,0,0,0,201,0,150,0,130,0,0,18,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,21,0,98,39,0,47,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,46,0,0,0,24,0,0,0,5,0,0,23,0,0,0,12,0,2131,90,1074,417,1851,188,0,0,0,0,19,0,256,0,0,0,6,52,4339,11,0,0,0,0,0,0,85,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,69,0,6,0,0,0,123,0,16,0,0,464,0,3328,0,1,0,844,236,0,90,2234,0,3,0,0,309,0,598,0,2,0,0,0,0,0,0,67,0,79,0,0,0,8,0,27,0,0,0,0,0,0,17,0,0,9,0,61,0,166,0,18,0,0,0,26,41,761,0,5,0,56,0,0,0,0,0,0,0,0,0,189,0,102,0,270,4,256,0,0,0,0,0,0,0,0,0,23,0,138,0,0,0,0,1,11,581,0,0,24,0,64,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,101,0,0,0,53,0,0,0,14,0,0,0,13,0,0,0,0,62,0,0,0,4,0,2254,1035,2001,568,0,328,0,0,0,0,20,0,195,0,0,0,0,1,4109,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
