neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ADFL,0,362,64,0,1171,1,0,0,1106,36,130,0,1817,0,180,0,12,0,130,0,2228,37,2600,0,4468,426,167,30,0,178,140,0,0,26,0,0,0,0,0,0,0,12,0,161,0,0,0,0,0,0,0,2418,0,27,0,122,0,106,2,1101,0,316,31,0,86,1866,17,2707,151,6,0,249,27,20,125,32,19,0,9,0,0,60,0,917,0,0,0,518,0,227,49,570,0,0,0,86,42,5,0,0,1734,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,761,0,103,0,171,0,819,0,1403,0,0,0,0,0,3,0,0,0,0,0,73,0,49,6,2145,0,0,0,0,0,0,0,0,101,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFR,362,0,0,39,0,1401,0,0,165,918,0,14,0,1147,0,234,0,16,0,49,126,1864,0,3370,762,5339,61,82,76,55,351,0,0,0,32,0,0,0,0,0,0,0,4,0,83,0,0,0,0,0,0,0,2133,0,1,0,38,2,169,0,895,17,285,80,14,11,1577,255,2789,0,3,4,409,44,16,20,47,0,0,0,0,0,8,147,907,0,0,0,391,9,260,0,81,0,3,54,35,52,0,0,2129,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,157,0,243,0,179,0,837,0,1208,0,0,0,0,0,0,0,0,0,0,0,4,0,2094,44,0,0,0,0,0,0,0,0,0,230,0,0,296,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLL,64,0,0,290,2,0,214,0,983,145,151,0,932,0,810,0,947,0,3500,430,0,0,2266,0,1281,0,1286,611,0,0,3,0,0,107,0,142,0,0,0,178,0,108,0,88,0,0,0,22,0,135,0,0,0,28,0,106,0,717,0,1680,53,813,6,0,0,39,0,256,0,138,0,19,109,347,455,2,0,354,213,0,0,295,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,213,0,0,0,34,1069,0,0,14,0,0,42,0,0,0,0,0,249,0,1448,98,626,0,0,0,0,0,0,0,0,1184,0,0,0,64,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,39,290,0,0,12,0,162,90,1052,0,277,0,1253,0,456,0,897,0,3134,0,0,0,1876,0,1323,367,1455,0,0,1,0,0,0,53,0,133,0,0,0,96,0,35,0,73,87,0,0,78,0,150,0,0,0,18,0,69,0,545,1,1883,0,1314,20,0,0,16,0,223,0,275,17,57,296,369,0,5,592,363,0,0,0,167,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,200,0,0,0,27,0,0,1009,22,0,0,0,0,60,0,0,0,0,0,69,2468,1171,340,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDL,1171,0,2,0,0,640,0,0,657,2110,33,0,0,0,1531,415,0,0,5,0,3767,0,456,0,573,0,425,1016,37,843,0,0,0,87,0,100,0,0,0,22,0,55,0,0,0,0,0,11,0,1,0,471,0,18,0,0,0,0,0,81,0,311,1,1261,3574,3762,326,696,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,200,0,0,0,0,0,0,0,0,0,0,71,68,0,10,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,1,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,106,0,0,0,2,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDR,1,1401,0,12,640,0,0,0,2753,327,0,89,0,0,0,1345,0,0,0,36,318,4193,0,126,0,826,844,475,904,20,0,0,0,0,30,0,16,0,0,0,0,0,15,0,0,0,0,0,38,0,1,0,647,0,13,0,0,0,0,0,414,5,532,3508,891,206,4221,0,924,0,24,0,0,1,0,0,6,0,0,0,0,0,0,0,18,0,0,0,34,4,292,0,0,0,2,0,0,1,0,0,242,0,31,0,31,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,346,0,0,0,0,0,7,0,17,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALML,0,0,214,0,0,0,0,0,4,0,0,0,211,0,0,0,175,0,8,0,0,0,3,0,0,0,0,0,0,0,166,0,0,0,0,85,0,0,0,32,0,0,0,443,0,0,1154,0,0,2481,0,798,0,0,0,387,0,1120,0,0,0,0,0,108,0,0,0,0,0,6,0,550,151,707,2271,218,0,828,1811,7994,0,2118,0,309,0,1888,0,0,0,0,0,2167,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,4,0,0,1,24,0,0,0,0,0,0,0,0,1172,658,0,0,281,4,1144,0,1038,72,0,38,74,0,2,0,0,20,0,0,0,837,0,92,808,189,0,0,0,437,0,1093,0,0,19,0,331,51,1451,0,360,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,162,0,0,0,0,0,0,0,0,0,256,0,0,0,67,0,8,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,90,0,0,0,11,0,0,0,0,1018,0,0,0,0,2845,0,224,0,7,0,68,0,3028,0,0,0,0,0,257,0,0,0,0,0,52,101,855,1604,1263,0,214,623,973,0,7484,0,2573,0,49,3932,0,0,0,0,0,0,1966,0,0,0,0,0,0,17,0,0,9,0,374,0,0,0,55,109,0,0,0,0,0,0,0,0,0,1395,0,0,1,769,0,178,0,1232,0,0,1,104,0,0,0,0,0,0,0,0,0,0,1031,280,92,723,0,0,0,0,565,0,1946,0,0,101,236,223,0,3,0,655,0,0,0,0,0,0,0,0,0,174,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
ASEL,1106,165,983,90,657,2753,4,0,0,398,1383,0,1064,0,502,691,792,0,927,11,69,279,4290,1,3030,46,1592,212,152,25,0,0,0,5,25,20,30,0,0,3,10,51,37,0,0,0,0,0,79,0,15,243,0,6,20,0,0,119,0,1294,353,1973,166,1101,53,1793,779,525,314,0,9,4,0,29,0,0,0,45,0,0,0,0,0,204,0,0,0,0,13,4,3,318,53,0,0,0,0,0,0,0,69,8,51,12,67,0,0,0,37,0,0,0,0,0,33,0,0,0,0,0,26,0,0,0,10,0,0,18,3,33,0,0,0,0,1,4,8,0,0,0,0,583,0,681,43,277,0,0,0,1,0,2,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,36,918,145,1052,2110,327,0,0,398,0,0,1567,0,740,1561,1250,0,403,14,956,241,57,230,3887,101,2202,844,1161,21,312,0,0,0,27,23,48,34,0,0,12,8,57,56,0,0,0,0,45,0,2,31,33,204,19,29,0,0,0,30,245,868,337,1594,54,868,1207,1384,351,669,1,0,0,14,0,6,0,0,5,2,0,0,0,0,0,48,0,0,13,0,1,16,0,271,0,0,0,0,7,0,0,58,29,46,20,42,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,71,1,0,2,0,10,43,0,0,0,0,0,151,291,288,24,0,0,0,0,0,0,11,0,0,837,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,130,0,151,0,33,0,0,0,1383,0,0,0,41,0,2205,0,1159,0,173,0,0,0,1165,0,3,0,2409,677,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,4558,0,790,0,447,278,257,0,518,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,6218,0,0,0,0,0,0,0,0,0,261,0,0,278,0,297,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,14,0,277,0,89,0,0,0,1567,0,0,0,129,0,2237,0,1153,0,167,0,0,0,1164,0,167,441,1710,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,3438,0,1237,338,176,0,265,0,615,0,0,0,143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,6150,0,0,0,0,0,0,0,0,0,420,0,0,259,0,223,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
