neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASHL,1817,0,932,0,0,0,211,0,1064,0,41,0,0,255,148,0,516,55,1076,0,1,0,3742,81,2564,24,23,0,0,5,0,0,0,11,0,0,0,0,0,0,0,105,0,3,0,0,1,0,0,19,0,1052,0,172,0,14,0,2366,0,1041,0,515,0,0,0,66,0,551,15,810,0,2655,63,362,911,82,0,436,1292,108,0,1512,0,1915,0,5,0,48,0,9,0,2437,1044,0,0,0,206,0,0,0,123,61,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,136,0,23,183,0,6,90,170,2,123,0,1000,0,0,33,0,0,8,0,0,0,0,0,1352,260,0,602,2469,0,0,0,86,0,45,0,0,1480,0,129,0,777,37,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,1147,0,1253,0,0,0,256,0,740,0,129,255,0,0,73,0,758,0,1256,0,0,230,3243,2,1985,0,20,0,0,75,0,0,0,3,0,1,0,0,0,0,0,23,0,40,0,0,0,0,0,0,0,813,0,84,0,27,0,2096,0,1192,0,648,0,0,0,138,36,551,0,682,206,2681,842,315,0,76,1117,223,0,77,194,1067,6,1497,9,0,0,23,0,8,0,2243,0,0,0,0,183,0,0,284,0,67,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,377,82,15,25,25,2,129,0,1161,12,0,0,0,0,8,0,0,0,0,0,1147,75,2263,384,0,0,0,0,9,0,47,0,37,1297,16,160,0,102,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,180,0,810,0,1531,0,0,0,502,1561,2205,0,148,0,0,317,504,0,728,0,110,0,528,0,729,0,2899,2862,0,1222,0,0,0,49,0,56,0,0,0,103,0,116,0,0,0,0,0,35,24,24,0,0,0,37,0,0,0,0,0,929,0,305,0,9,492,1415,0,465,0,12,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,19,0,203,0,68,0,0,0,0,87,0,0,0,0,35,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,3,0,32,0,0,0,0,0,84,0,0,3,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,234,0,456,415,1345,0,0,691,1250,0,2237,0,73,317,0,0,305,0,718,0,188,0,813,0,1106,2824,3026,610,0,0,0,0,0,108,0,39,0,0,0,19,0,157,0,0,0,0,27,22,0,31,0,32,0,94,0,0,0,0,0,870,0,242,722,208,0,1089,0,161,0,211,0,0,0,12,0,0,0,53,0,0,0,0,0,0,0,0,0,13,0,177,0,28,0,0,0,0,49,0,0,5,0,103,0,52,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,12,0,947,0,0,0,175,0,792,0,1159,0,516,0,504,0,0,325,3879,429,19,0,1451,0,402,0,7,0,0,0,0,0,0,56,0,155,0,0,0,111,0,73,0,0,0,0,30,0,87,203,0,228,0,62,0,0,0,4,0,2377,55,164,0,4,0,0,0,0,0,0,0,0,0,146,26,98,0,133,0,32,0,0,0,0,0,0,0,0,0,63,0,411,39,0,0,0,11,0,0,0,0,79,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,140,0,0,0,69,14,0,0,82,0,0,70,0,0,0,0,0,4843,175,1345,170,6,0,0,0,38,0,235,0,0,5544,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,16,0,897,0,0,0,67,0,403,0,1153,55,758,0,305,325,0,0,5169,0,3,92,1807,0,310,0,13,0,0,0,0,0,0,51,0,208,0,0,0,92,0,69,0,0,25,0,86,0,0,115,0,227,0,24,0,0,0,44,0,2307,0,93,0,75,0,0,0,1,0,0,0,0,1,79,0,19,0,59,0,1,0,0,0,5,2,0,0,0,0,26,0,753,0,0,0,0,3,0,0,0,0,55,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,136,0,0,0,146,0,0,0,18,0,0,186,65,0,0,0,0,53,0,0,0,0,0,4888,2127,26,130,0,0,0,0,33,0,171,0,385,5088,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,130,0,3500,0,5,0,8,0,927,14,173,0,1076,0,728,0,3879,0,0,747,0,0,513,0,269,0,619,97,0,0,0,0,0,134,0,71,0,0,0,26,0,92,0,0,0,0,0,0,81,20,0,23,0,18,0,0,0,642,0,5474,4,898,0,220,0,0,0,148,0,0,0,116,0,4,78,0,0,2,121,49,0,0,0,31,0,0,0,0,0,2,0,2653,0,0,0,0,18,0,0,0,0,19,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,14,0,0,0,0,26,0,0,0,0,0,29,0,0,0,0,0,334,0,1998,0,83,0,0,0,0,0,183,0,0,4115,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,49,430,3134,0,36,0,8,11,956,0,167,0,1256,0,718,429,5169,747,0,0,0,8,463,0,436,28,277,0,0,0,0,0,0,39,0,119,0,0,0,3,0,81,0,0,0,0,51,3,0,53,0,33,0,29,0,0,0,565,181,4347,0,1139,0,339,0,0,0,98,0,0,0,149,3,21,0,0,44,14,0,23,0,0,0,2,0,0,0,0,0,2,0,1588,0,0,0,0,10,0,0,0,0,55,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,2,0,0,0,0,0,27,1,0,0,0,0,69,0,0,0,0,0,1542,2221,26,9,0,0,0,0,0,0,127,0,33,4172,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,2228,126,0,0,3767,318,0,0,69,241,0,0,1,0,110,0,19,0,0,0,0,53,49,0,406,261,0,155,129,732,13,0,0,179,0,79,0,0,0,23,0,84,0,36,0,2,0,71,0,18,0,2525,0,56,0,96,0,0,0,11,0,112,59,605,3124,2746,115,496,25,294,0,160,3,0,108,818,14,0,0,0,0,0,0,1,0,0,0,531,0,2116,197,0,0,17,0,90,165,0,0,0,360,82,0,28,0,0,0,129,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,98,0,0,0,0,0,0,0,0,0,75,0,2,0,0,0,0,0,0,0,0,0,68,0,0,0,22,0,191,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,37,1864,0,0,0,4193,0,0,279,57,0,0,0,0,0,188,0,3,0,0,53,0,0,27,0,361,80,48,516,359,139,0,0,0,308,0,32,0,0,0,2,0,40,0,66,0,0,0,98,0,12,0,2767,0,53,0,85,0,7,0,42,2,39,2920,605,0,2449,0,640,0,191,8,105,239,20,0,882,0,0,0,0,0,0,0,4,0,0,0,657,0,1736,0,0,0,84,31,0,284,0,0,321,0,90,0,114,0,0,0,122,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,119,1,0,0,0,0,0,0,0,0,61,0,75,0,0,0,0,0,0,0,30,0,0,0,0,0,255,0,131,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,2600,0,2266,0,456,0,3,0,4290,230,1165,0,3742,230,528,0,1451,92,513,8,49,0,0,461,9347,969,279,30,0,31,0,0,0,1,0,172,0,0,0,0,0,88,0,11,0,0,0,0,0,0,0,250,0,36,0,15,0,20,0,972,519,656,122,0,0,1016,0,1515,13,8,0,200,0,0,0,10,0,72,0,17,0,0,0,237,0,0,0,0,0,66,0,431,247,0,0,0,0,0,0,0,12,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,49,0,0,37,0,461,0,0,7,0,0,13,0,0,0,0,0,1030,5,192,147,1414,0,0,0,1,0,0,0,0,2508,0,29,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,3370,0,1876,0,126,0,0,1,3887,0,1164,81,3243,0,813,0,1807,0,463,0,27,461,0,0,8250,0,336,9,0,0,0,0,0,81,0,0,0,0,0,21,0,84,0,0,0,0,1,0,0,16,0,427,0,109,0,0,0,0,0,1198,0,607,0,0,0,844,0,1670,0,0,0,481,0,22,0,0,15,147,0,0,0,20,0,684,0,0,0,4,0,134,0,625,0,0,0,0,16,0,0,104,0,167,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,92,0,0,0,0,72,0,451,27,0,0,0,0,62,0,0,0,0,0,869,661,1501,263,0,0,0,0,28,0,0,0,148,2442,0,7,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,4468,762,1281,0,573,0,0,0,3030,101,3,0,2564,2,729,0,402,0,269,0,406,0,9347,0,0,471,186,1,0,0,67,0,0,2,0,59,0,0,0,0,0,43,0,139,0,0,0,0,4,0,0,1275,0,26,0,167,0,304,0,794,43,479,139,0,1,1007,0,1698,27,200,0,47,0,0,2,2,0,12,0,0,0,227,0,1870,0,0,0,10,0,409,0,62,183,0,0,2,19,0,0,0,311,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,0,0,63,0,824,0,0,0,0,0,5,0,0,0,0,0,499,0,167,57,5376,0,0,0,0,0,0,0,0,734,0,0,0,1,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,426,5339,0,1323,0,826,0,54,46,2202,0,167,24,1985,0,1106,0,310,0,436,261,361,969,8250,471,0,4,415,0,0,50,0,0,0,0,0,11,0,0,0,2,0,32,0,40,0,0,5,0,0,0,0,1298,0,6,0,20,0,323,0,500,112,253,0,0,223,1433,231,1626,0,76,54,255,9,2,0,0,32,9,0,0,131,117,0,1510,0,0,0,47,0,616,0,401,0,0,0,0,30,0,0,532,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,42,0,0,0,55,0,641,0,0,0,0,0,0,0,0,0,0,0,187,323,3735,184,0,0,0,0,0,0,0,0,0,1699,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,167,61,1286,367,425,844,0,0,1592,844,2409,441,23,0,2899,2824,7,0,619,28,0,80,279,0,186,4,0,2254,294,221,0,0,0,30,63,61,15,0,0,21,38,109,56,0,0,0,0,29,6,20,9,0,2,49,24,0,0,0,0,1996,844,754,228,589,42,788,682,352,363,6,5,0,0,0,10,0,0,1,22,0,0,0,0,0,0,0,0,7,7,94,13,0,0,0,0,0,95,0,0,0,9,21,23,57,59,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1,0,0,0,0,38,0,0,0,0,0,24,28,0,0,0,0,161,96,3,0,0,0,0,0,0,17,84,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,30,82,611,1455,1016,475,0,0,212,1161,677,1710,0,20,2862,3026,0,13,97,277,155,48,30,336,1,415,2254,0,186,188,0,0,0,21,93,40,26,0,0,65,13,57,47,0,0,0,0,36,28,5,28,0,15,27,22,0,0,0,0,540,1409,137,874,161,914,613,1025,253,333,5,141,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,10,2,1,102,0,0,0,0,0,0,66,0,0,4,24,30,8,51,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,183,0,0,0,0,0,0,0,0,3,0,13,41,0,0,0,0,42,32,0,0,0,0,0,0,0,18,78,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,76,0,0,37,904,0,0,152,21,0,42,0,0,0,610,0,0,0,0,129,516,0,9,0,0,294,186,0,1079,114,0,0,79,25,13,0,0,252,0,0,76,135,9,106,248,5,103,84,12,0,27,306,10,23,12,177,0,0,0,3,104,23,1351,346,204,850,62,313,59,187,497,17,656,715,153,275,0,0,0,0,0,76,0,307,0,86,0,656,455,992,0,0,202,1028,33,3,135,0,0,601,75,85,29,0,0,115,82,93,0,0,0,0,1,4,0,0,0,0,3,28,0,13,82,125,125,33,36,19,0,0,0,0,59,56,3,1,0,117,0,0,0,0,0,45,0,4,20,33,0,0,0,235,256,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
