neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
SAADR,0,0,0,0,0,0,654,0,2457,502,65,0,0,0,0,16,0,0,0,13,0,19,0,1,0,0,4,0,4,0,0,0,2,0,273,0,0,0,0,281,0,0,99,859,36,0,0,0,0,0,3360,2434,0,1520,208,1127,287,426,0,9,51,208,39,0,500,35,681,0,0,661,615,131,0,0,1,71,60,672,625,39,0,305,88,540,163,100,131,60,0,3,0,0,0,0,110,4,329,181,22,4,0,349,1548,2,2108,1618,0,0,102,0,0,265,0,0,106,1998,199,424,0,2,134,2,691,0,0,0,0,1762,1774,332,77,133,1319,130,187,15,648,213,511,107,1061,131,1523,52,985,2268,371,0,0,0,21,1166,42,12,0,35,86,66,86,0,1136,405,232,0,0,0,0,415,0,0,9,0,300,320,129,467,575,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,14,200,35,249
SAAVL,0,10,0,0,16,0,126,0,2156,331,78,0,130,0,543,0,0,20,0,0,6,0,0,14,0,0,0,175,0,17,26,22,150,11,567,14,0,0,5,24,0,0,0,2,0,0,0,0,0,0,2294,210,1520,0,1831,44,570,0,20,0,0,116,90,0,66,643,631,0,0,721,31,16,27,2,0,27,102,2429,1308,145,132,219,283,170,168,3,26,0,14,352,80,0,7,57,22,238,184,6,8,0,0,0,1050,9,1758,2049,0,0,0,0,0,35,0,0,4,2066,739,304,0,74,19,0,33,0,0,0,0,13,2352,347,1278,521,526,60,913,383,889,252,687,755,1012,0,869,513,3998,1767,518,0,1,0,0,466,285,0,431,0,0,0,72,0,294,76,1,0,25,0,5,29,20,2,0,2,392,606,397,6,488,121,0,0,0,85,0,219,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAAVR,20,0,0,0,2,8,0,96,238,3333,69,105,0,231,0,0,0,58,65,32,0,28,0,0,4,0,84,0,3,0,35,2,68,179,322,27,0,49,0,0,60,50,0,74,7,0,0,0,0,1537,0,1474,208,1831,0,585,886,0,3,0,0,91,111,94,0,1006,0,0,0,8,574,24,11,0,11,33,0,993,2703,94,118,164,107,102,202,0,15,0,0,169,17,26,39,9,0,60,176,30,3,0,0,408,0,5,2163,1420,89,0,7,0,0,0,80,71,0,518,1527,76,293,54,77,9,14,0,0,0,2,2609,137,1282,318,731,694,675,41,908,256,143,152,1361,489,972,0,3785,360,729,1764,37,0,0,0,435,308,1,0,0,3,9,3,7,53,91,0,1,3,0,0,62,0,2,0,0,871,521,308,0,342,144,0,0,0,0,0,0,0,0,0,0,0,50,0,361,0,440,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SDQL,0,0,0,0,0,0,3188,0,454,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,957,0,0,0,0,0,0,0,0,333,3623,696,0,0,0,0,0,0,0,0,0,0,0,0,273,0,541,1127,44,585,0,8935,169,0,213,0,0,0,0,0,662,0,0,0,751,1560,156,0,0,0,30,1,1056,1482,379,184,289,120,288,247,111,0,2923,0,28,0,0,0,1141,542,46,38,0,0,466,0,0,0,0,351,9,9,0,25,0,0,498,0,0,0,464,1308,0,124,127,0,103,141,0,0,0,0,234,168,412,9,167,1175,363,0,10,141,14,199,0,1212,113,0,263,176,0,102,0,0,0,0,1247,0,0,0,0,30,7,136,0,201,56,256,0,0,489,0,0,1211,306,0,0,24,197,528,96,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49,195,274,439,57,0,0,0,0,0,0,0,0,0,0
SDQR,0,0,0,0,0,0,13,3904,0,336,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1186,618,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1231,1581,287,570,886,8935,0,0,163,0,14,0,0,175,0,1139,920,0,0,573,154,0,23,0,0,0,2,574,470,780,1354,74,252,0,13,0,45,0,490,29,18,53,53,1254,250,20,255,0,0,0,241,0,0,0,336,278,0,0,181,0,0,0,10,33,0,2072,2572,558,259,0,90,294,54,0,0,0,0,829,655,814,1392,687,4,441,1068,360,130,702,422,377,1,43,27,212,206,111,475,0,0,0,0,204,476,0,0,0,0,140,0,178,0,0,152,0,0,432,373,0,757,657,0,0,883,1802,40,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,197,35,388,0,0
URBL,0,0,132,0,37,0,957,0,259,0,13,53,56,0,0,101,0,210,0,112,0,203,0,41,0,0,91,0,6,0,92,33,15,4,781,0,0,42,0,4054,0,0,0,1744,0,726,0,617,0,0,0,3,426,0,0,169,0,0,0,4251,0,247,0,6,0,3343,0,5,0,37,5,0,91,2,0,12,0,124,0,343,3,604,1269,170,0,2,807,111,0,487,0,0,0,418,29,0,0,41,0,0,0,37,0,0,0,0,388,0,0,204,0,3023,0,0,0,255,0,22,27,307,285,99,487,0,0,0,0,30,423,144,3131,155,424,1573,0,1488,347,1502,1212,194,544,664,0,0,203,164,0,7,0,0,0,2940,0,6,0,135,84,39,82,2,11,3,68,3683,0,2327,0,29,46,32,66,0,2828,3368,1230,1,710,0,0,36,0,327,0,38,0,190,0,0,0,0,0,0,0,0,0,68,0,340,0,55,0,0,0,0,0,0,0,0,0,0
URBR,0,0,0,174,0,171,0,2146,0,1145,7,153,56,0,0,0,61,0,79,0,222,0,132,0,44,0,0,62,0,1,101,82,18,23,294,0,0,0,0,0,3738,0,4,0,1839,0,1229,0,1033,0,70,547,0,20,3,0,163,0,0,0,4421,0,154,0,4,0,3597,0,18,28,39,95,0,0,29,0,11,98,105,117,378,1429,352,0,259,1235,64,0,6,1,1072,0,5,379,53,0,32,0,37,0,0,0,177,0,0,119,0,339,0,0,46,0,2664,0,0,1,179,10,0,221,245,524,58,0,0,0,0,365,92,2903,366,452,125,0,1456,212,1897,958,1247,716,296,0,893,90,26,0,180,0,0,0,132,0,2627,0,0,292,41,201,0,0,37,93,66,0,4750,0,3058,87,34,21,0,78,1585,3240,0,3,0,1230,0,0,0,0,0,0,0,0,0,1,0,176,0,193,0,546,0,0,0,0,0,0,0,0,0,0,0,263,0,363,0,370
URXL,2534,0,136,0,1022,0,1562,0,281,0,478,18,33,0,0,1779,0,23,0,407,0,39,0,4852,0,6,245,0,769,0,2,14,21,1051,63,0,0,946,0,637,0,0,0,92,0,0,0,124,0,0,0,0,9,0,0,213,0,4251,0,0,0,2066,0,45,0,2908,0,286,0,7,52,234,329,579,0,641,0,351,0,259,141,99,186,553,37,237,663,531,0,42,0,1893,0,180,14,1758,0,708,0,109,0,1023,0,158,4,0,0,0,3359,156,0,521,0,0,0,0,16,17,0,53,11,0,12,0,0,0,0,216,49,4,106,1,123,60,0,0,246,2,13,2,135,113,0,0,227,0,0,317,0,0,0,132,0,2475,0,531,133,265,156,1194,11,1,28,2007,0,304,0,25,29,1,118,0,799,671,39,7,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
URXR,0,1855,0,170,0,480,0,2088,0,166,596,46,4,0,0,0,2133,0,16,0,190,0,7,0,4768,0,0,163,0,939,8,3,634,45,293,0,0,0,1561,0,814,0,493,0,67,0,0,0,304,0,0,6,51,0,0,0,14,0,4421,0,0,0,1810,0,857,0,4360,0,162,414,0,543,46,0,493,0,438,18,187,94,404,399,97,0,514,824,104,0,207,0,93,0,2288,33,16,0,1351,0,592,0,348,0,1431,118,1,17,0,54,2584,0,120,0,357,0,515,18,8,0,8,1,14,0,0,0,0,0,0,7,405,143,9,139,190,0,141,147,11,28,58,203,16,0,101,40,0,0,0,0,385,0,253,0,178,0,2396,203,403,367,1234,103,1,14,38,0,2234,0,759,54,61,15,0,5,661,1382,0,6,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
URYDL,18,0,66,0,107,0,1,0,0,0,17,45,69,0,0,93,0,105,0,85,0,78,0,214,0,0,49,0,26,0,87,81,66,84,34,0,0,4184,0,0,0,0,0,985,0,2890,0,0,0,0,0,69,208,116,91,0,0,247,0,2066,0,0,0,0,0,368,0,181,0,56,184,103,89,106,0,75,0,161,55,196,99,342,286,424,1884,71,115,107,0,43,0,12,0,57,161,0,0,1356,0,35,0,413,0,1063,109,13,57,0,0,8471,0,0,0,0,0,58,82,2402,0,0,0,0,1307,1246,539,141,457,238,148,0,16,228,0,0,0,125,248,37,121,175,0,0,0,25,1420,81,36,4769,0,0,0,0,0,76,0,131,48,40,224,14,128,81,244,3232,0,0,0,198,48,27,63,0,42,26,150,261,36,0,201,0,333,0,186,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
