neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
URYDR,0,7,0,87,0,62,0,0,0,0,13,102,57,0,0,0,76,0,48,0,116,0,80,0,108,0,0,58,0,0,80,78,4,89,253,0,0,0,5216,0,0,0,0,0,945,0,4691,0,0,0,0,115,39,90,111,0,0,0,154,0,1810,0,0,0,0,0,397,0,150,157,49,209,163,0,24,0,30,50,230,155,147,530,372,1927,264,282,174,0,52,270,113,0,5,77,149,0,4,0,1830,0,39,0,475,1160,8,115,0,1,0,0,8553,0,0,0,0,132,99,0,2155,0,2,1297,0,724,57,634,737,102,367,26,0,0,170,0,0,126,112,63,58,2,78,0,0,921,29,21,123,0,4449,0,0,0,0,0,129,143,94,60,0,154,20,164,345,0,4252,0,0,178,39,46,0,95,9,71,0,330,0,0,0,0,0,0,0,0,0,0,216,7,720,0,462,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYVL,132,0,103,0,0,0,57,0,0,0,304,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,101,0,0,0,0,358,139,0,0,0,0,0,0,3553,0,1247,0,0,0,2660,0,0,0,341,0,0,94,0,175,6,0,45,0,0,0,0,0,174,0,0,0,0,171,0,10,0,0,28,0,74,231,153,53,0,202,0,2493,0,130,4,0,172,0,64,0,477,318,224,0,1770,0,0,0,631,0,351,89,30,719,0,203,0,0,0,0,8277,0,0,81,0,1114,0,0,2879,0,273,569,137,414,189,220,0,0,309,0,70,0,246,0,288,174,150,0,65,0,55,0,0,736,0,0,4023,0,0,0,0,0,0,0,0,0,164,83,36,284,0,0,1303,0,170,0,0,0,0,8,36,193,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,9,410,0,174,0,272,0,0,0,0,0,0,0,0,0
URYVR,0,163,0,178,0,0,0,0,0,0,37,0,0,0,0,0,12,0,0,0,0,0,0,0,71,0,0,6,0,98,0,0,188,0,219,0,0,0,0,0,0,0,2858,107,1579,0,0,0,2642,0,0,0,500,66,0,0,0,0,4,0,857,0,0,0,0,0,508,0,0,216,0,3,0,0,0,0,10,317,99,232,292,270,0,2078,0,175,0,0,0,0,88,0,13,529,322,0,172,0,1522,0,0,0,950,1181,33,94,0,1008,210,0,0,0,0,0,8399,150,0,1373,0,69,48,0,2620,601,124,430,511,269,201,0,92,0,535,0,271,0,482,476,250,0,334,0,23,0,53,937,0,0,0,0,2716,0,0,0,0,0,0,0,92,0,57,395,428,0,0,0,1901,463,0,0,0,0,407,4,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,481,0,470,0,47,0
ADAL,866,0,1277,0,0,0,2122,0,195,0,158,302,0,2,0,3910,0,20,0,12,0,333,0,0,0,85,561,0,484,0,0,0,0,0,911,503,0,536,98,99,0,286,0,15,0,215,0,499,0,263,0,283,35,643,1006,662,1139,3343,0,2908,0,368,0,174,0,0,160,201,0,270,210,0,0,0,0,24,4,910,2024,1934,750,536,1927,220,148,120,1788,935,0,380,157,747,0,1190,0,39,0,0,0,931,0,84,0,0,1691,89,2500,734,4,51,4,4,0,309,0,464,529,0,11,20,0,0,44,0,0,0,143,240,17,146,217,68,110,1607,0,1091,250,982,843,432,196,327,0,307,31,0,669,333,136,138,0,1346,305,150,0,0,603,660,0,805,65,32,0,292,95,293,0,27,70,105,501,0,952,1514,655,0,804,0,3,0,0,0,0,0,10,0,46,0,12,0,29,0,0,0,0,28,0,124,0,1,0,0,0,0,0,0,0,0,0,0
ADAR,0,439,0,1026,0,0,0,1625,0,43,1312,0,205,0,16,0,5345,0,0,0,33,0,850,0,0,257,0,441,0,601,0,12,0,0,918,902,1471,0,649,0,128,0,353,0,23,0,380,0,805,0,477,53,681,631,0,0,920,0,3597,0,4360,0,397,0,508,160,0,0,578,49,313,0,0,0,0,0,14,1440,853,875,2383,1144,413,72,217,2638,15,0,910,71,376,0,1302,447,88,0,388,0,0,0,1604,0,93,24,0,2225,0,1784,28,0,153,0,0,0,180,121,83,97,0,0,1,22,0,0,0,0,0,0,514,4,367,110,340,0,856,70,727,250,333,74,514,0,644,22,111,469,0,0,275,0,410,694,923,0,289,0,221,121,1468,0,123,0,7,0,299,0,335,254,79,48,0,462,2109,1556,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
AIAL,1662,0,2215,74,291,0,0,0,0,0,0,2539,460,7394,0,3044,23,2155,0,2658,0,7650,202,107,0,0,3622,6,1723,9,2426,1909,0,34,0,0,0,114,0,69,0,0,0,11,0,156,0,0,0,0,0,0,0,0,0,0,0,5,0,286,0,181,0,0,0,201,0,0,255,3794,2,481,106,963,0,1537,0,10,0,31,185,0,151,0,98,0,98,44,0,0,0,19,0,0,0,0,0,0,0,1423,0,0,0,0,69,0,0,0,118,155,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,38,0,0,119,0,0,4,0,0,52,0,0,0,0,0,3532,0,170,384,384,0,379,15,6,0,1,0,157,0,0,97,98,4192,0,59,0,17,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIAR,1,1199,0,2579,1,424,0,0,0,0,0,557,2227,0,8922,58,3251,512,3846,0,2473,136,8106,31,68,77,178,2188,175,1636,1250,3424,30,0,0,257,212,0,131,0,75,0,0,0,37,0,157,0,0,0,0,0,0,0,0,0,0,0,18,0,162,0,150,0,0,0,578,255,0,84,3705,88,1043,5,1075,0,1909,0,0,36,35,230,5,93,0,606,0,0,589,46,56,0,47,1,0,0,0,0,3,0,2176,0,0,0,0,82,0,0,61,0,144,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,107,7,0,24,0,0,0,0,180,0,0,0,0,0,139,0,0,0,0,0,4792,235,199,144,47,0,0,90,0,0,0,0,170,0,85,29,0,3162,0,53,8,117,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBL,333,82,2012,0,946,6,0,0,0,129,417,2696,673,1472,0,1129,0,1730,0,180,0,1590,0,252,162,0,981,0,513,34,2311,726,393,123,294,198,628,74,93,167,0,0,222,83,59,100,77,0,15,0,48,688,661,721,8,751,573,37,28,7,414,56,157,0,216,270,49,3794,84,0,334,464,212,1077,1,566,1380,901,114,602,0,523,221,678,297,2,4,0,0,45,56,0,1106,0,769,1,98,28,585,298,0,101,1559,1,342,1273,0,0,349,47,71,22,0,0,213,653,43,0,7,7,16,0,23,6,0,0,0,546,1465,9,325,7,872,0,257,42,134,190,289,0,410,19,10,5,1053,111,187,33,1,0,183,0,0,85,0,136,29,13,30,24,710,360,587,0,5,40,0,858,5,0,511,0,45,0,50,95,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBR,255,124,0,2050,5,806,0,0,97,0,540,298,2809,0,1522,1,1650,92,1692,0,171,0,1815,123,366,0,1,944,207,503,475,2125,74,242,341,489,41,67,95,16,73,188,0,39,35,65,68,20,0,196,0,572,615,31,574,1560,154,5,39,52,0,184,49,171,0,210,313,2,3705,334,0,84,584,38,1075,1245,325,301,1186,0,770,208,175,710,555,0,10,0,0,29,0,884,9,0,634,122,1,492,64,0,407,1138,0,0,1205,347,0,0,227,67,78,0,54,86,0,0,853,16,0,0,14,4,0,235,0,0,0,1027,439,446,0,1754,0,272,0,200,91,185,237,652,0,0,22,1014,4,224,271,10,56,102,0,7,1,0,196,177,51,6,4,12,749,427,286,20,0,0,17,940,0,0,0,418,129,0,169,116,430,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
AINL,1,456,107,0,1670,5832,364,0,289,0,4,1535,172,644,0,6,0,293,174,103,0,343,0,878,4767,0,0,219,0,260,666,167,2076,86,0,0,0,47,56,0,133,0,0,19,60,210,320,0,11,0,0,0,131,16,24,156,0,0,95,234,543,103,209,0,3,0,0,481,88,464,84,0,1683,646,1643,53,227,0,95,0,0,868,0,73,14,1103,0,0,0,0,0,0,0,0,0,0,284,459,1693,0,0,0,0,61,0,59,0,0,22,72,135,0,97,0,0,317,183,0,0,0,0,0,0,0,0,0,40,143,9,0,0,0,255,0,0,0,298,0,0,0,63,0,0,0,166,0,81,51,83,0,0,422,0,29,0,0,0,0,591,0,0,0,0,75,44,0,218,0,0,0,1,0,0,0,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AINR,734,42,0,12,6124,1447,0,314,0,585,0,560,1420,16,872,0,74,542,761,0,217,0,610,4589,1007,0,265,17,7,2,383,733,413,2618,0,0,0,80,142,261,0,0,0,93,0,134,165,5,0,0,0,17,0,27,11,0,23,91,0,329,46,89,163,10,0,0,0,106,1043,212,584,1683,0,1425,518,255,101,96,0,0,0,64,297,40,36,0,1024,0,0,0,0,0,0,0,0,190,33,1515,709,0,12,52,13,44,0,0,0,0,15,55,120,118,0,0,0,97,414,0,0,0,0,0,0,0,0,0,57,0,0,0,0,62,0,0,0,147,0,0,0,12,0,0,0,58,0,90,0,29,123,0,0,0,701,7,61,0,0,0,0,891,0,0,0,31,21,256,0,0,0,0,0,35,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIYL,2023,6,653,0,7432,116,0,0,0,0,206,4098,2348,360,0,262,0,948,0,0,0,12,0,3887,324,33,4058,0,2284,75,1955,1219,266,1874,20,0,0,89,0,80,0,0,0,27,0,43,0,0,0,0,0,5,0,2,0,0,0,2,0,579,0,106,0,0,0,0,0,963,5,1077,38,646,1425,0,502,3448,160,18,32,139,158,0,174,0,123,0,443,152,0,7,0,187,0,0,0,140,305,1548,46,186,0,35,0,384,261,0,0,0,611,138,0,7,0,0,0,72,0,0,0,0,0,0,0,0,0,0,613,2,0,0,0,0,0,180,0,191,0,20,19,16,18,414,3,0,0,2,0,29,0,0,0,0,3,874,0,0,40,41,0,506,140,39,0,41,0,2,0,0,11,179,87,0,0,0,25,173,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIYR,0,1546,0,520,35,7638,0,0,0,0,207,2108,4050,0,407,0,333,15,2345,0,0,0,61,0,3542,175,0,3468,0,2210,1927,1959,1864,293,57,448,247,0,9,0,126,0,0,0,37,0,14,0,0,0,0,0,1,0,11,0,0,0,29,0,493,0,24,0,0,0,0,0,1075,1,1075,1643,518,502,0,38,3376,0,1,51,58,8,0,99,8,668,0,0,129,46,146,0,89,25,0,0,746,0,1826,0,241,0,0,471,34,75,0,0,492,0,63,0,57,0,0,0,104,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,190,0,445,32,53,0,135,0,336,0,0,0,2,0,0,0,0,0,11,0,956,2,1,0,142,0,20,302,3,0,0,0,54,11,49,14,0,189,0,0,1,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZL,4762,100,594,0,1650,0,0,0,0,0,247,833,696,832,0,575,20,257,0,4,0,44,0,1198,45,0,3282,0,3726,6,292,622,45,692,848,0,0,90,0,113,0,0,0,9,0,26,0,24,0,1,0,86,71,27,33,30,0,12,0,641,0,75,0,28,0,24,0,1537,0,566,1245,53,255,3448,38,0,619,2,87,250,6,242,172,1489,942,0,44,0,0,21,0,221,80,0,80,1179,265,1063,33,214,17,986,154,779,1117,25,0,0,1191,80,0,2,0,0,0,5,43,0,0,0,0,0,0,22,0,0,48,31,14,0,0,693,0,48,0,477,317,54,183,1528,279,2410,313,106,1,120,0,0,0,0,0,0,33,375,0,11,4,17,0,382,161,207,4,2,0,0,0,326,0,0,31,0,203,0,203,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZR,163,4915,0,465,0,2048,0,0,0,0,115,704,1277,0,567,43,599,0,810,0,27,0,94,0,1430,0,0,4031,74,4305,687,492,1062,4,1014,0,0,0,45,0,102,0,0,0,17,0,14,0,19,0,20,155,60,102,0,1,2,0,11,0,438,0,30,0,10,4,14,0,1909,1380,325,227,101,160,3376,619,0,111,1,1,250,30,159,1315,1639,5,0,0,0,4,40,21,259,0,195,0,1274,1,986,27,113,132,1364,596,31,1180,0,0,1339,0,59,0,54,0,0,27,0,0,0,0,0,0,0,0,0,0,0,119,77,0,0,0,480,0,66,256,329,277,25,90,1427,76,1601,0,188,0,208,0,7,0,0,0,21,0,595,63,51,14,643,0,331,213,131,0,0,0,13,448,0,0,0,103,0,62,0,48,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAL,57,0,945,0,31,0,66,0,21,738,1731,0,32,0,0,1232,0,76,0,1,0,1,0,539,0,2,80,0,257,0,47,10,253,541,536,1715,2912,261,0,57,0,0,59,8,0,72,0,124,0,0,397,739,672,2429,993,1056,574,124,98,351,18,161,50,74,317,910,1440,10,0,901,301,0,96,18,0,2,111,0,493,985,427,462,573,210,103,9,736,21,0,1416,17,799,301,111,392,389,243,249,0,303,0,33,370,3,418,1168,203,0,702,4,0,116,0,0,107,864,217,193,8,161,34,56,59,0,0,0,0,48,679,326,1141,493,1128,418,328,721,279,125,68,167,703,284,83,338,1113,795,458,91,0,0,48,649,895,1,0,0,68,2,528,993,91,56,86,259,0,0,36,616,19,6,18,0,1143,416,803,1,384,106,4,0,5,0,118,0,481,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAR,0,165,0,678,0,21,0,0,337,11,964,47,11,0,0,0,994,0,3,0,0,0,0,0,525,65,0,130,0,431,0,0,571,120,399,2282,652,0,280,0,61,48,1,7,0,0,95,0,254,229,0,654,625,1308,2703,1482,470,0,105,0,187,55,230,231,99,2024,853,0,0,114,1186,95,0,32,1,87,1,493,0,561,889,495,992,34,675,873,184,633,0,560,1721,987,1183,71,26,87,256,39,223,269,0,545,58,0,1182,605,0,178,388,0,8,0,123,73,0,273,878,22,190,67,32,13,36,0,0,0,0,416,35,658,677,1287,243,700,542,682,595,416,82,647,216,3,64,1098,380,347,1015,0,139,1,7,782,656,31,3,0,266,447,1286,393,238,377,2,19,89,2,0,470,5,277,141,0,521,1338,14,5,149,70,0,0,0,19,0,2,0,8,5,0,0,0,23,0,0,0,0,0,0,0,0,53,0,51,0,0,0,0,0,0,0,0
AVBL,272,8,267,74,0,0,1090,751,11,0,1777,3,0,66,0,2099,24,1,0,53,0,14,0,164,2,1784,105,0,134,1,0,0,194,21,770,562,585,90,11,2,0,0,26,0,0,62,3,163,17,0,128,0,39,145,94,379,780,343,117,259,94,196,155,153,232,1934,875,31,36,602,0,0,0,139,51,250,1,985,561,0,1236,1850,1291,690,139,1633,3394,1237,73,3496,4041,1497,2633,1360,94,0,125,122,126,1323,78,0,121,0,754,447,788,110,337,82,0,0,0,0,23,224,441,78,17,0,0,0,0,0,0,0,164,0,79,0,246,8,538,27,1102,208,954,410,725,19,316,127,96,0,18,18,38,153,5,0,32,3,13,134,62,0,306,90,1497,1701,149,313,53,1,0,52,157,399,673,586,133,2,385,612,616,164,304,44,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,82,0,195,0,172,0,0,0,0,0,0,0,0,0,0
AVBR,6,320,14,117,0,0,214,702,0,36,1778,0,12,0,188,42,1996,0,6,0,5,0,66,17,114,1188,0,249,11,140,0,0,191,297,797,434,0,0,128,8,8,5,1,0,0,0,71,36,15,0,0,64,0,132,118,184,1354,3,378,141,404,99,147,53,292,750,2383,185,35,0,770,0,0,158,58,6,250,427,889,1236,0,1550,1153,72,1003,3184,1604,173,1190,3254,2773,2606,2148,1216,1,28,28,125,116,243,1841,590,0,15,524,525,169,965,216,0,103,1,0,0,29,274,206,6,13,0,3,0,0,0,0,0,0,193,0,191,0,454,28,810,117,608,93,601,444,250,10,102,197,12,0,132,14,3,94,35,4,25,13,175,29,0,187,421,1223,1956,238,171,1,1,34,54,47,24,354,433,14,57,218,733,742,250,61,240,0,0,1,0,8,0,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,21,0,102,0,697,0,0
AVDL,0,0,348,1448,0,0,2275,1884,204,41,952,11,13,0,21,308,1587,3,0,425,0,305,100,0,42,2277,0,36,0,0,22,18,829,598,947,1679,1427,67,219,31,6,0,11,194,0,77,262,0,174,0,200,143,305,219,164,289,74,604,1429,99,399,342,530,0,270,536,1144,0,230,523,208,868,64,0,8,242,30,462,495,1850,1550,0,266,370,579,5479,158,385,515,914,4561,199,827,1260,62,0,0,3,114,121,76,130,749,0,131,253,157,50,29,51,129,19,0,0,11,789,116,0,8,0,0,0,0,0,0,0,0,16,155,11,143,0,926,0,785,317,1526,2221,664,141,262,0,453,11,277,175,39,68,218,0,8,313,23,326,113,249,104,199,2648,45,9,61,13,193,175,0,85,174,388,644,57,151,333,1269,917,10,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVDR,1,0,985,265,0,0,2018,2714,0,72,799,12,50,14,0,877,250,0,39,0,168,5,169,192,1,1903,1,3,4,0,5,37,491,719,934,14,0,215,172,1,32,0,0,0,69,159,93,150,0,89,0,118,88,283,107,120,252,1269,352,186,97,286,372,202,0,1927,413,151,5,221,175,0,297,174,0,172,159,573,992,1291,1153,266,0,1234,445,200,4093,1755,302,3320,563,1113,122,112,0,0,12,31,0,472,116,871,34,0,299,108,49,44,93,206,90,0,24,0,0,81,333,63,0,0,0,12,0,0,0,0,0,1,99,202,0,1044,0,502,0,695,372,407,1571,251,121,281,0,28,3,118,197,57,46,0,0,251,1002,219,405,283,426,548,0,1867,54,242,0,10,224,95,0,5,143,576,367,90,545,384,2985,0,410,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVEL,0,17,64,0,0,0,18,0,39,0,44,0,0,0,0,228,0,0,0,174,0,44,0,1076,0,92,0,0,0,0,0,0,207,1439,1143,881,2117,478,5,259,0,0,0,6,3661,71,260,0,364,0,0,161,540,170,102,288,0,170,0,553,0,424,1927,0,2078,220,72,0,93,678,710,73,40,0,99,1489,1315,210,34,690,72,370,1234,0,198,93,302,194,0,540,500,6,493,5,364,0,245,661,1405,282,4,682,377,139,639,508,0,0,278,300,168,220,529,0,140,124,102,81,556,538,17,0,526,10,0,4,0,310,220,24,0,439,727,61,894,66,491,86,546,166,279,332,31,571,184,642,8,87,0,0,1,0,12,129,362,847,106,120,174,15,896,754,502,48,1117,0,1342,626,56,33,44,6,98,30,316,773,707,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVER,0,135,0,0,0,5,0,260,0,27,16,0,0,0,0,0,224,0,0,0,127,0,12,0,1146,232,0,0,0,0,0,0,1470,120,801,573,0,0,7,8,303,179,0,3272,29,429,0,258,0,0,0,528,163,168,202,247,13,0,259,37,514,1884,264,2493,0,148,217,98,0,297,555,14,36,123,8,942,1639,103,675,139,1003,579,445,198,0,334,134,150,221,1128,356,1087,10,0,198,156,1,1496,479,175,181,641,546,26,444,572,0,0,339,78,0,596,289,489,0,166,214,662,141,1,500,758,0,189,0,5,0,7,103,45,85,1033,323,1036,135,754,17,576,82,559,167,16,204,50,610,20,743,38,0,176,0,27,405,174,136,666,11,178,50,511,936,701,95,1214,4,1038,92,334,42,374,19,26,39,61,1,605,3,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVJL,0,238,507,751,0,0,941,1408,259,125,291,2,0,0,34,181,1029,0,0,184,13,335,25,0,0,4631,2,46,44,25,0,0,0,0,194,1411,1760,108,50,0,54,0,5,0,1,80,49,0,146,0,0,76,100,3,0,111,0,2,1235,237,824,71,282,0,175,120,2638,0,606,2,0,1103,0,0,668,0,5,9,873,1633,3184,5479,200,93,334,0,1476,1014,5298,1655,5996,143,1034,611,0,0,0,0,0,904,3174,0,0,0,0,299,0,82,18,98,11,0,3,0,14,305,37,0,58,0,0,0,0,0,0,0,0,0,0,0,0,25,336,0,228,186,713,1012,325,7,18,0,637,30,199,0,0,150,14,0,5,311,0,339,610,348,325,934,3102,1036,0,0,0,77,6,0,146,0,2129,2644,52,1053,417,790,0,286,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVJR,28,0,655,429,0,0,1244,629,24,664,536,0,19,0,0,882,184,0,345,0,175,0,240,0,0,3468,36,0,185,2,8,58,0,0,221,134,0,2,239,41,1,0,0,0,80,3,107,208,0,0,0,20,131,26,15,0,45,807,64,663,104,115,174,130,0,1788,15,98,0,4,10,0,1024,443,0,44,0,736,184,3394,1604,158,4093,302,134,1476,0,4153,775,4041,634,1057,18,1894,0,0,4,0,0,2326,186,2,0,13,660,0,201,19,83,0,135,4,0,0,0,58,388,18,0,0,0,1,0,0,0,0,0,5,0,0,0,270,0,120,0,448,11,48,120,1,0,469,0,14,0,5,26,32,208,0,0,9,630,360,414,355,905,572,63,4471,0,48,0,0,148,78,0,0,2730,1287,737,73,242,454,1251,303,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDUL,0,0,3,0,0,0,7652,0,2,0,0,0,0,0,0,84,0,0,0,36,0,14,0,0,0,4844,0,0,0,0,0,0,0,0,53,5,0,280,0,0,0,0,0,0,0,122,0,0,0,8,0,51,60,0,0,2923,0,111,0,531,0,107,0,4,0,935,0,44,0,0,0,0,0,152,0,0,0,21,633,1237,173,385,1755,194,150,1014,4153,0,315,329,438,638,0,717,0,0,0,0,0,6427,0,97,0,0,520,0,3,0,0,223,0,329,0,0,0,0,0,0,0,110,0,0,54,0,0,0,20,0,36,0,0,0,26,10,0,0,0,0,317,0,96,100,0,0,1,0,61,399,0,0,0,901,83,1163,0,0,1540,2261,927,720,0,313,0,204,0,113,0,0,6176,5083,242,0,78,0,899,8,1291,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0
BDUR,0,46,0,0,0,0,0,5343,0,0,0,0,0,0,136,0,659,0,0,0,265,0,725,0,0,3943,0,95,0,0,0,0,0,0,15,724,1008,0,335,0,0,0,0,0,0,0,46,0,0,0,119,1,0,14,0,0,490,0,6,0,207,0,52,0,0,0,910,0,589,0,0,0,0,0,129,0,0,0,0,73,1190,515,302,0,221,5298,775,315,0,18,1242,0,45,452,0,0,0,0,0,438,8464,0,0,0,0,542,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,792,0,0,0,0,89,0,0,0,0,0,331,0,0,0,331,243,2416,0,2041,4128,125,1066,0,0,0,0,214,0,160,0,7373,7594,0,2035,0,94,0,8,0,1718,0,0,0,0,0,0,0,0,0,0,0,63,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0
PVCL,77,51,228,0,0,0,2914,0,0,120,4114,0,0,0,0,713,520,0,0,0,0,0,0,23,0,3221,0,0,99,181,0,0,44,188,1668,1877,2077,0,33,0,0,1,0,0,0,0,63,139,0,1,0,132,3,352,169,28,29,487,1,42,0,43,270,172,0,380,71,0,46,45,29,0,0,7,46,21,4,1416,560,3496,3254,914,3320,540,1128,1655,4041,329,18,0,2613,5002,1822,76,0,3,0,0,0,102,53,5,0,10,175,1,21,4,909,0,16,0,0,2,0,141,100,0,68,0,0,2,0,0,0,0,0,27,0,35,214,329,166,676,424,517,215,674,749,183,112,104,16,31,73,18,52,2,23,9,0,1,354,45,61,0,96,3,621,4071,46,96,0,0,3,226,0,8,49,68,0,20,680,75,2970,280,99,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVCR,0,20,0,586,0,0,0,2580,0,19,3728,0,0,0,0,0,165,0,0,0,0,0,0,0,0,3726,0,2,0,109,0,0,93,0,2372,3177,2581,0,0,0,0,0,15,0,0,0,0,0,94,0,60,68,0,80,17,0,18,0,1072,0,93,0,113,0,88,157,376,0,56,56,0,0,0,0,146,0,40,17,1721,4041,2773,4561,563,500,356,5996,634,438,1242,2613,0,29,6408,986,0,0,17,0,0,90,1037,0,9,0,7,102,0,8,483,0,0,0,0,0,34,119,368,0,147,0,0,0,0,0,0,0,0,0,17,0,1,0,360,0,2350,652,1558,1842,1828,120,382,0,582,3,0,42,6,0,0,0,28,0,0,0,38,0,0,56,3044,126,10,224,1,0,0,0,112,57,686,766,0,184,90,893,15,207,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
