neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASGL,33,0,57,0,64,0,0,0,1112,0,0,0,105,0,2877,0,1105,0,178,0,0,0,859,0,62,0,1682,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,3918,0,883,0,256,439,233,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463,0,0,0,0,0,0,0,0,0,222,0,0,142,0,190,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,25,0,134,0,28,0,0,0,1157,0,0,0,217,0,2220,0,1542,0,641,0,0,0,328,0,116,276,1509,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,11,0,4427,0,796,564,291,0,348,0,312,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,2,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4301,0,0,0,0,0,0,0,0,0,115,0,0,328,0,158,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1487,106,914,0,0,0,212,0,1200,0,105,0,0,196,35,0,496,0,915,0,19,7,3762,98,1725,463,33,0,0,2,58,0,0,39,0,9,0,0,0,0,0,113,0,8,0,0,0,0,0,0,0,782,0,129,0,7,0,1976,0,878,0,703,0,0,0,118,0,571,4,236,0,2400,590,322,400,39,0,340,1086,101,0,810,0,443,95,32,0,103,0,20,0,2906,123,0,0,0,212,0,0,0,177,108,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,138,0,108,254,0,46,113,63,7,0,4,1031,0,0,59,0,0,49,0,0,0,0,0,1038,8,37,764,1320,0,0,0,42,0,41,0,0,916,135,28,0,543,19,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,961,0,944,0,0,0,260,0,754,0,217,196,0,0,98,0,287,0,704,0,2,5,3981,0,2128,5,9,18,0,70,0,0,0,60,0,55,0,0,0,0,0,119,0,14,6,0,0,0,0,1,0,680,0,101,0,0,0,2457,0,1053,0,682,0,0,0,144,0,495,0,287,294,2642,474,184,0,1,964,245,0,261,0,983,0,1146,0,0,0,150,0,0,0,2486,0,0,0,0,311,0,0,157,0,51,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,14,0,0,177,21,59,96,203,2,21,0,1018,1,0,0,0,0,51,0,0,0,0,8,780,84,2228,445,0,0,0,0,3,0,189,0,0,1355,29,100,0,116,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,56,0,1343,0,408,0,13,0,962,590,2877,0,35,0,0,528,407,0,1083,0,78,0,834,0,1223,0,4215,2079,0,0,0,0,0,74,0,64,0,0,0,42,0,38,0,0,0,0,0,58,31,1,0,64,0,31,0,0,0,0,0,2093,13,647,0,123,135,1074,0,126,0,3,0,0,0,4,0,0,0,255,0,0,0,0,0,0,0,0,0,37,0,114,0,11,0,0,0,0,27,0,0,0,0,27,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,87,0,379,162,0,0,0,0,237,0,191,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,211,0,511,0,685,0,0,1299,850,0,2220,0,98,528,0,0,472,0,685,0,24,0,513,0,801,2237,2919,1441,0,0,0,0,0,121,0,102,0,0,0,35,0,181,0,0,0,0,52,2,0,6,0,0,0,36,0,0,0,0,10,809,0,303,412,45,62,1170,0,54,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,137,0,2,0,0,0,0,29,0,0,0,0,39,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,61,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,13,0,413,0,0,0,325,0,503,0,1105,0,496,0,407,0,0,774,4057,10,36,0,594,0,404,0,100,0,0,0,0,0,0,134,0,169,0,0,0,115,0,204,0,0,0,0,5,0,70,38,0,187,0,78,0,0,0,30,0,1631,0,111,0,116,0,0,0,0,0,0,0,0,0,160,1,168,0,66,0,8,0,2,0,0,0,1,0,0,0,21,0,407,0,0,0,0,8,0,0,0,0,102,0,277,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,150,0,0,0,84,0,5,0,53,276,0,0,34,0,0,75,0,0,0,0,0,4752,118,1532,118,0,0,0,0,22,0,174,0,0,4630,439,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,0,0,562,0,0,0,431,0,465,0,1542,0,287,0,472,774,0,108,4495,0,3,0,624,0,225,0,12,0,0,0,0,0,0,73,0,253,0,0,0,98,0,89,0,0,18,0,97,0,0,195,0,193,0,69,0,0,0,31,0,1476,0,32,0,60,0,0,0,4,0,0,0,9,0,119,0,130,0,76,0,10,0,0,0,0,0,0,0,0,0,44,0,318,0,0,0,0,3,0,0,0,0,206,0,292,0,0,0,0,33,0,0,0,0,0,0,0,0,0,79,0,0,0,120,0,0,0,10,0,0,395,40,0,0,0,0,38,0,0,0,0,46,4386,2393,0,254,0,0,0,0,25,0,142,0,0,4960,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,9,0,4072,0,32,0,57,0,771,0,178,0,915,0,1083,0,4057,108,0,699,0,0,167,5,215,0,869,19,0,0,0,0,0,69,0,113,0,0,0,3,0,25,0,0,0,0,0,0,96,0,0,150,0,65,0,0,0,454,0,3966,268,1037,0,308,0,0,0,5,0,0,0,21,0,103,11,0,0,72,64,35,0,6,0,0,0,0,0,0,0,2,0,1757,0,0,0,0,7,0,0,0,0,90,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,42,4,0,0,0,0,124,0,0,0,0,0,28,0,0,0,0,0,849,0,1780,17,0,0,0,0,18,0,59,0,0,4825,419,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,0,360,3451,0,12,0,53,7,820,0,641,0,704,0,685,10,4495,699,0,0,0,0,1002,0,211,0,334,0,0,0,0,0,0,8,0,165,0,0,0,60,0,106,0,0,0,0,42,0,0,28,0,30,0,76,0,0,0,400,0,4304,0,1275,0,322,0,0,0,8,0,0,0,188,1,15,0,0,143,25,0,96,0,32,0,0,0,0,0,0,0,16,0,2074,0,0,0,0,3,0,0,0,0,44,0,176,0,0,0,0,20,0,0,0,0,0,0,0,0,0,247,0,0,0,115,16,0,0,0,0,0,95,24,0,0,0,0,54,0,0,0,0,0,897,2325,0,4,0,0,0,0,0,0,120,0,0,4063,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
