neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AQR,107,63,108,76,0,4,5,78,0,0,0,0,16,0,0,86,112,0,0,0,0,0,0,18,49,269,6,3,95,69,0,0,719,858,2141,757,919,0,0,0,0,31,14,0,0,0,3,8,56,0,1,5,27,0,315,0,13,434,254,0,46,36,46,76,413,0,0,466,257,0,0,73,92,127,39,1416,738,2208,1897,1130,400,471,49,976,523,124,29,3160,4213,3481,4416,117,255,71,87,108,22,31,110,752,267,96,20,46,0,1,2135,0,0,0,0,3,5,91,159,0,0,0,0,0,0,0,0,0,0,0,2,0,130,204,128,408,344,486,768,650,440,231,186,71,0,0,17,65,0,18,63,81,478,350,0,7,0,0,0,1699,879,358,197,74,0,0,2,0,827,0,0,36,21,531,4,3,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,809,230,1712,10,302,2417,0,0,8,0,0,0,349,1383,4,1131,5,787,306,572,0,1310,6,153,380,0,5846,17,2658,208,2665,412,582,38,0,0,0,55,39,55,72,0,0,24,20,28,11,15,0,0,0,0,224,0,0,18,10,20,81,42,6,1,0,67,0,2024,572,2580,272,928,598,2044,1323,784,384,0,73,1,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,72,34,1,295,0,15,0,0,7,0,0,0,18,58,18,25,74,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,43,0,0,0,0,32,0,0,14,0,11,6,7,0,0,0,0,200,0,376,296,355,8,279,0,0,0,0,12,6,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,475,1224,4,1321,2883,762,0,0,0,2,16,349,0,0,895,0,646,1181,1028,0,484,0,1220,231,367,1,30,3910,78,2112,729,2392,59,760,0,0,0,21,1,102,69,0,0,90,21,114,1,0,0,0,0,96,0,0,0,37,17,39,89,53,0,0,0,0,53,518,1124,157,1619,128,1104,1687,1938,532,779,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,42,0,0,8,0,0,44,0,242,0,3,0,0,27,0,0,100,93,4,32,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,0,62,2,0,0,0,24,0,0,0,0,0,0,62,240,92,114,288,39,0,0,0,6,0,75,1,0,0,419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,303,0,21,0,0,0,0,0,0,0,0,1383,0,0,0,398,0,4772,0,1673,0,1717,0,1,0,0,1101,0,272,0,1949,531,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,5388,0,1400,0,317,148,222,0,549,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,102,0,0,368,0,0,0,0,0,0,0,0,0,0,0,6976,0,0,35,0,0,0,0,0,0,0,0,277,0,0,64,0,344,0,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,203,0,137,0,0,0,0,0,0,0,4,895,0,0,0,344,0,2040,0,897,0,699,0,4,42,0,1431,0,0,205,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5938,0,1429,113,237,0,83,0,519,0,0,0,118,11,0,0,0,116,0,0,134,0,0,0,0,33,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,114,0,0,0,0,521,0,0,174,0,0,0,0,0,0,0,0,6022,0,0,0,0,0,0,0,0,0,0,0,494,0,0,394,0,625,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1920,0,2097,0,0,0,315,0,77,0,86,1131,0,398,0,0,151,192,0,293,0,1967,0,44,0,0,3625,0,3098,0,64,0,0,0,0,0,0,21,0,3,0,0,0,0,0,139,0,13,0,0,0,0,0,73,0,0,0,1023,0,99,0,30,0,2755,0,1593,0,792,0,0,0,167,0,488,58,508,0,2602,77,283,1002,131,0,124,904,132,0,370,0,744,172,3,0,123,0,16,0,4287,28,0,0,0,534,0,10,0,136,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,49,40,0,17,44,154,25,1,3,1680,0,0,14,0,0,34,0,0,0,0,0,981,0,27,2389,1288,375,2151,0,0,0,5,0,18,0,0,1167,2,228,0,161,18,844,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,1814,0,1864,0,19,0,161,0,44,112,5,646,0,344,151,0,0,145,0,376,0,1825,0,38,81,164,3184,68,2349,0,34,5,0,2,0,0,0,0,0,114,0,0,0,3,0,16,0,1,2,0,0,0,0,10,0,49,0,1088,0,27,0,0,0,3239,0,2092,0,1032,0,0,0,44,1,600,0,96,24,1915,909,318,0,191,673,249,3,13,0,1706,0,2157,2,0,0,51,0,21,37,3501,0,0,0,0,343,0,3,247,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,12,42,31,0,75,0,998,6,0,59,0,0,1,0,0,0,0,0,1052,70,2167,1793,2891,608,0,0,0,0,20,0,67,0,0,1281,0,340,0,180,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,380,0,461,0,362,1,0,0,0,0,0,787,1181,4772,0,192,0,0,260,662,0,851,0,33,0,0,993,0,1198,0,4904,3368,0,60,0,0,0,54,0,30,0,0,0,5,0,117,0,0,0,0,0,25,70,0,0,30,0,20,0,37,0,0,0,0,0,1513,0,566,0,340,363,525,0,247,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,154,0,10,0,0,0,0,44,0,0,0,0,70,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,1,0,0,41,0,0,0,60,0,429,0,0,0,0,0,0,0,0,0,13,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,204,187,429,0,1158,0,0,0,0,0,306,1028,0,2040,0,145,260,0,0,507,0,1090,0,15,10,0,764,0,1005,2939,4844,668,0,0,0,0,0,56,0,72,0,0,0,39,0,24,0,0,0,0,86,78,0,0,0,43,0,34,0,9,0,0,0,0,19,1900,0,706,238,358,0,772,0,206,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,44,0,24,0,0,0,0,30,0,0,0,0,10,0,154,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,26,0,0,0,4,0,9,0,0,0,1,0,15,16,0,3,0,0,0,0,0,0,26,0,285,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,100,0,768,0,0,0,180,0,290,0,0,572,0,1673,0,293,0,662,0,0,324,5726,0,9,0,0,712,0,476,0,111,0,0,0,0,0,0,84,0,587,0,0,0,98,0,207,0,0,0,0,12,0,89,0,0,168,0,280,0,85,0,0,0,0,0,1727,0,67,0,0,0,0,0,2,0,0,0,0,0,252,0,168,0,194,0,0,0,0,0,0,0,0,0,0,0,61,0,357,0,0,0,0,14,0,0,0,0,136,0,262,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,28,0,0,0,16,345,0,0,25,0,0,52,0,0,0,125,0,6214,0,3817,1248,1682,144,0,0,0,0,33,0,264,0,0,6622,214,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
