neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASJR,0,73,0,98,0,0,0,389,0,132,0,0,484,0,897,0,376,0,507,324,0,603,5836,0,0,0,10,532,0,328,0,30,0,0,0,0,0,0,20,0,146,0,0,0,24,0,46,0,0,12,0,52,5,0,0,0,135,0,370,0,17,0,0,0,0,0,1206,0,55,0,167,0,0,0,0,0,0,0,0,0,187,0,168,0,126,0,0,0,0,0,0,33,0,0,0,0,35,0,599,0,0,0,0,11,0,0,0,0,44,0,473,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,169,36,0,0,16,0,0,421,47,0,0,0,0,19,0,0,0,265,320,6300,3223,1594,1539,0,226,0,0,0,0,86,0,336,0,0,7125,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,3804,187,39,0,128,0,35,0,0,1310,0,1717,0,1967,0,851,0,5726,603,0,810,1,0,0,1254,2,201,0,469,44,0,0,0,0,0,137,0,58,0,0,0,27,0,75,0,0,0,0,0,0,87,0,0,42,0,44,0,64,0,0,0,453,0,6225,174,1207,0,56,0,0,0,20,0,0,0,10,0,110,91,0,0,106,0,11,0,0,0,0,0,0,0,0,0,35,0,765,0,0,0,0,29,0,0,0,0,91,0,49,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,41,103,0,0,0,3,95,0,0,16,0,0,33,0,0,0,13,0,2073,0,3070,1407,416,36,4,0,0,0,0,0,62,0,0,6660,325,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,12,119,3152,0,48,0,0,0,17,0,6,1220,0,699,0,1825,0,1090,0,5836,810,0,0,0,1,81,1217,0,435,14,461,0,0,0,0,0,0,8,0,160,0,0,0,67,0,26,0,0,2,0,125,12,0,0,0,84,0,60,0,29,0,0,0,547,63,5745,0,1367,0,593,0,17,0,87,0,0,0,22,107,10,0,0,19,9,0,252,0,0,0,0,0,0,0,0,0,1,0,1985,0,0,0,0,50,0,0,0,0,26,0,53,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,0,0,35,0,0,306,41,0,0,0,0,5,0,0,0,0,0,2306,2903,389,449,3,9,0,0,0,0,3,0,146,0,0,5891,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,2863,14,0,0,5240,438,0,0,0,0,18,153,231,1,0,44,0,33,0,9,0,1,0,0,230,0,269,0,448,30,14,6,271,956,238,0,0,413,0,168,0,0,0,16,0,223,0,36,0,0,0,16,0,0,0,23,0,3248,0,65,0,83,0,0,0,2,0,67,25,880,3585,3077,233,896,0,453,0,146,0,0,199,597,0,0,0,0,0,0,0,25,4,0,0,973,0,2436,206,42,0,70,0,148,200,0,0,0,579,237,0,54,0,0,0,137,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,380,0,1,0,0,0,5,0,0,0,85,0,82,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,242,0,252,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,595,3833,0,0,0,5047,0,0,0,0,49,380,367,0,4,0,38,0,15,0,0,0,0,230,0,265,0,153,73,564,65,71,1026,144,258,0,0,0,71,0,199,0,0,0,3,0,37,0,205,7,0,0,49,0,0,0,13,0,3194,0,12,0,118,3,0,0,43,157,148,4225,356,59,3345,87,1162,0,728,0,270,432,120,0,500,0,0,0,0,13,0,0,125,0,0,0,878,71,2650,0,0,0,69,83,2,249,0,0,981,0,115,0,34,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,36,0,15,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,31,0,215,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,0,0,106,0,3304,0,0,269,0,1,0,42,0,81,0,10,0,0,0,1,0,265,0,0,0,0,6,0,50,0,0,350,4675,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4070,0,0,0,0,0,0,0,0,82,863,0,44,0,9,0,0,84,160,0,7,401,32,823,669,3120,0,69,0,4731,0,0,5999,36,4448,17,1021,2495,0,0,0,0,18,0,847,13,0,256,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,5,0,0,0,0,818,0,154,1755,25,3,77,0,173,0,0,244,2,0,0,0,0,932,2869,0,674,0,6,0,949,0,0,0,0,0,0,0,0,16,0,627,0,345,0,703,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,3547,0,2718,0,992,0,0,0,27,0,6,5846,30,1101,0,3625,164,993,0,712,10,1254,81,269,0,0,0,328,10483,189,479,36,0,59,0,0,0,6,0,35,0,0,0,27,0,178,0,113,0,0,0,0,16,0,0,5,0,493,0,84,0,30,0,142,0,1743,156,773,21,0,47,1823,0,2285,92,176,0,105,8,12,0,0,0,2,3,0,0,17,0,103,0,0,0,66,0,221,0,536,0,115,0,0,32,0,0,0,120,19,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,40,14,0,0,141,0,1,0,0,133,0,0,31,0,0,15,0,0,0,0,0,804,0,525,1626,869,53,1719,0,0,0,0,0,0,0,0,1577,463,31,0,2,0,73,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,4405,0,3294,0,1171,0,0,0,0,3,17,3910,0,1431,0,3184,0,764,0,532,2,1217,0,153,0,328,0,102,9249,127,389,158,0,1,0,0,0,15,0,76,0,0,0,4,0,22,0,12,0,0,14,0,0,0,0,2,0,654,0,44,0,3,0,367,0,1581,0,632,34,0,0,1495,0,2099,0,0,0,130,22,0,0,0,53,9,0,8,0,21,0,579,0,0,0,0,0,80,0,590,0,45,0,0,11,0,0,363,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,77,0,506,13,0,7,0,0,5,0,0,0,0,0,377,396,1509,1185,1685,159,0,0,0,0,11,0,0,0,0,2118,0,37,0,2,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,6755,0,2322,0,533,0,0,0,15,0,95,2658,78,272,0,3098,68,1198,0,476,0,201,0,448,73,0,10483,102,0,489,625,12,0,58,33,0,0,0,0,14,0,0,0,3,0,48,0,447,0,0,0,0,111,0,0,0,0,1314,0,29,0,207,0,506,0,1389,20,468,66,0,0,1459,0,3109,193,219,0,58,14,0,0,0,0,0,64,0,0,335,0,773,368,0,0,8,0,677,0,974,15,213,0,0,32,0,0,0,541,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,6,16,25,0,102,0,401,0,0,5,0,0,0,0,0,0,0,0,517,0,137,1064,286,36,5714,0,0,0,0,0,0,0,0,321,0,0,0,0,0,303,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,611,5950,0,2598,0,1405,0,0,0,14,69,208,2112,0,0,0,2349,0,1005,0,328,0,435,30,564,6,189,9249,489,0,24,572,82,0,154,0,0,0,11,0,2,0,0,0,1,0,3,0,274,0,0,49,0,0,0,0,0,0,934,0,3,0,133,0,282,13,738,133,516,55,18,148,1716,18,2378,0,0,0,22,32,0,0,0,266,23,0,0,0,162,0,626,0,0,0,19,21,467,0,467,0,318,0,0,87,0,0,851,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,359,0,0,0,245,0,923,0,0,0,0,0,0,0,0,0,0,0,246,98,1022,385,4604,697,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,82,18,1304,26,645,693,0,0,0,0,0,2665,729,1949,205,64,0,4904,2939,111,0,469,14,14,65,0,479,127,625,24,0,3108,573,173,0,0,0,173,53,63,91,0,0,32,48,136,28,0,0,0,0,1,34,0,0,43,26,0,16,121,16,0,0,0,0,1839,776,1543,325,422,262,1397,1259,336,359,0,14,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,159,0,0,0,0,0,0,39,0,0,0,0,86,13,97,83,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,231,18,0,0,0,0,0,0,0,5,0,6,71,20,0,0,25,0,64,0,89,0,0,2,3,0,0,0,0,6,113,132,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,40,74,712,1557,392,548,0,0,0,0,0,412,2392,531,2259,0,34,3368,4844,0,30,44,461,6,71,50,36,389,12,572,3108,0,112,362,0,0,0,67,50,21,60,0,0,60,88,169,24,0,0,0,0,54,28,0,0,8,43,7,3,80,33,0,0,0,0,1224,2098,405,1313,227,790,899,1028,456,351,0,0,0,0,14,0,0,0,13,3,0,0,0,0,0,0,0,0,1,49,0,65,0,0,0,0,0,0,15,0,0,0,45,36,54,86,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,7,0,0,0,1,10,24,0,0,2,1,0,45,55,0,0,0,0,0,0,0,3,0,56,49,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,11,231,0,0,22,2101,0,0,0,0,719,582,59,0,0,0,5,0,668,0,0,0,0,271,1026,0,0,158,0,82,573,112,0,2181,281,0,0,114,27,39,35,0,369,0,0,194,73,0,142,0,15,100,6,0,0,0,10,0,541,23,36,0,138,0,0,0,0,259,14,2350,149,277,1363,13,611,103,487,405,140,1262,377,45,1218,0,0,0,0,13,131,0,184,0,30,0,1103,458,2090,0,0,5,1316,171,2,45,0,0,762,180,42,73,2,0,0,220,115,0,0,0,0,17,0,0,0,0,0,0,0,0,0,44,3,0,77,230,191,245,34,23,0,0,0,0,83,83,19,3,0,152,0,0,0,0,0,0,0,145,1,22,0,0,10,1,0,407,236,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,250,12,0,0,1482,130,0,0,0,0,858,38,760,0,0,0,0,60,0,0,0,0,0,956,144,0,59,0,58,0,173,362,2181,0,203,0,0,97,76,36,114,518,0,0,5,80,120,81,0,13,0,30,77,0,0,0,6,488,204,33,49,265,0,0,0,68,0,11,274,786,1572,1202,292,561,9,788,113,0,295,1061,1148,1294,204,0,11,0,0,95,0,132,1,0,5,1077,0,1546,459,0,0,1625,148,157,57,0,0,0,883,142,59,3,29,32,0,65,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,116,151,178,10,7,0,0,0,0,47,75,12,21,193,0,0,0,0,0,0,0,0,0,185,0,0,0,1,8,572,0,220,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,138,149,27,110,0,0,0,2,0,0,2141,0,0,3,0,0,2,0,0,0,0,0,0,238,258,350,0,1,33,154,0,0,281,203,0,1150,287,0,1,2,0,100,87,0,0,0,0,69,236,40,63,135,405,3,1408,311,195,162,144,94,113,217,309,676,989,0,0,431,200,0,0,50,84,783,624,221,254,672,919,1229,936,705,781,215,227,219,0,1539,1310,1329,1315,209,2,1,8,188,136,34,10,21,48,0,170,125,53,89,1205,0,0,0,0,146,79,67,123,0,0,0,0,4,42,0,0,0,74,149,257,111,805,848,1775,1819,830,667,1496,1865,916,534,92,307,2,44,218,356,0,7,90,162,265,321,7,0,0,246,296,677,673,158,143,18,0,0,2,0,26,13,0,437,239,2038,6,20,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675,0,0,0,0,0,0,0,0,1150,0,19762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,800,0,0,0,0,0,0,0,0,1576,2275,0,0,226,94,0,0,0,15,0,0,1580,2149,0,180,1744,0,369,0,575,0,0,1469,2989,2488,138,92,1311,226,4,0,0,0,0,277,0,373,82,43,0,0,0,0,0,0,0,0,0,0,34,578,0,0,0,0,0,0,0,0,0,0,5518,930,414,0,271,0,435,0,0,0,195,0,245,0,0,0,0,35,4,0,0,0,0,2456,2748,0,184,0,0,0,100,0,214,0,55,0,0,0,0,236,0,177,0,0,0,347,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,287,19762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,699,1955,0,0,147,295,0,0,0,0,0,0,2826,3455,38,116,1446,0,178,0,814,0,0,486,3361,1902,47,137,164,592,95,0,0,0,0,327,0,1106,97,183,0,0,0,0,0,0,0,0,0,0,258,562,0,0,0,0,0,0,0,0,0,0,92,75,2253,0,216,0,62,0,0,0,120,0,115,0,0,0,0,4,0,0,0,0,0,1692,1649,0,0,0,0,0,218,0,237,0,172,0,0,0,0,597,0,28,0,11,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,151,0,51,0,16,0,0,0,0,55,21,0,0,21,0,54,0,84,0,137,0,413,0,0,6,0,0,0,173,67,114,97,0,0,0,0,0,209,0,0,0,0,0,6291,0,0,0,9,0,1,9,0,0,20,0,1389,0,2839,0,0,0,274,0,42,0,55,0,55,30,47,0,11,0,145,0,168,1,148,415,312,0,205,22,253,0,1,0,0,0,347,7,0,0,18,0,74,0,181,0,1311,0,0,3991,0,0,5913,0,0,0,0,0,0,0,0,70,0,0,123,0,709,1007,1808,878,0,249,136,0,0,0,0,0,0,5,0,0,16,0,0,5,0,0,0,8258,0,0,0,0,0,30,0,209,2,16,86,0,1,4,12,1900,0,0,0,16,33,0,181,164,1,0,0,0,1025,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,6,0,15,0,3,0,0,0,0,0,39,1,0,0,0,0,0,56,0,20,0,8,0,71,0,0,15,0,11,53,50,27,76,1,0,0,0,0,0,314,0,0,0,0,0,5076,0,0,12,20,5,18,0,0,0,0,0,920,0,4270,0,0,0,0,0,93,3,16,0,60,0,34,0,0,0,83,15,2,163,229,0,223,35,28,4,261,228,0,0,0,404,65,0,0,0,39,0,85,0,60,1002,18,0,186,6025,0,0,7018,0,0,0,0,31,14,159,170,9,0,135,216,848,1502,383,1105,0,79,164,9,0,0,0,0,3,0,82,75,1,0,0,9,16,25,1,0,9625,0,0,0,0,0,29,78,0,98,0,31,33,13,48,0,2119,0,0,7,0,16,205,114,0,25,0,0,0,0,0,0,0,0,0,0,1019,151,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,3,0,91,0,224,0,382,0,227,0,0,55,102,0,0,3,0,30,0,587,0,58,0,168,0,0,35,0,14,0,63,21,39,36,2,0,0,209,0,0,0,496,0,2689,0,2582,0,2317,0,0,153,4,0,0,0,3234,0,1119,0,0,0,0,0,63,0,73,0,41,28,0,89,60,0,54,0,6,0,0,0,80,2,528,0,0,0,0,0,0,0,0,0,0,38,0,0,127,0,1,0,81,0,866,0,0,19,0,0,306,0,5088,0,547,0,164,0,19,20,217,565,0,1,1055,114,6084,1097,0,0,0,1,0,105,0,62,56,262,97,33,1,724,0,0,35,162,0,3759,0,2431,0,699,0,641,0,213,125,150,0,0,48,0,118,15,0,0,0,15,155,0,30,91,0,34,538,0,22,56,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,278,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,24,0,90,0,193,0,56,0,406,0,72,69,0,0,0,114,0,72,0,146,0,160,0,199,0,0,76,0,2,91,60,35,114,0,0,0,0,314,0,0,0,850,0,2857,0,4702,0,2405,335,0,0,24,0,19,0,3589,0,1007,0,0,0,0,0,54,0,81,37,124,206,0,0,50,0,116,0,15,0,0,6,0,0,67,12,0,0,6,0,9,0,0,0,49,0,4,0,201,0,0,0,52,1065,0,0,0,120,0,0,124,0,5144,0,664,0,190,26,52,430,207,34,0,1047,6508,93,1242,0,869,339,0,0,0,366,0,66,159,169,99,7,0,167,0,0,0,117,0,2890,0,2946,0,405,0,127,167,55,63,0,0,1,26,81,0,1,0,0,41,0,138,108,70,0,2,0,546,0,0,0,0,0,0,0,0,0,391,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,205,0,0,0,0
IL2VL,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,100,0,0,0,0,496,0,0,0,0,0,0,0,4253,0,222,0,0,4,0,0,4,0,397,0,0,0,1961,0,259,0,0,0,0,282,0,0,0,0,0,0,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,175,132,275,0,118,0,0,0,283,0,986,47,9,7567,0,1,0,0,0,0,6755,0,0,144,231,0,0,10,0,132,1079,2026,1767,589,0,450,104,212,0,179,0,246,0,80,15,67,0,60,0,0,0,0,0,0,0,8699,0,0,0,0,0,0,0,0,0,0,16,59,4,0,0,1089,0,294,0,0,318,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,117,8,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,87,0,0,0,0,0,850,0,0,0,0,0,0,0,2570,0,23,0,0,0,0,0,0,0,185,0,0,0,1610,0,332,0,0,146,0,0,0,0,0,0,0,98,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,87,426,0,252,0,40,0,0,0,79,1298,0,2,0,7060,0,0,0,0,11,0,6666,19,0,0,200,0,0,131,0,847,2073,1771,642,0,0,0,0,142,0,145,0,386,19,126,0,89,0,152,0,5,0,0,0,0,0,9569,0,0,0,0,0,0,0,0,0,34,72,160,0,0,0,738,225,0,0,292,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,100,0,0,0,0,115,0
OLLL,0,0,106,0,41,0,5,0,736,0,0,24,90,0,0,0,0,5,0,98,0,27,0,16,0,0,27,0,3,0,32,60,0,0,0,0,0,0,0,2689,0,0,0,0,304,662,0,941,0,79,804,0,15,0,0,1786,0,257,0,705,0,736,52,83,0,22,0,25,90,84,46,0,0,6,0,0,14,0,0,275,0,9,2352,89,0,0,0,0,0,0,0,0,118,164,17,991,108,5,0,467,0,26,29,23,0,0,0,2290,82,2223,0,1676,231,20,0,1026,27,84,326,1336,76,624,44,463,391,0,0,0,40,10,152,0,9,111,178,93,3,24,232,0,55,628,280,503,0,0,64,0,286,0,89,0,154,4,29,0,0,141,28,142,1029,0,1207,0,123,27,0,32,37,0,63,177,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
OLLR,0,0,0,142,0,5,0,71,0,305,0,20,21,0,0,0,3,0,39,0,24,0,67,0,3,0,0,4,0,1,48,88,0,5,0,0,0,0,0,0,2857,0,0,304,0,0,604,0,880,793,13,0,0,0,23,0,2001,0,320,0,589,0,790,0,0,0,39,59,41,29,0,0,0,0,20,3,0,0,0,0,0,2775,1,0,0,0,0,0,0,0,0,0,87,25,266,0,1060,0,1,0,455,0,32,26,0,0,0,0,1662,0,2656,0,1640,0,21,135,1575,400,142,83,1302,58,506,19,156,0,136,502,0,2,0,166,0,5,77,21,98,0,0,148,626,45,448,162,0,0,0,132,0,126,0,27,22,2,18,0,0,27,91,112,0,1272,0,1369,114,0,11,6,24,0,81,0,115,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,74,0,0,0,0
OLQDL,0,0,195,0,247,0,15,0,0,0,0,28,114,0,0,139,0,117,0,207,0,75,0,223,0,0,178,0,48,0,136,169,194,80,0,0,0,6291,0,2582,0,0,0,662,0,0,0,21,0,1,0,0,26,0,0,1122,0,0,0,2275,0,0,0,317,0,68,0,27,4,82,121,56,0,12,0,126,0,126,1,148,345,0,589,115,33,97,0,7,0,4,0,219,12,53,10,223,0,153,0,314,0,805,0,0,1135,0,0,4032,0,0,0,0,0,0,0,146,1184,104,113,462,328,379,584,56,325,0,696,62,0,195,0,0,0,0,1196,0,0,1078,0,0,0,0,0,0,2197,0,0,0,0,0,187,0,560,94,114,177,2,0,0,0,1592,0,0,0,113,81,0,374,341,19,0,0,0,1018,56,165,29,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,41,0,10,0,53,0,0,0,0,3,11,1,0,0,0,16,0,24,0,46,0,26,0,37,0,0,22,0,3,28,24,73,120,0,0,0,0,5076,0,4702,0,0,0,604,0,0,0,71,70,39,4,0,0,0,0,441,0,190,0,2431,0,0,0,0,0,25,0,26,109,55,0,41,0,17,0,72,0,0,249,156,268,233,62,41,0,24,44,0,0,0,421,30,66,41,0,140,0,18,0,200,1088,4,11,0,1308,0,0,5558,0,1,0,0,0,1,1097,190,102,71,231,397,347,489,141,611,0,78,375,483,0,0,0,0,0,0,824,1490,0,0,0,0,23,26,0,0,2907,0,25,0,0,0,35,104,2,133,0,39,33,8,20,0,1768,0,0,128,0,61,268,311,0,0,0,0,0,0,0,0,0,0,0,0,177,48,0,74,0,4,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,251,0,261,0,0,0,0,0,0,0,8,15,0,0,0,13,0,0,0,0,0,0,0,36,0,0,113,0,447,0,0,0,0,81,69,0,0,0,0,2317,0,4253,0,941,0,21,0,0,0,2,0,0,0,0,0,559,0,283,0,0,0,2300,0,532,0,0,0,0,0,0,27,6,0,39,0,161,0,54,56,0,141,0,365,0,55,0,0,157,0,98,0,272,317,79,5,347,0,0,0,509,0,1064,0,0,1858,0,177,0,0,24,0,4098,0,0,53,570,0,0,50,0,1005,384,878,0,401,0,528,740,0,0,338,0,2179,0,63,94,0,0,1265,0,0,0,0,0,0,0,1606,0,0,0,0,0,0,0,0,0,340,58,14,266,0,0,1901,0,324,0,0,546,57,193,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,133,0,0,0,0,0,0,0,0
OLQVR,0,465,0,453,0,10,0,22,0,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,205,0,0,12,0,274,0,0,142,0,236,0,0,0,0,0,2405,0,2570,0,880,0,71,0,0,0,47,0,0,0,1,0,725,0,384,0,0,0,1882,0,511,0,0,17,0,90,0,0,0,0,24,0,0,55,120,263,0,511,0,206,0,0,0,0,213,0,95,426,585,24,107,0,339,0,15,0,805,967,0,0,0,2102,226,0,0,0,54,0,4226,108,0,0,379,30,27,1367,0,16,0,689,284,0,49,0,0,1,0,526,0,1737,295,253,0,27,0,893,0,0,0,0,0,0,0,1627,0,0,0,0,0,0,0,245,0,46,185,333,0,0,0,1829,247,0,0,198,675,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65,68,32,0,395,2742,1097
SAADL,0,0,0,8,0,0,0,314,0,2199,0,0,0,0,0,0,2,0,0,0,12,0,2,0,7,0,0,0,0,0,0,0,0,13,40,0,0,9,12,0,335,222,0,79,793,1,70,2,0,0,2183,174,1456,0,481,0,287,1,24,85,107,365,0,221,9,0,0,554,554,0,23,0,0,8,107,488,978,7,1,168,116,62,418,24,64,5,0,0,19,181,0,0,166,153,0,3,111,0,0,1643,892,0,1332,1800,0,0,0,39,161,0,189,82,0,86,1959,306,0,43,36,0,385,0,0,0,93,330,670,104,812,323,168,59,417,66,169,184,652,58,999,215,631,25,247,1713,0,0,14,0,201,688,0,20,17,95,177,0,96,624,1015,5,0,0,0,0,574,0,1,44,111,0,7,406,629,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,375,2,1180,4,0,0,0,0,0,0,0,0
