neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASJR,0,66,0,153,0,0,0,168,0,120,0,0,860,0,554,0,261,0,793,531,0,30,5128,0,0,0,0,439,0,396,0,3,0,0,0,0,0,0,146,0,42,0,0,0,91,0,258,0,0,26,0,105,0,0,3,0,42,0,364,0,173,0,0,0,8,0,1834,0,108,0,0,0,0,0,37,0,0,0,0,0,256,0,477,0,233,0,4,0,0,0,0,0,0,0,0,0,52,0,162,0,0,0,0,31,0,0,2,0,202,0,50,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,77,0,0,0,27,0,0,62,96,0,0,0,0,266,0,0,0,107,108,5184,3379,1790,1785,0,180,0,0,0,0,58,0,305,0,0,6943,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,1757,0,0,0,43,0,27,0,0,1319,111,1146,0,1632,0,1037,0,4905,30,0,731,0,0,0,1739,153,151,0,518,67,0,0,0,0,0,11,0,108,0,0,0,47,0,46,0,0,0,0,0,0,0,5,0,54,0,2,0,19,0,0,0,478,0,6498,78,1356,0,0,0,0,63,0,0,0,0,4,0,187,73,0,0,210,0,33,0,0,0,0,0,0,0,0,0,31,0,866,0,0,0,0,109,0,0,0,0,15,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,3,60,0,0,0,12,30,0,0,18,0,0,16,0,0,0,31,0,2428,0,1434,1134,332,236,0,0,0,0,0,0,169,0,0,6270,362,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,0,717,2729,0,1,0,87,0,32,0,2,1000,0,955,0,1198,0,851,281,5128,731,0,0,0,0,0,297,0,18,74,364,0,0,0,0,0,0,3,0,70,0,0,0,136,0,218,0,0,15,0,75,0,0,23,0,45,0,14,0,54,0,0,0,563,0,5775,0,1617,0,0,0,21,0,14,0,0,0,10,82,126,0,0,0,170,0,49,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,34,0,0,0,0,23,0,37,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,219,12,0,0,6,0,0,0,29,0,0,0,0,37,0,0,0,24,0,2104,2291,1862,279,0,130,0,0,0,0,0,0,166,0,48,6489,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,2953,6,0,0,5218,0,0,0,0,0,32,188,262,0,0,0,0,9,0,73,0,0,0,0,3,0,90,0,675,0,114,9,275,839,252,0,0,393,0,171,0,0,0,294,0,93,0,2,0,0,0,31,0,0,0,36,0,3408,0,134,0,3,0,0,0,141,0,102,33,678,2959,2783,0,736,0,306,0,56,0,0,182,515,0,0,0,0,0,0,0,4,0,0,0,713,0,2475,0,0,0,75,0,124,184,0,0,0,351,146,0,5,0,0,0,157,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,47,0,90,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,46,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,197,2848,0,0,163,3950,0,0,0,0,14,200,188,0,26,11,260,0,105,0,0,0,0,3,0,24,0,12,14,822,3,6,758,317,162,0,0,0,175,0,169,0,0,0,50,0,203,0,30,0,0,0,23,0,0,0,49,0,2500,0,176,0,44,0,21,0,88,58,177,2317,1618,0,2988,65,504,3,373,0,117,164,16,0,755,0,0,0,0,0,0,0,68,0,0,0,966,95,2865,0,176,0,15,129,12,129,0,0,331,0,162,0,92,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,8,0,0,0,13,0,0,0,99,0,75,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,84,0,147,0,0,0,0,35,166,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,226,0,0,0,150,976,2859,0,0,193,0,14,0,0,0,81,0,9,0,0,0,0,0,24,0,0,47,0,2,0,12,0,0,309,3520,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,159,32,0,0,0,7,0,0,193,428,0,5,0,0,1346,1851,1888,752,273,313,7342,1749,1138,6322,1389,3242,438,422,535,0,0,0,0,143,199,1516,332,210,148,130,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,234,1097,36,74,1330,83,356,169,0,89,10,0,45,0,0,0,0,0,775,970,0,71,0,330,496,292,416,5,33,3,0,0,0,29,0,0,171,0,148,201,1009,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,3211,0,2315,0,1230,0,2,0,55,0,0,4847,51,1352,0,3043,179,550,0,765,0,1739,0,90,0,0,0,614,9881,861,361,4,0,232,136,0,0,0,0,49,0,0,0,72,0,31,0,0,0,0,0,0,0,0,0,54,0,46,0,19,0,0,0,6,0,1396,0,448,0,0,0,2196,0,1707,0,0,0,244,0,9,0,0,0,5,0,0,0,0,0,184,0,0,0,12,0,70,0,581,19,1,0,0,2,0,0,0,33,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,72,0,0,13,8,632,0,0,30,0,0,0,0,0,0,0,0,562,0,677,1692,917,198,1512,0,0,0,0,0,0,0,0,1410,220,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,3847,0,2759,0,1483,0,1,0,15,0,27,4891,0,1376,9,2506,0,301,0,439,153,297,0,12,47,614,0,44,8955,45,289,123,0,11,0,0,0,5,0,51,0,0,0,44,0,50,0,0,0,0,63,0,0,0,0,27,0,191,0,45,0,0,0,105,37,1281,5,407,0,3,0,1689,0,2747,0,5,0,294,1,0,0,0,0,49,0,0,0,0,0,69,0,0,0,13,0,76,0,973,0,35,0,0,2,0,0,65,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,17,13,0,0,72,0,40,0,492,42,0,0,0,0,11,0,0,0,14,0,758,264,990,1194,957,96,0,0,0,0,0,0,0,0,0,1237,114,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,5890,253,2451,0,1521,11,0,0,0,0,21,2257,33,9,0,1952,0,811,0,761,0,151,0,675,14,0,9881,44,0,443,210,1,0,31,225,0,0,0,0,44,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,16,0,525,0,0,0,15,0,545,0,830,0,195,202,0,1,1337,24,2258,0,61,0,95,0,0,0,0,0,0,7,0,0,34,0,822,0,0,0,108,0,679,0,882,0,73,0,2,17,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,36,0,0,297,0,1846,0,0,3,0,0,0,0,0,0,1,0,1323,0,89,781,586,324,3993,0,0,0,0,0,0,0,0,282,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,176,6179,0,2530,7,958,0,129,0,3,41,129,1951,0,2,624,2657,0,1003,0,396,0,18,0,822,2,861,8955,443,0,44,487,2,0,152,0,0,0,0,0,13,0,0,0,10,0,1,0,80,0,0,12,0,0,0,0,0,0,403,0,0,0,43,0,268,0,944,248,400,0,52,0,1013,0,2095,0,190,2,179,0,0,0,0,0,8,0,0,11,17,2,808,0,0,0,66,0,337,65,1278,0,283,0,0,124,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,5,29,0,41,0,92,0,958,18,0,0,0,0,0,0,0,0,0,0,799,46,138,466,4369,17,0,0,0,0,0,0,0,0,0,203,23,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,17,148,1112,241,657,481,0,0,0,0,0,2337,873,2290,624,3,0,4258,2738,18,0,518,74,114,3,0,361,45,210,44,0,2694,811,491,0,0,0,98,29,91,25,0,0,54,43,51,108,0,0,0,0,15,43,0,0,47,0,0,1,41,74,0,0,0,0,1400,847,980,199,614,117,1396,986,292,288,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,96,0,0,0,0,0,0,142,0,0,0,14,110,71,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,2,0,0,0,0,6,0,0,0,0,0,12,51,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,39,315,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,0,84,831,1480,695,455,0,0,0,0,0,452,2067,321,2483,0,1,3613,4756,0,3,67,364,9,6,12,4,289,1,487,2694,0,75,586,0,0,0,226,32,270,39,0,0,72,48,106,116,0,0,0,0,29,2,0,0,82,7,0,0,58,37,0,0,0,0,760,1613,342,1232,84,289,498,1227,272,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,59,0,0,0,0,0,0,54,0,0,0,85,66,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,219,0,0,0,0,0,0,0,0,0,0,35,47,0,0,0,0,0,228,104,0,0,0,0,0,0,0,0,0,127,79,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,117,0,0,0,1642,0,0,0,0,895,772,43,0,49,0,0,0,336,0,0,0,0,275,758,0,0,123,0,2,811,75,0,1351,278,0,0,59,99,11,40,0,488,74,0,243,214,0,91,0,16,194,149,0,0,0,2,28,325,112,52,0,90,0,0,0,35,243,11,1185,1093,120,1232,12,476,128,493,67,12,1091,580,356,982,9,0,0,0,75,101,3,116,0,89,0,634,542,1436,0,0,292,839,97,66,36,0,0,606,136,84,0,18,0,132,127,122,0,0,0,0,57,0,0,0,0,0,0,273,0,0,0,14,0,0,58,115,154,138,21,35,0,0,0,0,138,91,47,9,0,23,0,0,0,0,0,0,0,57,0,0,0,0,3,4,0,446,11,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,216,21,2,0,1527,7,0,0,0,0,907,156,337,96,0,0,0,239,0,0,0,0,0,839,317,0,232,0,31,0,491,586,1351,0,173,0,0,1,229,2,46,411,0,0,11,45,137,113,0,4,0,63,156,0,0,0,7,510,67,0,57,78,0,0,0,14,0,22,353,5,1361,1398,145,438,3,357,180,0,71,601,295,930,65,0,0,0,0,25,26,169,0,0,61,986,0,1886,631,0,0,864,630,92,149,54,0,0,697,47,84,0,49,55,0,68,56,0,0,0,0,0,0,0,0,0,0,441,38,0,0,0,29,0,0,0,83,93,95,0,25,0,0,0,0,34,115,0,64,88,0,0,0,0,0,0,0,0,0,53,32,19,13,0,49,400,0,92,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,326,198,21,25,47,0,57,0,0,0,2127,0,0,0,0,0,26,0,0,0,0,0,0,252,162,309,136,11,225,152,0,0,278,173,0,874,592,1,0,0,8,73,113,0,0,0,0,55,55,164,79,145,203,1583,858,324,291,188,131,156,127,242,193,630,663,0,0,232,363,0,0,2,4,607,572,420,222,558,705,645,697,654,642,100,69,158,12,678,1398,1320,1478,293,2,0,15,183,99,22,8,13,35,7,85,214,0,25,917,0,0,0,0,97,100,46,183,0,0,0,0,20,12,0,0,0,100,16,64,33,7,868,880,1677,1369,641,536,1586,1471,535,520,339,153,0,1,306,398,0,0,86,119,286,261,0,0,0,138,197,956,1189,0,20,0,0,0,3,0,26,0,0,577,27,1081,34,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,0,874,0,9681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2257,650,0,0,0,0,0,0,0,0,387,262,0,0,0,51,0,0,154,126,0,0,263,1197,828,1001,1820,2076,565,967,1252,1463,227,490,2558,2714,246,1065,1301,18,5,0,0,0,0,33,29,0,319,14,22,0,0,0,0,0,0,0,0,0,79,221,0,0,0,0,0,0,0,0,0,0,0,99,153,0,14,0,156,1513,0,0,311,31,499,4,3,204,0,0,377,0,0,0,0,0,926,1474,0,0,0,0,2,535,1024,58,128,0,0,0,0,0,103,0,5,158,474,420,1882,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,592,9681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,364,1357,0,0,0,0,0,0,0,0,470,106,0,0,1733,121,0,0,0,0,0,170,3442,1604,10,450,0,0,324,161,57,0,0,0,1149,582,0,0,0,30,0,167,0,0,0,0,3,38,0,0,359,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,11,152,0,0,70,0,230,10,0,88,0,89,0,0,0,0,0,0,1702,2578,0,0,0,0,0,2,0,35,290,0,0,0,0,0,405,0,0,0,61,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,326,0,62,0,0,0,0,0,21,30,72,0,0,4,0,204,0,65,0,11,0,393,0,0,0,0,0,0,98,226,59,1,1,0,0,0,0,222,0,0,0,0,0,4895,0,0,0,0,0,0,0,0,0,7,0,1682,0,2881,0,0,0,35,0,10,0,63,4,63,23,18,0,26,0,0,0,67,0,61,292,165,0,198,100,404,0,0,8,0,0,1184,49,0,0,33,0,194,0,139,0,1147,0,0,7499,0,0,5936,0,0,0,0,0,0,0,0,131,0,0,326,0,602,833,690,782,13,0,67,20,0,0,0,0,0,0,4,0,0,33,0,0,0,0,0,0,7381,0,0,0,0,0,47,0,167,8,19,154,0,1,8,22,2586,0,0,0,49,8,0,56,81,0,0,0,0,126,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,0,0,37,0,49,0,0,0,0,0,1,0,0,0,0,69,0,10,0,146,0,3,0,175,0,0,5,0,0,29,32,99,229,0,0,0,0,0,0,748,0,0,0,0,0,2993,0,0,0,0,0,0,0,0,0,0,0,793,0,2181,0,0,0,174,0,0,12,10,91,82,0,2,0,18,0,75,20,64,197,137,0,102,117,169,497,291,0,0,0,0,564,122,0,0,0,38,0,236,0,110,465,0,0,0,5376,0,0,4640,0,0,0,0,0,3,21,0,0,0,0,69,786,1566,956,789,3,1,19,276,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7731,0,0,0,0,0,277,95,58,45,0,170,26,2,20,0,2430,0,0,21,0,19,76,228,0,1,0,0,0,0,0,0,0,0,0,0,157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,0,0,243,0,62,0,0,0,0,0,0,47,143,0,0,36,0,302,0,179,0,108,0,171,0,0,49,0,44,0,91,270,11,2,0,0,0,222,0,0,0,550,0,2395,0,2785,0,2337,0,0,82,3,0,0,0,2231,0,733,0,31,0,0,0,87,0,4,0,136,0,0,121,2,0,35,0,0,0,5,0,0,35,221,0,0,9,0,0,0,0,0,0,0,0,7,0,64,0,0,0,2,0,896,0,0,259,0,0,616,0,4510,0,318,0,167,0,0,54,85,280,9,1,727,129,5232,1076,0,0,0,106,0,0,278,0,13,4,163,50,3,0,397,0,0,19,130,0,4403,0,2779,0,1697,0,19,0,208,209,121,0,0,0,0,0,0,0,0,0,0,150,0,284,84,0,0,640,0,0,185,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,0,0,167,0,200,0,0,0,98,1,75,37,0,0,0,48,0,275,0,42,0,70,0,169,0,0,51,0,13,25,39,40,46,8,0,0,0,748,0,0,0,2693,0,2890,0,2714,0,2186,236,0,0,2,0,0,0,2697,0,643,0,0,0,0,0,268,0,53,13,35,156,0,0,65,0,13,0,0,0,0,36,5,0,148,44,0,0,0,1,0,0,0,0,60,2,0,0,143,0,0,0,3,619,0,0,0,404,0,0,408,0,3971,0,233,0,115,24,2,583,132,19,0,891,5559,99,746,35,28,48,0,1,0,0,490,15,59,213,160,0,40,0,146,26,0,0,56,0,4546,0,2986,0,1400,0,103,80,48,64,0,0,0,14,46,0,0,0,0,25,0,23,72,149,0,40,0,531,0,0,0,0,0,0,0,0,0,31,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,57,0,0,0,0
IL2VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,73,0,0,0,0,550,0,0,0,0,0,0,0,3505,0,99,0,0,0,0,0,0,0,554,0,0,0,1392,0,280,0,0,0,0,542,0,0,0,0,0,0,0,9,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,165,680,0,171,0,0,0,225,0,1293,0,14,7689,0,5,0,0,0,0,7129,0,0,101,321,0,0,0,0,125,989,815,1707,1113,293,28,206,0,66,0,206,0,330,0,88,85,33,0,2,0,0,0,0,0,0,0,8197,0,0,0,0,0,0,0,0,0,0,33,36,51,0,0,673,0,391,0,0,257,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,136,16,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,113,0,0,0,0,0,2693,0,0,0,0,0,0,0,3571,0,13,0,0,0,0,0,0,0,413,0,0,0,1150,0,305,0,0,232,0,0,0,0,0,0,0,135,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,311,0,194,0,16,0,0,0,141,984,0,24,0,8140,8,0,0,0,0,0,6327,19,0,0,178,0,0,62,0,961,2683,927,418,0,51,0,335,0,279,0,166,0,193,89,135,0,159,0,13,0,0,0,0,0,42,0,10108,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1212,79,0,0,197,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,7,437,0,0,0,0,0
OLLL,0,0,218,0,84,0,0,0,552,0,0,54,35,0,0,0,0,110,0,62,0,47,0,294,0,0,72,0,13,0,54,72,74,0,0,0,0,0,0,2395,0,0,0,0,375,358,0,695,0,9,875,0,0,0,0,1475,0,206,0,772,0,808,0,1,0,6,0,53,0,0,104,9,0,0,0,0,0,0,0,68,0,6,2546,66,0,0,0,0,0,0,0,0,10,99,3,1110,25,0,0,527,0,62,46,26,0,0,0,1449,3,1953,0,1937,19,37,0,1170,95,137,307,1041,62,470,176,174,62,8,135,0,22,0,32,105,0,1,141,44,36,0,14,174,0,207,607,103,447,31,0,30,0,889,0,0,0,60,26,140,12,0,0,41,0,1069,0,984,0,43,33,0,12,2,0,36,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
OLLR,0,0,0,217,0,231,0,8,0,305,0,42,28,0,0,0,0,0,45,0,91,0,136,0,50,0,0,44,0,10,43,48,0,11,0,0,0,0,0,0,2890,0,0,375,0,0,345,0,659,721,83,7,0,0,1,0,1665,0,41,0,544,0,692,0,48,0,32,33,60,101,0,0,36,0,3,1,0,0,0,0,76,2814,1,0,8,0,0,0,0,0,0,0,72,4,145,14,972,0,0,0,469,11,10,29,0,0,0,212,1715,0,2790,36,1030,1,11,182,824,479,121,53,969,326,389,21,202,409,125,25,0,95,21,0,188,68,11,80,81,3,6,0,46,461,164,336,153,0,92,0,147,0,658,0,68,74,28,12,0,0,88,55,81,0,1140,0,1183,71,0,12,23,60,0,101,0,128,0,0,0,0,0,0,0,0,27,0,75,13,1,0,0,0,0,0,0,0,0,0,0,0,33,0,10,95,0,0,0,0
OLQDL,0,0,278,0,147,0,0,0,0,0,4,49,134,0,0,116,0,116,0,152,0,46,0,93,0,0,31,0,0,0,51,106,243,45,0,0,0,4895,0,2785,0,0,0,358,0,0,0,81,0,0,0,0,0,0,0,477,0,0,0,2942,0,0,0,142,0,32,0,57,0,167,94,34,0,0,0,44,0,154,0,129,292,0,58,121,141,91,0,0,8,3,0,126,10,48,25,186,0,168,0,356,0,668,0,0,2633,0,0,4985,0,2,0,0,0,0,0,175,1071,132,107,411,110,208,124,86,493,21,0,436,125,0,249,0,0,0,0,1452,0,0,1935,0,0,0,0,44,0,2611,0,0,0,0,0,169,0,196,29,92,126,0,21,1,170,1643,0,0,0,73,33,0,250,370,0,1,0,0,361,1,41,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,0,0,221,0,132,0,0,0,0,0,40,2,0,0,0,108,0,140,0,258,0,218,0,203,0,0,50,0,1,108,116,214,137,0,0,0,0,2993,0,2714,0,0,0,345,0,0,0,43,0,0,0,0,0,0,0,543,0,0,0,3018,0,0,0,159,0,212,10,79,81,106,0,67,0,13,0,73,22,128,249,114,156,107,88,211,140,238,2,0,0,0,265,242,39,21,0,88,0,22,0,564,622,0,0,0,591,0,0,5412,0,0,0,0,0,0,759,217,67,95,86,243,661,25,311,234,56,194,121,505,130,0,0,0,0,0,0,1138,942,0,0,0,114,7,10,41,0,2501,0,0,0,0,0,94,532,26,72,0,98,18,40,137,0,2186,0,0,64,0,38,363,283,394,24,0,22,0,0,0,0,0,0,0,0,86,63,22,45,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,101,0,32,0,0,0,432,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,113,55,0,0,0,0,2337,0,3505,0,695,0,81,0,0,0,22,0,0,0,12,0,333,0,166,0,0,0,1767,0,216,0,0,0,0,0,0,0,0,0,20,0,65,0,9,38,0,150,0,169,0,176,5,0,175,0,93,0,0,377,115,169,486,0,0,0,735,0,1012,0,0,436,0,74,0,0,18,0,4286,0,0,212,351,0,15,36,0,1743,280,834,103,999,136,0,843,0,0,0,849,0,1604,0,57,170,0,0,1491,0,0,0,0,0,0,0,2177,0,0,0,0,0,0,0,0,0,117,155,125,100,0,0,1733,0,141,0,0,488,188,184,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,396,27,142,63,0,69,0,0,0,0,0,0,0,0
OLQVR,0,152,0,83,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,80,0,0,91,0,55,0,0,0,0,0,2186,0,3571,0,659,0,43,0,0,0,55,0,0,0,0,0,920,0,434,0,0,0,2394,0,474,0,0,0,0,42,0,0,0,0,3,0,4,1,1,79,0,201,0,49,0,0,0,37,37,0,130,0,312,64,69,0,331,0,0,0,817,843,0,0,0,2059,209,0,0,0,1,0,4185,75,0,0,345,126,4,1129,0,297,113,563,195,0,404,0,1000,0,0,0,371,0,2089,50,115,0,0,0,725,0,0,0,0,0,0,0,2902,0,0,0,0,0,0,0,83,0,6,82,242,0,0,0,1883,195,0,0,156,518,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,168,46,15,164,0,0
SAADL,0,0,0,14,0,0,0,1102,164,744,70,0,0,0,0,0,1,0,0,0,26,0,15,0,0,0,0,0,0,0,0,0,0,4,164,0,0,0,0,0,236,99,0,9,721,0,0,22,0,0,1980,114,1228,23,1371,1,311,4,4,0,13,135,0,769,83,0,0,410,665,0,3,0,0,21,17,651,329,0,23,217,84,145,312,23,34,0,16,28,5,0,0,0,78,201,5,0,23,0,60,1267,513,0,1171,1859,0,0,0,0,0,0,127,38,0,30,2266,562,0,79,0,0,335,0,0,0,0,1695,2614,56,48,1634,172,273,141,552,2,470,416,895,125,679,112,460,34,244,2052,0,0,58,0,0,466,0,6,24,1,0,0,169,244,1210,0,0,0,0,0,159,0,8,135,136,0,0,399,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,130,924,25,0,0,0,0,0,0,0,0
