neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AQR,7,55,120,17,0,0,18,71,0,0,0,2,0,0,0,8,129,0,0,0,0,0,0,32,14,193,0,0,21,41,0,0,895,907,2127,419,394,21,0,0,1,0,20,0,0,4,0,53,23,70,1,76,76,467,132,1,23,140,270,0,0,177,3,532,611,0,0,392,387,0,0,77,86,13,12,1278,1311,1768,2501,353,100,63,1,188,306,0,0,2100,1954,4683,4891,0,401,105,64,70,99,0,42,261,432,0,31,8,0,0,2144,31,0,0,0,0,14,168,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,199,184,200,240,124,742,563,69,44,26,86,0,0,152,35,4,0,12,40,1024,371,0,0,0,0,0,1745,1245,265,157,120,0,0,0,0,632,0,0,93,75,730,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,840,496,1599,11,153,2871,0,0,0,0,2,0,374,1896,108,819,2,716,990,385,0,1319,2,188,200,0,4847,27,2257,129,2337,452,772,156,0,0,0,30,1,47,75,0,0,54,42,49,40,0,0,0,0,0,48,0,0,14,5,4,1,52,18,0,0,35,0,1523,669,1841,87,1211,274,2340,1899,593,405,0,14,5,0,30,2,0,0,0,0,0,0,0,0,0,36,0,0,0,21,46,0,59,0,0,0,0,0,0,0,0,102,81,34,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,36,0,0,0,0,15,0,0,3,0,0,10,2,0,0,0,0,109,0,332,197,72,24,39,0,0,0,0,0,0,0,0,579,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,21,609,1,1544,2125,232,0,0,0,24,0,374,0,0,1581,0,903,826,752,0,860,111,1000,262,188,14,51,4891,33,1951,873,2067,43,337,0,0,0,72,0,143,37,0,0,35,28,134,2,0,0,0,0,106,0,0,0,33,15,5,25,28,59,0,0,0,122,255,1528,157,1999,77,937,1759,2179,481,754,4,0,0,25,32,10,0,0,0,9,0,0,0,0,0,0,0,0,74,0,2,92,0,112,0,0,0,0,1,0,0,101,69,116,26,23,0,0,47,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,45,0,0,0,1,0,0,16,22,0,5,0,28,1,0,0,0,8,0,168,515,720,185,23,5,0,0,0,0,1,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,72,0,383,0,3,0,0,0,0,0,0,1896,0,0,0,509,0,3316,0,590,0,1146,0,0,0,0,1352,0,9,0,2290,321,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5694,0,1423,0,0,0,285,0,996,0,0,0,190,0,0,42,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,74,0,0,0,0,0,0,0,0,0,0,0,6189,0,0,0,0,0,0,0,0,0,0,0,195,0,0,187,0,16,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,24,0,113,0,84,0,0,0,0,0,108,1581,0,0,0,603,0,3508,0,554,0,955,0,26,0,0,1376,0,2,624,2483,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5593,0,1244,545,0,0,975,0,430,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,5249,0,0,0,0,0,0,0,0,0,0,0,114,0,0,196,0,72,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1368,104,1730,0,0,0,135,0,12,0,8,819,0,509,0,0,473,71,0,309,0,1632,0,0,11,0,3043,9,1952,624,3,0,0,0,0,0,0,4,0,36,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,987,0,78,0,0,0,3027,131,2005,0,780,0,0,0,19,0,749,0,787,3,1867,160,263,1698,97,0,152,408,0,0,222,25,1272,109,0,0,35,0,0,0,3772,0,0,0,0,242,0,0,0,197,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,4,0,0,4,42,127,0,0,601,0,0,2,0,4,2,0,0,0,0,0,808,5,40,1746,1612,442,2132,0,0,0,1,0,17,0,0,1794,10,117,0,207,7,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,1438,0,2282,0,0,0,208,0,21,129,2,903,0,603,473,0,0,40,0,261,0,1198,0,260,81,179,2506,0,2657,0,1,0,0,26,0,0,0,69,0,48,0,0,0,0,0,108,0,0,1,0,0,0,0,0,0,0,0,776,0,108,0,0,0,2942,0,2105,0,1094,0,0,0,0,27,622,13,698,73,2449,1184,325,0,95,454,289,0,107,164,90,41,1601,0,0,0,29,0,0,158,4084,0,0,0,0,185,0,44,213,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,27,0,0,36,0,0,0,613,26,0,0,0,0,44,0,0,0,0,0,924,0,2132,1276,2728,248,0,0,0,0,20,0,1,0,0,1688,81,24,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,7,0,354,0,800,0,0,0,0,0,0,716,826,3316,0,71,0,0,359,642,0,1037,0,9,0,0,550,0,811,0,4258,3613,0,239,0,0,0,204,0,302,0,0,0,110,0,116,0,0,0,0,0,155,0,0,0,111,0,4,0,95,0,0,0,0,0,1359,0,553,0,370,396,655,0,137,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,69,0,189,0,0,0,0,0,0,64,0,0,0,0,89,0,246,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,53,14,894,0,646,0,0,0,0,0,990,752,0,3508,0,40,359,0,0,793,0,851,0,105,9,0,301,0,1003,2738,4756,336,0,0,0,0,0,10,0,275,0,0,0,45,0,140,0,0,0,0,70,54,0,0,0,47,0,8,0,29,0,0,0,0,27,1595,0,479,596,355,2,912,0,138,0,70,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,155,0,61,0,0,0,0,0,0,265,0,0,0,0,29,0,450,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,20,0,33,0,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,17,0,213,0,0,0,165,0,223,0,0,385,0,590,0,309,0,642,0,0,531,4905,281,73,0,0,765,0,761,0,18,0,0,0,0,0,0,65,0,179,0,0,0,62,0,152,0,0,0,0,0,0,0,1,0,68,0,121,0,74,0,0,0,0,0,1073,0,35,0,0,0,0,0,0,0,0,0,0,0,241,0,503,0,229,0,0,0,0,0,0,0,0,0,0,0,180,0,177,0,0,0,0,6,0,0,0,0,81,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,117,0,0,0,15,28,0,0,63,0,0,87,0,0,0,104,0,5334,2,2886,1882,1878,359,0,0,0,0,15,0,144,0,0,7481,351,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
