neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
AQR,221,186,0,38,0,18,0,285,0,0,0,14,0,0,0,28,291,0,0,0,0,0,0,0,16,0,0,0,34,60,0,0,695,322,1883,1435,453,0,0,0,0,0,75,0,0,0,0,0,22,0,54,75,3,238,0,3,0,166,3,0,0,32,11,800,0,0,471,3,0,0,0,69,122,54,913,400,1876,1424,1174,439,56,12,692,55,0,110,3438,2489,2263,6137,303,580,0,69,2,24,1,156,0,354,33,0,8,0,0,1963,0,0,0,0,0,7,72,41,0,0,0,0,0,0,0,0,0,0,0,0,2,220,5,120,288,136,428,232,25,35,0,8,2,0,30,0,0,0,0,76,0,1456,0,3,0,0,0,2013,486,339,76,148,0,0,0,15,919,0,0,14,33,774,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,1572,45,512,0,1100,1692,0,0,0,0,14,0,1678,1292,0,602,0,837,352,516,0,562,0,328,197,0,4450,0,3301,205,1254,676,587,144,0,0,0,1,9,0,79,0,0,0,18,0,42,0,0,0,0,0,80,0,0,42,0,3,3,13,0,0,0,0,1492,361,2159,350,1295,201,2756,1031,759,242,0,116,12,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,32,26,0,187,0,0,0,0,0,0,0,0,251,18,59,0,135,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,10,2,0,0,0,0,0,23,0,12,104,0,16,482,0,0,0,0,0,14,0,0,187,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,82,1048,0,653,1271,1902,0,0,0,0,0,1678,0,0,1348,0,670,576,1247,0,304,0,884,82,260,0,18,3852,79,2747,1406,1806,215,0,0,0,0,29,150,0,114,0,0,0,20,20,120,0,0,0,0,0,25,0,0,45,5,206,22,71,0,0,0,0,240,1416,213,1793,673,249,734,2702,106,847,0,159,0,13,0,0,0,0,0,7,0,0,0,0,0,19,0,0,0,9,0,95,0,179,0,0,0,0,1,0,0,78,49,128,0,121,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,6,8,103,0,0,0,0,0,63,104,0,0,321,20,0,0,0,3,79,0,0,0,0,370,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,96,0,0,0,0,0,0,0,0,0,0,1292,0,0,0,289,0,4080,0,1762,0,354,0,1,0,0,2022,0,256,0,2074,352,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,4030,0,882,0,117,134,253,0,440,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,517,0,0,669,0,0,0,0,48,0,0,0,0,0,0,5903,0,0,355,871,0,0,0,0,0,0,0,619,0,0,11,0,622,0,174,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,42,0,488,0,0,0,0,0,0,0,0,1348,0,0,0,216,0,5824,0,1473,0,492,0,0,0,0,1792,0,64,1145,1311,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5029,0,1518,0,271,0,105,0,290,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,21,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,416,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1720,1,1181,0,0,0,947,0,0,0,28,602,0,289,0,0,262,82,0,230,0,1302,0,48,0,0,4488,0,2950,30,98,0,0,0,0,0,0,33,0,0,0,0,0,0,0,138,0,68,0,0,0,0,0,0,24,0,1084,0,69,0,30,0,2484,0,1150,0,372,0,0,0,134,0,520,24,220,16,1958,49,159,998,10,1,304,670,43,0,296,339,817,0,4,0,75,0,45,0,4347,0,0,0,0,472,0,0,0,139,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,41,0,0,548,0,0,21,0,19,56,0,0,0,0,0,927,202,72,0,354,799,2005,0,0,0,58,0,42,0,0,2042,57,307,0,337,50,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,29,1002,0,1797,0,0,0,301,0,0,291,0,670,0,216,262,0,0,6,0,596,0,1285,1,0,983,613,2894,0,1948,2,3,0,0,56,0,19,0,4,0,48,0,0,0,1,0,31,0,12,3,0,13,0,0,0,6,0,913,0,60,0,0,41,2348,1,1507,64,724,0,0,0,67,109,1005,0,323,0,2008,173,289,72,69,586,168,200,26,424,119,222,1268,4,0,0,192,0,50,491,3613,0,0,18,2,755,0,0,201,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,56,406,65,53,0,107,0,938,9,0,18,0,0,12,0,0,0,0,0,1431,59,0,0,1999,147,0,0,0,0,25,0,11,0,0,1865,0,373,13,85,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,355,0,966,10,436,0,0,0,0,0,0,837,576,4080,0,82,0,0,306,506,0,667,75,96,0,0,1075,0,1045,0,4557,3179,0,337,0,0,0,112,0,75,0,0,0,50,0,145,0,0,0,0,0,29,35,0,125,0,0,0,72,0,0,0,0,0,1287,424,718,1,482,455,268,0,86,0,150,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,170,0,14,0,0,0,0,80,0,0,0,0,84,0,205,0,0,0,62,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,46,0,0,0,0,0,2,0,0,0,0,0,68,0,0,0,38,0,800,0,0,0,0,0,0,0,0,0,1,0,207,0,0,80,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,258,0,1636,0,1324,0,0,0,0,0,352,1247,0,5824,0,6,306,0,0,83,0,510,0,130,31,0,244,0,798,2276,4601,348,0,0,0,0,0,137,0,84,0,0,0,142,0,194,0,0,0,0,0,14,0,0,38,0,21,0,51,0,0,0,0,0,1458,0,466,154,208,0,302,0,385,0,454,0,0,0,7,0,0,0,312,0,0,0,0,0,0,0,0,0,8,0,386,0,10,0,0,0,0,102,0,0,0,0,36,0,74,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,9,0,0,0,0,0,75,0,0,0,1,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,63,0,433,0,0,0,133,0,0,0,0,516,0,1762,0,230,0,506,0,0,619,5026,0,7,0,0,420,0,262,0,16,0,0,0,0,0,0,111,0,255,0,0,0,31,0,142,0,0,0,0,3,0,93,0,45,0,262,0,21,0,0,0,79,0,1719,0,18,0,57,0,0,0,6,0,0,0,8,0,164,0,264,0,81,0,2,0,0,0,0,0,0,0,0,0,78,0,334,0,0,0,0,17,0,0,0,0,21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,70,0,0,0,42,101,0,0,24,0,0,37,0,0,0,0,0,6526,187,1946,33,17,188,0,0,0,0,55,0,245,0,0,7167,100,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
