neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,SAADL,SAADR,SAAVL,SAAVR,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ASJR,0,16,30,612,0,0,0,30,0,1,0,0,304,0,1473,0,596,0,83,619,0,512,3803,0,0,0,0,556,0,115,0,11,0,0,0,0,0,0,101,0,565,0,0,0,59,0,112,0,0,1,0,0,0,5,0,52,0,179,0,50,0,0,0,56,0,2037,0,4,0,5,0,0,0,0,0,0,0,0,0,43,0,133,0,130,0,1,0,0,0,0,0,0,0,0,0,9,0,504,0,0,0,0,0,0,0,0,0,191,0,81,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,87,0,0,0,36,0,0,178,68,0,0,0,0,132,0,0,0,0,299,6250,2952,0,0,10,141,0,0,0,0,77,0,0,0,0,7070,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,35,0,3790,0,14,0,0,0,0,0,0,562,0,354,0,1302,0,667,0,5026,512,0,645,1,0,0,1111,0,670,0,445,0,0,0,0,0,0,74,0,117,0,0,0,21,0,25,0,0,0,0,0,0,79,0,4,0,107,0,29,0,0,0,386,0,6445,1,514,0,391,0,9,0,21,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,945,0,0,0,0,13,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,33,0,0,13,28,0,0,0,1,184,0,0,4,0,0,49,0,0,0,0,0,1354,17,1217,0,0,0,46,0,0,0,0,0,57,0,0,5045,342,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,82,668,4194,0,23,0,0,0,0,0,0,884,0,492,0,1285,75,510,0,3803,645,0,0,0,52,145,3583,2,311,127,767,0,0,0,0,0,0,131,0,76,0,0,0,7,0,101,0,0,0,0,0,0,0,0,0,0,37,0,64,0,0,0,585,342,6318,0,871,0,398,0,75,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1874,0,0,0,0,8,0,0,0,0,74,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,65,0,0,0,0,0,96,0,0,0,0,0,1065,849,0,0,23,0,0,0,0,0,0,0,0,0,0,6499,0,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,1820,385,0,0,4618,0,0,0,0,0,0,328,82,1,0,48,1,96,0,7,0,1,0,0,217,0,138,0,80,34,61,155,222,548,127,0,0,408,0,228,0,0,0,56,0,185,0,222,0,0,0,9,0,0,70,0,2347,0,177,0,87,0,0,0,0,0,223,79,572,3239,2559,0,807,42,226,0,235,0,105,230,480,8,0,0,0,0,0,0,0,0,0,0,681,0,2461,241,0,0,70,3,0,251,15,0,0,319,360,0,312,0,0,0,165,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,16,0,221,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,123,0,184,0,4,0,0,0,0,123,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAR,113,2679,0,0,359,4786,0,0,0,0,16,197,260,0,0,0,0,0,130,0,0,0,0,217,0,880,0,27,53,327,0,9,666,338,131,0,0,0,342,0,56,0,0,0,22,0,184,0,109,0,0,0,66,0,0,3,0,2312,0,118,0,207,0,0,0,11,47,93,3769,729,147,2744,2,459,0,254,1,205,260,2,0,697,0,0,0,0,0,0,0,2,0,0,0,686,1,2907,0,0,0,27,59,0,302,0,0,270,0,256,0,77,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,55,0,187,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,167,0,216,1,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,1068,0,0,0,1984,0,0,0,0,0,0,0,0,0,0,983,0,31,0,0,0,52,0,880,0,0,162,0,4,0,376,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,2,467,0,0,0,144,0,0,0,723,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,543,1700,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,687,0,50,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,3104,0,1951,0,453,0,0,0,0,0,0,4450,18,2022,0,4488,613,1075,0,420,0,1111,145,138,0,0,0,794,9248,509,273,3,0,1,0,0,0,10,0,0,0,0,0,0,0,42,0,2,0,0,0,0,8,0,0,0,267,0,22,0,0,0,59,0,3246,76,662,4,0,0,1090,0,1478,36,8,0,147,6,0,0,0,0,0,1,0,0,15,0,178,25,0,0,26,0,79,0,970,261,0,0,0,18,0,0,0,75,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,316,0,0,0,0,4,5,0,0,0,0,0,281,5,129,5,29,133,847,0,0,0,0,0,21,0,0,1708,287,116,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,0,2268,0,3009,0,301,0,5,0,0,0,0,3852,0,1792,0,2894,0,244,0,556,0,3583,0,27,162,794,0,158,9273,119,98,98,0,0,0,0,0,7,0,0,0,0,0,0,0,69,0,56,0,0,0,0,0,0,0,0,247,0,23,0,40,0,93,61,1674,0,447,0,0,0,1225,0,1512,0,0,0,276,0,3,0,0,0,49,0,0,0,11,0,223,0,0,0,18,0,198,0,1419,0,0,0,0,14,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,20,0,337,0,0,0,0,0,16,0,0,0,0,0,720,195,0,0,878,72,0,0,0,0,0,0,25,0,0,2317,0,61,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,5407,371,1830,0,131,0,78,0,0,0,34,3301,79,256,0,2950,0,1045,0,262,0,670,2,80,53,0,9248,158,0,469,324,1,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,34,0,0,0,920,0,5,0,9,0,638,0,1440,173,373,26,0,0,1319,0,2235,12,49,0,189,0,0,0,0,0,1,0,0,0,106,21,1036,0,0,0,10,0,241,0,910,0,0,0,0,23,0,0,0,797,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1208,0,0,0,0,0,0,0,0,0,0,0,88,0,28,13,0,529,4827,0,0,0,0,0,0,0,0,278,0,12,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,729,5629,0,1425,47,496,0,72,0,0,60,205,2747,0,64,30,1948,0,798,0,115,0,311,34,327,4,509,9273,469,0,3,264,0,0,70,0,0,0,0,0,25,0,0,0,0,0,12,0,240,0,0,0,0,0,0,0,0,1177,0,4,0,183,0,421,91,629,133,494,2,0,122,1345,89,2039,0,47,0,61,0,0,0,0,0,23,0,0,1,60,340,1383,0,0,0,6,0,614,0,971,0,0,0,0,37,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,10,0,22,0,660,1,0,0,0,0,0,0,0,0,0,0,322,36,0,0,4976,62,0,0,0,0,0,0,148,0,0,488,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,61,3,1876,411,1039,208,0,0,0,0,0,1254,1406,2074,1145,98,2,4557,2276,16,0,445,127,61,0,0,273,119,324,3,0,3516,545,374,0,0,0,201,84,125,108,0,0,47,74,66,120,0,0,0,0,19,35,0,80,47,6,33,69,48,0,0,0,0,2060,734,1463,390,166,517,681,859,170,319,52,154,46,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,13,138,0,21,0,0,0,0,137,0,0,0,0,159,53,151,67,0,0,2,10,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,355,0,0,0,0,0,7,0,0,0,0,0,184,27,0,0,1,0,39,1,32,0,0,0,0,0,0,0,0,3,87,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,18,86,74,1220,1262,809,0,0,0,0,0,676,1806,352,1311,0,3,3179,4601,0,11,0,767,155,9,376,3,98,1,264,3516,0,497,768,0,0,0,26,102,30,48,0,0,3,35,151,47,0,0,0,0,11,15,0,0,4,0,17,53,25,0,0,0,0,817,2411,787,756,573,1629,815,543,149,170,7,69,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,15,11,0,34,0,21,0,0,0,0,55,0,0,0,44,18,14,44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,16,43,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,88,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,100,0,0,0,1787,0,0,0,0,695,587,215,0,24,0,0,0,348,0,0,0,0,222,666,0,0,98,0,0,545,497,0,1979,146,0,0,74,4,0,0,0,267,0,0,208,133,0,167,3,0,136,116,0,3,0,45,292,122,5,0,227,0,4,0,0,327,103,1426,549,130,1352,43,713,91,281,473,3,1327,986,70,1327,3,0,0,0,33,40,0,99,0,12,0,698,326,1788,0,0,75,1213,3,2,75,0,0,478,96,83,73,0,0,0,130,108,0,0,0,0,10,1,0,4,0,0,0,0,15,5,10,27,119,197,148,164,21,43,0,0,0,0,93,35,47,0,0,31,0,0,0,0,0,0,0,19,0,0,0,0,17,0,0,50,91,0,0,0,0,268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,62,0,0,0,1323,50,0,0,0,0,322,144,0,45,0,0,0,337,0,0,0,0,0,548,338,0,1,0,5,0,374,768,1979,0,172,0,0,38,4,0,23,398,0,0,0,118,270,184,0,0,0,90,86,0,0,0,363,0,82,30,224,0,2,0,32,0,79,144,89,1968,1003,189,870,0,176,34,15,501,606,1351,1115,48,0,0,0,0,0,48,247,0,0,0,885,0,1979,438,0,0,1087,92,0,50,0,0,0,867,30,101,0,9,110,0,139,105,0,0,0,0,0,19,0,0,0,0,0,0,14,4,7,11,141,83,144,100,39,29,0,0,0,0,36,120,0,3,133,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,362,0,84,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,186,142,0,11,0,0,2,4,0,0,1883,0,0,0,0,0,56,0,0,0,0,0,0,127,131,193,0,0,10,70,0,0,146,172,0,1306,215,0,0,0,0,163,89,0,0,0,0,142,121,22,93,350,172,950,85,398,53,44,61,81,206,296,876,901,0,0,222,307,0,0,3,26,491,456,340,309,540,822,1134,834,319,337,145,93,404,770,626,993,1602,725,395,0,1,16,29,157,4,22,4,15,0,184,201,37,14,1192,0,0,0,0,139,82,49,40,0,0,0,0,13,52,0,0,0,0,160,43,823,879,1911,1871,806,704,1780,1245,607,559,412,242,3,3,206,405,0,0,174,50,345,355,1,98,0,463,844,218,203,1,0,0,0,0,22,4,0,14,70,561,406,2188,0,67,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,564,0,0,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,0,11054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,271,0,0,0,0,0,0,0,0,0,675,0,0,25,0,0,0,0,244,0,0,170,0,1199,1141,5058,0,597,0,2659,0,0,3747,6399,4560,0,590,2304,10,0,0,0,0,0,717,0,4,98,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,472,0,0,353,0,0,35,0,58,0,0,193,0,0,0,0,0,0,1997,0,56,0,0,0,783,0,88,21,0,0,0,0,0,0,0,96,0,245,0,93,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,153,0,199,453,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,11054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,684,0,0,0,0,0,0,0,0,0,1827,0,0,336,0,0,166,0,246,0,92,1473,0,1259,0,3911,77,574,0,1378,112,0,351,4115,900,0,0,643,168,0,224,0,0,0,1,0,452,731,0,133,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,2,64,150,0,939,136,196,0,304,0,762,0,94,32,106,48,0,0,0,0,0,0,4736,0,0,0,0,0,397,31,113,68,168,0,0,0,0,174,0,0,42,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,155,0,24,0,0,0,0,0,0,1,29,0,0,33,0,112,0,111,0,74,0,408,0,0,10,0,0,0,201,26,74,38,0,0,0,0,0,126,0,0,0,0,0,3369,0,0,0,0,0,0,0,0,0,0,1008,0,2259,0,0,0,23,0,77,0,2,5,58,54,7,0,9,0,0,0,39,0,163,353,2,0,60,125,376,0,32,68,0,0,669,5,0,0,25,0,96,0,76,0,1291,0,0,3195,0,0,6052,0,0,0,0,0,80,91,0,47,0,0,170,0,1334,1460,1024,549,8,0,0,0,0,0,0,0,1,0,0,78,0,0,0,0,0,0,8461,0,0,0,0,0,76,0,312,0,0,45,0,0,0,10,2028,0,0,0,11,250,0,231,3,4,0,0,0,639,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,0,0,90,0,10,0,29,0,0,0,9,150,0,0,0,4,0,137,0,101,0,131,0,342,0,0,7,0,0,84,102,4,4,0,0,0,0,0,0,234,0,0,0,0,0,4508,0,0,0,0,0,0,0,0,2,0,899,0,2798,0,0,0,95,0,213,0,50,46,98,0,14,0,97,0,3,0,154,273,233,4,12,21,128,0,213,15,0,0,2,599,25,0,0,0,46,0,114,0,120,884,0,0,0,4198,0,0,5700,0,0,0,0,0,0,33,0,0,0,0,70,1285,1090,1458,971,0,21,0,0,0,0,0,0,0,36,302,0,0,0,22,0,0,8,0,8929,0,0,0,0,0,111,46,0,0,0,85,0,1,26,0,2075,0,0,9,0,57,11,91,0,12,0,1,0,0,0,0,0,0,0,0,829,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,0,0,377,0,289,0,196,0,0,0,0,0,0,0,0,0,0,75,0,255,0,117,0,228,0,0,0,0,0,0,125,30,0,0,0,0,0,126,0,0,0,719,0,1961,0,2576,0,2261,0,0,326,0,0,0,2903,0,821,0,0,0,0,0,100,0,8,0,17,108,0,72,58,0,0,0,1,0,5,0,0,0,437,0,0,17,0,0,0,0,0,0,1,0,0,0,140,0,12,0,11,0,1251,0,0,63,0,0,277,0,4769,0,471,0,65,0,3,40,69,418,0,10,843,278,4339,736,0,0,0,3,112,0,67,23,175,105,3,16,259,0,0,32,11,0,1838,0,3058,0,139,0,383,0,511,0,0,0,0,0,0,0,0,0,2,0,0,70,0,155,5,0,0,521,0,5,120,0,157,0,0,0,0,0,0,0,0,0,0,0,0,5,572,0,426,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,0,0,221,0,88,0,49,0,3,0,79,114,0,0,0,48,0,84,0,565,0,76,0,56,0,0,0,0,25,108,48,0,23,0,0,0,0,234,0,0,0,354,0,3025,0,2576,0,1809,386,0,0,0,13,0,3041,0,696,0,0,0,0,0,1,0,26,0,1,118,0,0,4,0,20,0,5,0,0,0,0,0,917,3,0,0,0,0,0,0,0,0,28,0,8,0,22,0,0,0,72,662,0,0,0,112,0,0,262,0,5273,0,611,0,141,0,0,502,84,0,31,505,4425,588,576,0,0,0,0,0,137,23,22,0,31,0,0,0,477,39,0,0,99,0,1749,0,2048,0,143,0,595,479,0,0,0,0,0,0,0,0,0,0,0,42,0,471,114,104,0,0,0,592,0,0,0,0,0,0,0,0,0,78,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,94,0,0,0,0
IL2VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,163,0,0,0,0,719,0,0,0,0,0,0,0,2505,0,76,0,0,0,0,0,0,355,0,0,0,1483,0,201,0,0,0,0,186,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,55,0,39,187,164,0,1,0,0,0,321,0,732,61,0,8698,0,109,0,0,0,0,6100,0,0,51,102,0,0,0,0,52,775,1989,1079,899,56,0,110,0,48,0,120,0,61,54,52,0,6,0,4,0,0,0,0,0,7950,0,0,0,0,0,0,0,0,0,0,16,12,2,0,0,1107,0,257,0,0,280,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,89,0,0,0,0,0,354,0,0,0,0,0,0,0,3487,0,26,0,0,0,0,7,0,238,0,0,0,1556,0,62,0,0,210,0,0,0,0,0,0,0,2,0,45,0,7,0,0,0,0,0,0,0,2,0,0,7,78,319,0,225,0,226,0,0,0,108,293,0,4,0,7367,105,0,0,0,3,0,5120,12,0,0,103,0,0,101,0,714,1874,1385,979,0,52,0,58,0,50,0,64,70,45,0,38,0,28,0,0,0,0,0,0,0,8057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,215,0,0,57,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,54,0,0,0,0,0,0
OLLL,0,0,223,0,11,0,46,0,0,0,0,0,0,0,0,0,0,50,0,31,0,21,0,56,0,0,0,0,0,0,47,3,0,0,0,0,0,0,0,1961,0,0,0,0,376,629,0,605,0,81,578,0,29,0,1758,0,76,0,396,0,621,0,18,0,3,0,0,107,18,7,4,0,0,0,1,11,0,0,125,0,18,2100,2,0,0,0,0,0,0,0,0,78,139,5,1106,10,0,0,533,0,391,47,37,0,0,0,1443,136,2389,0,1538,0,42,0,1058,95,129,252,1232,46,191,195,132,506,0,0,0,30,104,0,0,78,25,6,0,32,123,0,124,521,141,437,31,0,339,0,135,0,112,0,105,0,0,0,0,40,28,60,1253,0,1373,0,68,22,0,17,6,0,43,10,0,0,107,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,132,0,0,0,0,0,0,0,0,0,0,0,0
OLLR,0,0,0,181,0,6,0,9,0,34,0,18,20,0,0,0,1,0,142,0,59,0,7,0,22,0,0,0,0,0,74,35,0,0,0,0,0,0,0,0,3025,0,0,376,0,0,385,0,906,743,88,72,0,6,0,1239,0,194,0,372,0,703,0,0,0,1,26,0,23,25,0,0,0,0,42,3,0,0,0,135,1839,38,0,117,0,0,0,0,0,0,0,99,12,268,98,1119,0,0,0,457,0,143,50,0,0,0,0,1627,0,1964,215,1881,38,49,39,1128,409,133,21,1237,433,297,280,64,0,0,6,0,0,57,122,12,0,52,11,2,0,129,654,81,556,162,0,91,0,102,0,235,0,79,93,0,0,0,0,22,13,13,0,1283,0,1218,99,0,44,30,42,0,73,0,28,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
OLQDL,0,0,191,0,53,0,0,0,0,0,0,0,20,0,0,138,0,145,0,142,0,25,0,185,0,0,42,0,0,0,66,151,208,118,0,0,0,3369,0,2576,0,0,0,629,0,0,0,0,0,0,0,0,0,0,672,0,0,0,1302,0,0,0,223,0,114,0,0,0,100,95,1,0,0,0,38,0,92,2,330,260,4,212,177,190,90,0,156,146,0,0,165,97,37,0,265,0,143,0,207,0,855,0,1,189,0,0,3830,0,4,0,0,0,127,76,132,677,34,28,427,284,525,1348,17,311,275,13,0,103,0,0,11,0,1354,0,0,1557,0,0,0,6,3,0,2506,0,0,0,0,0,175,0,305,0,0,106,0,35,33,44,1431,0,0,0,88,128,0,783,890,427,9,0,0,139,34,3,3,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,0,0,87,0,127,0,5,0,0,0,42,120,0,0,0,31,0,194,0,112,0,101,0,184,0,0,69,0,12,120,47,133,270,0,0,0,0,4508,0,2576,0,0,0,385,0,0,0,51,0,0,0,0,0,0,685,0,2,0,2379,0,0,0,388,0,187,0,31,64,75,0,43,0,8,0,80,0,91,406,229,192,8,96,152,0,68,42,0,0,9,79,153,17,21,0,255,0,19,0,231,976,0,0,0,826,0,0,4857,0,0,0,0,0,13,746,227,61,3,69,356,580,16,489,252,83,384,259,0,0,0,0,0,0,890,1328,0,0,0,115,0,0,58,0,3033,0,0,0,0,0,126,168,0,0,11,120,50,23,98,0,1405,0,0,117,0,83,701,364,0,51,0,122,0,0,0,0,0,0,0,0,116,18,170,1,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,284,0,257,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,222,0,0,2,0,29,0,0,0,0,184,142,0,0,0,0,2261,0,2505,0,605,0,0,0,0,0,0,0,0,0,0,362,0,368,0,0,0,1166,0,483,0,0,0,0,2,0,70,0,0,2,0,1,0,190,85,0,446,0,326,0,349,0,0,0,256,171,0,175,66,81,68,364,0,0,0,411,0,1671,0,0,2837,0,286,0,0,47,0,4153,0,0,21,320,0,0,29,0,1167,444,1329,6,449,526,0,0,0,336,0,2074,0,155,134,0,0,1406,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,1810,0,212,0,0,560,259,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,18,69,5,0,78,0,639,0,0,0,0,0,0,0,0
OLQVR,0,141,0,338,0,0,0,10,0,0,22,0,0,0,0,0,12,0,0,0,0,0,0,0,109,0,0,56,0,240,0,0,167,0,121,0,0,0,0,0,1809,0,3487,0,906,0,51,0,0,0,0,0,0,16,0,606,0,309,0,0,0,2254,0,427,0,0,0,0,0,0,0,0,0,45,0,0,0,139,71,0,229,0,85,0,0,0,145,189,0,91,267,40,0,84,0,663,0,0,0,310,969,0,0,0,1813,91,0,0,0,0,0,3447,119,0,0,281,53,0,833,0,24,1,1606,657,0,402,0,0,0,199,0,1925,107,26,0,0,0,790,0,0,0,0,0,0,0,2968,0,0,0,0,0,0,0,370,0,0,191,206,0,0,0,1373,544,0,0,144,644,0,204,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,18,0,0,464,0,0
SAADL,0,0,0,0,0,0,0,676,0,872,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,386,76,0,81,743,0,0,0,0,0,1640,116,988,1090,0,869,0,87,44,21,104,0,517,29,0,0,745,628,0,13,0,0,25,163,220,418,0,3,162,33,168,313,54,0,0,9,0,56,0,0,9,172,255,0,0,23,0,128,1939,840,0,1290,1774,0,0,0,17,0,0,22,5,0,47,2314,301,0,16,44,1,381,0,0,0,0,89,449,1083,269,39,86,87,25,78,140,887,54,1057,130,261,20,163,1530,0,0,9,0,1134,1,0,4,0,227,0,0,112,215,772,0,0,0,0,0,483,0,0,202,178,0,0,334,288,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,235,2009,0,0,0,0,0,0,0,0,0
