pre,post,PC1_loading,PC2_loading,separation_axis_loading
RMED,URYV,-0.05862450812722256,-0.011910753273558127,0.05920213238031884
ADE,AVM,-0.05701136888315693,-0.031047074698402823,0.058669001143274294
RMEV,URYD,-0.057223327145211576,-0.005934400319225106,0.05746668229186856
BWM03V,URYV,-0.05685010764376559,-0.008521958656019745,0.057239744397685574
IL1L/R,RMED,-0.054071616388407816,-0.003946164428851138,0.054208025776145544
BWM05V,URYV,-0.05312737477345042,-0.005837060908423242,0.05337174683090068
BWM05D,URYD,-0.05286731053414808,-0.006579673473715741,0.05315390710212177
ALM,BWM06D,-0.05138602932260027,-0.023696589663745132,0.052638724388433415
BWM05V,SIBD,-0.05189955980557924,0.00016516295971165385,0.05180793110967843
BWM03D,URYD,-0.05172708648768468,0.0014335190124447272,0.05156431802922767
IL1V,URX,-0.05109226280289053,-0.005847590041174036,0.051340456032941975
RID,URB,-0.05120440227440042,0.003497636398433534,0.05092624515376818
BWM04D,IL2L/R,-0.050299699754288586,-0.006446768195749882,0.05058288629597489
AWA,BAG,-0.05015168126872268,0.0032173996481171876,0.04989097251689188
BWM06D,URB,-0.04854559625454799,-0.013483823518810537,0.04922777885149956
ALN,AVJ,-0.049280152680148646,0.004601329691703014,0.0489429058285464
AWB,RIG,-0.04816141819204173,-0.013672657497209912,0.04885484230358543
BWM02D,IL2L/R,-0.04840949686222072,-0.006989485948331569,0.048726238985674415
BWM08D,RMH,-0.04703916706198044,-0.02733514923683323,0.04850362265178531
ASH,ASI,-0.048585341754979396,0.002261731019234984,0.048380925568041765
BWM01V,URYV,-0.04787651012186199,-0.01027007214044008,0.04837880744851288
BWM04V,IL2L/R,-0.04789614458073501,5.9757811500533e-06,0.04781982944299855
ALM,PVQ,-0.046722479747998535,-0.009502901220740455,0.04718341304212513
PVR,SIBD,-0.04629087495052651,-0.00011444393003645378,0.04622388638269087
BWM08V,OLQV,-0.04636122305895217,0.005835769322336904,0.0459591028331339
ASG,SMBV,-0.046101283212791805,0.0026950659161308803,0.04587640910715089
BWM06V,RIC,-0.04511293026838045,-0.005027250310583948,0.045324420335800225
BWM03D,OLQD,-0.044818769646825254,0.007156701344049086,0.04434472265637634
BDU,PVP,-0.044352110132536635,0.006579333986281404,0.04391131143360127
AVF,PVC,-0.043403617572300206,-0.008553830931018259,0.043816379313475796
AVM,SMBD,-0.043803716774552595,-0.0014428554702126514,0.043815468356230076
ASG,SIBV,-0.04312940552819036,-0.009035815529858108,0.04356973985840604
PVR,URX,-0.04315347177221464,-0.00277701602748098,0.04324137326070705
BWM06V,RMH,-0.043626596831929106,0.007170208761137815,0.04315368049077992
IL1L/R,RMEV,-0.043820652184700555,0.011582544449156167,0.04309899641229418
RIR,SIAD,-0.04229134474814552,-0.009536287048571913,0.04276118699793139
RMG,SDQ,-0.04228283563024178,-0.009553481767776954,0.04275365950754433
BWM07D,RIV,-0.0435523111543469,0.013017431904225843,0.04275029133312288
BWM07D,RIA,-0.04379353834156125,0.019002420740226535,0.04265415779310462
PVR,URYV,-0.04345261928572496,0.013207089569993396,0.04264007914633439
ASH,RMEV,-0.042064262209503545,-0.008814099957771701,0.0424938027534773
BWM06V,IL1L/R,-0.04299985020180091,0.010921610512609217,0.04231670962688413
ADF,RIG,-0.04158919596591452,-0.013342488076256945,0.042274455916269396
ASE,AVH,-0.04225458079215192,0.0038918460896882516,0.04196842543148561
PVR,RMG,-0.04171118123807885,-0.0010603567676028458,0.04170471609446819
ADA,IL1D,-0.04148459801439806,-0.0012121293185881135,0.04148703768734054
ADL,ASG,-0.04140503563482607,0.0045094817692539445,0.041085452643697846
AVE,PVQ,-0.0405602594517334,-0.00797535313536111,0.04094496113117706
RIS,RMG,-0.04086125544300877,-0.0010328261558266846,0.040854588474732535
BWM06V,RIP,-0.042130058080886365,0.023303232986798976,0.0407511639515361
AVL,RMG,-0.040426859440564684,-0.006639134323348695,0.04073653843831371
RMH,URYV,-0.040218900132498174,-0.009927989768130974,0.04071408432644893
RMEV,SIAV,-0.04101894311605822,0.004824346805344752,0.04068224447010798
BWM01D,OLQD,-0.040117448374789165,-0.009949688292777186,0.04061401521485176
DVC,RMH,-0.0405170603162421,-0.002477255200737509,0.040592266304466586
ADL,PVP,-0.040495388815671184,-0.0014508502861907914,0.040512838607836894
SDQ,SMBV,-0.040403386838903536,-0.0030336320014732816,0.04051009931964518
AWB,OLQV,-0.04007936943677064,-0.008003618478237025,0.04046642541065833
BWM08V,URB,-0.03915945499564818,-0.021856149163060012,0.0403279214058002
IL1L/R,PVR,-0.039939815185623326,-0.004126047303763349,0.04010877025463371
RIP,RIV,-0.039928019357925684,-0.003950703348128525,0.040087120594747026
RIA,URAV,-0.03970383926697191,-0.00641851219107295,0.04000224332611827
BWM06V,URB,-0.040837639453234896,0.013872889784496021,0.03999176038019492
PVC,SDQ,-0.03830186513261936,-0.02476604992204052,0.03963553064454491
BWM03V,OLQV,-0.0405001182635061,0.015715233815540294,0.03955104349948656
BWM08D,URB,-0.03788166862240255,-0.029827612787067036,0.03950098630396856
AVA,RMDD,-0.03915421729923357,-0.006493023490777604,0.039457688510363284
BWM04D,IL1L/R,-0.040000960194471184,0.010633011993563406,0.03933882603783101
PVC,URAD,-0.038030621041760374,-0.023062611330203164,0.03926880664041552
AWB,BAG,-0.0393673913220281,0.0011839640547252376,0.039238280223394296
CEPV,RID,-0.03953333357862168,0.006108674476301616,0.03912667896217707
BWM04V,OLL,-0.039021096507084845,0.0010182049959506928,0.03890186762064714
RMEV,SIBV,-0.03931840448624581,0.008266178985716586,0.0387906149521729
AQR,SMBV,-0.03935442172141777,0.010241055653295571,0.038715381843373274
AVE,PVT,-0.03953684824414907,0.013840085451321983,0.03869487965508816
ALN,PVC,-0.038732355608061854,0.0010139211311501878,0.038613825955673454
BWM02V,IL2L/R,-0.03899543395974568,0.0061327954604532015,0.03858827452008913
BWM01V,OLQV,-0.03886546307642366,0.0038740730047154785,0.038585684639199376
AIM,AVM,-0.037523911736469344,-0.014505908355692577,0.038281125604110795
ALN,PVQ,-0.038107618709809075,-0.003123154892884532,0.038223013502303234
AWA,RMG,-0.03797727245264451,-0.004964847581301881,0.038196568451137745
CEPV,PVC,-0.03864168444548067,0.008077689179609042,0.03812558111336044
AIB,AVF,-0.03789533802238253,-0.003922676157641466,0.03805608570563214
ASJ,SMBV,-0.0390187588724186,0.016863505681013993,0.03800738186487366
BWM08V,RMH,-0.03692533026476083,-0.01842557489354177,0.03790418608983528
AVM,PVQ,-0.03804507977218943,0.0025203374768782275,0.03784282328250204
AVM,SIBD,-0.03675280440471136,-0.015429828366598572,0.037563261773216304
BWM03D,RIC,-0.03679113359223281,-0.014186492155004882,0.037531525511668946
BWM01D,URYD,-0.036857181385734315,-0.009972265377327793,0.037360191234368366
IL1L/R,RMEL/R,-0.037331315743291675,-0.0011753356984043446,0.03733827223330005
CEPD,RIG,-0.03766472651299149,0.004859283149702453,0.03733138168098099
ADE,PVC,-0.03649476191814932,-0.01546016676201508,0.03730733679419097
BWM05D,RMEL/R,-0.038675562452402897,0.024119367250912065,0.03725619674171832
BWM02D,OLQD,-0.037008462696937056,-0.005433118448636898,0.03725566100344518
BWM06D,IL1L/R,-0.037807194880604966,0.0108122336003138,0.03713844986983537
BWM03D,IL2D,-0.03817295880778205,0.017690015550724802,0.0371163878025588
AIY,OLQD,-0.03639245048834322,-0.009400306322436824,0.03686399403839482
AIM,PVR,-0.03610716571923274,-0.012625903261209619,0.03676077542950204
BWM04V,URX,-0.03563941904048836,-0.017601690778741373,0.03657392686580229
ADL,RIG,-0.03610629886028756,-0.009155161517155551,0.03656449373630713
DVA,RMEV,-0.035717313779854425,-0.007283257059233907,0.036070730236584185
ASK,SMDD,-0.03613875593539469,0.002938025241620853,0.03591600604826279
IL1L/R,OLQV,-0.03756477799862598,0.02932637590946627,0.03585399958435414
BWM01D,RIC,-0.03573703455614323,-0.0017551157819171677,0.03577916395384059
ASK,SMBV,-0.03558709966848636,-0.0030748361793775467,0.035703772283414786
AQR,AVM,-0.03513262725952009,-0.007262044004798485,0.03548577683981123
BWM03V,OLL,-0.036476398635289994,0.016847773055123163,0.035469940435943155
AVK,BWM06V,-0.03552595304972568,0.00078167268589766,0.03542558626969793
RMDL/R,SMBD,-0.035243872027098694,-0.0032256512226506774,0.03536958058271922
BWM08D,OLQD,-0.03629411072836091,0.015729630827143418,0.035350897436471074
AIB,ASJ,-0.03609604501731529,0.013305262339633566,0.03528964726160834
ASH,ASJ,-0.03568346718585664,0.00630751108102751,0.03527172442343477
FLP,RMH,-0.033721279163785096,-0.028431483130469927,0.03526858905040286
AIA,CEPV,-0.03595490446928877,0.01217123429081994,0.035212580781374465
OLL,RIV,-0.03558856379480958,0.005761475976763097,0.03520771547193015
BWM04V,RIC,-0.03385306055421914,-0.021879463539055167,0.03503125730102903
AVE,AVM,-0.03587668216490897,0.014408374842093473,0.035008522880718464
BWM08V,RIC,-0.03244766402516964,-0.04603973514014731,0.03498840709509562
RIG,URAD,-0.03463625298319808,-0.005979925843404062,0.034918001751901906
BAG,URAV,-0.034482961063342,-0.007920440822391593,0.034874211515137137
AVE,IL1V,-0.03585971269634503,0.020133304001948914,0.034669244635299
AVB,OLQD,-0.03491434112145601,0.0036186236514006405,0.0346552132219201
ADL,AQR,-0.03436753751791661,-0.003928287648033033,0.034534197375179584
AVF,PVP,-0.03522651318638672,0.011943266425481679,0.03449818043533392
AVA,OLQV,-0.035361909395478265,0.01441781055761629,0.034494035438989566
RMH,URX,-0.03392526110774031,-0.010667258143027969,0.03447205271000805
AVH,BAG,-0.03388538454447425,-0.00981472485683928,0.034384238476195095
RID,RMEV,-0.034384211587970885,0.0008976817432421818,0.03427912421736743
AIZ,AQR,-0.0350883960911567,0.013702788323854936,0.03426121453715263
AUA,PVP,-0.035335709174167035,0.01869801306592895,0.03422688479258255
BWM05V,RIC,-0.03445347364951328,0.003192003209945742,0.03421909721791534
ALN,ASK,-0.03413616814532373,-0.002329762325026422,0.0342131918587739
AWA,URX,-0.033234650800563446,-0.01767599394807973,0.03417715691750662
BDU,RIS,-0.033188283718515066,-0.017921461949370904,0.03414468418821664
BWM06V,RMDD,-0.03685911568126984,0.047484584279745494,0.034127079179641355
URAV,URX,-0.033403833506332074,-0.013570585544877488,0.03411492084351272
BDU,FLP,-0.03453035130736856,0.0067174047091448814,0.03409735915770978
AWA,SMDD,-0.03400033068365415,-0.0018948750019640711,0.03405308403749047
AUA,AVH,-0.03422850818026889,0.0026307248549776808,0.03402609076255101
ALM,RMH,-0.03327315589795246,-0.014180649898125333,0.034018799518913366
RIV,URAD,-0.03334356765769005,-0.011940619645746931,0.03396297719961142
BWM03D,RIP,-0.035875907139825185,0.03335433546910448,0.03394101808589098
BWM04V,BWM07V,-0.030279059309437906,-0.06280084969373968,0.03376695818232397
AIY,IL1D,-0.03427870940769401,0.008346889541119205,0.0337543701326421
ADE,RID,-0.033485636666572165,-0.005022220805605816,0.0337152881777882
BWM04D,URB,-0.033675471805912474,-0.0010874191924483425,0.033683277599352475
BWM07V,BWM08V,-0.030166632565706147,-0.06256766890161203,0.03364158080136346
ALN,AWA,-0.033807985613018565,0.00445986394902073,0.033503247660303236
PVR,RIF,-0.03324049700776013,-0.0033043375299914362,0.033373813904017106
ADL,DVA,-0.03387917602498331,0.008358523288733636,0.033354815513206224
AVE,URAD,-0.03363519931198191,0.004774523914179324,0.033313018878519327
PVP,SAAD,-0.0339651209829847,0.010932783253597747,0.0332956833235655
RMDD,SAAV,-0.03367422182129605,0.009871660994347168,0.03306499091649655
AIZ,RMEV,-0.032724508721497764,-0.006803808676172067,0.03305567792703755
RIP,RMH,-0.03387382125859307,0.015066301527595582,0.03297179533360709
AVE,IL1D,-0.033191021971634475,0.0034112346849430484,0.032946304612555016
AIB,PVQ,-0.032533425992989175,-0.008185371797489202,0.03294268567445427
RIP,SIBV,-0.03275693350820815,-0.003882353081618484,0.03292356200695793
AVM,SIAV,-0.032402658740786,-0.009262664144460036,0.03287278159479736
FLP,PVR,-0.03319155104376108,0.006696871247903228,0.03276183877501753
AVK,IL2L/R,-0.032820240107856044,0.00039065868176332017,0.03274618106173027
ADL,AIY,-0.03359661251193329,0.014526723455610385,0.03272540666543437
DVC,SIBV,-0.03234265877761929,-0.007655513466947388,0.032722387999977974
AQR,SDQ,-0.03262223306373244,-0.0016905170082757667,0.03266566637635012
AIA,OLL,-0.032404875874456396,-0.005325300153975105,0.03265330636137234
AVH,PVQ,-0.03270811039437027,0.00019020478952288644,0.032645515552901155
AVL,URX,-0.032575389989948245,-0.0009416397786629154,0.032576732920797595
OLQD,URB,-0.03288665031655746,0.005836262239614388,0.03250587734039531
DVC,URB,-0.03284283782298779,0.005395754256942392,0.03248693665392032
ALM,RIM,-0.03203862112483403,-0.007447655705137732,0.03240712945117939
BDU,RID,-0.03229417930431632,-0.00261098358542984,0.032389958850741474
BWM05D,RIC,-0.032368304908662965,-0.0004954338418270479,0.032344853219705386
ASH,AUA,-0.03167787374079917,-0.010816530125514397,0.03223663501273826
AWA,RIG,-0.031025288308905098,-0.021263104131073254,0.03217326738821023
ASI,AUA,-0.032791664755215624,0.011048790708063463,0.03211755690528035
DVA,RMF,-0.03300232751996371,0.015283689318892117,0.032089444289095694
IL2L/R,RMDV,-0.032245932450616126,0.003839913640900773,0.03197857802089075
DVC,RMG,-0.03180317379247265,-0.0031963044056855868,0.031932688061745616
PVP,SDQ,-0.030827686657309693,-0.018885556729111484,0.03184211406457688
RIB,RMG,-0.03183255846686133,-1.838663186480705e-05,0.03178309703745192
AVA,URAD,-0.03238999875727114,0.01068456400308879,0.031737035453569484
ASE,SIAD,-0.03172128539740022,-0.0008116236581575085,0.031716662801225426
ADE,BDU,-0.03182879971831129,0.00288714648473982,0.03161575147803578
RIF,RIS,-0.03178404933332248,0.002300319748704083,0.0316041127007406
ASH,URAD,-0.03155792828853052,-0.0012804207583280837,0.03157995992256528
BWM05D,RIV,-0.032670418294528915,0.01906617066947803,0.03154509322115096
ALA,SAAD,-0.031223727924414163,-0.005533369576943465,0.03148574720635982
BWM07D,RIC,-0.031048812251198057,-0.008058542823669355,0.0314532860444905
AWA,SIAD,-0.03098468780809781,-0.009168356236899424,0.031451750119073724
RIS,RMH,-0.03073554355494628,-0.012094231401078818,0.03136773919833081
AVA,IL1L/R,-0.03217947154557386,0.014234118173079654,0.03132698855134272
AIA,IL1L/R,-0.030626877438202547,-0.013097425757071077,0.031315729190606746
