pre,post,PC1_loading,PC2_loading,separation_axis_loading
IL2D,RIP,0.11832977252097324,0.009577213319161917,0.11587404843254515
RIC,AVA,0.1082493368178922,0.005390719571797991,0.10646820722344734
IL2V,RIP,0.09721014165002563,0.02779863433180605,0.09244080609038911
IL2D,RMEL/R,0.08775525479278858,-0.00786099431216408,0.08800012858672786
ASG,AIA,0.08865930388854087,0.005528815916176871,0.08704674051553425
IL2V,RMEL/R,0.08421616538444883,0.007512930445605212,0.08237220479962341
AIM,ASG,0.07999365477866346,-0.0002453324143111329,0.07926134809914155
ASH,AVB,0.07067563757917428,0.008461166084184285,0.06883044217228965
ADA,RIP,0.06791819346839623,0.008986919571622044,0.06602681627592104
ASI,AIB,0.06985398640113859,0.028226699156241052,0.06528756414742933
URYD,RMDV,0.07123335386741002,0.04703993896769131,0.06405610985102146
IL2D,URAD,0.06467845439980491,0.0004565778965891857,0.06399592174630533
CEPV,OLQV,0.06057288313792536,-0.020458833848720544,0.06281753814247658
ADF,RIG,0.061613146319878076,-0.000859155235520157,0.061141641138326756
AWB,ADF,0.061837806147425955,0.00215517874151106,0.06094794948129922
IL2V,URAV,0.05997483852864548,-0.007437338453018177,0.060427297969081695
IL2D,IL1D,0.06491925709384834,0.03448064544735071,0.0595365954117358
URB,URX,0.062131834079909576,0.014712807373076498,0.059505285278483755
URX,AUA,0.05960101452667247,0.005905527273576823,0.058214758082852085
CEPV,URAV,0.05636563753820552,-0.013375192508248857,0.05767252635079864
RIC,SMDD,0.057090859091189966,-0.0015453631582566503,0.056757415593981723
URX,RIC,0.05877711444631469,0.016197449193342234,0.05597770749140426
CEPD,IL1D,0.054083700775076606,-0.005622288080267125,0.05434197524762416
IL2L/R,RMDL/R,0.05087796145459509,-0.01953952604132691,0.053088542523474766
IL1L/R,BWM02D,0.053233125585290426,0.00012317347935129517,0.05270625080613529
ASG,AIB,0.05263157787846017,-0.00386779586312564,0.05266151190061997
RIR,AIZ,0.05521916557691116,0.015086837228773665,0.05260718281513075
DVC,AIB,0.05574355100147903,0.022030027541484747,0.05216787497232156
AQR,RIA,0.05642478297093905,0.03239587599178913,0.05141133295431784
URX,RIA,0.055396243420571645,0.027344023295998252,0.05109017183448192
URYD,RMDD,0.05065906663652718,-0.005452264535153321,0.05092666656462187
RIC,RIM,0.05247800001263312,0.00994462399932431,0.05060227563906476
CEPD,OLQD,0.04951807377991293,-0.008010789616223965,0.050149866709313935
IL1L/R,BWM04D,0.051170612729414026,0.005036374142523755,0.04998510984590689
AIM,ASK,0.05049969516918626,0.0033334610540275223,0.04955574554211992
ADF,RIA,0.05418335207673186,0.029824380107918682,0.049546426000031146
RIV,BWM06V,0.05104003300432071,0.00921970825658007,0.049278173168256924
RIH,OLQD,0.05226655486192096,0.01961599973766618,0.049057494866273386
IL1L/R,BWM02V,0.05077535238013601,0.009649158879428297,0.04895673190239573
IL1D,RIP,0.0475771051505154,-0.012985483674649818,0.04891436220740542
CEPD,URYD,0.04841621252252104,-0.0037328995090454087,0.04846789577205431
ADL,ASH,0.05023533580007302,0.010909839106946881,0.04824782105947812
ALM,BDU,0.04901576804496383,0.008293696604002558,0.0474011543373805
AIM,AVF,0.045722241902874224,-0.00845813033604574,0.04645215728045293
ASK,AIA,0.053094600145823526,0.04452642114548724,0.046438139663465064
RIC,AIB,0.04798608781193189,0.011667040456474863,0.04591556695466518
BAG,AVE,0.04348516755311863,-0.01955109467214702,0.04576815424947265
IL2L/R,OLQD,0.048685627635161766,0.023021215193152467,0.04504069575273451
CEPV,IL1V,0.04499859171238444,-0.0009408402192462712,0.0446974995508074
PVT,AIB,0.04602591750011038,0.01137074940742288,0.04401508113422411
AIZ,RIM,0.04594882707108336,0.011258654798162633,0.04395420637540224
ASI,AWC,0.04869510146790553,0.033992199968183374,0.043535276409218025
OLQD,IL2L/R,0.04772655910846905,0.02871761774511897,0.04330429087501903
ADF,SMBV,0.042704282384075094,-0.002707423569698573,0.04266908352985046
CEPD,URAD,0.04073698718382655,-0.014634229079584433,0.04236740708126986
URB,CEPV,0.040223409449106004,-0.015850318119334145,0.042026658091649384
AQR,RIR,0.04547779346842447,0.02318297494310894,0.04184125153896871
DVC,RMF,0.052214147418515613,0.07231706772649281,0.04172896765758657
RIV,SIAV,0.047998156116861625,0.044889672994388854,0.04134035400247877
AWC,AWC,0.04192210620530435,0.0017580964793292887,0.041277828996409124
RMDV,BWM06V,0.04319553112243493,0.019153189306614596,0.04013725540991566
IL1L/R,RMDV,0.04365135910917587,0.023721069010430827,0.03995801425961951
ADE,AVA,0.041365550664723166,0.00871842538057372,0.039765567074263874
IL2D,RIH,0.04466128318205514,0.03261420391134846,0.03973035886346833
RIH,CEPV,0.04517542086342873,0.036700914332715655,0.03967530565090571
URYD,IL1D,0.044300188009582776,0.03334865863431612,0.039271313521178554
PVT,AVK,0.04255806318527634,0.02171055656638862,0.03915278846369195
IL2D,RMEV,0.04149332712850514,0.01659980604382019,0.038803909758202255
URYD,BWM01D,0.03723220025264067,-0.012830214328450516,0.038647102400431184
ADE,IL1L/R,0.04235472426345369,0.024030773895459764,0.03863103656231705
IL1L/R,BWM04V,0.03821939334558001,-0.005342325262269167,0.03859096097451289
AIZ,AIB,0.0442282751550992,0.04059177428158612,0.03820000700908241
AVH,AWB,0.03747327217416016,-0.007117205426429761,0.038097050108136084
URYD,BWM03D,0.03936595719527143,0.006539778472446372,0.03808593918263995
AWB,RIG,0.038295156603971515,-8.319638310588598e-05,0.03793985215862579
AIZ,AVE,0.041816564334983944,0.03045631266049202,0.03721083441292653
CEPV,RIP,0.03614485695351436,-0.007128765322979226,0.036782954586662135
AVM,BDU,0.038633732123608586,0.010905430516011973,0.03675794645034573
ADF,SMBD,0.03168677470681943,-0.03696443739421172,0.0364870880560781
RMEL/R,BWM04D,0.04709240390351228,0.07917012504642579,0.035710054573559226
ASK,AIB,0.043529357027906675,0.054023849790070785,0.035653169246506494
RIG,AIB,0.03787885566672221,0.013688168592345302,0.03562607778427666
RMG,RMDL/R,0.035227027037799286,-0.003503968072299326,0.0353734271623588
ASH,AIB,0.03491836864977649,-0.0054968600313666125,0.035342890708316275
