pre,post,PC1_loading,PC2_loading,separation_axis_loading
BWM06V,BWM08V,0.09319504706488946,0.7060537416341388,0.3360382239371406
BWM07D,BWM07D,0.33113353042187493,-0.2768710210878268,0.21231679568110512
BWM05D,BWM07D,0.22773640949329835,-0.10147652464795219,0.17736434203242482
RIP,URAV,0.1571653665623021,0.01850151266294903,0.1536025526167632
IL2V,RIP,0.16000333885793167,0.0005345588688813823,0.14992667610105329
BWM04V,BWM08V,0.10923841408883807,0.08317619397848612,0.13154252640417327
BWM03D,BWM05D,0.12527228005529922,0.008296753345073302,0.12015928962897209
BWM05V,BWM07V,0.14342723715216152,-0.06309251498355795,0.11199104508764726
ASI,AWC,0.11148930341231238,0.018716315505509392,0.11093254612749545
BWM06V,BWM07V,0.04902052200244122,0.18366007033935336,0.11059969435024139
IL2V,URAV,0.12305750277001161,-0.018277743776714307,0.10872141836544516
ALM,BDU,0.08784845180323282,0.062244552622046284,0.1041482707708252
BWM08D,CEPD,0.07936663545651616,0.07319740194433773,0.10007052754075392
BWM08V,CEPV,0.07705102680595999,0.07818980070017394,0.09966286069921503
IL2D,URAD,0.10219734675653468,0.01085301924765894,0.09946559345782101
AIA,ASG,0.09855478907441664,0.018138500811603734,0.09862421919672937
RIP,URAD,0.09526054620139451,0.025835394017126763,0.0982538001168361
BWM01D,URAD,0.1043127920061345,-3.513879676775956e-05,0.09760819948273383
IL2L/R,RMEL/R,0.09595122292370821,0.016386497514420225,0.09557025761751752
BWM01V,URAV,0.09572552222915862,0.013722525887317295,0.094420220046441
IL1L/R,RMEL/R,0.09016997780955138,0.020731104486696333,0.09169100306498679
AVH,AWB,0.07340503092299515,0.04970621754423404,0.08621280529369074
BWM04V,BWM07V,0.0381023362337576,0.14272524585778948,0.08595602554707688
BWM07V,BWM08V,0.036712277993290784,0.1375183104376065,0.08282015794839585
AIM,ASJ,0.07702658579925926,0.02870802009133126,0.08220199246631563
IL2D,RIP,0.07348336545022931,0.037872006714811605,0.08211559109009094
BWM07V,CEPV,0.06846744222269541,0.045109361954501125,0.07997199952427982
IL1D,URAD,0.09974326273805559,-0.03917575497372451,0.07953818911713784
ADF,AWB,0.0899154945223588,-0.015873050264889534,0.07855308656553826
IL2L/R,URAD,0.07998950892530829,0.003652264114529556,0.07614486843099029
AVF,RIF,0.06059860113886024,0.04191792642075357,0.0714832840032521
IL1V,RIP,0.07651156557277634,-0.004531194536484053,0.07000610060323316
AWA,AWB,0.06563390568196553,0.022899710155471244,0.06949329144429137
AVJ,BDU,0.060977850923217884,0.03514211671338973,0.06945032327778367
AVJ,PVC,0.05973919072553173,0.034036626921069395,0.06790154122668467
IL1V,IL2V,0.07151107092398994,0.0024895699302745983,0.06780061850878158
AIA,ASK,0.06797289378726469,0.009324628947642596,0.06689819372664654
BWM06D,BWM08D,0.12677245351017333,-0.14783238804817259,0.06654136682150373
AVB,AVJ,0.05269250041640035,0.04831249844700158,0.06633792759721686
IL1D,URYD,0.07579673238632796,-0.013514213443410741,0.06617140004201032
AIM,ASG,0.06741676425836772,0.005692734677423016,0.06509781806840148
PVC,PVP,0.06048069877930129,0.020704270099336335,0.06389698922133041
RIC,URB,0.06367227301000847,0.0024439722223424535,0.0604486511287326
BWM01V,BWM03V,0.06075819471568993,0.008971874059108539,0.06002203998337951
IL2L/R,OLQD,0.06262678910946796,0.003974896342888153,0.060009757179453296
AVM,BDU,0.05775032485100282,0.01601975733942111,0.05969090241705969
BWM07D,CEPD,0.042846632453970544,0.05206744250292817,0.05844701238304455
AFD,AIN,0.06232539665019819,-0.0017350810939675456,0.057715433512546814
IL1V,URYV,0.06764541117080206,-0.01605522915543645,0.05764754300080674
IL1L/R,IL2L/R,0.054802218638455136,0.017258653962020684,0.057368535167221964
ADE,ALN,0.0459441566453212,0.039169639363301985,0.05680046792821953
BWM02D,BWM04D,0.050926749838108305,0.024639162516573013,0.05634268094383817
ASJ,PVQ,0.06009399541677439,-0.0015357219047519505,0.05569744495505987
ADF,AWA,0.06227527097386154,-0.0077097651468468415,0.05556297064958439
URB,URX,0.05258417292371794,0.01799829728735333,0.05555344815523545
BWM06D,CEPD,0.0468283137920442,0.031037925924175657,0.05476218477867044
BDU,RIF,0.051312611866020943,0.017609922589543206,0.05422659628891648
AVD,AVJ,0.04850338533210784,0.023538016498146803,0.05368673033919259
AVH,PVP,0.05428225256013072,0.008182720814173932,0.05368345583896065
IL2L/R,URAV,0.057012666212055876,0.0008599329130968428,0.05365805764506734
IL1D,OLQD,0.05978960797464773,-0.008021575927523322,0.053126889885069646
IL1D,IL2D,0.0649519560061738,-0.022939438611724164,0.05270080594002794
IL2D,OLQD,0.052516598801573305,0.01001345313253051,0.05267625082057296
ASJ,ASK,0.05765151457456559,-0.005757575069409092,0.051923828393978515
FLP,FLP,0.03157403918259408,0.06251494745267398,0.05157944546512669
IL1D,RIP,0.05109358498765616,0.010397152792599767,0.0514797512930639
ALM,SDQ,0.0365343515231201,0.048447598118660055,0.05126401895995938
AFD,AIY,0.05654195889713979,-0.005404967300437785,0.05100971986076121
IL2D,RMEL/R,0.05897169130170262,-0.015206728564358443,0.04982930962662719
RMG,RMH,0.04229865338157617,0.028930025233767837,0.04978027525300568
AIY,ASE,0.05666210852708176,-0.00922516937782563,0.04977587451469785
ADF,AUA,0.051189228643960354,0.004941339809157176,0.04964656252222639
ASE,AWA,0.05804482528954245,-0.01335361118402348,0.049614968524242485
ASH,AVH,0.04426705227346164,0.021332636936908032,0.04894497692010084
AFD,AUA,0.05430806510021532,-0.007685818609334177,0.04811534160712061
CEPD,URB,0.046354560561707364,0.013235663813615047,0.04804508658537638
AVF,AVF,0.03216633619154466,0.049511599136806944,0.04755120177269829
ADE,ADE,0.029240404356521706,0.0567384920121261,0.04735983069336463
ASK,PVQ,0.050601789822997505,-0.0020880076886967457,0.0466195814303929
BWM01D,BWM03D,0.08179484978993741,-0.0881904540059575,0.045467870503497
BDU,SDQ,0.027781208137641455,0.05383536257782211,0.044971150576137736
IL1V,OLQV,0.052764991414269734,-0.0128097791351154,0.04486551668647882
BWM02V,URAV,0.04857648396084548,-0.002711023018795851,0.044504651137821705
ALA,ASJ,0.04069391946492183,0.01813198729613993,0.04447313043788535
BWM02V,BWM04V,0.04620178686161516,0.0016382634349496833,0.04381504590126887
ADF,AIZ,0.04458213063623934,0.004176989591137985,0.04319397775234326
RIC,RMH,0.04395855464234081,0.005425135058936607,0.04305026940279943
CEPD,URYD,0.044351894773606466,0.003366915208203125,0.04269303242682682
OLQD,URAD,0.047642252238543924,-0.006575028813055387,0.04226863152264705
AVB,PVC,0.04208405736103037,0.006683918848811224,0.0417396419619822
BWM02V,IL1L/R,0.04396397540933003,0.0013528692572677065,0.0416202252550364
AVD,PVC,0.03865012615061275,0.012152259857049433,0.04045312675273324
AVB,PVP,0.03912799575122126,0.010656458282436176,0.04037319943947722
ASH,AVF,0.029230002324738776,0.03619104976629477,0.04010892166370446
IL2V,RMEL/R,0.0441939193861122,-0.0064479812139828984,0.039086300346639416
BWM07D,RMDV,0.04187704923360628,-0.0006666545462314228,0.03895548094875286
FLP,PVC,0.03677202939920538,0.0123774307740229,0.03877487272776175
RMH,RMH,0.02772853951439413,0.03444552685075927,0.03808864151972102
AVJ,RIF,0.03332960650362322,0.019481559868450262,0.038056882696729584
PVP,RIR,0.03479889416502109,0.01275045556491605,0.03705978297900436
AIY,AUA,0.03690101327369493,0.006925630185787988,0.036974299244381316
SIBV,URB,0.03425824376396938,0.013498182202195423,0.03681732629025585
AVA,FLP,0.027234121787030996,0.03185880358175348,0.03671434979643421
AIZ,AWB,0.040469804064195015,-0.0040080133838554825,0.03646098145534556
SIAD,SMBD,0.03976010344054318,-0.0028254799076721858,0.03621355133750754
OLQV,RIP,0.04137214000399832,-0.0072938360236224405,0.036147463055149015
SIAV,SIBD,0.0319314086755762,0.016786989885179786,0.035798786551590044
BWM02D,IL1L/R,0.03848323787350613,-0.001437725627461457,0.03550766522799399
IL1V,URAV,0.03620473185614908,0.004597675788576437,0.035502287809108246
ALN,SIAD,0.03611486666830209,0.004562184005338469,0.03540568019526577
RMEL/R,URAD,0.035596800821817286,0.004801869285617808,0.03500531904788391
ALA,PVQ,0.03488858011137521,0.006465455061311172,0.034928802715734966
ADL,ASH,0.039358391360607606,-0.006212226776569436,0.03464407943908554
BWM04V,CEPV,0.034211560224882705,0.007129054104133408,0.03452907774346772
IL2L/R,OLQV,0.035088177159875014,0.0042984310343793025,0.03435190833967279
SIBD,SIBV,0.0322604233934484,0.01124281510192367,0.03415285707480025
BWM07D,RMDD,0.04208993391461664,-0.015530800988416055,0.03391639779059047
AIN,AUA,0.03593361427723898,0.0007139072737588566,0.033879875480928745
AIM,PVQ,0.03234810487518811,0.010170366438927348,0.03385696907805633
BWM06V,CEPV,0.03031771560868936,0.015447851207553202,0.03381669116938227
ALN,SMDD,0.029929557049725948,0.016360522338758416,0.033775071668677104
RMEL/R,URAV,0.04024846360994932,-0.011452545257486452,0.03363029547165921
BWM08V,RMG,0.01671485018659523,0.050312076108432864,0.03337310715766077
ADA,URB,0.03779574780289088,-0.00588319980618027,0.033297640807245676
ADL,AWA,0.03868430984813263,-0.008528782691575153,0.033196860636264335
AVF,PVQ,0.02354505182996627,0.02969965822041612,0.032501043206595734
BDU,PVR,0.020032841315539198,0.0387939671393163,0.0324191069323217
AVJ,AVJ,0.025026252672493466,0.025336006536088265,0.03234941214124198
AVM,FLP,0.028126030903061587,0.016724777165229666,0.03221561905605685
SAAV,SMDD,0.03394699534772981,0.0012507380423624444,0.03220989435113183
CEPV,URB,0.02980495759289247,0.011894535607229745,0.03208459661678026
ASJ,AVF,0.031037080355237542,0.008547478676791596,0.03205812776992259
AVB,AVH,0.03245567565346624,0.004536007926919784,0.03197202057605711
AFD,BAG,0.03133339158079071,0.00679950337214769,0.031719420836914695
BWM05V,RMDD,0.04235594101159318,-0.02269363672279572,0.03164106669811489
AIZ,AWA,0.035159288709169345,-0.003592691755092608,0.03163752784337501
AIM,AVF,0.028780330259575885,0.013166707905494271,0.03157403381514276
ALM,PVR,0.021262884722667175,0.033101430322334584,0.03156411583225098
IL2V,OLQV,0.03123644359031648,0.006502641774903059,0.031524074844166305
ADA,URX,0.03612713042908344,-0.006817146880275402,0.03140693936195355
SIAV,SMBV,0.028664048783101085,0.01191807028160863,0.03102517696445579
AVJ,AVM,0.03400423561740942,-0.00249348724951396,0.03094395077276243
AVK,AVK,0.025030728345618907,0.0208888179243562,0.03078635606845787
AUA,URX,0.03670261809765585,-0.01034055732796649,0.030703812810224544
SIAD,SIBD,0.03278136747711414,2.486932508440688e-05,0.030687036191589412
RMF,RMH,0.025919887222851955,0.018164834096766978,0.030658504971924936
IL1L/R,OLL,0.0326735730264183,-1.0091314765207402e-05,0.0305738367520777
BWM03D,URAD,0.04431787498007549,-0.031009916633149497,0.030546371849757368
SIBD,SMBD,0.030485866571508275,0.0055370136518363465,0.03048135188535298
ASE,ASI,0.03518128837210957,-0.007112031873150213,0.030417856860578494
AIA,ASI,0.03401003624807579,-0.004698302153603506,0.030172375053546092
BWM05D,RMDV,0.04109803187345596,-0.023523381406316473,0.03017144663414794
ASE,AWC,0.03756808313697862,-0.014330787272168976,0.030107547070127742
BWM01D,IL1D,0.03605208112483531,-0.010548470628067186,0.030021739939859838
IL2L/R,OLL,0.02851654423574101,0.009334796956246314,0.029976757936005058
ADL,AVH,0.029587761904514755,0.0064148441162199905,0.02995022369219315
ADA,ASH,0.03347044721617721,-0.004405491502772892,0.029770593586931772
IL1L/R,URAV,0.028759691993922375,0.00787399413205229,0.029689501404809995
ALM,RIF,0.023792565143676624,0.020413014956876006,0.02945994860121271
ASH,ASK,0.02806801590461048,0.008494444685833257,0.02926085443702327
AVA,SAAV,0.024647078871150932,0.01744514794432447,0.02921372755251746
ALN,RMG,0.02324455779806747,0.02108531585773759,0.02918402598611556
AVD,RID,0.0164866930530396,0.03900550184021986,0.02917501002056511
SIAD,SMDV,0.027377071930511303,0.009993441764924236,0.029142503343707524
ASH,AWA,0.03020645785981423,0.0024418003222454795,0.029129077003917255
BWM05V,CEPV,0.026308189164938024,0.012767142767199102,0.029119681726912445
PVR,RIP,0.03901302194623639,-0.02111000778422267,0.029070703855360945
RIM,SAAD,0.029516537359287276,0.003716003813181174,0.028932463665184847
AIN,AIN,0.018715264039863153,0.03213808614084351,0.028840443814193942
CEPV,OLQV,0.029948371377371098,0.0014764362816365542,0.02854734181317047
