pre,post,PC1_loading,PC2_loading,separation_axis_loading
RIC,AVA,0.1339806913999205,-0.10363599298032874,0.16814703502643913
IL2D,RIP,0.14958896866832844,-0.06518860765199437,0.16187338743603363
URX,RIA,0.14463982041832316,-0.02821816159343041,0.13869621574897292
AIZ,AIB,0.1768040205412553,0.04883832037987153,0.1268802009887639
URX,AUA,0.0976084718757554,-0.0772779341814212,0.12340890655605441
IL2V,RIP,0.11879307631420513,-0.035558742571504515,0.1202506485702461
ASG,AIA,0.09054867466127897,-0.07718385662170768,0.11729611993215414
ASK,AIA,0.1475120677481744,0.028512822521269972,0.11212222622151796
URYD,RMDV,0.13281679949625216,0.009223056824072548,0.10937313834932262
RIA,RMDD,0.17565989022502015,0.08234732256708557,0.1087436403345387
AIZ,RIM,0.11305232102224406,-0.01947445198721695,0.10708536195649418
RIA,RMDV,0.15813891960815835,0.06267235587464043,0.10376435915429111
ASH,AVB,0.08854522176727349,-0.047649709180293584,0.10045615116402792
AWB,ADF,0.08058888571651551,-0.05583285570300226,0.0978104272005912
ASI,AWC,0.11130560274990792,-0.0034802294178890433,0.09739720797221758
IL2D,RMEL/R,0.08456884049433228,-0.047213296418606276,0.09681688692503092
AIB,RIM,0.10834683811731763,-0.0006160572907972596,0.09338931130548689
IL2V,RMEL/R,0.07724533424969723,-0.04894353509154661,0.0914114565817718
ADF,RIA,0.08432368778330854,-0.021160435084135516,0.08326948041214682
AWC,AWC,0.06639308838454634,-0.048251655260318806,0.08173479317994439
FLP,AVA,0.09868844368100492,0.012440647016837761,0.07840848996424503
URB,URX,0.07014835155042336,-0.031295076598215274,0.0762804017797971
BAG,AVE,0.05145365479405058,-0.05686513768526557,0.07331062477880788
RIC,SMDD,0.059176018475425585,-0.03956317388360114,0.07108731220871625
RIA,SMDV,0.1120900851383024,0.05002436937549302,0.07068138128464291
PVT,AVK,0.0762797958866317,-0.007764195215499339,0.06950176366113198
BAG,RIB,0.07303972803943187,-0.012559882894363725,0.0691734027168296
RIA,RMDL/R,0.17525592340110108,0.15969164924553422,0.06880301340898497
SAAD,RIM,0.09128490682296879,0.019766416146639963,0.06829841777078235
RIA,RIA,0.16832286560847945,0.14998110655451333,0.06781821804374363
RIR,AIZ,0.06402979547201977,-0.02412789733726741,0.06735535991994075
AIM,ASG,0.05875557915712724,-0.031807068851560844,0.06675568445295336
SAAV,RIM,0.09820919977909234,0.03808794041584279,0.06486760615466595
IL1L/R,BWM02V,0.050168750422913945,-0.04073241195978612,0.06394828439033211
CEPV,OLQV,0.040994894922828755,-0.05494933481654743,0.06334543768858422
ALM,BDU,0.053744490274651155,-0.03163105471009804,0.06236086965589853
