,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,9583869,6963.76,9523.8,7400.0,2024373,9577766,2024166,9573543,ADAL,RICR,ADA,RIC
1,9583869,6963.76,9523.8,7400.0,2024373,9577766,2023364,9559374,ADAL,AVAR,ADA,AVA
2,9583869,6963.76,9523.8,7400.0,2024373,9577766,2023527,9562292,ADAL,SMDDL,ADA,SMDD
3,9583858,8004.88,5619.28,5700.0,2024373,9577806,2022692,9547263,ADAL,AVBR,ADA,AVB
4,9583858,8004.88,5619.28,5700.0,2024373,9577806,2024149,9573027,ADAL,RID,ADA,RID
5,9583832,7688.24,7923.52,6450.0,2024373,9577858,2024210,9574445,ADAL,AVDR,ADA,AVD
6,9583832,7688.24,7923.52,6450.0,2024373,9577858,2024338,9576923,ADAL,AVBL,ADA,AVB
7,9583832,7688.24,7923.52,6450.0,2024373,9577858,2023163,9556138,ADAL,AVJR,ADA,AVJ
8,9583868,6130.12,10028.6,9850.0,2024373,9577717,2022987,9552723,ADAL,RIML,ADA,RIM
9,9583868,6130.12,10028.6,9850.0,2024373,9577717,2023364,9559422,ADAL,AVAR,ADA,AVA
10,9583868,6130.12,10028.6,9850.0,2024373,9577717,2024286,9576129,ADAL,AIBR,ADA,AIB
11,9583831,6061.96,10114.4,9900.0,2024373,9577716,2022757,9548401,ADAL,PVPL,ADA,PVP
12,9583831,6061.96,10114.4,9900.0,2024373,9577716,2022692,9547359,ADAL,AVBR,ADA,AVB
13,9583831,6061.96,10114.4,9900.0,2024373,9577716,2022987,9552722,ADAL,RIML,ADA,RIM
14,9583878,4515.88,9197.0,7550.0,2024326,9576629,2024182,9573894,ADAR,RICL,ADA,RIC
15,9583878,4515.88,9197.0,7550.0,2024326,9576629,2022828,9549445,ADAR,AVAL,ADA,AVA
16,9583861,3726.04,5088.28,5650.0,2024326,9576704,2024338,9576955,ADAR,AVBL,ADA,AVB
17,9583861,3726.04,5088.28,5650.0,2024326,9576704,2023364,9559276,ADAR,AVAR,ADA,AVA
18,9583875,4978.64,9975.76,10200.0,2024326,9576578,2024338,9577046,ADAR,AVBL,ADA,AVB
19,9583875,4978.64,9975.76,10200.0,2024326,9576578,2022971,9552381,ADAR,RIMR,ADA,RIM
20,9583879,3880.24,7296.52,6850.0,2024326,9576654,2024314,9576390,ADAR,ASHR,ADA,ASH
21,9583879,3880.24,7296.52,6850.0,2024326,9576654,2022692,9547218,ADAR,AVBR,ADA,AVB
22,9583877,4822.48,9860.64,9950.0,2024326,9576583,2022692,9547158,ADAR,AVBR,ADA,AVB
23,9583877,4822.48,9860.64,9950.0,2024326,9576583,2022971,9552386,ADAR,RIMR,ADA,RIM
24,9583862,3655.92,6852.2,6400.0,2024326,9576690,2023030,9553671,ADAR,AVJL,ADA,AVJ
25,9583862,3655.92,6852.2,6400.0,2024326,9576690,2024314,9576398,ADAR,ASHR,ADA,ASH
26,9583862,3655.92,6852.2,6400.0,2024326,9576690,2022692,9547225,ADAR,AVBR,ADA,AVB
27,9583862,3655.92,6852.2,6400.0,2024326,9576690,2024196,9574093,ADAR,AVDL,ADA,AVD
28,9583891,4314.04,10008.0,12100.0,2024522,9580489,2022828,9549531,ADEL,AVAL,ADE,AVA
29,9583891,4314.04,10008.0,12100.0,2024522,9580489,2024540,9580751,ADEL,ADER,ADE,ADE
30,9583894,6280.24,10117.2,11200.0,2024522,9580433,2024373,9577690,ADEL,ADAL,ADE,ADA
31,9583894,6280.24,10117.2,11200.0,2024522,9580433,2023364,9559447,ADEL,AVAR,ADE,AVA
32,9583895,6464.56,10303.8,11600.0,2024522,9580426,2023364,9559454,ADEL,AVAR,ADE,AVA
33,9583895,6464.56,10303.8,11600.0,2024522,9580426,2024373,9577683,ADEL,ADAL,ADE,ADA
34,9583900,4226.72,10232.8,12250.0,2024540,9580748,2024326,9576540,ADER,ADAR,ADE,ADA
35,9583900,4226.72,10232.8,12250.0,2024540,9580748,2022828,9549534,ADER,AVAL,ADE,AVA
36,9583900,4226.72,10232.8,12250.0,2024540,9580748,2021744,9529644,ADER,FLPL,ADE,FLP
37,9583909,6569.44,10752.3,8350.0,2022093,9535809,2023124,9555510,ADFL,SMBDL,ADF,SMBD
38,9583909,6569.44,10752.3,8350.0,2022093,9535809,2021940,9533059,ADFL,AIZL,ADF,AIZ
39,9583909,6569.44,10752.3,8350.0,2022093,9535809,2021998,9534090,ADFL,RIAL,ADF,RIA
40,9583909,6569.44,10752.3,8350.0,2022093,9535809,2021899,9532321,ADFL,AIYL,ADF,AIY
41,9583917,7790.96,4633.52,5950.0,2022093,9535896,2021940,9533127,ADFL,AIZL,ADF,AIZ
42,9583911,8425.76,8002.2,6500.0,2022093,9535851,2021940,9533192,ADFL,AIZL,ADF,AIZ
43,9583911,8425.76,8002.2,6500.0,2022093,9535851,2023146,9555822,ADFL,AVHR,ADF,AVH
44,9583912,7785.36,9580.0,7050.0,2022093,9535835,2023146,9555837,ADFL,AVHR,ADF,AVH
45,9583912,7785.36,9580.0,7050.0,2022093,9535835,2022048,9535206,ADFL,RIR,ADF,RIR
46,9583912,7785.36,9580.0,7050.0,2022093,9535835,2021940,9533197,ADFL,AIZL,ADF,AIZ
47,9583914,6877.08,10500.3,7850.0,2022093,9535819,2021998,9534080,ADFL,RIAL,ADF,RIA
48,9583914,6877.08,10500.3,7850.0,2022093,9535819,2021940,9533073,ADFL,AIZL,ADF,AIZ
49,9583914,6877.08,10500.3,7850.0,2022093,9535819,2022171,9536999,ADFL,SMBVL,ADF,SMBV
50,9583913,7050.68,10708.4,7650.0,2022093,9535823,2022741,9548158,ADFL,AUAL,ADF,AUA
51,9583913,7050.68,10708.4,7650.0,2022093,9535823,2021998,9534076,ADFL,RIAL,ADF,RIA
52,9583916,7319.48,4090.68,5550.0,2022093,9535872,2022048,9535243,ADFL,RIR,ADF,RIR
53,9583910,6349.6,10294.4,9200.0,2022093,9535792,2021998,9534127,ADFL,RIAL,ADF,RIA
54,9583910,6349.6,10294.4,9200.0,2022093,9535792,2024048,9571054,ADFL,SIBVL,ADF,SIBV
55,9583910,6349.6,10294.4,9200.0,2022093,9535792,2024001,9570329,ADFL,SIBDL,ADF,SIBD
56,9583931,4548.76,3419.48,5400.0,2022129,9536456,2021962,9533456,ADFR,AIZR,ADF,AIZ
57,9583931,4548.76,3419.48,5400.0,2022129,9536456,2022445,9543242,ADFR,DVA,ADF,DVA
58,9583931,4548.76,3419.48,5400.0,2022129,9536456,2022048,9535346,ADFR,RIR,ADF,RIR
59,9583931,4548.76,3419.48,5400.0,2022129,9536456,2024239,9575147,ADFR,AUAR,ADF,AUA
60,9583925,3205.8,7789.64,6650.0,2022129,9536420,2023018,9553367,ADFR,AVHL,ADF,AVH
61,9583925,3205.8,7789.64,6650.0,2022129,9536420,2021962,9533411,ADFR,AIZR,ADF,AIZ
62,9583930,4567.32,10298.6,8050.0,2022129,9536391,2021962,9533374,ADFR,AIZR,ADF,AIZ
63,9583930,4567.32,10298.6,8050.0,2022129,9536391,2021977,9533650,ADFR,RIAR,ADF,RIA
64,9587387,4536.72,10213.6,7850.0,2022129,9536395,2021962,9533386,ADFR,AIZR,ADF,AIZ
65,9587387,4536.72,10213.6,7850.0,2022129,9536395,2021977,9533646,ADFR,RIAR,ADF,RIA
66,9583928,4288.4,10141.9,7750.0,2022129,9536397,2021977,9533644,ADFR,RIAR,ADF,RIA
67,9583928,4288.4,10141.9,7750.0,2022129,9536397,2024239,9575077,ADFR,AUAR,ADF,AUA
68,9583944,8428.16,7157.68,7300.0,2022776,9548636,2022506,9544275,ADLL,AIAL,ADL,AIA
