,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,9824059,18551.3,23249.8,8850.0,1820326,8142797,1824396,8227752,ADLR,AVAR,ADL,AVA
1,9824059,18551.3,23249.8,8850.0,1820326,8142797,1823320,8201705,ADLR,ASHR,ADL,ASH
2,9824058,21127.2,27537.5,9400.0,1820326,8142836,1819505,8125206,ADLR,AVJL,ADL,AVJ
3,9824058,21127.2,27537.5,9400.0,1820326,8142836,1824396,8227727,ADLR,AVAR,ADL,AVA
4,9824058,21127.2,27537.5,9400.0,1820326,8142836,1823320,8201674,ADLR,ASHR,ADL,ASH
5,9824057,21847.9,28822.8,9900.0,1820326,8142844,1819686,8128884,ADLR,AIAR,ADL,AIA
6,9824057,21847.9,28822.8,9900.0,1820326,8142844,1820068,8137437,ADLR,AIBR,ADL,AIB
7,9824056,31943.3,27884.8,9200.0,1820396,8144018,1823460,8204464,ADLL,ASHL,ADL,ASH
8,9824056,31943.3,27884.8,9200.0,1820396,8144018,1822126,8177045,ADLL,AVDR,ADL,AVD
9,9824056,31943.3,27884.8,9200.0,1820396,8144018,1820114,8138246,ADLL,AIBL,ADL,AIB
10,9824055,29939.9,30055.1,11750.0,1820396,8144068,1823460,8204416,ADLL,ASHL,ADL,ASH
11,9824055,29939.9,30055.1,11750.0,1820396,8144068,1819409,8123243,ADLL,PVNL,ADL,PVN
12,8239675,31341.8,28771.2,9650.0,1820396,8144026,1820114,8138238,ADLL,AIBL,ADL,AIB
13,8239675,31341.8,28771.2,9650.0,1820396,8144026,1823460,8204457,ADLL,ASHL,ADL,ASH
14,8468546,34289.8,23109.1,5900.0,1820522,8146660,1820254,8141772,SAAVR,RIML,SAAV,RIM
15,8468546,34289.8,23109.1,5900.0,1820522,8146660,1824396,8227601,SAAVR,AVAR,SAAV,AVA
16,9652967,20416.2,15153.7,7450.0,1820992,8156210,1823242,8200176,URYDR,AVBL,URYD,AVB
17,9652966,20622.8,15090.1,7650.0,1820992,8156206,1820155,8139590,URYDR,AVBR,URYD,AVB
18,9652966,20622.8,15090.1,7650.0,1820992,8156206,1822126,8176900,URYDR,AVDR,URYD,AVD
19,9652965,30271.5,14769.5,8100.0,1821091,8158114,1823242,8200135,URYDL,AVBL,URYD,AVB
20,9652965,30271.5,14769.5,8100.0,1821091,8158114,1822153,8177484,URYDL,AVDL,URYD,AVD
21,9644571,19947.9,20231.4,2300.0,1820742,8151234,1821453,8166553,RMEL,BWM-DR02,RMEL/R,BWM02D
22,9644571,19947.9,20231.4,2300.0,1820742,8151234,1821796,8171948,RMEL,BWM-VR02,RMEL/R,BWM02V
23,9644571,19947.9,20231.4,2300.0,1820742,8151234,1821453,8166511,RMEL,BWM-DR02,RMEL/R,BWM02D
24,9644562,30950.7,15726.4,5050.0,1822426,8183455,1820449,8145401,RIAR,RMDL,RIA,RMDL/R
25,9644562,30950.7,15726.4,5050.0,1822426,8183455,1820413,8144700,RIAR,RMDR,RIA,RMDL/R
26,9644562,30950.7,15726.4,5050.0,1822426,8183455,1823795,8212749,RIAR,SIADR,RIA,SIAD
27,8416976,20167.1,25909.1,4550.0,1819915,8134364,1823880,8214506,AVKR,RIS,AVK,RIS
28,8416976,20167.1,25909.1,4550.0,1819915,8134364,1822308,8180581,AVKR,AVL,AVK,AVL
29,8240635,25396.7,13866.5,6150.0,1823392,8203574,1824396,8227647,RICR,AVAR,RIC,AVA
30,8240635,25396.7,13866.5,6150.0,1823392,8203574,1820190,8139813,RICR,AVAL,RIC,AVA
31,8468165,31655.6,18773.9,6150.0,1822686,8189130,1821541,8167963,RMFR,BWM-DL02,RMF,BWM02D
32,8468165,31655.6,18773.9,6150.0,1822686,8189130,1822455,8184172,RMFR,RMHR,RMF,RMH
33,8468577,31442.0,18057.1,6150.0,1822686,8189130,1821140,8159425,RMFR,CEPDL,RMF,CEPD
34,8468577,31442.0,18057.1,6150.0,1822686,8189130,1821497,8167096,RMFR,BWM-DL06,RMF,BWM06D
35,8468577,31442.0,18057.1,6150.0,1822686,8189130,1821541,8167963,RMFR,BWM-DL02,RMF,BWM02D
36,9641155,33521.2,26501.3,6050.0,1819824,8132024,1823055,8196652,DVC,RIBL,DVC,RIB
37,9641155,33521.2,26501.3,6050.0,1819824,8132024,1822686,8189244,DVC,RMFR,DVC,RMF
38,9641154,21961.9,13532.2,5700.0,1822365,8182414,1820590,8147694,RIAL,SMDVR,RIA,SMDV
39,9641154,21961.9,13532.2,5700.0,1822365,8182414,1823601,8207810,RIAL,SIADL,RIA,SIAD
40,8467078,32408.2,14359.0,6850.0,1824194,8222992,1820370,8143309,RIGL,AVEL,RIG,AVE
41,8467078,32408.2,14359.0,6850.0,1824194,8222992,1820068,8137960,RIGL,AIBR,RIG,AIB
42,8467077,32665.5,14643.7,6850.0,1823055,8196504,1820370,8143309,RIBL,AVEL,RIB,AVE
43,8467077,32665.5,14643.7,6850.0,1823055,8196504,1820068,8137960,RIBL,AIBR,RIB,AIB
44,9641151,35450.4,23623.4,6750.0,1820039,8137071,1824194,8222904,BAGR,RIGL,BAG,RIG
45,9641151,35450.4,23623.4,6750.0,1820039,8137071,1821041,8157405,BAGR,URXL,BAG,URX
46,9641151,35450.4,23623.4,6750.0,1820039,8137071,1822365,8182486,BAGR,RIAL,BAG,RIA
47,8468976,34697.7,24966.7,7300.0,1823084,8197220,1822365,8181845,AUAL,RIAL,AUA,RIA
48,8468976,34697.7,24966.7,7300.0,1823084,8197220,1823055,8196384,AUAL,RIBL,AUA,RIB
49,9641150,18220.1,24280.6,7100.0,1819658,8128464,1824134,8221387,URXR,RIGR,URX,RIG
50,9641150,18220.1,24280.6,7100.0,1819658,8128464,1822292,8180139,URXR,PVPR,URX,PVP
51,9641150,18220.1,24280.6,7100.0,1819658,8128464,1822426,8183650,URXR,RIAR,URX,RIA
52,9641149,18978.0,21084.7,7350.0,1821184,8160635,1822505,8185364,URBR,RMHL,URB,RMH
53,9641149,18978.0,21084.7,7350.0,1821184,8160635,1819658,8128535,URBR,URXR,URB,URX
54,9641148,21145.7,12885.6,7050.0,1823356,8202705,1820217,8140933,AIZR,RIMR,AIZ,RIM
55,9641148,21145.7,12885.6,7050.0,1823356,8202705,1820114,8138712,AIZR,AIBL,AIZ,AIB
56,9641146,35148.3,20787.9,8250.0,1821041,8157374,1819995,8136521,URXL,RIR,URX,RIR
57,9641146,35148.3,20787.9,8250.0,1821041,8157374,1822365,8181826,URXL,RIAL,URX,RIA
58,8417582,35084.6,19313.6,8250.0,1820039,8136966,1822365,8181826,BAGR,RIAL,BAG,RIA
59,8415840,35489.2,22781.2,8050.0,1823084,8197078,1822365,8181830,AUAL,RIAL,AUA,RIA
60,8415840,35489.2,22781.2,8050.0,1823084,8197078,1823055,8196399,AUAL,RIBL,AUA,RIB
61,9641144,29800.6,29273.2,8400.0,1823428,8203902,1820068,8137728,AIZL,AIBR,AIZ,AIB
62,9641144,29800.6,29273.2,8400.0,1823428,8203902,1820298,8142535,AIZL,AVER,AIZ,AVE
63,9641142,20499.1,27805.1,7450.0,1819658,8128379,1822426,8183027,URXR,RIAR,URX,RIA
64,9641142,20499.1,27805.1,7450.0,1819658,8128379,1822962,8194777,URXR,AUAR,URX,AUA
65,9641140,19603.4,27132.0,7350.0,1819658,8128385,1822962,8194779,URXR,AUAR,URX,AUA
66,9641140,19603.4,27132.0,7350.0,1819658,8128385,1822426,8183025,URXR,RIAR,URX,RIA
