,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,6942483,26284.0,16833.0,35280.0,1657591,6719524,1657980,6745720,ADAL,RICR,ADA,RIC
1,6942483,26284.0,16833.0,35280.0,1657591,6719524,1658818,6801113,ADAL,AVAR,ADA,AVA
2,6945166,26155.0,13529.0,34080.0,1657591,6719655,1658333,6768999,ADAL,AVJR,ADA,AVJ
3,6945166,26155.0,13529.0,34080.0,1657591,6719655,1656764,6661276,ADAL,AVAL,ADA,AVA
4,6945166,26155.0,13529.0,34080.0,1657591,6719655,1658254,6763113,ADAL,AVBL,ADA,AVB
5,7006824,26591.0,15688.0,35100.0,1657591,6719544,1658254,6763079,ADAL,AVBL,ADA,AVB
6,7006824,26591.0,15688.0,35100.0,1657591,6719544,1658333,6769033,ADAL,AVJR,ADA,AVJ
7,6968577,26772.0,14938.0,34860.0,1657591,6719585,1658254,6763087,ADAL,AVBL,ADA,AVB
8,6968577,26772.0,14938.0,34860.0,1657591,6719585,1658333,6769025,ADAL,AVJR,ADA,AVJ
9,6968577,26772.0,14938.0,34860.0,1657591,6719585,1658421,6776154,ADAL,AVDR,ADA,AVD
10,6989455,25992.0,17582.0,36510.0,1657591,6719477,1657632,6721296,ADAL,AIBR,ADA,AIB
11,6989455,25992.0,17582.0,36510.0,1657591,6719477,1658716,6797276,ADAL,RIML,ADA,RIM
12,7013716,22754.0,17300.0,35100.0,1657225,6693785,1659263,6832283,ADAR,RICL,ADA,RIC
13,7013716,22754.0,17300.0,35100.0,1657225,6693785,1656764,6658969,ADAR,AVAL,ADA,AVA
14,7033560,23783.0,17769.0,36600.0,1657225,6693723,1657476,6713984,ADAR,AIBL,ADA,AIB
15,7033560,23783.0,17769.0,36600.0,1657225,6693723,1657716,6729076,ADAR,RIMR,ADA,RIM
16,7033560,23783.0,17769.0,36600.0,1657225,6693723,1658254,6763261,ADAR,AVBL,ADA,AVB
17,7027663,21530.0,15532.0,34320.0,1657225,6693818,1658174,6755181,ADAR,AVBR,ADA,AVB
18,7027663,21530.0,15532.0,34320.0,1657225,6693818,1659249,6829119,ADAR,AVDL,ADA,AVD
19,7049059,25789.0,17721.0,38190.0,1656900,6667780,1657591,6719421,ADEL,ADAL,ADE,ADA
20,7049059,25789.0,17721.0,38190.0,1656900,6667780,1658818,6801209,ADEL,AVAR,ADE,AVA
21,7049057,24584.0,17654.0,37020.0,1656900,6667858,1658885,6811086,ADEL,FLPR,ADE,FLP
22,7049057,24584.0,17654.0,37020.0,1656900,6667858,1658421,6776243,ADEL,AVDR,ADE,AVD
23,7049057,24584.0,17654.0,37020.0,1656900,6667858,1658818,6801170,ADEL,AVAR,ADE,AVA
24,7049063,24682.0,18153.0,37140.0,1656751,6658382,1656720,6656531,ADER,RIGR,ADE,RIG
25,7049063,24682.0,18153.0,37140.0,1656751,6658382,1657930,6740542,ADER,RIGL,ADE,RIG
26,7049063,24682.0,18153.0,37140.0,1656751,6658382,1662218,7009938,ADER,PVCR,ADE,PVC
27,7049072,25491.0,12388.0,33690.0,1656889,6667351,1657795,6732896,ADFL,ASER,ADF,ASE
28,7049072,25491.0,12388.0,33690.0,1656889,6667351,1659765,6864433,ADFL,AIYL,ADF,AIY
29,7049088,24890.0,12389.0,33120.0,1656889,6667368,1657529,6715905,ADFL,AUAL,ADF,AUA
30,7049088,24890.0,12389.0,33120.0,1656889,6667368,1656838,6664767,ADFL,AIZL,ADF,AIZ
