,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
50,10932288,507219.0,91439.7,20930.0,2161613,10609052,2161958,10618454,ADAR,AVBL,ADA,AVB
51,10932288,507219.0,91439.7,20930.0,2161613,10609052,2161941,10616573,ADAR,AVBR,ADA,AVB
54,10932292,507282.0,90406.3,18060.0,2161346,10592046,2161006,10571888,ADFR,AIZR,ADF,AIZ
55,10932292,507282.0,90406.3,18060.0,2161346,10592046,2161111,10578233,ADFR,AVER,ADF,AVE
56,10932292,507282.0,90406.3,18060.0,2161346,10592046,2161368,10594279,ADFR,AUAR,ADF,AUA
57,10932294,507178.0,90894.7,18480.0,2161346,10592040,2162448,10629608,ADFR,RIFR,ADF,RIF
58,10932294,507178.0,90894.7,18480.0,2161346,10592040,2161958,10618202,ADFR,AVBL,ADF,AVB
59,10932294,507178.0,90894.7,18480.0,2161346,10592040,2161963,10618675,ADFR,RIR,ADF,RIR
60,10932296,507040.0,90948.0,18760.0,2161346,10592036,2162448,10629611,ADFR,RIFR,ADF,RIF
61,10932296,507040.0,90948.0,18760.0,2161346,10592036,3765706,10607474,ADFR,AVHL,ADF,AVH
62,10932296,507040.0,90948.0,18760.0,2161346,10592036,2161941,10616604,ADFR,AVBR,ADF,AVB
63,10932296,507040.0,90948.0,18760.0,2161346,10592036,2161576,10606903,ADFR,AVJR,ADF,AVJ
64,10932299,506610.0,90598.7,19670.0,2161346,10592023,2160966,10606916,ADFR,RIPR,ADF,RIP
65,10932299,506610.0,90598.7,19670.0,2161346,10592023,2161576,10606658,ADFR,AVJR,ADF,AVJ
66,10932299,506610.0,90598.7,19670.0,2161346,10592023,2161116,10578475,ADFR,ADLR,ADF,ADL
67,10932300,505525.0,93130.3,22610.0,2161346,10591974,2161501,10602393,ADFR,AIMR,ADF,AIM
68,10932300,505525.0,93130.3,22610.0,2161346,10591974,2161006,10571795,ADFR,AIZR,ADF,AIZ
69,10932301,506016.0,93445.3,13440.0,2161073,10574922,2160758,10562744,AFDL,AIYL,AFD,AIY
70,10932304,505913.0,92225.0,14560.0,2161073,10574906,2161372,10594612,AFDL,ADFL,AFD,ADF
71,10932304,505913.0,92225.0,14560.0,2161073,10574906,2161350,10592317,AFDL,ASER,AFD,ASE
72,10932304,505913.0,92225.0,14560.0,2161073,10574906,2161404,10596244,AFDL,AIAL,AFD,AIA
73,10932305,506245.0,90171.7,16240.0,2161073,10574882,2161350,10592293,AFDL,ASER,AFD,ASE
74,10932305,506245.0,90171.7,16240.0,2161073,10574882,2160758,10562786,AFDL,AIYL,AFD,AIY
75,10932306,506718.0,89764.7,18060.0,2161073,10574856,2160767,10563063,AFDL,AIYR,AFD,AIY
76,10932307,500631.0,99954.7,16450.0,2161073,10575267,2160758,10562674,AFDL,AIYL,AFD,AIY
77,10932309,506229.0,89937.7,17570.0,2161064,10574397,2160767,10563070,AFDR,AIYR,AFD,AIY
78,10932309,506229.0,89937.7,17570.0,2161064,10574397,2160758,10562805,AFDR,AIYL,AFD,AIY
79,10932310,506912.0,89733.3,19250.0,2161064,10574373,2160767,10563046,AFDR,AIYR,AFD,AIY
80,10932310,506912.0,89733.3,19250.0,2161064,10574373,2161350,10592250,AFDR,ASER,AFD,ASE
81,10932311,507178.0,90084.0,21000.0,2161064,10574348,2160767,10563021,AFDR,AIYR,AFD,AIY
82,10932312,501199.0,97325.3,21140.0,2161064,10574272,2160767,10562952,AFDR,AIYR,AFD,AIY
83,10932313,505852.0,90175.0,17850.0,2161418,10597004,2161997,10620982,AIAR,ASEL,AIA,ASE
84,10932313,505852.0,90175.0,17850.0,2161418,10597004,2161388,10595394,AIAR,AWAR,AIA,AWA
85,10932313,505852.0,90175.0,17850.0,2161418,10597004,2161350,10592270,AIAR,ASER,AIA,ASE
86,10932313,505852.0,90175.0,17850.0,2161418,10597004,2161166,10582513,AIAR,AIBR,AIA,AIB
87,10932314,506344.0,89734.3,19320.0,2161418,10596983,2161997,10621003,AIAR,ASEL,AIA,ASE
88,10932314,506344.0,89734.3,19320.0,2161418,10596983,2161166,10582492,AIAR,AIBR,AIA,AIB
89,10932314,506344.0,89734.3,19320.0,2161418,10596983,2161064,10574372,AIAR,AFDR,AIA,AFD
90,10932317,504467.0,91580.7,23310.0,2161418,10597037,2161166,10582723,AIAR,AIBR,AIA,AIB
91,10932318,503630.0,97101.0,13790.0,2161404,10596202,2161953,10617802,AIAL,AWCR,AIA,AWC
92,10932318,503630.0,97101.0,13790.0,2161404,10596202,2161920,10615562,AIAL,AWCL,AIA,AWC
93,10932318,503630.0,97101.0,13790.0,2161404,10596202,2161189,10584194,AIAL,AIBL,AIA,AIB
94,10932320,504003.0,96711.7,13790.0,2161404,10596202,2161997,10620907,AIAL,ASEL,AIA,ASE
95,10932320,504003.0,96711.7,13790.0,2161404,10596202,2161189,10584194,AIAL,AIBL,AIA,AIB
96,10932321,499258.0,98725.0,15960.0,2161404,10596171,2161601,10608743,AIAL,ADAL,AIA,ADA
97,10932322,504198.0,97299.0,20230.0,2161189,10584434,2161006,10571947,AIBL,AIZR,AIB,AIZ
98,10932322,504198.0,97299.0,20230.0,2161189,10584434,2161155,10581423,AIBL,RIMR,AIB,RIM
99,10932322,504198.0,97299.0,20230.0,2161189,10584434,2161932,10615716,AIBL,SMDDR,AIB,SMDD
100,10932324,508526.0,90956.3,21630.0,2161189,10584331,2161106,10577609,AIBL,SMDVL,AIB,SMDV
101,10932324,508526.0,90956.3,21630.0,2161189,10584331,2161093,10576758,AIBL,AVAL,AIB,AVA
