,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,19469235,11629.0,7115.0,4850.0,2999447,19424785,2999145,19420348,ADAL,SIBDR,ADA,SIBD
1,19469235,11629.0,7115.0,4850.0,2999447,19424785,3001362,19449703,ADAL,SAAVR,ADA,SAAV
2,19469235,11629.0,7115.0,4850.0,2999447,19424785,2999208,19421632,ADAL,SMBDL,ADA,SMBD
3,19469239,12946.0,7946.0,5500.0,2999447,19424772,2997749,19378040,ADAL,AVBR,ADA,AVB
4,19469239,12946.0,7946.0,5500.0,2999447,19424772,2998862,19415521,ADAL,AVDL,ADA,AVD
5,19469246,14743.0,10772.0,8000.0,2999447,19424801,2997703,19376945,ADAL,AVBL,ADA,AVB
6,19469246,14743.0,10772.0,8000.0,2999447,19424801,2998537,19401800,ADAL,AVJR,ADA,AVJ
7,19469249,14266.0,11264.0,8800.0,2999447,19424812,3001995,19461880,ADAL,AVAL,ADA,AVA
8,19469249,14266.0,11264.0,8800.0,2999447,19424812,2997703,19376925,ADAL,AVBL,ADA,AVB
9,19469250,14347.0,11222.0,8600.0,2999447,19424808,3001995,19461876,ADAL,AVAL,ADA,AVA
10,19469250,14347.0,11222.0,8600.0,2999447,19424808,2997703,19376936,ADAL,AVBL,ADA,AVB
11,19469251,14511.0,11140.0,8350.0,2999447,19424719,3001995,19461871,ADAL,AVAL,ADA,AVA
12,19469251,14511.0,11140.0,8350.0,2999447,19424719,2997703,19376940,ADAL,AVBL,ADA,AVB
13,19469255,13293.0,13503.0,8850.0,2999447,19469256,2997928,19380107,ADAL,RICRp,ADA,RIC
14,19469255,13293.0,13503.0,8850.0,2999447,19469256,2997749,19377986,ADAL,AVBR,ADA,AVB
15,19469255,13293.0,13503.0,8850.0,2999447,19469256,2999935,19469257,ADAL,AVAR,ADA,AVA
16,19469260,12327.0,13460.0,10850.0,2999447,19424671,2999935,19430974,ADAL,AVAR,ADA,AVA
17,19469260,12327.0,13460.0,10850.0,2999447,19424671,2997749,19377745,ADAL,AVBR,ADA,AVB
18,19469260,12327.0,13460.0,10850.0,2999447,19424671,3001143,19446429,ADAL,RIML,ADA,RIM
19,19469263,12155.0,13458.0,11550.0,2999447,19424657,2997749,19377754,ADAL,AVBR,ADA,AVB
20,19469263,12155.0,13458.0,11550.0,2999447,19424657,3001143,19446421,ADAL,RIML,ADA,RIM
21,19469267,12494.0,13426.0,12250.0,2999447,19424643,2998890,19416184,ADAL,PVPL,ADA,PVP
22,19469267,12494.0,13426.0,12250.0,2999447,19424643,3001143,19446756,ADAL,RIML,ADA,RIM
23,19469267,12494.0,13426.0,12250.0,2999447,19424643,2997703,19376893,ADAL,AVBL,ADA,AVB
24,19469270,12149.0,13724.0,12600.0,2999447,19424636,2997703,19376888,ADAL,AVBL,ADA,AVB
25,19469270,12149.0,13724.0,12600.0,2999447,19424636,3001143,19446401,ADAL,RIML,ADA,RIM
26,19469278,12019.0,13781.0,12850.0,2999447,19424631,2997703,19376884,ADAL,AVBL,ADA,AVB
27,19469278,12019.0,13781.0,12850.0,2999447,19424631,3001143,19446396,ADAL,RIML,ADA,RIM
28,19469287,14293.0,8538.0,6500.0,2999447,19424747,2998537,19401769,ADAL,AVJR,ADA,AVJ
29,19469287,14293.0,8538.0,6500.0,2999447,19424747,2997703,19377310,ADAL,AVBL,ADA,AVB
30,19469291,13909.0,8392.0,6500.0,2999447,19424747,3001995,19461820,ADAL,AVAL,ADA,AVA
31,19469291,13909.0,8392.0,6500.0,2999447,19424747,2997703,19377308,ADAL,AVBL,ADA,AVB
