,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ADF,5.285178195976637,2.993909341787205,6.5763351657932185,0.6930604153492083,0.0,1.8368036493367257,6.20643971741297,5.087665381827243,6.308525424939247,3.2692701332676397,3.2936852717750953,0.0,6.688571047136679,1.6656497494984606,6.596691936846263,6.647614645870644,4.254969701637909,1.3606889780950375,5.546034648928166,0.0,0.0,6.215919639952964,0.0,0.0,0.0,5.1999791386598035,0.0,0.0,0.0,0.0,0.0,6.377097461384701,0.0,5.260877630015831,5.856590705236716,5.89549264069156,5.501058601120014,4.7631123188479885,6.1946873789584815,6.8725178789249215,5.048807350714214,5.934916442368096,5.111725652772544,1.6297672341687701,1.3881176185948123,0.0,1.8992507580559181,4.471072624748287,0.0,0.0,6.56400799007618,5.6950907213463795,6.378159349661575,1.4138488268655163,5.335531592553559,5.281648366678618,5.630683032757183,6.529290907837847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.282179582076168,0.0,0.0,1.1813560147834252,3.502482462963609,1.854057954454883,5.599819001115564,6.204749172781471,6.587872200646383,0.0,0.0,0.0,0.0,0.0,6.731565671954918,0.0,5.511808617998883,6.466998548130142,5.997911316412026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7373958681346526,2.8292958294126955,1.138324449323606,5.212763358528388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADL,2.993909341787205,5.747801341298601,0.0,1.3038967195846205,0.0,0.0,6.472613630212227,0.0,6.096658255633049,6.382821326427941,5.416000035507115,6.682950314094803,0.0,0.0,6.508655307293117,6.141601575708703,6.362738106240184,0.0,0.0,0.0,3.2514614744904606,5.374515514327146,0.0,5.521122427367768,5.271686580457339,1.6321754058298517,0.0,0.0,4.798592499267959,0.0,3.2413793948737797,1.6678201773698353,5.120087612286674,3.224116373872553,6.1430298246811255,6.225075360293933,6.541304213529876,2.9809298586067587,2.7424403275162814,0.0,5.927360485750903,1.7726877783209207,6.313407609321886,2.3692508329133872,0.0,0.0,3.2120192004439416,0.0,0.0,0.0,3.7620239522682475,0.0,1.6963994556017161,0.0,0.0,0.0,5.362167421141389,0.0,4.985284037214927,5.281742032335861,0.0,1.0263937486825416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412849295893776,0.0,1.664390535010255,0.0,0.0,6.348334376650037,0.0,0.0,1.3924159454185412,0.0,1.0606145293149243,5.486342967594975,6.476204189549665,5.763177850800898,5.4360002406278936,6.307374132889169,0.0,0.0,0.0,0.0,0.0,0.0,5.741574144095697,1.357294002435375,1.2916870877972333,0.0,5.6460714772316445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFD,6.5763351657932185,0.0,5.44252463877586,0.0,0.0,0.7670099985546605,6.881502488737957,0.0,0.0,5.792747141554126,0.0,1.2709711188809518,6.807531320831079,0.0,6.4590022139369685,5.872245237621043,6.3454775686058875,6.1408847804178945,0.0,0.0,3.6898597684392964,5.8711164826030116,0.0,5.468835289125181,3.190014015008714,1.6269378640935972,0.0,0.0,3.3472277234927414,0.0,3.073554821876431,5.72357390765015,3.097814037608389,0.0,0.0,5.300136383823428,6.420557953025596,6.986632214849364,7.124428415430565,6.356961972441269,2.4277670762345167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6821910658873356,4.43471251244202,4.141046554552797,0.0,4.286875850500808,1.6982734601182665,2.6968702359428023,5.72024394686983,2.6536360604746805,3.371501410689973,0.0,4.985547126196997,0.0,0.0,0.0,0.0,0.0,3.3198496287204393,1.274056026456006,0.0,0.0,0.0,5.331423702364471,0.0,1.616021965134664,1.7209742286851426,0.0,1.2006866637759874,0.0,0.0,0.0,1.3148275573833896,0.0,0.0,0.0,1.4253339966540166,0.0,0.0,4.039998161837873,1.4386567818189724,0.0,0.0,0.0,0.0,5.572167943742215,1.5888042823708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALM,0.6930604153492083,1.3038967195846205,0.0,0.0,0.0,0.0,0.0,0.0,2.5412484478478894,0.0,4.235658892589712,0.0,0.0,6.444722977068284,0.0,0.0,0.0,0.0,0.0,0.0,1.3444745851623165,0.0,1.4595870584387909,0.0,0.0,0.0,0.0,5.911995394756324,0.0,6.35714816354334,4.694856300075711,5.585681350191017,1.4192261916230615,1.7631368536286631,6.278166139238795,0.0,0.0,5.612672997281403,0.0,0.0,1.2617766116702558,5.895421205790213,6.456189566598753,5.493332013875393,6.109477380081921,0.0,6.04421953943523,1.0768163071260914,6.320510711504493,0.0,0.0,0.0,5.238038619219196,0.0,0.0,0.0,5.776820722582642,0.0,0.0,5.342913260853268,0.0,0.0,3.507972776732684,1.0768163071260914,0.0,0.0,0.0,0.0,2.8452667636082993,0.0,6.230272727818758,0.0,5.775705038477162,5.635199622231454,5.988888391275874,1.2144842254953958,3.9602772926597596,0.0,0.0,0.0,5.77681507998125,5.747692901827402,1.1917292816425535,1.3861208306984165,5.864489177280736,6.151715788381742,0.0,0.0,6.00889415552023,6.259844792304169,0.0,6.7160432124451575,0.0,5.251197818914476,5.153412461463952,0.0,5.5967879246031,0.0,0.0,0.0,0.0,0.0,0.0,2.4872261900333807,2.589496701723748,0.0,0.0,0.0,1.2300653600095046,0.0,0.0,0.0,0.0
ALN,0.0,0.0,0.0,0.0,0.0,1.599780183151194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399759034304894,0.0,5.4916618621221716,1.4292672433100755,0.0,1.7634932711102245,6.141185539620152,6.537365654302383,1.3695216745776115,5.227137552789735,1.578798834092214,0.0,0.0,2.5337881878887702,0.0,0.0,2.681732586241083,0.0,0.0,5.437960572444125,0.0,2.866860291387667,1.518364816192773,0.0,1.3861208306984165,0.0,0.0,0.0,3.2563406879417127,3.721047746408129,0.0,0.0,6.243967831711639,0.0,5.753616131871579,0.0,0.0,0.0,2.8359735354737,0.0,5.729404651212607,5.300006617029362,5.825004002314529,4.792967621943483,0.0,0.0,0.0,6.122102069461498,6.602536766212162,6.265422261976852,0.0,5.980513523028001,5.679411326105911,6.364900535249389,5.246988199719583,6.437105725841324,6.055340759993406,0.0,0.0,5.772279110738627,3.2920664531940584,1.544892917392894,3.272831259970774,0.8350499927733019,0.0,5.541301761294449,0.0,4.798261188136337,0.0,0.0,0.0,0.0,4.194601803287487,0.0,0.0,6.6720428337852065,0.0,0.0,0.0,0.0,0.0,0.0,3.067066806042552,0.0,0.0,0.0,2.841712712637064,0.0,1.6343633289973145,0.0,3.144213653987643,0.0
AQR,1.8368036493367257,0.0,0.7670099985546605,0.0,1.599780183151194,0.0,0.0,0.0,1.6570919495793683,0.0,0.0,0.0,1.7492917032082014,0.0,0.0,1.4716577826569395,0.0,6.570310824692144,6.713981842828122,5.012041996727901,0.0,1.4104898634768936,3.2059015704601115,1.5471580368347,0.0,0.0,0.0,1.800121757783313,1.612192424946883,0.0,0.0,5.958581975617289,0.0,1.9353933246612958,5.80727129514815,0.0,5.43674149262232,0.0,5.793754521996114,0.0,6.626684087964708,6.422124083908631,5.633849391545419,1.7010397511819046,1.8947988261396735,5.88418238982856,6.6231849723281755,6.819819264350049,1.559202317573498,5.692228384947772,5.641216924117487,1.185434166922429,3.3257383181387503,5.796041832255725,0.0,1.4343986858068296,1.5187675002557623,6.231942409208927,0.0,0.0,3.1889483593516936,3.2069900329360337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7270905905198204,2.680148032787559,5.193450735772905,5.636346309424629,6.183059413277516,0.0,0.0,1.6886509934379565,1.3616445249789055,0.0,1.5163344206752625,5.742207887446327,3.294400828977517,0.0,1.311499483747856,6.255876170437932,4.677689072490861,5.674124723057248,1.3161376552595336,1.4961835721668146,0.0,0.0,2.044491678946031,0.0,6.1088616643826805,5.80932916415935,0.0,1.3820426785594127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASE,6.20643971741297,6.472613630212227,6.881502488737957,0.0,0.0,0.0,5.714039393412231,6.203596222171541,5.963814260456659,6.218534756406879,5.9997007798552415,6.195301937326285,5.238956694983891,0.0,7.112139483422507,6.3255178397172385,6.928401452491403,6.143999946759847,0.0,0.0,3.0745325628063895,4.583226305633718,0.0,3.437788334579942,1.6678201773698353,1.8186874081516506,0.0,0.0,5.699454360210937,0.0,3.044476773725259,4.464139723054589,4.506023630506366,0.0,5.1612138973494135,6.492055363485098,7.007888356544846,6.675343770317826,7.016142677010936,6.430176780312517,5.109058468383972,0.0,1.3920304196852271,0.0,1.5461630856515456,0.0,0.0,0.0,0.0,0.0,5.835675946156818,3.3378901463256034,5.268113750285156,0.0,3.2857895620434037,1.396963905640723,5.599512484011449,6.040627945771644,4.372210058438864,4.949235328940311,0.0,5.192936911672273,0.0,0.0,0.0,0.0,0.0,0.0,4.602854966524072,0.0,0.0,0.0,0.0,0.0,0.0,1.9587392801972143,0.0,3.0260923242515605,0.0,0.0,0.0,5.798393190014724,3.2913460451019603,4.050746469012154,1.3939478626482575,4.95660015904985,0.0,0.0,2.604926715248601,3.4624013218307526,0.0,0.0,5.859190246019153,1.4971205646114243,4.7563702471463065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASG,5.087665381827243,0.0,0.0,0.0,0.0,0.0,6.203596222171541,0.0,1.4289684509907916,7.0788360056981725,6.532645919462119,6.043312221797341,0.0,0.0,5.714350903130289,0.0,6.802910305341307,2.9209878331430317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915133203279569,0.0,0.0,0.0,0.0,0.0,0.0,6.420925923853303,5.680171862049023,5.336815337032765,4.852779057990663,5.815544048763949,0.0,5.098343798169257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9260504167945478,0.0,1.5902840038807147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1977620223401524,0.0,0.0,0.0,0.0,0.0,6.933564928675971,5.559544546215595,0.0,0.0,0.6343633289973145,0.0,0.0,0.0,5.45767335824365,0.0,0.0,1.4840310830059105,5.368442789472816,3.3599686376346187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASH,6.308525424939247,6.096658255633049,0.0,2.5412484478478894,0.0,1.6570919495793683,5.963814260456659,1.4289684509907916,5.654853142453397,0.0,1.5087797591299479,5.424557655799117,0.0,1.6330910624392014,6.60343601142976,6.196061724980683,0.0,0.0,0.0,0.0,3.7381173584936467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4453530926221163,6.019014285376641,4.526520393632931,0.0,6.748045972958322,6.60691742198021,6.340239195142888,0.0,5.165909402975198,6.151803099260422,6.435573510679462,6.348224498905679,6.497961834051186,4.94099070212962,6.45072541840527,0.0,1.421605941003179,1.8334853457526572,0.0,0.0,5.1759888458387655,1.1490526771140732,6.911097078696698,0.0,5.326572060691601,5.539800927038996,6.639544667487765,3.2850882275624684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4103948176210768,0.0,0.0,0.0,0.0,3.78063900857137,1.5009910196885439,0.6343633289973145,6.1417808766262,1.3778463027900727,0.8673533304426542,0.0,0.0,0.0,6.246270597117079,0.0,5.969550358153234,5.841666439985535,6.5350519734254435,0.0,0.0,0.0,0.0,0.0,5.571524306529845,5.367517160633277,5.887862239751937,5.721820691485358,5.228302125794595,5.97932700685535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASI,3.2692701332676397,6.382821326427941,5.792747141554126,0.0,0.0,0.0,6.218534756406879,7.0788360056981725,0.0,5.079554198159401,6.356767269879338,6.041009710463033,0.0,0.0,6.216001826291982,5.915785365594124,7.132418238201403,5.104900697578413,0.0,0.0,4.543213780137725,5.358189864881157,0.0,5.354878324582269,5.385552904325517,1.707514508022918,0.0,0.0,5.327771084860994,0.0,1.5860010030999332,4.372062547727336,4.966785465347319,0.0,0.0,6.348981040070016,5.782073855805784,6.1420552170670355,5.198812317024607,4.173357847820232,3.9372294812618693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296385308245018,5.529729302496098,0.0,0.0,1.6154457040432684,4.979999792640736,0.0,0.0,4.999022094392845,5.370986361808164,0.0,4.001193947292614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6101534500103225,0.0,0.0,0.0,0.0,1.185434166922429,2.8952735104259326,0.0,0.0,2.7972887508121285,5.93198878679567,0.0,0.0,5.471037947498691,0.0,0.0,0.0,5.85569326305954,0.0,0.0,0.0,0.0,3.326353362687779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASJ,3.2936852717750953,5.416000035507115,0.0,4.235658892589712,0.0,0.0,5.9997007798552415,6.532645919462119,1.5087797591299479,6.356767269879338,5.7261391215820625,6.7401644878075695,0.0,0.0,5.727900739081104,5.416035857870497,0.0,0.0,0.0,0.0,3.12190917652144,5.3400487826180365,0.0,5.158391450076389,5.079838097791403,0.0,0.0,0.0,5.133138059682511,0.0,5.025531969685518,5.405956074227532,4.955431775258304,0.0,0.0,6.070361535112518,0.0,4.121628715031132,0.0,0.0,1.0487093452260794,0.0,5.411579645776622,5.062940112516194,4.4661651833793785,0.0,0.0,0.0,0.0,0.0,0.0,5.196241234941731,1.75866732998735,0.0,0.0,1.4786147886614804,5.482075327406342,0.0,4.870870986454356,5.134747366280646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4544430421242622,0.0,5.196163809265155,0.0,0.8673533304426542,1.9401984988481633,4.466352714829639,0.0,4.443267632117027,0.0,2.265802016558794,6.615242723759194,6.57235705042189,6.406243816313019,5.5828148069704255,5.484172905127128,0.0,0.0,3.0795186371745764,5.608645692368075,0.0,0.0,6.868565589521843,0.0,0.0,0.0,2.5821491218099664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
