,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG
AIB,,19.5,,,,,31.25,4.75,13.5,7.75,,,,,,,24.25,,,3.75,,,,,,,,,,,,,,,,25.5,,,,45.5,,,,,,10.5,,,,7.0,,7.75,,4.75,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,
AIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIY,,,19.5,,,,41.5,,,1.5,,,,,5.25,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ,19.5,,,,,,1.75,,,,,,,,19.25,13.5,2.75,,5.5,,,,,,,,,,,,,,,,,,,,23.25,,,,,,,,,,,,,,,15.0,9.5,,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVA,,11.5,,,,10.75,,,16.75,,,,9.75,,,,,4.5,2.75,24.0,,,,,,,,18.25,32.25,,,,,,5.0,,,,,,,,,,,11.25,7.0,6.25,,,,3.5,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,28.75,,,
AVB,,,,,,8.75,,,17.75,,,,,10.75,,,,,,5.75,,,,,,,,,,8.0,,,,,30.0,,13.5,,,,,,,,,,23.75,18.25,13.25,,,,24.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,7.75,,,,,,,,,,,4.0
AVD,,15.75,,,,1.75,,,18.5,,,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVE,,,,,,,,,2.0,,,,12.75,,,,,14.5,14.75,,,,,49.75,,,,,,,,5.5,10.5,11.5,,,,,,15.75,,,,,,,7.0,,,,,20.75,,14.75,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,6.5,,12.75,10.5,,,,,,14.25,
BDU,,,,12.75,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVC,,,,10.0,,6.5,,,,,,,,9.25,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
PVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,
PVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIA,25.75,,,,,8.5,,,3.5,,,,24.25,,,2.25,,22.25,,,,,4.0,,,,,,,,,39.0,,,,,,,8.5,19.0,,,,,,,,,,,56.5,5.25,,,18.5,,,15.0,,,,9.75,,32.75,,,,,,,,,,,,,21.25,26.75,,,,,,,,,,,,,,,,,,,
RIB,,,,,,,,,,,,,26.25,,,,,24.75,,,,,,24.0,,,,,,,,,5.25,7.5,,,14.25,10.0,9.75,,,,,,,8.5,,,,,,,,6.0,9.25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,11.5,
RIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIG,6.25,,,,,,,,,,,,,,,2.5,,7.25,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,14.0,,1.0,,5.75,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,
RIH,,,,,,,,,,,,,,,,,,,,,5.75,14.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.75,31.0,,,,,,10.5,,38.5,,,25.25,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,1.0,,11.75,,,,,,,6.0,,13.5,
RIP,,,,,,,,,,,,,,,,,,,,,26.25,,22.25,,,,,,,,,,,,7.5,,,,,,,,,,,,,,12.25,,,,,,11.0,,,,6.0,,5.25,,,,,,,,,,,,,,,,,,9.25,6.25,,,,,,,,,1.75,2.25,,,,,,,
RIR,,,,,,3.5,,,,,,,,,,,,,3.25,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,
IL1D,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,
IL1L/R,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.5,4.0,,,,,,,,,,,,,,,,
IL1V,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,6.25,,,,,,,
RIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMDD,,,,,,,,,,,,,,,,,,,,,,,,18.5,6.75,,,,,,,,10.25,15.5,,,,,,,,,,,,,,,,,66.5,,,,,,,,,11.75,11.0,2.75,1.75,4.75,22.75,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
RMDL/R,,,,,,,,,,,,,,,,,,,,,,4.75,,4.25,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,65.5,,,,,18.75,,,,8.0,,3.25,,15.5,,,,,,10.0,,,,,,,3.0,,,,,,,,,,6.5,,,,,,,,,5.5,15.75
RMDV,,,,,,,,,,,,,,,,,,,,,,,,19.5,,9.5,,,,,,,19.75,9.5,,,,,,,,,,,,,,,,,72.75,,,,,,,,13.0,11.25,,4.5,19.75,3.5,3.0,2.75,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,6.0
RMED,,,,,,,,,,,,,,,,,,,,,3.25,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,3.25,,,,,,,,,,,,,,,,,,
RMEL/R,,,,,,,,,,,,,,,,,,,,,15.25,,16.0,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,3.5,,,2.0,,,,,,,,,,,,,,,4.25,6.0,,,,,,,,,,,,,,,,,
RMEV,,,,,,,,,,,,,,,,,,,,,2.75,,4.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,,,4.75,,,,,,,,,,,,,,,,,
RMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,2.5,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.25,,,,,,,2.0
SIAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBD,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBV,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMBD,2.5,,,,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
SMBV,8.25,4.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.5
SMDD,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,11.25,,,,9.0,,,,8.5,,,,,,,,,,,,,,55.25,,,,,18.25,,,,,,4.0,,,,4.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,13.0,,3.75,
SMDV,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,5.25,,,,,,7.5,,,11.0,,,,,,,,,,,,,,60.0,3.75,,,,14.0,,,,,,2.25,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,6.5,,,
URAD,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
URAV,,,,,,,,,,,,,,,,,,,,,,1.0,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,
ADE,,,,,,,,,,,,,,,,,,,,3.0,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,
AIM,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,3.75,,,,,,,,,,,,,
AVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVJ,,6.5,,,,,,,2.25,,,,,4.0,,,,,,,,,,,,,,,,,,,,,10.75,,,,,,,,,,4.75,,,,6.5,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,18.0,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,
AVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEPD,,,,5.75,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.25,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,
CEPV,,,,7.25,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,3.0,,,,,,,2.5,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,1.75,,,,,,,,,,,,,2.75,,5.0,
HSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVQ,,,,,,,,,,,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIC,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.25,,,,2.0,9.25,8.0,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,14.5,,,,,,,
RID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
RMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWM01D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,10.5,,,,,12.75,,,,,,,5.25,,2.75,,11.25,,,,,,,,,,,,,,,,,,
BWM01V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,12.75,17.75,,,,,,,,,,5.5,,2.75,,8.75,,,,,,,,,,,,,,,,,
BWM02D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,15.0,,,12.75,2.0,,,23.5,,,7.5,,,,,3.0,,,,8.0,,,,,,,,,,,,,,,,,,
BWM02V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,6.75,,,4.25,11.75,,23.5,,,6.75,,,,,,4.5,,,,12.5,,,,,,,,,,,,,,,,,
BWM03D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,,,,,11.0,,,,,,,9.0,,4.5,,,,,,,,,,,,,,,,,,,,
BWM03V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,12.0,,,,,,,,,,8.25,,4.0,,,,,,,,,,,,,,,,,,,
BWM04D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,2.0,4.75,,,13.0,7.0,,,,,,3.75,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,
BWM04V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,2.5,,,,9.5,15.5,,8.5,,,6.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,3.75
BWM05D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,7.0,,5.0,,,,,,,,,,,,,,,,,,,,
BWM05V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,11.75,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,
BWM06D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
BWM06V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,4.5,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,6.5
BWM07D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWM07V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,
BWM08D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
BWM08V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
