,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
SIBD,2,4,5,6,6,5,8,11,11,10,11,motor
SIBV,3,7,2,3,10,8,8,8,11,14,14,motor
SMBD,3,4,4,2,13,8,18,15,8,10,9,motor
SMBV,4,6,6,6,8,6,17,20,16,16,11,motor
SMDD,12,13,12,13,14,13,17,20,22,17,19,motor
SMDV,8,13,13,15,13,13,18,20,19,17,24,motor
URAD,0,2,5,3,7,6,3,7,11,9,9,motor
URAV,1,4,3,3,8,6,6,5,9,8,8,motor
URB,1,1,4,2,4,3,5,6,12,12,13,sensory
URX,5,5,7,8,10,7,18,13,18,10,13,sensory
URYD,1,3,1,3,5,3,7,6,14,9,7,sensory
URYV,3,5,5,6,8,3,9,12,10,8,13,sensory
