,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
ADA,7,7,12,9,15,14,20,15,25,22,24,inter
ADE,2,2,2,3,7,6,8,9,8,9,3,modulatory
ADF,6,6,6,5,8,6,7,8,10,11,11,sensory
ADL,3,3,2,4,4,5,8,11,8,10,12,sensory
AFD,2,2,3,5,6,5,6,7,4,5,5,sensory
AIA,14,13,12,13,14,12,18,18,19,19,16,inter
AIB,15,17,15,18,19,19,31,30,23,21,30,inter
AIM,1,2,4,2,5,2,7,9,17,11,15,modulatory
AIN,1,1,1,2,3,3,3,8,9,3,10,inter
AIY,5,6,7,4,8,10,12,15,12,12,10,inter
AIZ,9,12,9,15,16,13,13,19,17,15,17,inter
ALA,0,0,0,0,0,0,1,2,8,3,6,modulatory
ALM,2,2,1,3,4,3,9,8,7,6,1,sensory
ALN,0,0,0,1,1,3,4,3,3,4,2,sensory
AQR,0,0,0,1,5,3,9,7,11,6,14,sensory
ASE,9,6,9,6,12,7,13,11,14,10,13,sensory
ASG,2,2,4,2,4,4,7,8,5,5,6,sensory
ASH,2,6,6,7,12,8,11,11,13,13,18,sensory
ASI,1,0,0,0,3,1,4,6,7,4,5,sensory
ASJ,3,3,2,4,2,3,5,4,7,8,6,sensory
ASK,6,6,6,6,7,6,10,10,10,6,11,sensory
AUA,5,6,5,6,10,8,11,11,12,6,13,sensory
AVA,12,15,14,19,20,22,25,30,28,31,30,inter
AVB,10,11,14,14,19,24,34,23,31,29,34,inter
AVD,8,9,5,11,12,15,20,19,22,16,20,inter
AVE,17,20,17,22,24,25,32,35,32,31,29,inter
AVF,0,0,0,0,8,5,8,8,12,9,15,modulatory
AVH,4,5,7,5,6,6,10,10,12,11,10,modulatory
AVJ,5,6,8,7,11,10,17,17,23,19,24,inter
AVK,2,4,3,6,7,7,8,13,11,13,9,modulatory
AVL,0,0,1,1,3,2,4,2,3,2,4,modulatory
AVM,0,0,0,0,1,2,6,5,5,5,2,sensory
AWA,0,3,7,5,4,3,10,9,14,7,9,sensory
AWB,2,4,4,3,4,6,9,13,7,6,3,sensory
AWC,6,7,7,6,6,5,9,9,11,9,8,sensory
BAG,5,6,9,7,9,9,16,14,11,9,12,sensory
BDU,4,1,1,4,4,4,9,6,10,8,9,inter
CEPD,5,7,10,7,8,9,14,13,9,13,18,modulatory
CEPV,8,6,8,8,13,11,13,18,12,12,21,modulatory
DVA,3,4,2,5,8,7,12,9,10,11,11,sensory
DVC,1,2,1,2,2,4,4,3,9,6,5,modulatory
FLP,1,2,2,3,2,4,4,8,6,6,5,sensory
HSN,0,0,0,0,0,0,15,8,0,0,0,modulatory
IL1D,1,4,5,4,6,6,10,9,11,7,10,motor
IL1L/R,5,4,4,7,8,10,15,16,13,12,12,motor
IL1V,1,1,3,3,5,8,10,10,10,7,8,motor
IL2D,0,0,1,2,2,0,2,2,11,9,10,sensory
IL2L/R,5,5,4,5,7,7,12,8,8,12,12,sensory
IL2V,0,2,1,1,3,2,2,2,6,8,6,sensory
OLL,5,4,7,6,7,6,13,10,13,12,14,sensory
OLQD,2,4,3,3,3,6,6,6,7,4,6,sensory
OLQV,5,6,5,7,8,10,9,9,8,5,8,sensory
PLN,0,0,0,0,0,0,4,3,4,5,3,sensory
PVC,3,4,3,9,8,11,10,12,11,11,8,inter
PVP,2,5,2,2,7,7,11,5,7,8,11,inter
PVQ,4,4,3,3,3,1,8,7,6,5,7,modulatory
PVR,1,1,4,3,6,2,4,5,1,2,2,inter
PVT,1,1,0,0,2,3,2,4,3,3,1,inter
PVW,0,0,0,0,0,0,16,7,8,6,6,inter
RIA,16,16,18,18,23,19,28,25,27,23,25,inter
RIB,14,13,14,15,17,15,17,18,21,19,24,inter
RIC,7,9,8,9,9,10,15,11,27,14,17,modulatory
RID,2,4,2,3,3,3,8,9,7,8,7,modulatory
RIF,3,5,2,5,7,6,12,10,16,11,13,inter
RIG,5,6,13,9,13,13,15,18,18,17,24,inter
RIH,5,5,5,1,6,6,9,10,13,10,14,inter
RIM,6,9,11,9,15,14,20,20,24,23,20,inter
RIP,8,8,12,11,12,11,12,13,20,20,25,inter
RIR,4,6,5,9,7,8,9,10,13,17,17,inter
RIS,3,3,4,6,7,8,10,14,10,9,11,modulatory
RIV,0,3,1,3,3,7,10,10,8,13,16,motor
RMDD,12,13,13,15,15,16,20,19,20,21,23,motor
RMDL/R,7,7,10,13,16,17,19,17,15,17,20,motor
RMDV,12,14,15,14,16,16,17,18,23,23,24,motor
RMED,6,3,6,6,5,7,12,8,10,11,8,motor
RMEL/R,8,10,11,9,12,12,16,13,14,18,17,motor
RMEV,4,7,6,6,9,9,12,10,13,15,8,motor
RMF,0,0,0,0,1,7,17,21,19,21,17,motor
RMG,2,6,5,3,9,10,18,14,18,18,18,modulatory
RMH,0,0,0,4,12,9,15,13,17,17,18,motor
SAAD,4,5,7,7,9,8,10,11,15,11,14,sensory
SAAV,3,3,4,4,6,5,9,9,8,7,11,sensory
SDQ,0,0,0,0,4,8,13,5,6,8,4,sensory
SIAD,2,3,2,3,4,5,8,10,7,8,5,motor
SIAV,2,3,2,3,7,7,12,4,12,7,3,motor
