,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
ADA,29,40,49,55,87,94,132,147,137,146,95,inter
ADE,11,13,14,19,40,62,158,140,60,99,41,modulatory
ADF,36,45,48,74,103,93,153,140,120,121,92,sensory
ADL,28,23,48,63,84,72,135,201,87,80,81,sensory
AFD,13,11,21,33,46,37,66,68,57,51,58,sensory
AIA,68,89,106,123,172,188,276,316,204,185,151,inter
AIB,93,122,138,175,230,260,461,478,261,232,243,inter
AIM,18,28,24,26,50,53,102,109,141,101,103,modulatory
AIN,19,21,23,32,35,42,79,86,82,61,106,inter
AIY,55,73,72,87,129,119,181,187,183,166,137,inter
AIZ,71,97,94,162,236,242,347,410,286,271,234,inter
ALA,3,3,3,10,5,3,11,10,73,41,54,modulatory
ALM,7,8,12,22,44,46,69,77,41,41,18,sensory
ALN,0,0,0,2,8,19,52,44,39,44,20,sensory
AQR,0,0,0,18,55,45,73,92,53,37,64,sensory
ASE,50,48,66,70,126,89,177,159,194,137,150,sensory
ASG,16,22,23,23,32,33,64,61,66,56,25,sensory
ASH,23,42,55,83,112,114,182,198,128,129,151,sensory
ASI,11,5,8,13,27,39,78,76,95,72,54,sensory
ASJ,13,21,23,28,31,27,47,48,50,42,60,sensory
ASK,23,36,38,57,63,78,127,149,96,75,97,sensory
AUA,25,35,59,66,94,83,191,180,108,69,114,sensory
AVA,35,55,55,81,124,158,274,309,161,218,167,inter
AVB,34,45,61,77,142,168,297,278,292,286,234,inter
AVD,10,14,15,31,46,59,82,95,79,91,73,inter
AVE,59,90,91,140,174,181,320,329,209,188,195,inter
AVF,0,0,0,0,34,21,64,82,102,65,48,modulatory
AVH,11,23,27,41,59,37,85,83,111,87,80,modulatory
AVJ,14,25,29,34,55,53,88,96,179,164,143,inter
AVK,24,38,37,57,78,66,148,171,140,91,103,modulatory
AVL,0,1,5,6,9,3,16,13,7,6,6,modulatory
AVM,0,0,0,0,24,31,49,52,64,57,9,sensory
AWA,20,22,37,39,55,47,100,104,130,110,141,sensory
AWB,16,20,28,52,60,59,86,99,73,53,62,sensory
AWC,43,62,75,100,159,123,205,233,168,133,113,sensory
BAG,24,28,36,57,81,102,173,209,136,94,156,sensory
BDU,9,9,18,22,40,39,85,89,81,68,59,inter
CEPD,24,51,51,74,104,99,184,188,119,94,117,modulatory
CEPV,32,42,47,79,111,114,174,190,115,94,115,modulatory
