,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
OLL,11,11,17,15,19,23,35,25,34,34,41,sensory
OLQD,7,10,7,7,9,13,16,18,22,20,19,sensory
OLQV,11,12,9,12,12,16,19,19,20,23,27,sensory
PLN,0,0,0,0,0,0,11,8,10,16,6,sensory
PVC,13,11,11,20,17,23,22,28,27,24,20,inter
PVP,12,16,8,10,20,16,26,21,21,22,29,inter
PVQ,7,10,9,7,10,11,21,17,15,18,20,modulatory
PVR,7,8,9,10,16,8,9,10,10,11,13,inter
PVT,4,8,10,9,13,14,14,13,17,16,14,inter
PVW,0,0,0,0,0,0,31,16,29,27,27,inter
RIA,26,28,30,30,35,32,44,40,41,38,43,inter
RIB,21,25,26,29,32,27,34,39,39,39,40,inter
RIC,12,15,17,16,22,23,32,27,38,28,31,modulatory
RID,2,4,2,3,3,3,8,9,10,8,7,modulatory
RIF,9,11,7,14,16,17,29,23,36,32,29,inter
RIG,17,24,27,25,28,30,37,39,40,35,58,inter
RIH,13,18,16,11,21,25,30,27,36,35,32,inter
RIM,17,23,24,20,28,32,38,40,43,41,38,inter
RIP,8,8,15,11,12,11,12,13,20,20,30,inter
RIR,9,14,16,13,16,20,23,23,22,25,28,inter
RIS,8,12,12,16,17,20,23,30,25,20,29,modulatory
RIV,7,10,8,11,13,17,21,19,20,28,31,motor
RMDD,13,14,14,16,19,21,27,26,28,25,33,motor
RMDL/R,14,15,20,20,29,27,32,33,26,28,32,motor
RMDV,13,15,16,15,19,19,21,24,31,30,33,motor
RMED,8,6,10,9,7,9,15,10,17,15,15,motor
RMEL/R,9,11,12,9,14,12,19,14,14,20,22,motor
RMEV,7,9,10,9,13,12,12,12,19,20,15,motor
RMF,0,0,0,0,1,11,31,40,26,27,32,motor
RMG,7,10,9,9,24,20,47,34,42,36,35,modulatory
RMH,0,0,0,8,16,12,22,18,33,28,32,motor
SAAD,7,8,10,10,12,14,15,18,21,19,22,sensory
SAAV,6,6,10,7,11,9,15,14,16,13,17,sensory
SDQ,0,0,0,5,9,17,28,17,18,22,16,sensory
SIAD,2,3,2,3,4,5,8,10,7,8,5,motor
SIAV,2,3,2,3,7,7,12,4,12,7,5,motor
SIBD,2,4,5,6,6,5,8,11,11,10,11,motor
SIBV,3,7,2,3,10,8,8,8,11,14,14,motor
SMBD,6,9,10,7,20,16,24,23,11,15,18,motor
SMBV,7,10,9,10,16,10,21,25,20,23,15,motor
SMDD,16,15,19,16,20,20,23,26,30,25,29,motor
SMDV,11,16,15,18,17,17,24,26,26,23,38,motor
URAD,4,6,9,9,12,9,8,13,22,17,21,motor
URAV,5,9,6,7,14,13,12,10,20,18,16,motor
URB,6,7,11,10,17,14,28,26,27,31,34,sensory
URX,13,17,16,16,22,17,37,25,30,23,20,sensory
URYD,5,9,6,8,16,10,19,17,38,23,25,sensory
URYV,8,10,10,11,15,11,20,28,31,24,34,sensory
