,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
ADA,14,18,19,23,30,28,37,27,41,32,32,inter
ADE,8,6,8,12,22,25,43,42,20,29,16,modulatory
ADF,14,17,18,18,24,16,26,26,30,33,31,sensory
ADL,10,11,13,16,18,20,26,31,26,22,29,sensory
AFD,4,3,7,9,12,8,8,13,10,8,13,sensory
AIA,21,21,20,22,26,21,30,28,36,32,36,inter
AIB,23,25,23,27,29,30,52,53,45,32,49,inter
AIM,6,6,9,12,17,14,35,31,37,28,35,modulatory
AIN,10,12,7,10,11,10,15,22,23,13,30,inter
AIY,12,16,14,11,15,18,24,28,26,24,20,inter
AIZ,19,23,17,28,31,28,29,39,38,33,32,inter
ALA,2,1,1,4,2,1,5,5,24,15,24,modulatory
ALM,5,5,6,9,19,11,21,18,18,19,7,sensory
ALN,0,0,0,1,5,7,14,12,17,14,13,sensory
AQR,0,0,0,10,15,13,21,19,21,11,26,sensory
ASE,15,12,16,13,21,14,28,24,35,24,29,sensory
ASG,5,6,8,5,8,6,12,14,10,7,8,sensory
ASH,10,21,22,21,31,21,32,36,34,28,41,sensory
ASI,7,2,4,4,10,13,14,18,18,12,15,sensory
ASJ,6,5,7,6,6,5,11,9,15,16,20,sensory
ASK,7,9,9,10,11,11,23,26,20,17,26,sensory
AUA,9,10,10,12,17,14,19,20,21,15,27,sensory
AVA,12,15,14,19,20,22,25,30,31,39,30,inter
AVB,10,11,14,14,19,24,34,23,32,34,39,inter
AVD,8,9,5,11,12,15,20,19,22,16,20,inter
AVE,17,20,17,22,24,25,32,35,32,31,29,inter
AVF,0,0,0,0,16,7,26,27,40,35,28,modulatory
AVH,10,17,18,21,26,20,37,29,43,40,39,modulatory
AVJ,8,13,12,13,16,16,24,29,46,36,44,inter
AVK,12,13,12,17,21,19,24,28,32,31,26,modulatory
AVL,0,1,4,3,5,2,7,7,5,4,6,modulatory
AVM,0,0,0,0,11,11,12,13,19,10,7,sensory
AWA,8,12,17,13,15,13,25,25,33,25,29,sensory
AWB,7,8,9,14,14,16,24,26,27,21,21,sensory
AWC,12,15,14,13,16,13,20,21,24,17,19,sensory
BAG,8,10,13,11,15,16,28,25,28,21,30,sensory
BDU,8,6,9,9,18,16,24,20,24,23,26,inter
CEPD,13,18,20,20,23,25,39,37,31,30,35,modulatory
CEPV,14,13,20,21,26,25,34,39,31,29,42,modulatory
DVA,9,10,9,12,22,23,32,32,26,33,28,sensory
DVC,6,8,6,11,13,14,17,15,29,23,24,modulatory
FLP,4,8,10,11,11,14,17,21,13,17,14,sensory
HSN,0,0,0,0,0,0,35,24,0,0,0,modulatory
IL1D,5,7,9,7,11,10,15,17,23,19,21,motor
IL1L/R,8,9,11,13,15,17,28,25,22,22,20,motor
IL1V,4,4,6,6,9,12,16,16,19,16,16,motor
IL2D,5,6,7,8,10,9,17,16,25,18,17,sensory
IL2L/R,8,9,12,10,17,18,29,27,27,30,26,sensory
IL2V,4,6,9,7,14,12,17,17,21,20,12,sensory
