,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
IL1L/R,9,12,11,15,14,25,33,33,27,23,18,motor
IL1V,1,1,3,7,13,21,37,44,36,19,16,motor
IL2D,0,0,1,5,3,0,2,2,32,18,16,sensory
IL2L/R,12,11,7,9,14,14,32,30,13,19,19,sensory
IL2V,0,4,2,1,5,4,3,3,20,17,18,sensory
OLL,11,16,21,31,27,25,51,63,43,40,47,sensory
OLQD,4,12,15,15,19,30,53,47,13,5,8,sensory
OLQV,11,14,17,20,27,34,51,50,16,11,13,sensory
PLN,0,0,0,0,0,0,7,7,11,14,5,sensory
PVC,4,5,5,16,27,44,62,70,55,53,14,inter
PVP,2,6,2,3,10,13,23,21,16,14,17,inter
PVQ,9,13,12,17,25,16,33,39,31,26,32,modulatory
PVR,2,2,7,6,11,2,8,7,1,7,3,inter
PVT,1,1,0,0,2,4,3,5,6,5,1,inter
PVW,0,0,0,0,0,0,36,29,25,14,13,inter
RIA,72,100,132,187,260,270,408,473,303,267,274,inter
RIB,47,65,81,105,132,131,190,242,169,140,177,inter
RIC,25,34,24,31,40,48,85,67,109,55,59,modulatory
RID,2,4,4,7,3,10,22,19,19,25,14,modulatory
RIF,4,9,6,8,11,8,26,27,43,23,21,inter
RIG,10,17,19,33,49,52,106,123,74,75,92,inter
RIH,9,12,16,9,16,22,37,39,32,24,27,inter
RIM,40,64,69,83,139,125,245,227,130,114,135,inter
RIP,30,49,56,68,95,81,123,146,103,88,75,inter
RIR,5,13,11,23,20,25,34,54,54,59,50,inter
RIS,3,4,6,13,11,11,19,32,19,15,25,modulatory
RIV,0,3,2,4,10,15,31,34,26,29,35,motor
RMDD,56,74,89,104,136,158,239,242,190,174,154,motor
RMDL/R,29,50,68,83,125,148,203,255,211,195,183,motor
RMDV,63,88,92,96,146,170,247,275,184,156,161,motor
RMED,9,10,13,11,11,24,34,31,40,42,23,motor
RMEL/R,27,40,42,37,45,50,73,74,60,57,40,motor
RMEV,10,15,16,12,20,23,33,32,45,42,16,motor
RMF,0,0,0,0,1,24,81,90,77,70,50,motor
RMG,3,9,12,6,13,15,32,21,44,44,32,modulatory
RMH,0,0,0,10,35,24,62,57,74,84,83,motor
SAAD,12,15,16,26,43,32,55,68,69,60,40,sensory
SAAV,5,12,12,18,26,32,57,68,34,40,35,sensory
SDQ,0,0,0,0,10,13,17,6,7,10,6,sensory
SIAD,2,9,6,13,17,13,32,39,29,32,26,motor
SIAV,6,11,3,11,22,23,44,40,34,36,19,motor
SIBD,2,5,6,11,15,13,26,33,24,23,24,motor
SIBV,3,10,3,6,14,16,21,28,31,29,33,motor
SMBD,7,9,9,17,32,35,65,53,32,45,24,motor
SMBV,8,11,12,28,33,34,81,90,60,55,30,motor
SMDD,47,64,64,92,112,144,166,203,142,144,137,motor
SMDV,31,71,60,97,101,121,171,178,143,117,165,motor
URAD,0,5,8,6,14,15,15,23,16,14,17,motor
URAV,1,8,3,4,19,19,20,24,16,12,19,motor
URB,2,2,4,5,7,4,11,17,33,34,29,sensory
URX,10,14,21,25,32,32,70,56,41,26,28,sensory
URYD,1,5,1,5,5,9,13,14,22,18,8,sensory
URYV,4,7,6,10,11,4,15,21,20,22,18,sensory
