,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
ADA,10,12,22,19,26,29,44,42,72,77,52,inter
ADE,3,4,5,3,10,16,21,21,12,19,11,modulatory
ADF,12,14,16,25,30,37,40,38,15,18,26,sensory
ADL,5,4,6,6,7,6,15,31,18,20,22,sensory
AFD,6,6,10,17,25,20,37,41,27,27,21,sensory
AIA,53,65,67,85,122,141,214,236,140,122,82,inter
AIB,59,78,91,121,162,183,316,330,164,159,153,inter
AIM,3,4,7,4,10,12,21,26,62,40,50,modulatory
AIN,1,1,1,3,3,4,4,12,14,4,22,inter
AIY,32,34,43,48,81,76,118,126,122,107,100,inter
AIZ,31,46,53,64,116,102,148,167,148,131,119,inter
ALA,0,0,0,0,0,0,1,4,21,12,11,modulatory
ALM,2,2,1,4,11,5,17,15,14,12,1,sensory
ALN,0,0,0,2,1,3,10,8,9,9,5,sensory
AQR,0,0,0,2,13,7,19,18,18,10,22,sensory
ASE,11,12,21,18,32,17,49,37,49,35,51,sensory
ASG,5,10,8,6,10,14,24,32,38,36,12,sensory
ASH,6,10,9,16,20,19,32,27,25,28,36,sensory
ASI,1,0,0,0,4,1,5,7,31,23,19,sensory
ASJ,6,7,3,7,4,6,7,9,13,12,7,sensory
ASK,18,23,24,37,35,30,42,46,39,21,43,sensory
AUA,14,16,18,18,53,37,77,60,37,22,37,sensory
AVA,35,55,55,81,124,158,274,309,158,209,167,inter
AVB,34,45,61,77,142,168,297,278,291,278,229,inter
AVD,10,14,15,31,46,59,82,95,79,91,73,inter
AVE,59,90,91,140,174,181,320,329,209,188,195,inter
AVF,0,0,0,0,15,16,26,33,42,16,26,modulatory
AVH,5,7,7,8,9,7,22,22,27,21,17,modulatory
AVJ,10,17,23,22,39,35,62,74,103,96,93,inter
AVK,6,11,12,29,35,38,81,102,47,39,53,modulatory
AVL,0,0,1,2,5,3,13,8,5,4,4,modulatory
AVM,0,0,0,0,3,3,7,7,12,15,2,sensory
AWA,0,3,9,7,6,5,16,14,20,14,21,sensory
AWB,6,10,14,19,26,14,32,38,22,16,18,sensory
AWC,14,20,28,37,64,50,96,105,54,40,46,sensory
BAG,13,12,22,28,28,40,80,86,56,44,55,sensory
BDU,5,2,4,12,12,15,38,46,27,21,21,inter
CEPD,8,14,14,18,31,26,59,52,18,20,40,modulatory
CEPV,11,10,12,25,41,35,57,62,32,23,42,modulatory
DVA,3,5,4,8,11,13,26,21,12,17,14,sensory
DVC,1,3,1,5,5,7,7,19,21,13,14,modulatory
FLP,1,2,5,6,9,6,6,10,6,13,11,sensory
HSN,0,0,0,0,0,0,37,28,0,0,0,modulatory
IL1D,2,4,6,12,16,24,45,57,29,18,14,motor
