pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
ADE,ASJ,0,0,0,0,0,0,1,0,0,0,0,Feed-back
ADE,AVA,2,4,3,4,4,5,12,9,0,4,2,Feed-forward
ADE,AVB,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADE,AVD,1,0,0,1,1,4,0,2,0,0,0,Feed-forward
ADE,AVE,0,0,0,0,1,0,1,1,0,1,2,Feed-forward
ADE,AVK,0,0,0,1,1,0,5,4,0,3,0,Recurrent
ADE,AVL,0,0,0,0,0,0,0,0,0,2,0,Recurrent
ADE,BDU,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADE,CEPD,0,0,0,0,0,1,3,3,0,0,1,Recurrent
ADE,CEPV,0,0,0,0,2,1,2,2,0,0,0,Recurrent
ADE,DVA,0,0,0,0,0,0,1,0,0,0,0,Feed-back
ADE,DVC,0,0,0,0,0,0,2,0,0,0,0,Recurrent
ADE,FLP,1,1,1,0,2,0,1,1,0,0,3,Feed-back
ADE,IL1L/R,0,0,0,0,1,2,8,5,0,1,0,Feed-forward
ADE,IL2L/R,0,0,0,0,0,3,3,4,1,1,0,Feed-back
ADE,OLL,0,0,0,0,0,3,6,2,0,0,0,Feed-back
ADE,PVC,1,0,0,0,1,0,0,0,0,0,0,Feed-forward
ADE,PVP,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADE,PVR,0,0,0,0,1,1,0,2,0,0,0,Feed-forward
ADE,PVT,0,0,0,0,0,0,0,2,0,3,0,Feed-forward
ADE,PVW,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ADE,RIF,0,0,0,1,0,0,0,1,0,0,0,Feed-forward
ADE,RIG,2,0,1,4,8,10,34,34,7,19,9,Feed-forward
ADE,RIH,0,0,0,0,0,0,3,0,1,0,1,Feed-forward
ADE,RIS,0,0,0,1,0,0,0,0,1,2,0,Recurrent
ADE,RIV,0,0,0,0,0,1,6,6,5,4,4,Feed-forward
ADE,RMDD,0,0,0,0,0,0,0,2,0,0,0,Feed-forward
ADE,RMDL/R,0,0,0,0,0,1,8,6,7,14,1,Feed-forward
ADE,RMEL/R,0,0,0,0,0,0,1,0,12,8,0,Feed-forward
ADE,RMF,0,0,0,0,0,0,7,5,0,1,2,Feed-forward
ADE,RMG,0,0,0,0,0,0,1,0,0,0,1,Recurrent
ADE,RMH,0,0,0,0,0,1,2,2,5,2,1,Feed-forward
ADE,SAAD,0,0,1,1,0,1,2,3,3,1,1,Feed-back
ADE,SAAV,0,0,0,0,0,0,1,1,0,1,0,Feed-back
ADE,SDQ,0,0,0,0,3,2,0,1,0,0,0,Feed-back
ADE,SIAD,0,0,0,0,0,0,0,1,0,1,0,Feed-forward
ADE,SIBD,0,0,0,0,0,1,0,0,0,0,0,Feed-forward
ADE,SIBV,0,0,0,0,0,0,2,0,0,2,0,Feed-forward
ADE,SMBD,0,0,0,0,1,0,2,2,0,0,0,Feed-forward
ADE,SMBV,0,0,0,0,0,0,1,1,0,0,0,Feed-forward
ADE,SMDD,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ADE,SMDV,0,0,0,1,0,0,0,1,0,0,0,Feed-forward
ADE,URB,0,0,0,0,1,0,1,1,2,4,0,Feed-back
ADF,ADA,0,0,0,2,0,0,1,0,2,2,1,Feed-forward
ADF,ADF,0,0,0,2,0,0,0,0,0,0,0,Recurrent
ADF,ADL,0,0,0,0,0,0,0,0,0,1,2,Recurrent
ADF,AFD,0,0,0,2,1,0,0,0,0,0,0,Recurrent
ADF,AIA,1,0,1,1,0,0,0,2,2,2,1,Feed-forward
ADF,AIB,0,0,0,0,1,0,1,2,0,0,1,Feed-forward
ADF,AIM,0,0,0,0,0,0,0,0,19,15,11,Feed-forward
ADF,AIY,1,1,1,0,1,1,0,1,1,0,0,Feed-forward
ADF,AIZ,10,9,10,12,17,11,19,31,20,18,18,Feed-forward
ADF,ASE,2,0,1,0,1,0,2,0,0,0,1,Recurrent
