pre,post,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,edge_class
AIZ,SMDV,0,0,0,3,0,0,0,0,0,0,7,Feed-forward
AIZ,URYD,0,0,0,0,0,0,1,0,0,0,0,Feed-back
ALA,ADA,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ALA,ADL,0,0,0,0,0,0,1,1,6,1,6,Feed-back
ALA,AIA,0,0,0,0,0,0,0,0,2,2,1,Feed-forward
ALA,ASG,0,0,0,0,0,0,0,0,0,0,1,Feed-back
ALA,ASI,0,0,0,0,0,0,0,0,1,0,3,Feed-back
ALA,ASJ,0,0,0,2,1,0,0,0,4,4,1,Feed-back
ALA,ASK,0,0,0,0,0,0,0,0,9,7,10,Feed-back
ALA,AVA,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ALA,AVD,0,0,0,0,0,0,0,0,1,0,1,Feed-forward
ALA,AVE,2,3,3,4,4,3,7,4,2,2,1,Feed-forward
ALA,AVF,0,0,0,0,0,0,0,0,3,0,0,Recurrent
ALA,AVH,0,0,0,0,0,0,0,0,3,0,0,Recurrent
ALA,AVJ,0,0,0,0,0,0,0,0,5,3,1,Feed-forward
ALA,AWA,0,0,0,0,0,0,0,0,0,0,1,Feed-back
ALA,AWC,0,0,0,0,0,0,0,0,0,0,5,Feed-back
ALA,BDU,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ALA,IL1D,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALA,IL1L/R,1,0,0,2,0,0,0,0,0,0,2,Feed-forward
ALA,IL2D,0,0,0,0,0,0,0,0,6,1,2,Feed-back
ALA,IL2L/R,0,0,0,2,0,0,0,0,1,2,0,Feed-back
ALA,OLL,0,0,0,0,0,0,0,0,0,1,0,Feed-back
ALA,PVQ,0,0,0,0,0,0,0,0,5,3,3,Recurrent
ALA,PVW,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ALA,RIF,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
ALA,RIP,0,0,0,0,0,0,0,0,0,0,2,Feed-forward
ALA,URB,0,0,0,0,0,0,0,0,1,2,1,Feed-back
ALA,URX,0,0,0,0,0,0,0,0,2,0,1,Feed-back
ALM,ADA,0,0,0,0,1,0,0,0,0,1,0,Feed-forward
ALM,ADE,0,0,0,0,0,0,0,2,0,0,0,Feed-forward
ALM,AIM,0,0,0,0,1,0,0,0,0,0,0,Feed-forward
ALM,AIN,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALM,ALN,0,0,0,0,0,0,1,0,0,0,0,Recurrent
ALM,AVB,0,0,0,1,1,1,1,0,0,0,0,Feed-forward
ALM,AVD,0,0,0,0,0,3,1,5,2,8,3,Feed-forward
ALM,AVE,0,0,0,0,1,0,0,0,1,0,0,Feed-forward
ALM,AVF,0,0,0,0,1,0,0,0,0,0,0,Feed-forward
ALM,AVJ,0,0,0,0,0,0,0,0,3,1,4,Feed-forward
ALM,AVM,0,0,0,0,0,0,0,1,3,0,0,Recurrent
ALM,BDU,2,2,4,6,9,11,16,15,3,3,2,Feed-forward
ALM,CEPD,1,3,1,2,5,5,5,8,3,2,5,Feed-forward
ALM,CEPV,0,0,3,5,5,6,9,9,6,4,2,Feed-forward
ALM,IL2L/R,0,0,0,0,1,0,0,0,0,0,0,Recurrent
ALM,PVC,0,0,0,2,2,9,12,17,3,4,1,Feed-forward
ALM,PVR,2,0,2,0,1,0,2,0,0,0,0,Feed-forward
ALM,PVW,0,0,0,0,0,0,2,2,0,1,0,Feed-forward
ALM,RID,0,0,0,0,1,0,0,1,1,1,0,Feed-forward
ALM,RIF,0,1,0,2,1,2,0,2,0,0,0,Feed-forward
ALM,RIP,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALM,RMDD,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ALM,RMG,0,0,0,0,1,0,0,0,0,0,0,Feed-forward
ALM,SDQ,0,0,0,0,2,4,1,0,1,1,0,Recurrent
ALM,SIBD,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALM,SMBD,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ALM,URB,0,0,1,0,0,0,0,0,0,0,0,Recurrent
ALM,URX,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ALN,ADE,0,0,0,0,0,0,0,1,1,0,0,Feed-forward
ALN,AVA,0,0,0,0,0,2,0,2,1,0,1,Feed-forward
ALN,AVK,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALN,RIA,0,0,0,0,1,0,1,1,2,0,0,Feed-forward
ALN,RIC,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ALN,RIG,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ALN,RIM,0,0,0,0,0,0,0,0,1,1,0,Feed-forward
ALN,RIV,0,0,0,0,0,1,4,1,0,1,1,Feed-forward
ALN,RMDL/R,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ALN,RMDV,0,0,0,0,0,0,0,0,1,0,1,Feed-forward
ALN,RMF,0,0,0,0,0,0,0,0,1,1,1,Feed-forward
ALN,RMG,0,0,0,0,0,0,2,1,3,2,2,Feed-forward
ALN,RMH,0,0,0,0,0,0,1,0,0,0,2,Feed-forward
ALN,SAAD,0,0,0,0,0,0,1,0,1,2,2,Recurrent
ALN,SAAV,0,0,0,0,3,8,20,19,10,15,2,Recurrent
ALN,SIBD,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
ALN,SIBV,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
ALN,SMBD,0,0,0,0,2,5,8,8,2,9,1,Feed-forward
ALN,SMDD,0,0,0,0,0,0,1,1,3,0,0,Feed-forward
ALN,SMDV,0,0,0,0,1,0,3,2,2,2,1,Feed-forward
AQR,ADA,0,0,0,1,0,0,0,0,0,0,1,Feed-forward
AQR,ADE,0,0,0,1,0,3,1,0,0,0,0,Feed-forward
AQR,AIB,0,0,0,1,0,0,1,1,0,0,0,Feed-forward
AQR,ASH,0,0,0,0,0,0,0,0,1,0,1,Recurrent
AQR,AUA,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AQR,AVA,0,0,0,4,12,11,8,12,10,11,9,Feed-forward
AQR,AVB,0,0,0,3,13,6,11,5,8,5,6,Feed-forward
AQR,AVD,0,0,0,2,1,1,2,3,0,0,6,Feed-forward
AQR,AVH,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
AQR,AVJ,0,0,0,0,0,0,0,0,2,0,0,Feed-forward
AQR,BAG,0,0,0,0,3,5,8,11,2,0,6,Recurrent
AQR,BDU,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AQR,DVA,0,0,0,0,0,1,2,0,1,2,0,Recurrent
AQR,FLP,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AQR,IL1V,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
AQR,PVC,0,0,0,2,6,4,6,10,7,8,0,Feed-forward
AQR,PVP,0,0,0,0,1,1,0,3,0,1,0,Feed-forward
AQR,PVW,0,0,0,0,0,0,0,0,2,0,0,Feed-forward
AQR,RIA,0,0,0,1,2,5,10,17,1,0,1,Feed-forward
AQR,RIB,0,0,0,0,1,0,0,0,0,0,2,Feed-forward
AQR,RIC,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AQR,RIG,0,0,0,0,2,0,0,0,0,0,7,Feed-forward
AQR,RIR,0,0,0,1,1,1,3,9,0,0,0,Feed-forward
AQR,SAAV,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AQR,SDQ,0,0,0,0,0,0,1,0,0,0,0,Recurrent
AQR,SIBV,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASE,ADA,0,0,0,0,0,0,0,0,1,3,1,Feed-forward
ASE,ADF,0,0,0,0,0,0,0,0,1,1,1,Recurrent
ASE,ADL,0,0,1,0,0,0,2,2,1,2,0,Recurrent
ASE,AFD,1,1,1,3,6,5,8,8,10,6,8,Recurrent
ASE,AIA,0,1,0,1,4,6,5,2,9,8,5,Feed-forward
ASE,AIB,14,14,18,18,26,22,40,37,26,25,20,Feed-forward
ASE,AIM,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
ASE,AIN,0,0,0,0,1,0,1,1,3,0,0,Feed-forward
ASE,AIY,19,15,18,21,38,32,47,49,37,35,36,Feed-forward
ASE,AIZ,1,1,0,1,4,1,1,1,13,6,6,Feed-forward
ASE,ASE,0,0,0,1,1,1,2,0,2,1,2,Recurrent
ASE,ASG,0,0,0,0,0,0,0,2,1,0,0,Recurrent
ASE,ASH,0,0,0,0,0,0,0,0,0,1,1,Recurrent
ASE,ASI,1,0,0,0,0,0,1,1,1,0,0,Recurrent
ASE,ASJ,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASE,ASK,0,0,0,0,0,0,0,0,2,1,0,Recurrent
ASE,AUA,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASE,AWA,0,0,1,0,0,0,2,1,3,1,3,Recurrent
ASE,AWC,3,4,4,7,13,5,11,15,12,3,4,Recurrent
ASE,BAG,0,0,2,0,1,0,1,2,1,0,0,Recurrent
ASE,DVA,0,0,0,0,0,0,0,0,0,0,2,Recurrent
ASE,HSN,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASE,PVQ,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASE,RIA,0,0,0,0,0,0,5,1,4,0,1,Feed-forward
ASE,RIP,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASE,RIR,0,0,0,0,0,0,0,0,15,9,7,Feed-forward
ASE,URX,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ASG,AIA,7,7,9,13,17,13,29,19,2,1,0,Feed-forward
ASG,AIB,0,1,1,1,2,6,7,4,0,0,0,Feed-forward
ASG,AIM,3,3,3,3,2,0,2,3,3,0,0,Feed-forward
ASG,AIZ,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ASG,ASE,0,1,0,0,1,0,0,0,0,0,0,Recurrent
ASG,ASI,0,0,0,0,0,0,0,0,21,19,12,Recurrent
ASG,ASJ,1,0,0,0,0,0,1,1,0,0,0,Recurrent
ASG,ASK,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASG,AVF,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASG,AWC,0,0,2,0,0,0,1,0,1,0,0,Recurrent
ASG,CEPV,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ASH,ADA,2,2,3,4,5,5,6,5,4,4,1,Feed-forward
ASH,ADF,0,1,2,0,6,4,4,1,2,1,6,Recurrent
ASH,ADL,0,0,0,0,2,0,3,7,0,0,1,Recurrent
ASH,AIA,4,7,7,10,16,20,28,25,13,17,15,Feed-forward
ASH,AIB,3,7,6,3,11,15,14,14,5,5,5,Feed-forward
ASH,AIM,0,0,0,0,0,0,0,1,3,0,2,Feed-forward
ASH,AIY,0,0,0,0,0,0,2,1,1,0,0,Feed-forward
ASH,AIZ,0,1,0,0,0,0,0,1,1,0,0,Feed-forward
ASH,ALM,0,0,1,0,0,0,0,0,0,0,0,Recurrent
ASH,AQR,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ASH,ASE,0,0,1,0,0,0,0,0,0,0,0,Recurrent
ASH,ASH,0,0,0,0,0,0,1,0,1,0,2,Recurrent
ASH,ASJ,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ASH,ASK,0,1,2,3,1,0,1,0,0,0,1,Recurrent
ASH,AVA,0,1,4,17,5,12,14,36,13,20,15,Feed-forward
ASH,AVB,3,2,4,10,13,13,23,22,3,1,2,Feed-forward
ASH,AVD,2,2,6,8,13,15,22,24,14,22,20,Feed-forward
ASH,AVE,0,0,0,0,2,1,1,4,0,1,0,Feed-forward
ASH,AVF,0,0,0,0,0,0,2,0,0,0,4,Feed-forward
ASH,AVH,1,0,0,1,2,0,4,3,0,1,0,Feed-forward
ASH,AVJ,0,2,2,0,1,1,5,2,15,12,22,Feed-forward
ASH,AWA,0,1,2,3,2,0,1,2,1,4,0,Recurrent
ASH,AWB,0,0,0,0,2,1,4,3,5,0,4,Recurrent
ASH,BDU,0,0,0,0,0,0,0,0,8,5,4,Feed-forward
ASH,HSN,0,0,0,0,0,0,7,5,0,0,0,Feed-forward
ASH,IL2D,0,0,0,0,0,0,0,0,2,0,0,Recurrent
ASH,PVC,0,0,0,1,0,0,0,2,0,0,0,Feed-forward
ASH,PVQ,0,1,0,1,0,0,0,2,0,0,0,Feed-forward
ASH,PVW,0,0,0,0,0,0,4,0,1,0,2,Feed-forward
ASH,RIA,0,2,3,4,5,4,3,2,1,0,1,Feed-forward
ASH,RIF,0,1,0,0,1,0,1,1,8,3,1,Feed-forward
ASH,RIM,0,0,1,0,3,3,0,1,0,0,1,Feed-forward
ASH,RIP,0,0,0,0,0,0,0,0,0,4,3,Feed-forward
ASH,RIR,0,0,0,0,0,0,0,0,1,1,1,Feed-forward
ASH,RMG,0,0,0,0,0,1,0,4,0,0,0,Feed-forward
ASH,SIBV,0,0,1,0,0,0,0,0,0,0,0,Feed-forward
ASH,SMBD,1,0,1,0,1,0,0,0,0,0,0,Feed-forward
ASH,SMBV,1,1,0,1,0,0,0,1,0,0,0,Feed-forward
ASH,URX,0,0,0,1,1,0,0,2,0,0,0,Recurrent
ASH,URYD,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASI,ADL,0,1,0,0,0,0,0,0,2,0,1,Recurrent
ASI,AFD,0,0,0,0,2,1,1,1,0,0,0,Recurrent
ASI,AIA,1,0,2,1,4,5,12,11,8,5,4,Feed-forward
ASI,AIB,2,0,0,1,2,4,12,13,0,0,0,Feed-forward
ASI,AIN,1,0,0,0,0,0,0,0,3,2,7,Feed-forward
ASI,AIY,0,0,0,0,2,1,1,2,0,0,0,Feed-forward
ASI,ALA,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
ASI,ASE,1,0,1,0,1,0,0,1,2,2,2,Recurrent
ASI,ASG,0,0,1,1,1,3,5,8,33,32,5,Recurrent
ASI,ASH,0,0,0,0,0,0,0,1,0,0,0,Recurrent
ASI,ASK,0,0,0,0,0,2,2,1,1,0,0,Recurrent
ASI,AVA,0,0,0,0,0,1,0,0,0,0,0,Feed-forward
ASI,AVF,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASI,AVJ,0,0,0,0,0,0,0,0,3,0,0,Feed-forward
ASI,AWA,0,0,0,0,0,0,3,1,0,0,0,Recurrent
ASI,AWB,0,0,0,0,0,0,0,1,0,0,0,Recurrent
ASI,AWC,4,4,4,10,11,15,34,28,9,5,11,Recurrent
ASI,BAG,1,0,0,0,0,2,1,0,0,0,0,Recurrent
ASI,CEPV,0,0,0,0,0,1,0,1,0,0,0,Feed-forward
ASI,IL1L/R,0,0,0,0,0,1,0,0,0,1,1,Feed-forward
ASI,RIA,0,0,0,0,0,2,2,0,1,1,1,Feed-forward
ASI,RIH,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
ASI,SAAV,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASI,SMDV,0,0,0,0,0,0,0,0,0,0,2,Feed-forward
ASJ,ADL,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ASJ,AIA,1,0,1,0,1,0,1,1,0,0,0,Feed-forward
ASJ,AIM,0,0,1,0,0,0,0,0,2,1,5,Feed-forward
ASJ,AIN,0,0,0,0,0,0,0,1,0,0,2,Feed-forward
ASJ,ALA,0,0,0,0,0,0,0,2,1,0,1,Feed-forward
ASJ,ASG,0,0,0,0,0,0,1,0,1,1,3,Recurrent
ASJ,ASH,0,0,0,0,0,0,0,0,0,0,1,Recurrent
ASJ,ASJ,0,0,0,0,0,0,0,0,1,0,0,Recurrent
ASJ,ASK,1,4,6,6,9,5,11,8,8,3,13,Recurrent
ASJ,AVA,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASJ,AVF,0,0,0,0,1,0,0,0,5,3,2,Feed-forward
ASJ,AWA,0,0,2,0,0,0,0,0,0,1,1,Recurrent
ASJ,BDU,0,0,0,0,0,0,0,0,0,0,2,Feed-forward
ASJ,CEPV,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASJ,HSN,0,0,0,0,0,0,2,0,0,0,0,Feed-forward
ASJ,PVQ,5,10,10,15,16,16,24,27,18,18,19,Feed-forward
ASJ,PVW,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASJ,RIP,0,0,0,0,0,0,0,0,1,2,0,Feed-forward
ASJ,SMBV,0,0,0,0,0,0,0,0,0,1,1,Feed-forward
ASK,ADA,0,0,1,0,0,0,0,1,1,2,2,Feed-forward
ASK,ADL,0,0,0,0,0,1,4,4,0,4,2,Recurrent
ASK,AIA,5,11,12,14,22,30,42,56,21,18,13,Feed-forward
ASK,AIB,0,0,0,4,0,6,15,12,2,0,3,Feed-forward
ASK,AIM,0,0,1,0,4,10,12,14,12,10,10,Feed-forward
ASK,AIN,0,0,0,1,0,0,2,1,2,0,4,Feed-forward
ASK,ALA,0,0,0,0,0,0,0,0,10,9,6,Feed-forward
ASK,ASE,0,0,0,0,0,0,0,2,1,0,0,Recurrent
ASK,ASG,0,0,0,0,0,0,1,1,0,1,1,Recurrent
ASK,ASH,0,0,0,0,1,0,1,0,0,0,1,Recurrent
ASK,ASI,0,0,0,0,0,0,1,1,0,1,0,Recurrent
ASK,ASJ,0,1,0,0,0,1,0,0,2,1,2,Recurrent
ASK,ASK,0,0,0,0,1,0,0,1,0,0,2,Recurrent
ASK,AVD,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASK,AVF,0,0,0,0,0,0,0,2,0,0,0,Feed-forward
ASK,AVH,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
ASK,AVJ,0,0,0,0,0,0,1,0,5,6,3,Feed-forward
ASK,AWB,0,0,0,0,0,0,0,1,0,0,0,Recurrent
ASK,AWC,0,0,0,0,0,0,0,0,0,1,0,Recurrent
ASK,HSN,0,0,0,0,0,0,3,3,0,0,0,Feed-forward
ASK,PVQ,0,0,0,1,0,0,0,2,0,0,1,Feed-forward
ASK,PVW,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASK,RIF,0,1,0,0,0,0,0,0,0,0,0,Feed-forward
ASK,RIP,0,0,0,0,0,0,0,0,1,1,3,Feed-forward
ASK,RMG,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
ASK,SIBD,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
ASK,SMDD,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
AUA,ADF,0,0,0,0,0,0,0,2,1,0,0,Recurrent
AUA,AIB,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AUA,AIN,0,0,0,0,0,0,0,3,0,1,1,Feed-forward
AUA,AIZ,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AUA,AQR,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AUA,AVA,0,2,4,3,6,7,11,15,8,4,2,Feed-forward
AUA,AVD,0,0,0,0,1,2,2,0,2,1,1,Feed-forward
AUA,AVE,2,4,6,9,4,6,21,20,4,4,12,Feed-forward
AUA,BAG,0,0,0,0,0,0,1,0,3,1,2,Recurrent
AUA,DVA,0,0,0,0,1,1,0,3,2,0,0,Recurrent
AUA,RIA,3,5,12,13,13,14,32,38,22,16,21,Feed-forward
AUA,RIB,5,8,14,20,13,16,43,33,26,18,29,Feed-forward
AUA,RID,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AUA,RIG,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AUA,RIH,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AUA,RIR,0,0,0,0,0,0,0,1,0,0,0,Feed-forward
AUA,RIV,0,0,0,0,0,0,0,0,0,1,0,Feed-forward
AUA,SAAV,0,0,0,0,0,0,1,0,0,0,0,Recurrent
AUA,URX,1,0,5,2,3,0,3,5,3,1,3,Recurrent
AUA,URYV,0,0,0,1,0,0,0,0,0,0,0,Recurrent
AVA,ADE,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVA,AIB,0,0,0,0,0,0,0,0,1,1,0,Recurrent
AVA,AVA,0,0,0,0,0,0,0,0,0,1,0,Recurrent
AVA,AVB,0,0,0,0,0,0,0,0,0,2,0,Recurrent
AVA,AVK,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVA,FLP,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVA,RIG,0,0,0,0,0,0,0,0,0,1,0,Recurrent
AVA,RIM,0,0,0,0,0,0,0,0,0,1,0,Recurrent
AVA,SMDD,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AVA,SMDV,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AVB,AIY,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AVB,AQR,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AVB,AVA,0,0,0,0,0,0,0,0,1,2,1,Recurrent
AVB,AVJ,0,0,0,0,0,0,0,0,0,2,0,Recurrent
AVB,PVC,0,0,0,0,0,0,0,0,0,2,0,Recurrent
AVB,RIG,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AVB,RIS,0,0,0,0,0,0,0,0,0,1,1,Feed-back
AVB,RMG,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVF,ADA,0,0,0,0,0,0,1,0,1,4,1,Feed-forward
AVF,ADE,0,0,0,0,0,0,0,0,0,2,0,Recurrent
AVF,ADF,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVF,ADL,0,0,0,0,0,0,0,0,2,1,0,Feed-back
AVF,AIA,0,0,0,0,0,0,0,1,1,3,0,Feed-forward
AVF,AIM,0,0,0,0,0,0,1,1,4,2,0,Recurrent
AVF,AIY,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AVF,ALA,0,0,0,0,0,0,0,0,1,0,0,Recurrent
AVF,ALM,0,0,0,0,2,0,0,0,0,0,0,Feed-back
AVF,ALN,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AVF,AQR,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AVF,ASH,0,0,0,0,1,0,0,0,0,2,1,Feed-back
AVF,ASJ,0,0,0,0,0,0,0,2,2,2,0,Feed-back
AVF,ASK,0,0,0,0,0,0,0,1,1,1,0,Feed-back
AVF,AVA,0,0,0,0,0,0,0,1,0,0,1,Feed-forward
AVF,AVB,0,0,0,0,2,3,6,5,0,0,8,Feed-forward
AVF,AVE,0,0,0,0,0,0,1,0,1,0,0,Feed-forward
AVF,AVF,0,0,0,0,3,2,3,7,7,2,0,Recurrent
AVF,AVH,0,0,0,0,0,0,0,1,3,1,1,Recurrent
AVF,AVJ,0,0,0,0,0,0,2,1,1,1,3,Feed-forward
AVF,AVK,0,0,0,0,0,0,0,1,0,2,0,Recurrent
AVF,AVM,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AVF,AWA,0,0,0,0,0,0,1,0,0,0,0,Feed-back
AVF,AWB,0,0,0,0,0,0,1,0,2,1,0,Feed-back
AVF,BAG,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AVF,BDU,0,0,0,0,1,0,2,4,2,1,0,Feed-forward
AVF,CEPD,0,0,0,0,0,0,0,0,1,1,0,Recurrent
AVF,CEPV,0,0,0,0,0,0,0,0,1,1,0,Recurrent
AVF,DVA,0,0,0,0,0,0,3,1,0,0,0,Feed-back
AVF,HSN,0,0,0,0,0,0,4,9,0,0,0,Recurrent
AVF,IL1D,0,0,0,0,0,0,0,0,3,0,0,Feed-forward
AVF,IL1L/R,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AVF,IL2D,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AVF,IL2L/R,0,0,0,0,0,0,0,0,2,2,0,Feed-back
AVF,PVQ,0,0,0,0,8,0,1,4,2,2,0,Recurrent
AVF,PVW,0,0,0,0,0,0,6,2,2,0,0,Feed-forward
AVF,RIB,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AVF,RID,0,0,0,0,0,0,0,1,0,0,0,Recurrent
AVF,RIF,0,0,0,0,1,0,2,5,3,3,1,Feed-forward
AVF,RIP,0,0,0,0,0,0,0,0,4,1,0,Feed-forward
AVF,RMG,0,0,0,0,1,0,0,0,8,6,1,Recurrent
AVF,SIAV,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
AVF,SIBD,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AVF,SMBV,0,0,0,0,0,0,0,1,1,2,1,Feed-forward
AVF,SMDD,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AVF,SMDV,0,0,0,0,0,0,1,0,0,0,0,Feed-forward
AVF,URAD,0,0,0,0,0,0,0,1,1,1,0,Feed-forward
AVF,URB,0,0,0,0,0,0,0,0,0,1,0,Feed-back
AVF,URX,0,0,0,0,0,0,0,0,0,3,0,Feed-back
AVH,ADA,0,1,0,1,1,0,0,0,4,0,0,Feed-forward
AVH,ADF,1,2,4,5,7,5,3,6,3,3,1,Feed-back
AVH,ADL,1,1,0,1,1,1,1,1,0,0,0,Feed-back
AVH,AFD,0,0,1,0,0,0,0,0,0,0,0,Feed-back
AVH,AIA,0,0,0,1,0,1,1,0,0,0,0,Feed-forward
AVH,AIB,0,0,0,0,0,0,1,0,1,0,0,Feed-forward
AVH,AIM,0,0,0,0,1,0,0,0,1,1,1,Recurrent
AVH,AIN,0,0,0,0,0,0,1,2,0,0,1,Feed-forward
AVH,AIZ,1,2,3,4,3,1,0,0,0,0,0,Feed-forward
AVH,ALA,0,0,0,0,0,0,0,0,2,1,1,Recurrent
AVH,AQR,0,0,0,0,0,1,2,0,1,1,1,Feed-back
AVH,ASE,0,1,0,0,2,0,0,0,0,0,0,Feed-back
AVH,ASH,0,1,1,2,0,1,2,1,0,1,0,Feed-back
AVH,ASJ,0,0,0,0,0,0,0,0,1,1,0,Feed-back
AVH,AVA,0,1,0,1,0,1,3,1,4,2,2,Feed-forward
AVH,AVB,0,1,0,0,3,0,1,5,11,7,12,Feed-forward
AVH,AVD,0,0,0,0,0,0,0,0,0,0,1,Feed-forward
AVH,AVE,0,0,0,0,0,0,0,0,1,0,0,Feed-forward
AVH,AVF,0,0,0,0,1,0,0,0,3,1,3,Recurrent
AVH,AVH,0,0,0,1,0,0,1,0,0,0,1,Recurrent
AVH,AVJ,0,0,0,1,2,0,2,4,11,10,9,Feed-forward
AVH,AVM,0,0,0,0,0,0,1,0,0,1,0,Feed-back
AVH,AWA,0,0,1,0,0,0,0,0,0,0,0,Feed-back
AVH,AWB,0,3,3,8,11,1,5,6,1,1,0,Feed-back
AVH,BAG,0,0,0,0,0,0,1,0,0,0,1,Feed-back
AVH,BDU,1,0,0,0,1,0,1,0,1,0,0,Feed-forward
AVH,CEPD,0,0,0,0,0,0,0,0,1,0,0,Recurrent
AVH,DVA,1,0,1,1,2,2,5,1,1,3,2,Feed-back
AVH,FLP,0,0,0,0,0,0,0,0,1,0,0,Feed-back
AVH,IL2D,0,0,0,0,0,0,0,0,1,1,1,Feed-back
AVH,IL2L/R,0,0,0,0,0,0,0,0,0,1,1,Feed-back
AVH,OLQD,0,0,0,0,0,0,0,0,0,0,1,Feed-back
AVH,OLQV,0,0,1,0,0,0,0,0,0,0,0,Feed-back
AVH,PVC,0,0,0,0,0,0,2,1,4,1,2,Feed-forward
AVH,PVP,0,1,1,1,3,2,7,5,4,2,3,Feed-forward
AVH,RIC,0,0,0,0,0,0,0,0,1,1,1,Recurrent
AVH,RID,0,0,0,0,0,0,0,0,0,0,1,Recurrent
AVH,RIF,1,0,0,1,1,0,1,0,4,2,1,Feed-forward
AVH,RIG,0,1,0,0,0,0,0,1,0,2,3,Feed-forward
AVH,RIM,0,0,0,0,1,1,1,1,4,2,0,Feed-forward
