Unnamed: 1,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ADF,286800,0,629760,0,0,76680,1137240,0,609600,36240,0,0,1793640,60240,887040,2373720,42840,3600,193440,0,0,0,0,0,0,72600,0,0,0,0,0,2030520,0,53040,335160,298080,455640,0,812160,4117800,0,147000,78480,4320,0,0,0,74040,0,0,1143960,412920,280440,119280,0,174840,0,2197560,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,210120,228720,1016880,0,0,0,0,0,25920,0,0,873360,0,0,0,0,21240,0,0,63480,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADL,0,84240,0,93360,840,13440,216720,0,1215360,433680,182640,3181320,0,0,1399920,663840,1766640,0,0,0,39960,155400,0,158160,47280,148440,0,0,8040,0,7560,67680,47400,77160,514560,1268640,588360,48120,5400,6360,328560,0,321240,1560,0,0,208440,21240,0,0,0,0,38520,0,0,0,0,0,68880,45600,0,0,0,0,0,0,0,0,0,0,2640,0,46920,0,0,1044840,0,0,0,0,600,0,844320,0,350280,294000,0,0,0,64800,0,0,1448280,0,0,0,77280,0,0,9120,0,0,0,0,0,0,0,0,0,0,0,0,0
AFD,629760,0,31800,0,0,0,2384280,0,0,379080,0,16440,4273440,236400,131400,48960,1310160,1297560,0,0,0,67800,0,0,8520,0,0,0,0,0,0,165000,3240,0,0,1200,1047600,4234320,5692080,792960,0,0,0,0,0,0,0,0,0,0,2280,100800,0,14520,0,51360,0,57240,17400,7200,0,0,0,0,0,156720,0,202200,0,0,0,0,194640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0,0,0,0,0,28680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM,0,93360,0,0,79920,38760,0,0,33360,0,0,0,0,0,0,0,0,0,0,25560,0,0,0,0,0,0,0,399120,1800,634560,442320,341040,5160,22680,1026240,0,0,103320,0,0,0,288960,939360,195480,1445640,0,1131600,54600,895680,0,0,0,940920,0,0,0,40680,0,3240,173760,0,61800,0,0,0,0,0,0,0,1800,515640,8400,440160,79560,515640,21600,71280,8640,0,0,116400,607320,48000,0,408720,500760,0,0,268800,792720,0,0,0,27360,0,0,102600,0,0,0,0,0,0,29640,0,0,0,0,0,0,0,0,0
ALN,0,840,0,79920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230880,318600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19080,0,0,0,0,0,0,0,0,0,0,352920,0,0,0,0,0,0,0,0,217680,0,131160,0,822480,0,394320,325920,0,0,354120,0,2400,0,0,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQR,76680,13440,0,38760,0,0,0,0,105120,0,0,0,0,0,0,2640,0,374160,1687320,242400,0,0,14760,0,0,0,0,0,4440,85680,0,6480,0,10320,205080,0,335400,0,0,1800,1254960,1770600,466080,0,10200,872400,1975920,3281040,95280,313800,7440,0,0,224280,32640,8520,0,1272240,0,0,0,15480,0,0,0,0,0,0,0,66720,480,0,71040,203040,0,0,0,2040,0,11880,332160,0,0,0,444840,61560,122520,7440,0,0,0,0,0,0,192120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASE,1137240,216720,2384280,0,0,0,1264680,722760,658440,1152120,247800,617760,99840,0,3479280,1761840,3658440,582600,0,0,83160,42000,0,6000,18360,0,0,0,83160,0,0,25320,13920,0,0,1314840,5066160,1521360,5193480,1558920,16440,6000,0,0,0,0,0,0,0,0,78240,5400,159000,0,0,0,0,97680,90360,68760,0,45480,0,0,0,80880,0,0,0,0,0,0,0,0,0,17280,0,0,20640,0,0,240,35400,26760,130080,0,0,0,51240,0,0,0,172560,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG,0,0,0,0,0,0,722760,0,3000,1485600,329040,56040,0,0,419280,20040,1346640,3240,0,0,0,0,0,0,0,0,0,0,111480,0,0,0,0,0,0,2237520,723720,117600,79680,53040,0,11520,0,0,0,0,0,0,0,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82440,0,341880,0,4800,0,0,0,2346720,0,38160,0,0,0,0,0,156480,0,0,7800,360840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH,609600,1215360,0,33360,0,105120,658440,3000,71040,5280,10440,619320,6480,103560,2999040,1024080,1800,0,40200,0,1440,0,0,0,360,36480,0,0,0,0,19800,910680,0,36720,2086920,767160,546720,0,40200,634680,711960,2287320,454080,55560,10080,0,214080,435600,0,0,173760,3960,3050280,0,0,1366920,0,149040,0,0,0,0,0,0,0,0,0,0,0,75720,0,0,72000,40800,4080,627600,0,480,0,0,0,778800,0,83280,1236000,207240,0,0,0,3360,0,0,1493280,383520,26760,130800,461160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,36240,433680,379080,0,0,0,1152120,1485600,5280,7680,111840,231480,6600,0,321120,448680,7488480,334560,0,0,60960,47280,0,48840,47280,0,0,0,3120,0,18600,8040,35160,0,0,893400,542400,310800,138480,145320,0,0,0,0,0,0,0,0,0,0,33840,203040,0,0,0,37680,0,0,34320,56640,0,12240,0,0,0,0,0,12000,0,0,0,0,19320,0,0,1440,0,89400,0,0,1080,312600,0,0,0,78600,0,0,0,65640,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
