Unnamed: 1,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ASJ,0,653900,0,7400,0,0,666900,2445600,0,1647700,443000,6196000,0,0,154200,70000,0,0,0,0,37200,196000,0,91600,117800,0,0,0,100400,0,51200,171100,51600,0,0,1253100,0,7800,0,0,0,0,201400,47800,20000,0,0,0,0,0,0,262400,0,0,0,0,68000,0,60800,125600,0,0,0,0,0,0,0,0,0,0,129400,0,109400,0,400,0,48000,0,13000,0,0,3627300,3865100,3794300,305600,270000,0,0,0,325000,0,0,5612600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASK,0,4733200,6500,0,0,0,1303600,855300,278600,663200,6196000,455300,0,0,658100,0,1262000,0,0,0,0,0,0,0,0,0,0,0,95200,0,0,0,0,0,260900,7903600,1108800,585400,0,0,0,0,0,0,126400,0,0,0,0,0,0,0,75400,0,0,0,2749100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136000,6779300,468100,0,751500,0,0,0,4900,0,0,7366100,0,47200,0,80200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUA,6230200,0,5185400,0,0,0,713400,0,0,0,0,0,157100,0,0,263700,126200,2131800,2024700,0,366800,2896500,0,29000,7800,117900,0,0,0,0,0,6338300,193400,136500,0,51100,1298700,9094200,4764900,920400,2855800,84200,411900,997600,0,6600,0,0,0,0,2566800,9765900,70200,16800,300800,559300,0,866700,277300,0,0,806500,0,0,0,0,0,346100,0,0,0,0,352900,24600,0,0,0,216300,0,0,0,0,0,0,52900,0,0,0,249200,348200,0,0,0,0,235400,209400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,99300,0,0,3405700,0,0,0,0,79300,0,0,0,0,0,32000,0,0,0,18200,392400,0,0,0,0,0,0,0,0,0,622300,0,0,0,0,55100,0,0,0,19600,0,0,2804200,1979100,0,577400,0,5850500,105500,3048800,0,0,0,180300,0,725600,545600,133500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267900,0,0,0,0,0,0,0,0,0,0,79400,7881800,0,0,0,469500,0,6372300,0,379800,158900,1480800,17700,0,156800,0,0,0,0,0,0,0,0,0,78000,0,0,0,74500
AWA,3693700,2950600,3283900,0,0,0,11674200,894900,3868400,2195800,154200,658100,0,32000,190400,10125200,1246800,0,69300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169000,2000700,171600,0,4603200,2856600,0,172600,0,0,382800,0,15200,0,0,0,0,46400,4275300,0,0,0,1780400,446800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189600,0,0,0,0,0,136800,38800,1870000,64300,1503500,0,0,0,0,0,66800,807000,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWB,4107700,779000,699500,0,0,26000,1509900,0,1968200,568700,70000,0,263700,0,10125200,83400,148500,0,361800,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,1361600,1219000,532100,0,1784500,2049300,67300,75800,40800,0,0,0,22600,0,0,0,273600,748600,1371900,0,0,0,265200,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311000,200800,1897800,0,0,0,0,0,1829400,0,1038700,155200,1035200,0,0,0,0,0,0,0,552200,0,0,338400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWC,300,2268900,1959600,0,0,0,5760400,7708800,0,13990900,0,1262000,126200,0,1246800,148500,5682600,1417100,0,0,181400,135400,0,56800,123200,0,0,0,500,0,0,0,169800,0,193700,8114700,6952800,1755500,10614500,2875400,167400,0,0,0,0,0,0,0,0,0,175200,283300,0,0,254900,128300,0,734200,163200,134400,0,46700,0,0,0,0,0,0,0,0,0,0,522200,0,0,0,0,0,0,0,0,456100,184800,0,0,102600,0,0,0,630800,0,0,0,0,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAG,0,0,1273200,0,0,4092800,2259300,49100,0,395600,0,0,2131800,0,0,0,1417100,2559700,947500,0,268600,97000,50900,0,413200,174600,0,31100,344900,0,0,16600,164000,6900,0,0,1246600,3307300,2440800,517100,4890000,638800,2010600,3487400,0,1294200,746900,0,0,520000,4138800,6859000,0,3717400,1025000,277800,0,2209600,234000,0,0,759600,0,0,110800,0,0,261200,4414400,269200,682400,235700,238600,312400,0,0,0,401300,0,0,0,0,0,0,37400,4200,167900,0,0,1305700,0,0,0,0,3926500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,654000,0,0,0,0,4573000,0,0,0,0,0,0,2024700,18200,69300,361800,0,947500,0,139100,57200,806800,402800,0,0,31600,15200,494200,155700,2566200,43200,895700,704000,437200,2303900,0,737600,0,1894000,5407900,1662100,3435200,2794400,5552800,0,66200,534000,3668200,0,0,206400,1006000,529900,98600,421000,2146800,64100,2463400,0,0,272300,0,0,0,37200,0,0,72400,0,105200,1846600,5655700,1259800,6639100,2313300,1465500,0,781200,0,404800,114200,34500,0,32600,4445200,300,572400,0,0,0,0,137800,0,1800700,3048200,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLP,0,0,0,0,0,50200,0,0,0,0,0,0,0,392400,0,0,0,0,139100,1775400,0,0,0,0,0,0,0,0,43000,1537600,0,0,0,0,640500,0,636200,0,45300,79600,3084600,815700,325500,84000,0,100100,1232800,0,0,0,99400,0,0,151200,86100,820900,48600,0,0,0,0,179600,0,0,0,0,0,0,980000,0,0,151800,6400,145500,847800,6000,0,0,0,0,3279700,0,0,0,169000,137300,0,0,0,0,0,52200,0,0,0,244500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
