,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,AVJ,BDU,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVK,AVL,CEPD,CEPV,DVC,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
URX,2443960,0,1165120,289800,0,1119600,42040,0,704040,2240,343000,0,8475200,0,0,37400,15920,84280,120720,0,1372320,4511040,49760,235520,292560,297120,0,3600,0,0,531920,0,817440,281800,1871880,5200,0,342480,319400,18480,225280,400,37640,616240,205760,0,197600,2644120,0,0,6062440,1311840,83640,1687280,2729400,0,346240,3275160,10880,590320,0,0,0,46240,0,0,0,0,0,0,199840,36800,241560,46080,0,153400,19040,0,414640,0,32320,222120,405840,253640,2240480,0,0,4896480,364160,244920,0,2080,80,1330360,0,14080,1490840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYD,0,61760,34480,0,0,0,43920,0,7600,39560,128560,57840,85960,0,3160,0,254720,37160,223800,0,4642560,311200,0,120720,7662320,0,0,0,289360,0,0,817440,0,0,555760,22720,348600,210000,3200,141720,1212000,444360,782040,1602200,301320,5200,138200,0,111480,187520,0,1942040,5600,234040,5225800,175600,1467400,0,4293920,0,0,119040,668520,0,3169440,851520,335080,0,192120,0,41040,0,191880,49640,38360,0,859920,240120,4798560,0,0,59960,109040,86480,209040,312480,221200,536480,0,904360,0,227120,5640,394800,17200,831520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URYV,194440,106880,0,194720,0,400,0,0,0,0,0,0,96240,0,0,0,0,69880,482000,0,0,402480,2288320,50720,0,2691760,0,649120,0,0,499880,281800,0,0,117360,0,179160,198560,0,7840,1191200,965160,555120,2229920,126560,0,0,640,800,602000,190400,2215680,0,917680,4492560,7680,0,424840,0,0,3325480,38200,4453680,207320,986840,0,263680,693560,198080,0,276080,9520,194320,473480,162640,98720,0,610440,0,1951040,0,435400,0,0,142760,419520,636640,0,90080,1642160,0,63840,0,433680,56000,1369520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,609600,1060040,0,2615200,960,640800,91200,0,5856680,0,0,318640,6000,0,67280,581000,53920,0,2453240,828720,268920,192400,228320,18160,80,239680,0,634040,709840,917880,728320,1871880,555760,117360,132600,2538840,907880,0,0,27920,5278840,4798640,2233040,180320,1060160,446320,86240,820160,68560,0,195680,0,1720040,160,0,7198640,259440,7240,0,0,16000,715120,25840,0,0,0,0,0,0,21240,234640,447120,1103360,1153440,1604560,434160,360240,836320,3400,112400,1750480,280360,0,395680,1365960,102880,0,1090160,246280,100480,0,85680,504520,6956440,10160,0,1215120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,830560,1553640,141400,0,0,0,2385000,2319760,4096400,2402520,1683720,6463640,0,0,1309480,1310360,5857120,0,0,0,0,0,0,0,99880,0,69280,0,0,0,0,5200,22720,0,2538840,546640,9361760,509480,769840,2422360,0,4360,456080,0,39280,937800,0,0,0,0,0,0,2503960,0,223880,68480,2277080,16760,0,0,0,0,0,0,0,0,0,0,0,0,0,30880,0,95040,0,766160,0,0,4800,0,0,8862400,410720,192880,14960,0,0,0,0,0,0,0,2628960,281880,149760,9520,418160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIB,648400,2875960,2779040,0,0,331320,10243000,346040,1895800,660640,0,1246240,960760,0,912480,759520,9871600,267280,3026240,1215360,57920,266400,329120,862640,7040,0,0,1757280,380360,2622840,0,0,348600,179160,907880,9361760,360480,1183760,1060280,4450920,4867040,3197520,1830360,2641080,10720,0,177160,2243040,0,1484560,497280,2470400,279080,3081240,64640,9878320,677320,445040,9840,76640,178520,1687760,0,0,720,265360,0,549920,2530120,1009800,2384200,27480,995160,645960,880120,0,3188640,813120,0,269960,0,2010960,0,0,124360,3702360,856200,0,0,4206200,0,0,6080,520440,213680,1767840,887120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIN,16640,11040,8676640,297000,3880,0,3576120,256320,0,1027240,16320,676680,8346320,0,0,0,2581200,3199240,0,0,147200,347360,0,375760,500200,480,0,0,67320,187120,76200,342480,210000,198560,0,509480,1183760,806480,736880,54640,620960,0,448400,0,1705240,0,0,0,0,0,228360,3392120,0,55520,196480,187480,0,2960,300760,18880,0,320000,0,0,0,0,0,230600,987520,0,51360,0,98760,0,0,0,0,25760,58680,0,437040,0,160,0,921800,0,0,96400,364520,0,0,0,0,0,5154080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIY,1561760,0,11895560,0,0,722640,9415240,46600,140280,414480,0,0,5909360,254000,3551600,1129440,7066560,3595720,1567320,44200,0,831440,0,0,0,0,0,0,0,0,0,319400,3200,0,0,769840,1060280,736880,1421760,7026400,0,653680,1360,105840,933520,0,16960,19000,0,0,4124080,5596880,295640,326120,2628880,1284280,0,3292880,0,0,0,0,0,0,0,0,0,330560,0,0,0,43840,801720,0,720,821680,0,0,0,0,0,482080,0,0,640,0,0,0,0,0,0,0,0,0,0,1809160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,6085480,0,2253320,0,0,0,2148160,973320,1725200,2720,0,0,1049600,0,3596800,3328000,3372440,511600,4919120,0,273800,240000,37440,0,6040,0,0,15120,171280,880,0,18480,141720,7840,27920,2422360,4450920,54640,7026400,758560,112760,822760,251440,7438560,257160,0,0,1020960,0,16400,10808640,4090880,905880,5984680,7497240,7516600,2560,3963440,11960,0,0,0,0,0,0,0,0,0,3360,0,442080,240,627640,103840,5060200,8093800,15840,33240,0,0,0,1589920,0,0,95600,1096040,0,0,0,962920,0,0,0,711680,285840,13280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVA,103800,735920,2000,0,205960,5425680,44880,0,2003360,0,0,0,4644080,0,111440,198960,2520,4417960,1504200,4966000,479840,1440,148680,0,200,0,13920,2900400,12437840,2655120,0,225280,1212000,1191200,5278840,0,4867040,620960,0,112760,1450000,4113560,1066720,381520,2066880,0,2312600,2100440,0,535200,4894480,1036000,50320,950760,17440,8631080,0,70400,0,320,123320,1187560,7520,289960,302080,0,0,0,1036840,3403360,1169600,297120,908480,960,640120,238480,4754600,5655040,0,520,3946880,1637200,72400,145760,1210080,907600,41360,60320,0,2067600,0,0,0,3297440,368240,0,521520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVB,860080,160,0,1258040,0,3856720,0,66640,1387640,0,0,0,71840,2729280,498760,1320,0,505440,2661080,1819280,789840,0,140120,0,0,0,0,480,70400,2653560,964640,400,444360,965160,4798640,4360,3197520,0,653680,822760,4113560,2488520,3322160,1817720,7739120,253480,11780000,5483200,3587120,10480,0,1164960,2714320,3305120,0,6491320,2270360,19080,12240,0,76840,649120,0,0,0,0,0,401600,634160,360,560,733480,926560,2416960,175440,214520,0,155200,16200,30080,0,245920,0,170960,3633760,1296880,0,256680,827280,831000,0,1567640,0,7237840,1420960,1580280,199840,0,0,0,0,0,0,0,0,8680,0,0,0,80,0,0,0
AVD,85680,2166080,0,2636480,12080,995360,0,0,2995000,0,301120,39600,495120,2014480,28800,13360,0,3636480,2240200,851680,1372800,0,243280,69520,444240,224560,180120,227680,38720,74800,847960,37640,782040,555120,2233040,456080,1830360,448400,1360,251440,1066720,3322160,275280,1615800,4933240,180880,3080920,194480,290160,0,0,699240,304000,376240,21360,548000,25000,190920,163080,25440,0,171560,0,0,10480,0,0,0,40960,0,357280,206160,729880,2115160,603440,202640,138400,97440,0,0,211800,965240,262240,214000,1898400,57000,0,260560,37920,73640,0,240400,42720,2314720,2912480,0,228640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVE,0,720,0,425760,0,0,0,0,81760,0,299760,0,1757640,8000,0,0,0,5383920,4968240,1839600,374640,797840,31760,10092080,438000,480760,0,697320,231520,144280,14320,616240,1602200,2229920,180320,0,2641080,0,105840,7438560,381520,1817720,1615800,220840,233440,52920,909360,1687680,0,0,223920,7421360,110320,1170760,433720,4575520,0,188880,960,791600,0,323040,1226520,1037800,943760,442240,143240,387000,305840,87280,1243760,1801760,49840,262440,340960,689960,1922120,2060880,0,82560,29600,748880,1348960,329880,57680,5241520,0,1833360,2310880,176880,0,28880,0,208800,90120,3516400,812800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVJ,723920,1899920,18880,1145080,0,20480,190200,80,2669960,579680,370080,749360,0,4132000,1166360,827600,255160,0,48240,35120,578840,103640,0,466320,4240,114640,38560,1920,7480,89760,399120,205760,301320,126560,1060160,39280,10720,1705240,933520,257160,2066880,7739120,4933240,233440,251600,1495760,4761840,406200,707920,0,0,0,2984040,0,0,1323800,2143680,45440,0,17880,0,160480,0,0,0,0,0,0,0,0,760,31200,320,60960,0,232640,0,960,77600,0,47200,1677120,516000,837600,7424240,43200,0,156000,15200,0,0,2776760,17200,986440,885880,561840,131680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDU,0,0,0,1357320,0,0,0,0,2843440,0,84000,191880,0,886880,126000,0,0,0,129920,0,35280,203960,0,0,1120,0,0,0,0,672440,0,0,5200,0,446320,937800,0,0,0,0,0,253480,180880,52920,1495760,401120,0,0,25200,0,0,0,5875400,0,0,1504160,3525480,0,86040,0,0,0,0,0,0,0,0,0,0,0,0,5480,0,85000,22400,16760,0,2080,101680,0,270840,637280,0,3091920,659480,0,0,71560,343240,0,0,11045760,2880240,0,4840,0,1986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVC,0,54480,0,936080,0,4709760,0,0,18400,0,0,0,0,4741680,0,0,0,0,1706280,3143800,241440,0,0,0,0,0,0,28080,308800,0,204640,197600,138200,0,86240,0,177160,0,16960,0,2312600,11780000,3080920,909360,4761840,0,1130880,2605200,0,0,0,0,102000,0,0,156320,71280,50240,0,0,0,333520,0,0,38400,0,0,0,0,161320,8120,136680,157200,643320,75960,0,11040,166960,0,0,0,960,0,0,3312080,60960,0,0,0,0,0,151720,880,862880,1528640,215520,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP,17920,0,0,0,0,7090480,0,0,316560,0,0,0,0,202160,71840,94640,0,0,4721960,157440,720,406960,203360,0,0,0,0,0,0,0,0,2644120,0,640,820160,0,2243040,0,19000,1020960,2100440,5483200,194480,1687680,406200,0,2605200,148640,0,0,9840,0,2623560,1592480,0,111280,0,2552480,0,0,20600,0,0,0,0,0,0,0,11640,0,202600,0,0,0,321200,3000,0,0,0,236800,1600,0,0,0,4611080,1780840,0,0,0,911320,0,0,0,280,60240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVR,0,0,0,2210680,0,0,0,0,0,0,0,0,0,1514800,0,0,0,0,352920,88560,149400,0,320,0,581880,400,1760,0,0,725840,29520,0,111480,800,68560,0,0,0,0,0,0,3587120,290160,0,707920,25200,0,0,0,0,0,0,0,0,0,0,2949400,0,1039760,0,611440,638640,40360,30120,0,0,0,0,0,0,0,2400,0,483600,43680,0,2720,0,159600,272560,286920,0,0,0,246280,0,0,2789080,4047200,0,0,4047280,0,2041680,0,0,0,0,65440,0,15880,15000,0,50760,115720,35040,21640,16960,1280,24800,640,52480,57840
PVT,0,0,0,0,128560,639040,0,0,0,0,0,0,6120,0,0,0,0,0,0,131840,89360,760,303600,115880,281480,774240,273040,380960,0,234800,96000,0,187520,602000,0,0,1484560,0,0,16400,535200,10480,0,0,0,0,0,0,0,0,0,844680,0,4331640,267200,41920,0,0,56080,0,98280,147520,0,142120,0,478560,1726880,918320,5110800,99080,18160,0,0,32800,18480,12720,8960,0,0,170520,219760,0,0,0,0,13862720,3550480,0,0,6326720,0,0,0,0,199400,181000,276520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIA,3980320,320,2200,0,538240,384880,743760,0,450400,73280,0,0,3047920,0,0,9880,236480,6623600,2240,82880,0,109520,215160,0,0,109880,0,954960,2574280,1042400,0,6062440,0,190400,195680,0,497280,228360,4124080,10808640,4894480,0,0,223920,0,0,0,9840,0,0,9162760,4665360,51360,804920,3472480,1681320,0,1547840,0,1314840,0,3258520,20968040,17867680,16525240,0,0,0,379640,200,3471320,2802600,573840,698240,1119960,1301600,14574560,16559680,0,0,308120,0,0,0,0,51520,0,2782480,3145360,230800,0,0,0,0,0,170000,14960,0,0,0,0,0,0,92960,1840,120,0,0,0,0,0,0,0
RIB,425000,0,920,0,0,3600,0,0,0,391640,97320,0,11504440,0,274960,1261440,424200,9878200,502080,0,60960,2444160,159320,3072280,440000,1034160,0,0,0,0,242960,1311840,1942040,2215680,0,0,2470400,3392120,5596880,4090880,1036000,1164960,699240,7421360,0,0,0,0,0,844680,4665360,345120,38640,578320,930840,3191520,0,80,205920,484800,39320,34440,18000,475400,181840,2404400,3830920,2487920,126720,0,566080,364400,1224800,1286400,480,0,3063240,2885880,0,632640,0,0,0,0,0,25000,808920,310960,801520,3800640,0,0,0,0,2296800,6116640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIF,2121720,0,12200,265880,0,76400,329280,0,8114560,0,188800,35400,0,224200,2168480,1388400,0,0,44480,0,32120,442800,0,0,0,0,0,0,0,134360,0,83640,5600,0,1720040,2503960,279080,0,295640,905880,50320,2714320,304000,110320,2984040,5875400,102000,2623560,0,0,51360,38640,99080,0,0,7169800,615000,458480,92400,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,3120,800,953560,0,0,92880,0,102240,1522720,0,1657200,2473880,0,0,117760,194960,0,0,4706000,968080,0,32320,0,2068640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIG,17440,0,0,0,1810920,687320,0,0,0,0,0,0,688960,0,0,0,0,3169560,37600,37040,977400,75440,1478320,3513360,875520,1148640,1110080,1917360,490120,566280,1400,1687280,234040,917680,160,0,3081240,55520,326120,5984680,950760,3305120,376240,1170760,0,0,0,1592480,0,4331640,804920,578320,0,1959840,901680,2163840,0,2019520,442400,0,158440,1358720,0,720,0,699400,626080,270360,6610080,2504720,917040,43640,217160,691000,2017920,1098440,19400,73560,0,337400,3229720,0,0,0,47520,6500680,1767080,0,37760,8303280,0,0,0,0,2235080,671040,179080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIH,222560,0,5120,0,0,0,0,0,78400,0,0,0,0,0,0,4000,139320,1672800,931440,595360,3047800,3755080,3950520,1280,3622040,6027520,0,0,4120,0,0,2729400,5225800,4492560,0,223880,64640,196480,2628880,7497240,17440,0,21360,433720,0,0,0,0,0,267200,3472480,930840,0,901680,0,871560,4596640,2723040,169840,0,1157520,0,63600,0,0,1812720,3684520,2947360,120480,0,2400,129680,360280,107800,75080,519840,5880,1000,273440,1088920,0,0,0,0,0,8440,156400,1832040,7975440,1242920,0,0,0,0,57440,2322280,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIM,139960,0,0,0,487960,0,15520,0,437840,243840,27280,108000,552160,683240,71200,137120,46640,94000,826720,655640,4000,199120,130440,19200,0,0,130400,13887480,13711360,1906320,0,0,175600,7680,7198640,68480,9878320,187480,1284280,7516600,8631080,6491320,548000,4575520,1323800,1504160,156320,111280,0,41920,1681320,3191520,7169800,2163840,871560,638880,0,0,0,352480,141200,2129160,0,16369200,0,96400,0,727600,6597400,640,2228640,1184080,1892880,1327280,609160,387520,10440480,9162360,0,54960,36800,0,0,31360,269040,6350720,66720,97440,156640,574080,0,868960,0,1312760,28320,4749080,181080,0,0,0,0,0,0,541800,808480,0,0,643120,593640,0,0,259520,91400
RIP,273600,221360,0,520680,0,0,356400,0,5017480,0,601320,4092560,0,1040,1258760,251040,0,0,0,0,4141840,8960,3145360,0,1269680,1316760,0,0,0,85040,198640,346240,1467400,0,259440,2277080,677320,0,0,2560,0,2270360,25000,0,2143680,3525480,71280,0,2949400,0,0,0,615000,0,4596640,0,7280,0,3158160,0,3095040,0,41680,0,55240,556840,2509560,301160,0,0,0,0,0,0,3200,0,0,0,3343280,3613200,0,136400,46600,4389160,926200,0,0,335760,476840,0,0,1527000,3808560,489880,0,0,433960,79200,90880,0,127720,0,4000,0,0,0,0,0,0,0,0,0,0
RIR,4172120,0,488720,0,0,1943960,719320,0,0,0,0,0,509680,0,266160,0,1220000,2101520,3449040,0,0,1123560,57600,0,0,180480,0,30440,0,0,0,3275160,0,424840,7240,16760,445040,2960,3292880,3963440,70400,19080,190920,188880,45440,0,50240,2552480,0,0,1547840,80,458480,2019520,2723040,0,0,0,0,0,0,995160,40320,0,0,0,0,214920,0,0,0,0,0,0,85720,279960,0,0,0,0,0,51960,0,0,3990880,0,447600,0,0,8160,0,0,0,0,19320,302320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1D,0,27320,38080,0,0,0,6360,0,0,63200,100160,57280,445120,0,0,0,221320,235680,0,0,5809120,33600,0,5844320,7009600,0,0,0,0,0,1475800,10880,4293920,0,0,0,9840,300760,0,11960,0,12240,163080,960,0,86040,0,0,1039760,56080,0,205920,92400,442400,169840,0,3158160,0,31520,751120,239960,0,837920,0,11833320,1125960,3758920,514160,24400,2315520,0,0,0,0,757080,0,993520,260720,3247640,700600,26880,41080,78480,2880,72080,79520,178520,1080120,0,101320,0,377000,0,0,0,543360,0,1027120,0,661240,0,90680,0,5680,0,0,0,0,0,0,0,0,0
IL1L/R,0,156240,0,260280,5440,0,292400,0,0,197600,138800,0,0,0,0,0,40920,0,0,0,0,4729640,0,5138080,0,0,0,196320,7000,303080,5666520,590320,0,0,0,0,76640,18880,0,0,320,0,25440,791600,17880,0,0,0,0,0,1314840,484800,0,0,0,352480,0,0,751120,0,253360,885440,7240680,8309360,7309520,0,220440,0,1899440,7884200,16400,639040,195920,387120,0,419360,213200,688880,356000,505440,2463760,28000,343520,89080,16560,59360,0,588440,93440,0,0,186520,0,1999960,0,1005200,300360,21040,0,228160,735960,0,0,0,240,0,0,0,0,0,0,0,0
IL1V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122280,0,0,3560,3934760,4312920,0,3181120,0,12880,0,0,1348960,0,0,3325480,16000,0,178520,0,0,0,123320,76840,0,0,0,0,0,20600,611440,98280,0,39320,0,158440,1157520,141200,3095040,0,239960,253360,24320,41360,13712560,0,881840,361400,3388200,1562160,0,1678640,163240,77720,114720,120080,0,691360,100080,493680,22240,2393720,4880,0,0,0,0,214240,97280,0,3625520,136640,0,0,0,212400,0,189480,0,0,735680,0,408560,0,60080,0,5360,0,0,0,0,0,0,0,0
RIV,0,1200,74360,0,1076360,39120,341000,0,0,134080,0,0,490640,0,0,0,91160,531560,107560,1176360,629280,666760,121040,0,0,10800,908560,6215520,1996360,4038520,0,0,119040,38200,715120,0,1687760,320000,0,0,1187560,649120,171560,323040,160480,0,333520,0,638640,147520,3258520,34440,0,1358720,0,2129160,0,995160,0,885440,41360,3831600,2190560,3103400,1454640,370440,0,189520,2228080,1807720,350720,2860800,2237160,272000,1548480,507000,7360480,6636680,0,75160,1465640,0,3200,0,634600,1046240,404920,153680,310240,1368760,0,0,0,3754320,226520,514520,151040,0,1040,0,0,0,222440,0,26520,0,742160,0,130240,0,995920,0,8560
RMDD,0,0,0,0,81360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154480,29680,39160,7325400,4632000,456720,0,1191280,0,0,520160,0,668520,4453680,25840,0,0,0,0,0,7520,0,0,1226520,0,0,0,0,40360,0,20968040,18000,0,0,63600,0,41680,40320,837920,7240680,13712560,2190560,1716720,3598640,21330560,389760,208240,1964480,19760,1514880,2028080,259480,145560,3207360,6434560,361400,1619120,1723440,2116080,1530920,240,0,0,0,0,0,45440,3061560,3101440,0,0,0,0,627600,0,525120,2348280,2149520,609200,2344240,734480,3439200,148320,2868400,52280,2355600,127720,162800,0,146560,90840,0,0
RMDL/R,0,0,0,0,1423600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227560,0,1181480,16560,60280,286680,314600,6880,0,3402680,46240,0,207320,0,0,0,0,0,0,289960,0,0,1037800,0,0,0,0,30120,142120,17867680,475400,0,720,0,16369200,0,0,0,8309360,0,3103400,3598640,5014600,5602640,0,3946240,0,15339440,8759600,3234000,1888640,3364360,4550840,0,162960,1840480,1417760,0,0,4330440,0,0,0,0,8332320,159560,2370760,4103720,62400,0,0,0,117640,0,5157200,9281520,0,0,742880,904480,0,0,2323560,2578400,0,0,611600,759800,0,0,45920,61400
RMDV,0,0,0,0,149560,0,0,0,0,0,0,0,0,0,0,0,0,363440,291720,0,66000,0,9080,6444040,1331920,2753040,1767160,1117960,1069600,857960,3840,0,3169440,986840,0,0,720,0,0,0,302080,0,10480,943760,0,0,38400,0,0,0,16525240,181840,0,0,0,0,55240,0,11833320,7309520,881840,1454640,21330560,5602640,1562880,3603320,336600,1386880,487040,1865280,1157000,2856800,790880,2087040,378040,4529080,1140160,1129520,822520,2504160,0,0,0,0,0,0,0,3717120,549120,0,0,0,0,177640,128880,84040,4758800,695760,2473760,640680,2055160,141920,3319040,54680,2288400,246680,1816520,0,563760,248560,51080,0,0
RMED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917120,769880,1225320,4259440,3014840,15240,0,0,0,0,8080,0,851520,0,0,0,265360,0,0,0,0,0,0,442240,0,0,0,0,0,478560,0,2404400,0,699400,1812720,96400,556840,0,1125960,0,361400,370440,389760,0,3603320,0,5573480,6401520,7120,12160,0,0,0,0,1265120,0,6202360,876400,1906160,2290000,0,0,0,0,0,312600,458240,26040,0,360320,0,0,0,0,729080,2799440,0,132520,1361200,0,190560,708400,576480,0,0,547080,3400,0,0,214680,0,0,0
RMEL/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694600,6616800,2590760,7545960,4093000,4249640,0,0,0,0,1641880,0,335080,263680,0,0,0,0,0,0,0,0,0,143240,0,0,0,0,0,1726880,0,3830920,0,626080,3684520,0,2509560,0,3758920,220440,3388200,0,208240,3946240,336600,5573480,535240,5262400,139640,3515280,0,0,0,0,0,0,27760,221560,6191400,6272840,4508680,0,0,0,0,258240,1704400,0,40,489200,0,0,0,0,0,3476560,0,157360,245520,6275120,5856560,32480,880,1066560,316000,0,0,0,0,0,0,0,0
RMEV,0,0,0,0,0,0,0,0,240520,0,0,0,489640,0,0,0,0,152360,0,0,525880,1239200,681680,3328400,320240,881120,0,0,0,0,0,0,0,693560,0,0,549920,230600,330560,0,0,401600,0,387000,0,0,0,0,0,918320,0,2487920,0,270360,2947360,727600,301160,214920,514160,0,1562160,189520,1964480,0,1386880,6401520,5262400,0,0,63720,78720,167200,213160,218880,0,1146720,1206880,5941520,1689320,3200240,0,0,0,0,0,79240,1190960,53840,196480,0,0,0,0,0,233120,3996360,0,865680,278840,0,39600,256960,1019760,0,0,25000,476960,0,0,0,96200,0,0
RMF,0,0,6640,0,1263280,0,58720,0,0,0,0,0,97280,0,0,0,0,3210560,0,38440,169600,188000,8480,1357160,60400,293520,1002880,8807040,6631640,1176960,708000,0,192120,198080,0,0,2530120,987520,0,3360,1036840,634160,40960,305840,0,0,0,11640,0,5110800,379640,126720,0,6610080,120480,6597400,0,0,24400,1899440,0,2228080,19760,15339440,487040,7120,139640,0,428760,6561920,570160,102960,0,227720,778080,1698240,3041160,98320,0,3040,3063200,0,0,0,0,8071880,1165640,1981040,833280,1484560,0,0,0,435360,147680,1718160,7474840,0,0,663200,1089640,0,0,1177160,1375080,0,0,89720,81840,0,0,193360,31280
RMH,0,0,0,0,4379120,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,356320,595000,170360,355360,1666120,1694880,3688560,831120,1405720,2444240,3344360,0,0,0,21240,0,1009800,0,0,0,3403360,360,0,87280,0,0,161320,0,0,99080,200,0,0,2504720,0,640,0,0,2315520,7884200,1678640,1807720,1514880,8759600,1865280,12160,3515280,63720,6561920,1595360,157760,2127080,2732680,2430160,652960,916360,2997360,1125760,971440,1576680,3590560,0,0,0,0,1001440,0,2261480,1759520,0,0,0,0,9246080,0,0,4159640,0,58080,664680,649680,0,0,121160,79840,0,0,19720,0,0,0,0,0
SIAD,0,17320,0,2264080,1731840,0,0,0,0,0,178400,1000,0,0,0,0,0,1200,3178520,0,216440,9320,109120,0,382960,0,0,1019520,812680,404200,205160,199840,41040,276080,234640,0,2384200,51360,0,442080,1169600,560,357280,1243760,760,0,8120,202600,0,18160,3471320,566080,0,917040,2400,2228640,0,0,0,16400,163240,350720,2028080,3234000,1157000,0,0,78720,570160,157760,414080,3226880,3663160,3243760,6992600,60000,4012960,6926040,0,199800,579600,165360,92760,22640,162960,3474080,1045720,521040,0,0,0,0,2120,2113720,0,203440,691800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIAV,94840,0,0,0,0,40280,0,0,0,0,0,0,0,164160,0,36800,0,6360,5616520,903960,0,31480,81520,177520,0,321200,4480560,0,966400,156360,137600,36800,0,9520,447120,30880,27480,0,43840,240,297120,733480,206160,1801760,31200,5480,136680,0,2400,0,2802600,364400,0,43640,129680,1184080,0,0,0,639040,77720,2860800,259480,1888640,2856800,0,0,167200,102960,2127080,3226880,0,5972120,4610680,3661360,2615920,101520,1829000,0,122560,1240,0,0,233200,970520,1666080,23680,47920,1022960,0,0,105800,9080,4350560,292240,69760,391840,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
SIBD,0,98440,120000,631840,1121200,322960,0,0,40,67680,165600,4240,447320,0,0,0,707840,234080,1495280,0,75560,1840,237120,215360,0,2585680,2186960,171480,712600,0,1039160,241560,191880,194320,1103360,0,995160,98760,801720,627640,908480,926560,729880,49840,320,0,157200,0,0,0,573840,1224800,1120,217160,360280,1892880,0,0,0,195920,114720,2237160,145560,3364360,790880,0,0,213160,0,2732680,3663160,5972120,103920,5729240,5641680,1654120,1686360,778560,0,134880,699280,343840,119200,199480,313440,880,8800,62440,271400,0,0,0,11440,2854840,265840,172360,1476240,0,0,0,0,0,0,0,115480,0,0,0,114720,0,0,0,3440
SIBV,268080,0,0,1243280,331000,2076560,0,0,31840,0,0,0,0,1379080,0,0,0,467760,5290960,53400,40720,260000,448480,140480,3113000,296080,655200,896440,60160,739360,1179200,46080,49640,473480,1153440,95040,645960,0,0,103840,960,2416960,2115160,262440,60960,85000,643320,0,483600,32800,698240,1286400,3120,691000,107800,1327280,0,0,0,387120,120080,272000,3207360,4550840,2087040,0,0,218880,227720,2430160,3243760,4610680,5729240,2587880,7830960,625360,65040,55760,3320,226040,450440,114880,0,59760,142480,129840,440440,221480,109800,0,0,892680,0,6574440,2179200,123840,2561080,0,0,0,0,6800,0,166720,0,0,0,132760,0,0,0,4360,0
