,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,AVJ,BDU,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVK,AVL,CEPD,CEPV,DVC,HSN,PVW,PVQ,RIC,RID,RIS,RMG,BWM01D,BWM01V,BWM02D,BWM02V,BWM03D,BWM03V,BWM04D,BWM04V,BWM05D,BWM05V,BWM06D,BWM06V,BWM07D,BWM07V,BWM08D,BWM08V
ASK,0,5010840,0,0,0,0,1418000,1212200,181440,1919480,4502000,583200,0,0,659400,0,1128320,0,0,0,32400,0,0,19680,41000,0,0,0,166280,0,28760,0,57840,0,318640,6463640,1246240,676680,0,0,0,0,39600,0,749360,191880,0,0,0,0,0,0,35400,0,0,108000,4092560,0,57280,0,0,0,0,0,0,0,0,0,0,0,1000,0,4240,0,0,0,0,0,21400,0,0,2363640,6302800,218760,0,0,0,0,1080,0,0,0,6410200,0,0,0,253640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUA,4977840,0,6771640,0,0,176960,153760,0,0,0,0,0,415600,0,70080,203520,201120,1933680,1078640,0,596920,2918000,0,0,100520,83800,0,0,3880,0,0,8475200,85960,96240,6000,0,960760,8346320,5909360,1049600,4644080,71840,495120,1757640,0,0,0,0,0,6120,3047920,11504440,0,688960,0,552160,0,509680,445120,0,0,490640,0,0,0,0,0,489640,97280,0,0,0,447320,0,0,0,0,309040,160,0,0,0,0,0,0,197200,0,329160,319280,265040,0,0,0,0,714680,243680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,1748600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208360,648400,0,0,0,0,0,0,306480,0,0,0,0,0,0,0,0,0,0,0,254000,0,0,2729280,2014480,8000,4132000,886880,4741680,202160,1514800,0,0,0,224200,0,0,683240,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164160,0,1379080,0,180480,0,0,0,0,0,0,0,5520,371520,0,0,0,2600,0,0,6025520,0,192040,216760,1550400,145440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWA,4349520,3082560,2040920,0,0,0,13470040,451040,3289800,1389040,928320,659400,70080,0,141640,8264120,1234320,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,3160,0,67280,1309480,912480,0,3551600,3596800,111440,498760,28800,0,1166360,126000,0,71840,0,0,0,274960,2168480,0,0,71200,1258760,266160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553920,0,0,0,0,0,126080,195760,1427240,397960,0,0,0,0,0,0,0,1452120,0,0,0,52320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWB,3343280,1429960,917040,0,0,0,2307280,0,1168960,1135680,564840,0,203520,0,8264120,77120,739040,0,389000,0,0,0,0,0,0,0,0,0,0,0,320,37400,0,0,581000,1310360,759520,0,1129440,3328000,198960,1320,13360,0,827600,0,0,94640,0,0,9880,1261440,1388400,0,4000,137120,251040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36800,0,0,158880,2319200,0,0,0,0,0,2119160,0,1528040,721720,0,0,0,0,0,0,0,179200,0,0,0,225760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWC,452200,1900160,2562400,0,0,0,9861560,4401160,0,12469480,0,1128320,201120,0,1234320,739040,9660160,3461280,80,0,113160,264720,0,200360,422440,0,0,0,115520,0,42720,15920,254720,0,53920,5857120,9871600,2581200,7066560,3372440,2520,0,0,0,255160,0,0,0,0,0,236480,424200,0,0,139320,46640,0,1220000,221320,40920,0,91160,0,0,0,0,0,0,0,0,0,0,707840,0,34480,0,0,0,37160,0,0,532800,0,0,0,0,0,8880,423400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAG,12080,0,2349160,0,0,3706320,1083480,0,0,336600,0,0,1933680,0,0,0,3461280,3474920,710320,0,333880,35640,37440,0,472400,139480,0,0,269920,0,0,84280,37160,69880,0,0,267280,3199240,3595720,511600,4417960,505440,3636480,5383920,0,0,0,0,0,0,6623600,9878200,0,3169560,1672800,94000,0,2101520,235680,0,0,531560,0,0,363440,0,0,152360,3210560,0,1200,6360,234080,467760,5040,0,0,598400,11680,0,0,0,0,0,0,0,0,80,956320,1123520,0,0,0,0,2524320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,424360,0,0,0,0,4553600,0,0,0,0,0,0,1078640,208360,0,389000,80,710320,0,497280,80560,463600,220760,0,0,91560,44760,385280,440240,1149760,8080,120720,223800,482000,2453240,0,3026240,0,1567320,4919120,1504200,2661080,2240200,4968240,48240,129920,1706280,4721960,352920,0,2240,502080,44480,37600,931440,826720,0,3449040,0,0,122280,107560,0,0,291720,0,0,0,0,1040,3178520,5616520,1495280,5290960,1463360,456400,0,1557120,0,70120,532920,0,0,0,2673520,0,0,0,0,43840,0,388400,0,968960,2309920,0,170880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLP,0,0,0,0,0,320240,0,0,0,0,0,0,0,648400,0,0,0,0,497280,1188400,0,0,0,0,0,0,221600,0,0,2140920,0,0,0,0,828720,0,1215360,0,44200,0,4966000,1819280,851680,1839600,35120,0,3143800,157440,88560,131840,82880,0,0,37040,595360,655640,0,0,0,0,0,1176360,0,0,0,0,0,0,38440,0,0,903960,0,53400,1027680,230840,120320,9000,0,0,2891880,8400,0,0,249920,73200,0,0,0,79920,0,0,0,138720,0,924080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2D,0,24080,146720,0,0,0,37520,0,160,16680,62400,32400,596920,0,0,0,113160,333880,80560,0,0,964160,0,0,3908840,0,0,800,913200,0,0,1372320,4642560,0,268920,0,57920,147200,0,273800,479840,789840,1372800,374640,578840,35280,241440,720,149400,89360,0,60960,32120,977400,3047800,4000,4141840,0,5809120,0,0,629280,154480,0,66000,917120,2694600,525880,169600,356320,216440,0,75560,40720,296520,0,228080,234080,5373480,0,0,3040,20480,64960,324920,83760,200200,3667640,0,993920,0,484440,0,609680,159280,269360,0,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
