Unnamed: 1,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
ADFL,0,286800,0,0,399480,0,0,0,0,0,42120,651240,37680,0,0,460080,120,9960,0,0,0,0,0,510000,49320,0,700920,0,989880,146520,31560,0,0,0,109080,0,0,0,0,0,0,0,0,0,0,0,0,72600,0,0,0,0,0,0,0,0,0,0,0,923160,0,0,0,47160,0,224520,0,135240,0,125400,15240,0,0,575880,0,1928040,111240,0,0,42360,0,0,78480,0,0,0,0,0,0,0,22800,25800,0,0,550680,0,138480,0,84720,0,25200,0,0,123720,24840,0,0,1168800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,35760,2040,194160,0,726720,0,0,0,0,0,0,0,0,0,0,0,25920,0,0,0,0,0,399480,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFR,286800,0,0,0,0,230280,0,0,0,0,34560,0,448320,0,0,0,149400,0,26280,0,0,0,0,87480,1146840,60240,0,186120,63240,1174080,0,11280,3600,0,84360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107360,0,0,0,5880,0,110640,0,162840,59880,255120,0,0,0,236280,81480,1997040,0,0,0,104640,0,0,4320,0,0,0,0,0,0,0,25440,0,0,0,593280,0,274440,0,195720,0,94080,0,0,26280,0,0,1028760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172320,0,34560,0,290160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473880,0,0,0,0,0,0,0,0,0,21240,0,0,0,0,0,41880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLL,0,0,0,84240,0,0,0,0,0,0,0,48120,0,0,0,324120,0,114840,0,89880,23040,1536600,264240,0,0,0,441600,0,338880,0,872040,1200,0,0,0,0,0,21840,0,112560,0,0,0,114480,0,32040,0,69120,0,0,0,0,0,3360,0,0,0,600,0,6840,0,28320,0,17760,0,205440,0,630840,0,301680,0,48120,0,0,0,0,0,236280,0,0,0,105960,125160,1560,0,0,0,0,0,58440,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32520,0,32760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,401040,0,0,0,0,0,0,0,0,0,600,0,0,0,389400,0,0,0,170880,159120,360,0,0,0,0,0,0,0,0,0,0,0,770640,0,0,0,0,0,15600,0,0,0,0,0,9120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,0,84240,0,0,0,0,93360,0,840,13440,0,168600,0,0,0,891240,0,318840,0,69720,0,1380480,0,0,0,0,958320,0,324960,235320,658080,0,0,0,0,0,0,18120,0,42840,0,0,0,43680,0,15240,0,79320,0,0,0,0,0,4680,0,0,0,6960,0,60840,0,19080,0,59400,0,309120,0,637800,0,286680,0,0,0,5400,0,6360,0,92280,0,0,0,90120,0,0,0,0,0,17280,132720,0,20040,0,0,0,0,0,0,0,38520,0,0,0,0,0,0,0,0,0,36360,0,12840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,36960,0,0,0,0,0,0,643800,0,0,0,0,0,0,0,0,0,0,0,0,454920,0,0,168960,10440,13320,121200,0,0,0,0,0,0,64800,0,0,0,0,0,677640,0,0,0,0,0,61680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDL,399480,0,0,0,0,31800,0,0,0,0,0,197880,719880,0,0,0,0,149520,0,0,0,16440,0,2107560,140280,0,26040,0,0,0,722040,355920,0,820440,0,0,0,0,0,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158160,0,3240,0,0,0,0,0,0,0,558120,0,748560,1469880,2804640,14280,392880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73560,0,0,0,14520,0,0,1920,0,0,0,0,10920,0,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202200,0,0,0,0,0,0,0,0,34440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0,0,0,0,0,0,0,0,0,0,0,20520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDR,0,230280,0,0,31800,0,0,0,0,0,0,541320,925200,0,0,0,0,0,229560,0,0,0,0,0,2025600,236400,0,105360,0,48960,45600,186600,477120,0,0,0,0,0,0,0,0,0,0,0,0,0,8520,0,0,0,0,0,0,0,0,0,0,0,0,0,6840,0,0,0,0,0,0,0,1200,0,489480,1949880,66000,0,2873160,0,400080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,27240,0,0,0,0,0,0,49440,0,0,57240,0,6480,0,600,0,0,0,0,0,0,0,0,0,0,156720,0,0,0,0,0,0,0,0,0,0,0,0,160200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALML,0,0,0,0,0,0,0,0,78360,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301800,1800,0,0,0,152040,0,232440,0,0,0,14760,0,433800,0,0,0,0,0,4440,0,0,0,0,0,0,0,33120,0,187200,202800,96960,0,686400,0,0,0,429600,0,0,450120,0,0,0,0,0,532320,0,0,0,0,0,0,33600,0,0,0,0,139080,0,0,0,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,239160,0,0,0,167520,0,40920,0,196440,0,0,0,6120,8640,0,0,0,0,0,86400,0,295440,0,0,0,0,186000,0,148920,99720,0,0,0,166920,0,357840,0,0,0,0,0,0,0,0,0,0,0,85920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,93360,0,0,0,0,0,1560,38760,0,0,0,0,0,12240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,24120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97320,0,0,0,0,634560,0,290280,0,108600,0,5160,0,7920,0,592440,0,0,0,0,0,98880,0,0,0,0,0,0,720,255120,218640,330720,0,98520,0,759240,0,624720,77280,0,54600,445560,0,0,0,0,0,0,408600,0,0,0,0,0,0,7080,0,0,3240,0,34680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276480,0,0,8400,272640,0,38640,0,319200,0,0,21600,65160,0,0,0,0,0,0,0,0,30000,0,311880,48000,0,0,23520,199200,234840,17280,0,0,0,0,101880,0,434880,0,0,0,0,0,0,27360,0,0,0,0,16680,0,0,0,0,0,0,0,0,0,0,0,0,0,29640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNL,0,0,0,0,0,0,78360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199320,89040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38160,0,0,0,0,0,0,0,417240,0,0,0,51120,187320,0,0,0,0,0,158760,0,0,0,0,0,0,0,0,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNR,0,0,0,840,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31560,0,0,229560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179520,0,0,0,131160,0,0,0,405240,0,0,0,343200,0,0,138600,0,0,0,0,0,195360,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
