Unnamed: 1,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
ADFL,0,332513,0,0,801546,0,0,0,0,0,0,190924,0,0,0,1053634,0,0,0,0,0,0,0,2370170,159498,0,2604349,0,1979197,33454,0,0,0,48322,490321,0,0,0,0,0,0,0,0,0,0,0,0,69949,0,0,0,0,0,0,0,0,0,0,0,1750425,0,0,0,0,0,112527,0,426792,0,43929,195993,0,40212,540334,0,3171717,0,0,0,237557,0,0,0,0,2365,0,0,0,0,0,23654,0,0,0,2171473,0,155443,0,381849,0,332513,0,114892,19937,0,0,0,1287137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605890,0,0,0,424765,0,922183,0,1468938,0,0,0,0,0,0,0,0,0,0,0,244316,0,0,0,0,0,1632491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFR,332513,0,0,133816,0,892446,0,0,0,0,0,725514,295004,0,0,3041,1093509,0,0,0,0,0,0,0,2786488,95293,0,1942702,0,2895298,3717,122327,0,0,166594,0,0,0,0,0,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0,1685882,0,0,0,5744,0,94279,0,234178,227758,181125,68597,249047,0,710307,53053,2990254,0,0,0,324741,0,0,0,52715,0,0,0,0,0,0,19261,0,0,0,1745356,0,347719,72990,217620,0,554188,82790,0,0,0,0,1213808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533913,0,0,0,350423,0,891770,0,1148252,0,0,0,0,0,0,0,0,0,0,0,81100,0,0,0,1128314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLL,0,0,0,537968,0,0,11489,0,0,0,0,1905530,0,9799,0,1032345,0,141250,25344,29399,0,1756508,1099591,0,0,0,2023464,0,1216512,0,1417574,1710213,0,0,0,0,0,123002,0,129761,0,0,0,237895,0,125706,0,20951,0,0,0,0,0,12840,0,0,0,2027,0,4055,0,9799,0,67584,0,628193,0,791746,40212,1441566,0,0,0,44605,0,2703,0,1294571,88872,132126,6420,93603,928604,26695,0,0,0,0,579532,0,365967,0,0,0,0,0,0,0,109486,0,19937,0,0,0,0,0,0,0,64880,0,27033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4392,0,0,0,0,0,0,0,0,1220229,0,0,0,0,0,27709,0,0,0,0,0,3041,0,1292206,255129,12840,86845,337582,141588,307169,0,0,0,0,0,0,0,0,0,0,0,1249628,0,0,0,0,0,212551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,133816,537968,0,0,0,0,0,0,0,0,0,2180259,0,0,0,1557135,0,548106,0,2703,0,2258319,0,0,0,0,1952501,0,1336473,210186,1757859,0,0,0,0,0,0,0,0,91238,0,0,0,182814,0,45957,0,87183,0,0,0,0,0,0,0,0,0,18585,0,16558,0,58798,0,38522,0,715038,0,668405,0,1273282,0,0,0,56770,0,5744,0,192276,0,94955,677191,108810,0,0,0,0,0,4730,72314,0,437268,0,0,0,0,0,0,0,216944,0,57446,0,0,0,0,0,0,0,117258,0,15544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,0,0,0,0,0,0,1549701,0,0,0,0,0,0,0,0,0,0,0,0,692398,418007,10813,505866,205793,256481,247357,0,0,0,0,0,0,0,0,0,0,0,0,1075599,0,0,0,0,0,177745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDL,801546,0,0,0,0,288583,0,0,0,0,0,29061,1299302,0,0,0,0,492687,0,0,0,0,0,2449920,76707,0,967464,0,482887,0,524113,721121,0,1381079,0,0,0,10137,0,0,0,0,0,0,0,9799,0,0,0,0,0,0,0,0,0,0,0,0,0,274053,0,0,0,0,0,0,0,77045,0,960030,87183,605214,3900610,6339041,12503,1477386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21626,0,10813,0,0,0,0,0,0,0,0,0,0,0,21626,0,0,0,0,0,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59811,0,0,0,0,0,13516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21964,0,0,0,0,0,0,0,0,0,49336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDR,0,892446,0,0,288583,0,0,0,0,0,0,1791989,11827,0,4730,0,0,0,146319,0,0,0,0,0,1626408,141250,0,871495,0,361912,133478,427130,1826795,0,0,0,0,0,0,0,98334,0,0,0,131450,0,49336,0,0,0,0,0,0,109486,4055,0,0,0,0,0,245667,0,1689,0,0,0,0,0,68597,0,1414195,3002081,2604011,89210,6752655,0,1800099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36157,0,0,0,0,0,0,0,0,0,0,0,6082,0,45281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALML,0,0,11489,0,0,0,0,0,0,0,0,0,0,0,0,15544,0,0,0,14530,0,0,0,0,0,870144,0,0,0,0,0,0,0,0,26357,0,0,0,0,0,0,0,0,0,0,0,0,124354,0,0,0,0,369684,0,0,1030993,0,228433,0,215255,0,0,0,100700,0,1014435,0,0,0,0,0,249384,0,0,0,0,0,12165,0,630896,0,1001256,1607147,31764,0,1815306,0,0,1056000,0,0,0,1238476,0,0,0,0,0,494714,0,0,0,0,0,0,0,0,0,0,0,76369,0,0,0,0,0,0,134154,9461,0,0,0,0,0,0,0,0,0,0,0,0,858316,0,0,0,828241,0,0,0,932321,0,0,0,2027,0,0,0,0,0,0,569395,0,590346,0,0,34467,126720,308858,0,277094,569733,0,0,0,628531,0,1378713,0,0,0,0,0,95293,0,0,0,702873,0,541685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27371,0,0,0,51701,0,0,0,0,1621002,0,0,0,36833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760320,0,0,0,0,1985280,0,24330,0,162201,0,0,0,28385,0,1472993,0,0,0,0,0,124354,0,0,0,0,0,0,0,411586,1033697,410910,0,137871,7434,2338068,0,506880,793436,0,0,1046876,0,0,0,0,0,0,574801,0,0,0,0,0,0,153753,0,0,0,0,157808,0,0,0,0,126044,0,0,0,0,0,0,0,0,0,0,0,0,41226,425103,0,0,0,775864,0,991795,0,679219,0,0,0,0,0,0,0,0,0,0,0,0,226068,0,894474,16220,0,92928,0,159498,13178,301424,0,0,0,0,532224,0,724500,0,0,0,0,0,0,0,94955,0,0,0,636641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188221,0,0,0,0,0,0,0,53729,306155,1048227,11151,0,0,18585,0,0,0,0,0,0,0,6082,0,0,0,0,0,13178,0,0,0,0,0,0,187545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33116,0,0,0,61163,0,0,0,0,0,0,0,0,0,345016,151726,9799,199372,0,380835,0,0,0,0,0,0,108810,0,167608,580546,0,766740,0,0,0,396380,18923,0,0,1219891,46970,0,36495,1368576,263915,247357,0,0,0,0,719769,0,0,0,4055,0,3379,0,0,0,0,0,113541,0,0,0,0,0,0,0,0,0,2027,0,7096,0,0,0,1579438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82114,0,0,0,0,0,0,152064,1013,37171,1439201,0,0,0,57108,0,0,0,0,0,0,0,0,0,0,0,0,0,119623,0,0,0,0,88197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69611,0,0,0,0,0,142264,0,98672,0,0,0,0,0,0,0,4055,0,0,256819,0,318658,14530,459233,0,40212,15882,0,0,0,0,0,22302,744775,491673,941445,0,0,0,147671,0,0,0,793774,0,0,89548,1251317,302438,794112,282163,0,0,0,0,0,746803,0,7772,11489,0,0,0,0,0,0,163891,0,0,0,0,0,0,0,0,0,0,0,0,81100,0,0,0,0,873861,0,0,0,0,0,0,0,0,0,0,0,0,0,20275,0,0,0,0,0,0,0,5068,0,0,0,0,0,0,0,0,0,0
