Unnamed: 1,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
AQR,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701100,1687100,6658700,800,66800,0,0,0,0,97800,0,0,0,0,0,0,0,0,0,0,251400,0,0,0,0,0,0,610000,0,0,0,0,1600,67200,380000,0,0,117600,198100,0,0,613300,175800,0,0,2591800,2177600,1599600,1760400,449400,4100,0,0,0,0,933800,2045800,3034900,3680400,4146800,47600,632900,312000,84100,0,0,0,0,332600,137900,0,0,0,0,36000,2155600,0,0,0,0,0,62200,0,106800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,0,250300,553800,354100,1699000,859400,0,0,0,0,0,0,0,0,0,0,0,0,558400,994200,0,66800,0,0,0,878200,520200,7700,0,130600,209400,0,0,0,0,0,0,0,0,0,0,0,0,163400,2165100,774200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,834600,742400,1566600,0,146000,3573900,0,0,0,0,0,0,455400,933400,0,504600,0,466100,326200,496500,0,969200,0,0,25200,0,6384900,21600,854800,40700,3277500,789900,741000,22200,0,0,0,0,42300,0,121800,0,0,0,36400,0,46600,0,0,0,0,0,0,0,125200,0,0,0,12900,0,23300,0,46200,0,0,24600,0,2074200,405200,5035600,554000,2755600,201400,3100600,1847200,604400,633300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239500,0,0,112500,0,0,0,107200,0,0,288000,0,592200,0,24800,0,124000,0,0,0,121400,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353000,9700,32100,0,1600,15200,0,0,0,0,0,0,0,40800,0,0,0,0,0,0,0,211900,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,146600,1118200,0,1346000,5591800,701200,0,0,0,0,0,455400,0,193700,1112600,0,475000,1012200,397000,0,730000,0,1115700,22300,0,0,618800,6772900,422000,1402100,850900,5816800,0,341400,0,0,0,2300,0,5600,0,0,0,0,0,54200,0,285800,0,0,0,0,0,327400,0,0,0,0,0,0,0,122800,81200,0,0,0,27600,430100,1260400,605700,7021000,477100,2263800,4324800,3694800,1006500,1168200,82800,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,522600,0,140700,8000,0,82800,0,0,220100,0,0,0,175100,600600,18800,10100,99000,0,0,0,117200,0,0,0,0,0,0,0,0,0,0,0,48800,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,118800,0,0,0,0,0,0,0,0,291200,254800,0,0,0,0,0,20700,0,0,0,0,0,302600,0,0,0,0,0,0,0,630800,0,0,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,121000,0,0,0,0,0,0,0,0,0,0,933400,193700,0,0,0,0,8860800,0,2352400,0,601800,0,0,0,0,56800,0,0,0,2598000,1343200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802000,0,241200,0,0,63600,12200,0,295500,0,0,0,158800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156200,0,184900,0,0,0,0,0,0,0,0,0,0,0,37700,0,0,0,0,0,0,0,0,361600,0,34600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,0,0,0,0,0,0,0,0,0,0,0,1112600,0,0,0,0,0,5644900,0,2185500,0,699100,0,0,0,0,287600,0,0,1441600,2171200,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310800,0,174200,247400,0,0,76000,0,262200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529000,0,0,0,0,0,0,0,0,0,0,0,0,0,269500,0,0,0,0,0,0,0,0,154400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1153600,0,548900,0,0,0,0,0,0,0,0,504600,0,0,0,0,550400,0,0,33600,0,134700,0,0,0,0,2541400,116000,843000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663400,0,0,0,0,0,2321900,0,1809400,0,1125400,0,0,0,97400,0,791000,54200,2765100,0,1228000,0,625400,1497000,94400,0,1784700,0,0,0,0,0,0,0,0,0,0,0,0,4175100,0,0,0,870000,88000,0,2367600,21500,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586100,0,0,0,0,0,0,0,0,0,0,0,542800,0,0,470500,191400,93400,213600,948200,1301400,0,0,0,0,0,0,0,0,0,0,105600,40900,54400,0,251300,0,601600,426000,721800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,1172100,0,571000,0,0,0,0,0,0,0,0,475000,0,0,550400,0,0,0,0,0,5600,231200,0,0,0,0,2419600,34000,806900,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632600,0,77600,0,0,0,2448800,0,1772200,0,1234700,0,0,0,40600,4800,498000,0,2532600,0,1502400,1787000,661600,0,30200,84000,1135300,0,0,0,0,0,0,0,0,227600,0,0,0,3806600,0,0,85500,0,96800,0,2337400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100800,0,0,0,0,0,0,815800,13600,0,400,0,0,0,0,0,0,0,0,992600,0,1286300,0,119500,1000,1642400,516800,0,0,0,0,0,0,0,0,0,0,0,5800,0,183200,0,552000,0,460400,0,480900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,63300,0,1376000,0,700,0,0,0,0,0,0,466100,1012200,8860800,0,0,0,0,138000,1755600,0,773000,0,0,0,0,947200,0,312200,0,3546400,3221400,0,0,0,0,0,9400,0,63400,0,0,0,12000,0,111100,0,132600,0,0,0,0,0,104800,5200,0,0,0,0,21400,0,64000,0,0,0,0,0,917000,0,528200,0,199600,135100,0,0,0,0,503600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172800,0,293800,0,0,0,0,0,70200,9900,0,0,0,0,77300,0,44300,0,0,0,18800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,508500,0,0,0,0,0,0,0,0,0,0,0,318200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,30400,0,1744900,0,250800,0,0,0,0,0,326200,397000,0,5644900,0,0,138000,0,0,1410100,0,269800,0,0,0,0,510600,0,553200,2454200,5085400,15500,0,0,0,0,0,9900,0,148800,0,0,0,103200,0,96300,0,0,0,0,0,0,26000,41600,0,0,0,0,0,0,0,60200,0,0,0,0,76400,893800,0,51600,606600,108300,0,52200,0,152200,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188400,0,142800,0,0,0,0,0,0,91000,0,0,0,0,64800,0,207100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32600,0,0,0,0,0,64200,772200,0,0,0,0,0,153000,0,0,0,0,0,0,401500,0,0,0,0,0,0,0,0,0,77600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,27000,0,161600,0,0,0,0,0,0,0,0,496500,0,2352400,0,33600,0,1755600,0,0,695300,3147600,0,0,0,0,624400,0,252000,0,0,0,0,0,0,0,0,0,0,137200,0,0,0,203800,0,93500,0,0,0,0,0,0,0,12800,0,0,0,81000,0,100600,0,42700,0,0,0,0,0,333000,0,0,0,18200,0,0,0,0,0,1400,0,0,0,145800,0,0,0,14900,0,0,0,0,0,0,0,0,0,0,65300,0,0,0,0,0,0,0,0,175300,0,0,48600,0,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121000,0,0,0,0,495600,0,0,0,0,0,0,0,0,0,22400,0,2035200,36500,1316200,822300,0,408900,0,86500,0,0,0,0,0,0,136200,0,0,0,0,0,0,3828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
