,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
AQR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176960,0,0,0,0,0,0,0,0,2241560,1464760,4553600,320240,0,0,0,17040,0,0,0,0,0,0,0,0,0,0,0,0,0,68640,0,0,0,0,0,838160,281440,0,0,0,400,171120,469680,0,0,312440,18880,0,0,360320,362320,0,0,3454440,1971240,2257760,1598960,359720,635640,0,0,20160,320,0,0,2858000,1851760,2443240,4647240,0,639040,160240,224640,0,3600,0,76400,211360,475960,0,0,0,0,0,1943960,0,0,0,0,0,0,0,39120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40280,197360,125600,757600,1318960,0,0,0,0,0,0,80,12080,0,0,0,0,207680,0,0,0,0,0,0,586400,1395760,328320,310960,8880,0,0,0,0,947920,0,0,0,0,0,0,0,1188240,579280,247760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,51840,244160,1474720,0,72160,1753920,0,0,0,0,0,0,644240,1645360,0,243840,0,429200,0,624240,0,682200,0,0,137280,0,6277160,122720,747000,77560,1960560,1768560,370640,0,0,0,0,0,37520,0,153080,0,0,0,255120,0,0,0,0,0,0,0,0,0,233720,0,0,0,0,0,39840,0,29760,0,0,5960,0,737280,198880,4860760,553920,1563440,229200,2145840,1555200,182800,964960,0,7280,0,0,0,0,0,0,9160,73520,0,0,0,0,0,0,0,0,0,268640,0,0,113600,0,0,0,0,0,0,308080,0,332520,5520,840,0,6280,0,0,0,94160,0,0,0,0,0,0,0,0,0,0,0,58720,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,8080,0,0,0,0,0,0,534920,0,160,0,175520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535760,0,0,0,83360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,581040,779960,0,1697360,3268800,473760,0,0,0,0,0,644240,0,11080,990200,0,429360,475400,405040,0,595800,0,735800,1600,14880,0,127200,6942960,101120,1381600,433440,5699000,0,712840,0,0,0,0,0,210440,4040,0,0,249640,60520,0,0,0,0,0,0,0,0,401120,0,0,0,0,105400,2200,0,0,14160,0,0,0,85240,250320,1198520,231760,4596560,4640,1778840,2469680,3244520,532240,468160,37600,0,0,0,0,0,0,0,0,107520,0,0,0,0,0,0,0,0,475120,0,0,0,1520,214160,0,0,0,0,15520,0,48320,386800,0,0,286120,0,0,0,246840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,14400,640840,25920,109160,11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290160,0,0,425200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,309040,0,0,0,0,0,0,0,0,0,0,1645360,11080,0,0,4160,0,4948480,0,2056240,0,364280,0,0,0,0,159760,0,0,0,1518600,580720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158880,0,0,0,0,0,0,0,0,0,0,0,0,977680,0,342760,0,175520,0,20160,0,482200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4269160,0,108360,0,0,0,0,0,0,0,0,0,26240,0,0,0,0,0,0,0,28320,0,160240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,0,0,0,0,0,0,0,0,0,0,0,990200,0,0,0,15200,0,6134720,0,1514000,0,847920,0,0,0,0,291280,0,0,331280,1970560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342080,0,3280,0,80800,0,26440,0,491120,0,0,0,66640,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920,0,0,0,0,0,0,0,0,0,0,0,4440360,361840,0,0,0,0,0,0,0,0,0,0,103320,0,0,0,0,0,0,0,0,0,12480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,1600600,0,810400,0,0,0,0,0,0,0,0,243840,0,4160,0,0,442400,0,0,0,0,74240,0,0,0,0,1622240,266440,816080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231600,0,0,0,0,0,3049880,0,1567840,0,1011720,0,0,0,5880,0,969200,0,813200,0,542560,0,185440,1109600,18320,0,414880,1028280,1176400,49760,0,0,0,0,0,0,213200,0,0,0,3611080,45120,0,0,78400,272160,0,2946520,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240520,0,0,0,0,0,0,0,0,0,0,31840,0,80,0,749840,0,0,0,0,0,0,0,0,0,0,0,1220240,0,0,213360,218320,1280,323200,0,0,0,0,0,0,0,0,0,0,0,91360,0,70080,0,125600,0,402160,296320,795680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,643480,0,661520,0,0,0,320,0,0,0,0,429360,0,15200,442400,0,0,0,0,0,0,107200,0,0,0,0,1401120,20000,332880,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21680,0,472440,0,7600,0,0,0,2806800,0,2528560,15600,868480,0,0,0,134400,0,756000,0,1190160,0,845080,1312920,387040,0,63440,865600,361200,164400,1452880,18400,0,0,316560,0,0,0,237200,0,0,0,4458360,0,0,0,0,165680,67200,1985560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,814000,0,0,0,0,0,0,0,0,0,0,0,1330760,0,0,300200,742080,107640,0,0,0,0,0,0,0,0,0,0,419200,64480,0,0,66720,49880,252040,0,62960,0,495640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,0,0,1212800,0,874400,0,0,0,0,0,0,429200,475400,4948480,0,0,0,0,107760,1188080,0,659080,0,0,0,0,674240,0,485600,0,4468000,2000920,0,226920,0,0,0,5520,0,105280,0,0,0,301400,0,24800,0,0,0,0,0,0,0,2080,119280,0,0,14040,0,2240,0,6200,0,0,0,0,0,1366520,0,364560,0,9280,177280,385120,0,0,0,0,0,0,0,0,0,0,0,243680,0,0,0,0,0,0,0,0,0,5600,0,85040,0,0,0,0,0,0,151520,0,0,0,0,9440,0,197600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,0,577840,0,0,0,0,0,0,0,0,0,531760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,68560,0,1213800,0,161200,0,0,0,0,0,0,405040,0,6134720,0,0,107760,0,0,1065920,0,1260400,0,0,0,0,714800,0,650080,1908320,4092240,109680,0,0,0,0,0,11160,0,108200,0,0,0,61480,0,91200,0,0,0,0,0,0,98840,10960,0,0,0,43240,0,0,0,33360,0,0,0,0,0,1036000,0,296080,378760,461920,0,29360,0,2720,0,0,0,0,0,0,0,0,0,336000,0,0,0,0,0,0,0,0,0,67680,0,306600,0,0,0,0,0,0,92320,0,0,0,0,53760,0,0,0,0,0,134080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66320,0,0,0,0,0,0,0,0,0,0,0,14880,0,0,0,0,0,0,354560,0,0,0,0,0,0,0,0,0,0,368480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,38960,0,147360,0,0,0,69520,0,0,0,0,624240,0,2056240,0,0,0,1188080,0,0,489600,2412320,0,0,0,0,573360,0,268440,0,0,0,0,0,0,0,0,2720,0,126440,0,0,0,104280,0,60160,0,0,0,0,0,0,0,0,161880,0,0,91160,0,207280,0,81040,0,0,0,0,0,887720,0,0,0,16320,0,0,0,0,0,0,0,0,0,133920,0,54640,0,108480,0,0,0,0,0,0,0,0,0,0,0,94160,0,0,0,0,0,0,27280,0,140480,13360,0,89440,0,38560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101440,0,0,0,75440,0,0,0,0,0,0,0,0,0,0,22240,0,0,0,280,0,1992240,151120,2346160,218600,834720,149280,0,0,0,0,0,0,377280,0,0,0,0,0,0,0,4070880,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJR,0,2480,0,0,0,0,0,0,0,0,0,0,595800,0,1514000,0,0,0,1065920,489600,0,182440,1907240,0,0,0,0,354960,0,296400,0,0,0,0,0,0,0,0,59680,0,100880,0,0,0,28800,0,44720,0,0,0,0,0,0,97840,0,0,0,0,60720,0,135720,0,47520,0,0,0,0,20240,775760,0,0,0,0,0,0,0,0,0,0,0,0,0,167200,0,245120,0,261600,0,84000,0,0,0,0,0,0,0,0,0,3160,0,188800,0,0,0,0,0,0,447480,0,0,10720,0,100240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76960,0,0,0,90160,0,0,0,0,0,0,0,15920,0,0,0,0,71160,0,0,0,0,0,1901200,2023040,1112200,117320,0,231360,0,0,0,0,46560,0,407520,0,0,0,0,0,0,0,4272320,0,0,0,0,0,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,2674160,228240,0,0,0,0,0,0,0,682200,0,364280,0,74240,0,659080,0,2412320,182440,0,583200,0,0,0,229200,0,0,0,661200,0,0,0,0,0,0,28880,0,0,0,0,0,0,0,16240,0,0,0,0,0,0,0,0,106280,0,0,0,0,0,0,4640,0,0,0,186720,0,3438160,20080,752480,0,377880,0,0,0,0,0,0,0,0,0,31200,0,0,0,328080,0,14560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001280,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,0,0,0,0,0,1006880,0,3562960,2640,154760,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,3999360,0,0,0,0,0,57280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASKR,0,0,0,2108440,0,0,0,0,0,0,0,0,735800,0,847920,0,107200,0,1260400,0,1907240,583200,0,0,0,0,0,430200,0,0,0,467120,0,0,0,0,0,0,3520,0,0,0,0,0,19680,0,24760,0,0,0,0,0,0,60000,0,0,0,0,28760,0,0,0,53200,0,0,0,131920,116360,2889040,0,493760,0,298800,0,0,0,0,0,0,0,0,0,8400,0,0,19200,402080,0,177320,0,0,0,0,0,0,0,0,0,0,0,35400,0,0,0,0,108000,0,2091280,0,0,17280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3560,680,0,0,0,0,0,0,0,0,0,0,0,18480,0,0,0,0,0,1356760,2739840,61360,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,2410840,0,0,0,0,0,196360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUAL,2894880,263920,0,0,3298800,133960,0,0,0,0,176960,0,1600,0,0,0,0,0,0,0,0,0,0,0,415600,0,0,43040,37520,0,43280,0,854320,182840,683280,0,0,295160,0,1586480,0,0,0,0,0,96200,0,41960,0,0,0,0,0,3880,0,0,0,0,0,4069600,0,67040,0,45200,0,0,6000,0,0,360080,194400,720480,3550560,2877480,0,594880,0,2135800,55080,71840,0,43360,281520,757120,0,0,0,0,0,0,0,0,0,0,0,1606160,0,5891920,0,0,0,0,0,0,362960,0,0,0,106400,238840,0,0,0,0,0,120800,0,0,0,0,0,0,0,0,0,0,489640,0,0,0,0,0,0,0,0,191680,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329040,0,880,0,0,0,0,0,0,0,0,0,0,0,111240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
