,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
AUAR,0,1819040,0,0,0,3338880,0,0,0,0,0,137280,14880,0,0,0,0,0,0,0,0,0,0,415600,0,0,0,27040,0,166000,0,157840,299240,597280,395360,0,0,0,301760,0,1331520,0,0,0,0,0,4320,0,41840,0,0,0,0,0,0,0,0,0,0,0,4405600,0,18920,0,51040,0,0,0,0,134160,272120,3419600,655680,0,3031880,8160,446560,0,2453200,0,0,170240,0,0,1000520,0,0,0,0,0,0,0,0,0,6120,0,1441760,215760,5396760,0,0,298320,390640,0,78480,110720,0,0,403280,0,206280,0,0,0,0,0,369840,0,0,0,0,0,0,0,0,0,0,69920,27360,0,0,0,0,0,0,0,255640,0,0,0,0,0,0,0,0,0,309040,0,0,0,0,0,0,0,0,0,0,0,0,0,197200,0,0,0,120,0,318400,265040,0,0,0,0,0,0,0,0,0,603440,243680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVM,0,0,0,0,0,0,1041320,707280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208360,235520,412880,0,0,0,0,0,0,0,0,0,0,0,0,190920,115560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7360,246640,0,0,0,0,791080,1938200,1265360,749120,0,8000,2166640,1965360,842080,44800,2048000,2693680,102400,99760,1514800,0,0,0,0,0,95240,128960,0,0,0,563120,120120,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164160,0,0,524840,854240,0,0,0,180480,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,0,257440,114080,0,0,0,0,0,2600,0,0,0,0,1906560,2582560,1536400,0,0,31560,160480,216760,1550400,145320,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAL,2039760,0,1455600,0,1265880,0,0,0,0,0,0,6277160,127200,159760,0,1622240,0,674240,0,573360,0,229200,0,0,0,0,0,141640,4276320,0,423680,702960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13920,0,539440,0,273280,0,0,0,2084480,0,1685440,0,99360,0,207680,0,0,0,0,0,3240,276360,64560,0,0,0,71840,0,0,0,0,0,257400,0,720400,0,0,0,0,0,0,818040,0,124240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191040,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,132640,839520,0,332440,0,0,0,0,0,0,0,0,0,0,0,0,0,350720,0,0,0,0,0,52320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAR,32480,2277280,0,1626960,0,775040,0,0,0,0,0,122720,6942960,0,291280,266440,1401120,0,714800,0,354960,0,430200,43040,27040,0,141640,0,195200,3792600,12600,95080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,0,0,0,53360,3800,766240,229760,409440,0,0,0,1467120,384640,1526720,0,12080,0,291080,0,28800,0,0,844240,42520,61440,0,0,0,0,0,0,0,0,0,0,17560,0,1448080,0,0,0,0,71200,73760,366960,141920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362880,0,0,0,0,0,0,0,0,0,0,0,115680,195760,115040,340040,65520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBL,1283920,0,635200,0,223040,10160,0,0,0,0,0,747000,101120,0,0,816080,20000,485600,0,268440,0,0,0,37520,0,0,4276320,195200,0,77120,287680,0,0,0,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,0,0,0,0,0,370400,0,642240,3400,221680,233360,0,0,668880,0,1751440,0,126480,0,0,0,0,0,0,0,165040,273520,0,0,0,0,87520,0,0,0,2600,0,744640,0,754080,400,0,0,0,137120,0,47360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,157520,0,1096720,0,0,0,0,0,0,0,0,0,0,0,1148560,0,0,548960,204280,0,406080,0,0,0,0,0,0,0,0,0,0,0,0,0,9840,0,0,0,0,0,123120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWBR,0,2059360,0,794760,0,683840,0,0,0,0,0,77560,1381600,0,0,0,332880,0,650080,0,296400,0,0,0,166000,0,0,3792600,77120,0,0,451360,0,0,381400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,31720,0,0,0,0,0,210600,0,664720,191320,113160,0,0,0,460560,5920,1570640,0,72480,0,1320,13360,0,0,0,328520,60520,0,0,0,0,0,7120,0,0,0,7280,0,516800,0,633920,0,0,4000,0,0,0,203680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,1222480,0,0,0,0,0,0,0,0,0,0,0,970600,0,101400,673400,315640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169360,0,0,0,0,0,102640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCL,4920,0,621680,0,369560,1043600,0,0,0,0,0,1960560,433440,1518600,331280,0,0,4468000,1908320,0,0,661200,0,43280,0,0,423680,12600,287680,0,0,9660160,2396880,734160,0,0,0,22840,0,36720,91680,0,0,55040,600,360,172240,0,0,0,0,0,0,0,24800,0,0,0,6240,0,0,12760,103520,0,0,0,0,1378160,476480,4499160,404920,1236760,123000,2278560,2406000,309280,812520,0,0,0,0,0,0,0,0,106040,113360,0,0,0,0,0,0,0,0,1040,60480,71920,0,0,0,0,0,0,22360,0,0,0,378120,33680,67120,1600,10600,0,0,0,91160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406080,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,29280,0,0,0,0,0,0,0,0,0,0,0,130640,217040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,447280,0,439960,838520,450480,698760,0,0,0,0,0,1768560,5699000,580720,1970560,0,0,2000920,4092240,0,0,0,467120,0,157840,0,702960,95080,0,451360,9660160,0,85280,244960,80,0,0,85600,4720,136320,0,0,0,144720,0,109040,140800,0,0,0,0,0,0,88560,2160,0,0,36480,0,15920,0,27520,110920,0,0,0,53920,1626880,2375600,941120,4026400,504000,717440,1469200,912800,1364640,886000,2520,0,0,0,0,0,0,0,35760,0,0,0,0,0,0,0,0,0,174080,880,0,352280,0,0,0,0,139320,0,24280,0,0,841880,87680,32840,28720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301760,0,0,34480,0,0,0,0,0,0,0,24120,11840,0,0,0,0,139840,363680,0,0,0,0,0,0,0,0,8880,0,0,75720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,0,0,0,0,0,1057400,0,0,0,0,2241560,370640,0,0,0,0,0,0,109680,0,0,0,0,854320,299240,0,0,0,0,0,2396880,85280,0,3474920,233400,0,0,151640,24080,19240,16400,0,37440,0,0,245680,16560,0,59960,0,0,0,0,1600,2720,0,0,0,0,0,48160,0,2000,0,37880,0,0,0,0,213040,240,1266800,0,177360,972960,0,170640,68760,2272000,256480,0,990960,889600,147400,2439840,0,0,0,0,0,0,0,0,0,0,0,2791600,1065360,4377120,0,0,136840,1262120,634760,0,0,0,0,1065040,136800,13040,0,0,0,0,210760,64560,0,0,0,0,204160,0,0,0,0,0,0,3138800,0,0,1200,0,0,0,56560,33360,75440,86520,160,0,0,0,0,0,182560,111440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,484480,684720,0,0,0,0,0,0,0,0,0,1317120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGR,12080,0,0,0,1291760,0,0,0,0,0,1464760,0,712840,0,0,0,0,226920,0,0,0,0,0,182840,597280,0,0,0,0,0,734160,244960,3474920,0,476920,0,0,12240,145920,0,0,0,0,0,0,24000,186160,79520,0,0,0,0,0,110640,154960,0,0,0,0,36120,0,0,35160,32000,0,0,0,0,0,8640,45360,204040,1728400,2293400,152000,321680,19280,1922080,155120,0,248960,516960,1238960,2089760,706920,0,0,0,0,0,0,0,0,0,0,3832000,0,3801880,633840,0,0,1430960,339640,1038040,3600,90400,0,0,1036480,0,85840,0,0,0,0,126240,130000,0,0,0,0,159280,0,0,0,0,152360,38000,33760,0,0,0,0,6360,0,83840,60320,94640,211160,4880,0,0,0,0,0,88400,216000,0,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471840,0,438800,0,0,0,0,0,0,0,0,0,1207200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVA,2000,422360,0,0,0,0,0,0,0,0,4553600,0,0,0,0,0,0,0,0,0,0,0,0,683280,395360,208360,0,0,7600,381400,0,80,233400,476920,0,240,497040,80160,400,222400,241200,140000,80760,0,0,0,0,62800,28760,4160,40600,307040,78240,216640,223600,0,1149760,3040,5040,120720,0,41120,182680,293760,188240,1101600,1351640,0,0,1335600,1690640,0,0,1047520,519800,2045920,2873200,836960,667240,1053320,1607760,1331280,908920,2682160,2286080,48240,0,0,129920,967000,739280,2467800,2254160,352920,0,0,2240,260760,241320,20560,23920,15760,21840,931440,161120,665600,0,0,3449040,0,0,0,0,82200,40080,73200,34360,0,0,0,0,120520,171200,0,0,0,0,0,0,0,1040,1735000,1443520,2587160,3029360,914160,581120,2977440,2313520,1068800,394560,236880,219520,0,0,1125680,431440,0,0,28800,41320,165640,367280,0,0,0,0,0,1867680,805840,0,0,0,0,0,0,0,43840,0,0,98560,4720,285120,0,0,431520,537440,2309920,0,0,170880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPL,0,0,0,0,0,0,0,0,0,0,320240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235520,0,0,0,0,0,0,0,0,240,0,1188400,0,0,0,0,0,0,0,0,0,0,0,0,221600,0,0,0,0,0,16640,671920,0,0,0,0,0,0,0,0,436880,0,0,0,27160,281120,0,0,0,44200,0,0,498720,2101760,494960,290800,161760,300160,537440,455560,35120,0,0,0,783280,162720,157440,0,0,0,63040,0,0,0,0,0,0,0,595360,330160,0,0,0,0,0,0,0,0,0,0,0,757080,0,0,0,0,0,0,0,0,0,0,38440,0,0,0,0,0,374600,96960,0,0,240,23560,218400,0,111760,119080,0,0,0,480,0,0,0,0,590560,575360,0,8400,0,0,0,0,249840,0,0,0,0,0,0,0,71600,0,0,0,0,0,0,0,138720,0,0,741280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412880,0,0,0,0,0,0,0,0,497040,1188400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728320,724040,0,0,0,0,0,0,0,0,0,391840,0,0,705720,201360,0,0,0,0,0,0,1693920,671600,424520,609000,389760,0,639360,207240,0,0,0,0,982040,1215760,0,0,88560,131840,0,19840,0,0,0,0,8000,29040,0,36360,289120,0,0,0,0,0,0,0,0,0,399840,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432400,0,0,10480,19120,280400,528880,0,0,0,120320,8520,0,0,0,0,0,1064720,661240,0,0,0,0,0,80,0,73200,0,0,0,0,0,0,8320,0,0,0,0,0,0,0,0,0,0,182800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,0,0,2400,0,18320,0,0,0,0,0,0,0,0,0,0,0,0,5520,0,2720,0,28880,0,295160,0,0,0,0,0,0,22840,85600,151640,12240,80160,0,0,0,0,432000,0,0,0,0,0,1449800,0,0,0,0,0,800,0,119760,140320,0,0,0,0,680400,0,2221840,0,0,0,111800,0,0,0,0,57840,44480,21280,0,0,238840,0,221680,113600,12080,677600,439040,224320,349680,0,166640,90640,33120,0,149680,38400,720,0,149400,73840,0,0,53280,0,800,0,361760,0,1820640,0,0,2171000,0,0,2687360,0,0,0,0,0,235360,53440,0,0,0,0,0,0,479600,573440,569680,213960,0,10080,198160,13080,185560,0,0,0,27160,29280,2640,0,23240,560,0,0,800,480,0,44240,2544680,0,0,0,0,0,3040,0,14200,0,0,98640,0,0,16120,116920,1851440,0,0,0,429200,0,0,17040,62640,242240,0,0,141360,20880,159280,196120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DR,0,0,0,21680,0,128400,0,0,0,0,0,37520,0,0,0,0,160,0,11160,0,59680,0,3520,0,301760,0,0,0,0,0,0,4720,24080,145920,400,0,0,0,0,0,532160,0,0,0,0,0,2459040,0,0,0,0,0,0,242400,410720,0,0,0,0,0,691920,0,2420720,0,0,0,157120,0,0,80,0,30080,51360,0,0,0,34960,3680,140880,100160,0,289440,420000,0,24960,0,321560,0,2160,520,52840,0,0,0,15520,0,0,0,7680,0,31320,0,615640,1227160,4000,0,0,1970840,0,0,3121760,0,0,0,0,188240,152240,154480,0,0,0,0,66000,437520,691440,860040,311920,159520,0,45280,99800,0,30880,0,0,1680,17440,34560,3520,49440,223280,0,0,0,226800,174720,15120,0,2828800,0,0,0,0,0,0,6280,50880,14080,0,226280,49640,18000,83280,0,1816200,0,0,564720,0,0,92560,0,69960,0,0,104320,343120,0,73240,0,0,0,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2L,835000,0,121240,0,506800,0,0,0,0,0,17040,0,210440,0,0,0,0,105280,0,126440,0,0,0,1586480,0,0,0,0,0,0,36720,136320,19240,0,222400,0,0,432000,0,0,0,572560,0,2654440,0,448480,0,601080,0,0,0,0,121280,0,0,9200,0,1865040,0,2238640,0,272560,0,59680,0,72720,0,0,0,0,0,0,243040,435840,0,161120,0,1440,0,0,0,0,0,366800,0,0,0,86080,0,0,0,272640,0,0,760,0,0,1198800,0,185920,0,0,0,1844760,0,0,8800,0,331920,33600,0,2476880,0,3280,0,311400,0,0,29680,173480,0,0,0,483280,502560,2731360,610760,0,0,0,321200,9320,0,0,0,80,1760,112720,147280,0,0,410800,0,0,0,75760,0,384520,0,257880,0,832720,0,156640,0,296920,148880,130240,0,0,0,0,0,0,0,0,0,476520,0,0,0,32360,317680,1600,0,59160,8160,0,0,92800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2R,0,757280,0,21280,0,623200,0,0,0,41680,0,153080,4040,0,0,0,0,0,108200,0,100880,0,0,0,1331520,0,0,0,0,0,91680,0,16400,0,241200,0,0,0,532160,0,0,0,246800,0,2044720,0,542360,0,883280,0,0,48480,0,0,0,0,24640,0,2145840,0,2272400,0,38640,0,342800,0,119680,0,0,266400,0,104320,0,0,395600,0,78880,0,0,0,0,0,0,0,431040,23960,79680,0,117880,0,0,0,134320,0,0,0,109520,0,1245360,0,256880,0,75440,1910320,0,199120,0,160,791640,0,0,0,2252760,0,280,0,355360,0,0,0,54080,0,0,286600,2243120,1139760,628440,33320,154680,273800,0,0,0,0,31480,0,0,0,0,0,0,0,378080,11320,0,0,0,0,494920,0,342400,0,1124880,0,121360,274800,98080,97080,10200,0,0,0,0,0,0,0,0,621360,0,0,0,0,0,0,0,108160,0,0,0,0,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VL,0,0,0,0,0,0,23920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,0,0,0,0,572560,0,0,0,0,0,0,0,1743960,0,0,0,179040,0,0,0,0,0,130400,0,47280,0,0,0,1450800,0,184240,0,0,0,0,166400,0,0,0,0,37440,0,19480,125760,77320,37600,0,243280,0,31760,0,0,0,0,0,0,100480,0,0,80400,2880,0,80520,0,0,0,634640,0,2688080,96080,8320,1689440,0,55920,0,0,0,0,2045200,0,0,50120,38280,0,0,0,0,6400,664800,490880,979760,349920,8480,0,84120,0,45400,0,36640,0,190280,0,92240,267760,16560,0,16160,0,34800,0,0,0,0,0,2168640,0,0,0,0,0,0,0,0,0,0,0,11360,68240,0,0,1800280,0,1569720,0,0,0,0,0,0,0,7880,249160,195240,29960,0,0,0,0,35600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2VR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37440,0,80760,0,0,0,0,0,246800,0,0,0,0,0,0,0,1380560,0,0,0,111360,0,0,0,0,0,21680,0,2480,0,0,0,837520,0,44080,0,0,162720,0,0,0,0,0,0,0,3440,0,25200,0,0,0,0,0,0,0,0,0,0,0,0,102880,320,223200,0,212280,0,78800,0,0,0,843680,1262440,26040,0,0,1455920,1680,0,0,0,0,0,1889560,70920,0,0,880,0,0,2680,0,560520,735880,384240,331760,0,0,0,86240,0,63720,0,44880,0,46840,46720,41760,0,0,0,188520,0,3080,34480,0,0,0,0,2691120,0,0,0,0,0,0,0,0,0,143200,31520,159160,0,0,0,2109040,1485440,0,0,0,0,0,0,0,103960,0,0,260600,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLLL,0,0,249240,0,0,0,0,0,126280,0,0,0,249640,0,0,0,0,301400,0,104280,0,0,0,0,0,0,0,0,0,0,55040,144720,0,0,0,0,0,0,0,2654440,0,0,0,0,572400,1659200,0,1319040,0,0,0,0,956280,0,0,0,0,3401680,0,235520,0,78000,0,11840,0,0,0,0,0,0,523520,0,204800,0,0,0,0,0,0,0,0,66160,0,6720,5686400,104240,0,0,0,0,0,0,0,0,78680,0,0,1566040,0,0,0,1762960,0,0,7840,0,0,0,0,3254720,161520,2807160,0,2376800,0,0,0,3173920,160840,246560,204280,3313000,16640,1900800,2847880,0,1118680,667800,0,0,306000,0,0,102800,0,0,140560,160,140080,0,0,196680,0,320560,733760,415360,748400,0,0,3840,0,240,0,12800,0,88640,168480,0,0,0,27840,3840,72560,1236400,0,1561240,0,106680,0,0,0,0,0,6120,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLLR,0,0,0,219200,0,280960,0,0,0,179680,0,255120,60520,0,0,0,0,0,61480,0,28800,0,19680,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,2044720,0,0,572400,0,0,725040,0,1211520,0,0,782720,2720,84160,0,0,0,0,3582600,0,0,0,42720,240,38640,0,18160,0,0,339120,0,170960,0,0,0,0,0,0,0,0,0,0,3360,4398960,0,0,362080,0,0,0,0,0,0,0,37200,0,0,0,1506240,0,0,0,1750400,1280,11360,0,0,0,0,0,2428080,0,2330920,205000,1731120,0,0,181440,3809200,545280,185360,12240,3102160,2358640,0,4698080,2209720,90240,599120,49360,0,0,0,0,74720,74800,0,0,240,0,0,0,196440,967440,247920,782880,426200,0,0,0,158680,0,170720,0,92240,53440,21960,110560,0,0,0,9200,35040,0,1422160,0,1249200,5400,0,0,0,0,0,0,1680,15840,0,0,10880,0,98880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDL,0,0,0,0,58240,0,0,0,0,0,0,0,0,0,0,0,0,24800,0,60160,0,16240,0,96200,0,0,0,0,0,0,360,109040,245680,24000,0,0,0,1449800,0,448480,0,0,0,1659200,0,0,807720,42400,0,0,0,0,0,0,0,0,0,0,0,292320,0,4186080,0,0,0,80,0,1480,0,0,4920,192560,107720,0,0,5640,0,200,0,0,0,0,220240,1520,178000,0,0,1120,0,0,0,0,0,185600,199560,0,0,182600,0,0,0,445040,0,1940560,0,0,404320,40240,0,3421520,0,0,0,0,0,0,0,303200,1863520,0,4240,982000,0,2818160,2143920,93480,115680,0,0,743960,120080,0,260080,0,0,0,0,1691200,0,0,2371680,0,0,0,901840,8640,0,1372960,0,0,0,0,0,28400,0,29520,65960,59520,16520,0,55120,74800,118280,1210320,0,0,0,101160,0,0,0,5640,0,0,0,289800,883360,920,544400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQDR,0,0,0,82960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91200,0,44720,0,24760,0,4320,0,0,4960,0,0,172240,140800,16560,186160,0,0,0,0,2459040,0,542360,0,0,0,725040,807720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,3476240,0,0,0,0,0,98400,2120,0,62000,137920,0,0,0,400,0,0,0,0,224000,0,258480,0,0,4240,0,0,0,0,0,0,396280,81920,0,0,0,257400,0,0,0,430480,1681480,0,0,0,825120,0,0,3588080,0,0,0,0,0,0,2032720,432560,0,12320,0,349920,196680,0,1855600,204560,60400,0,0,802080,122880,0,0,0,0,0,0,1421800,1807920,0,0,0,2320,0,0,200,0,251840,0,0,0,0,0,0,41280,85080,14400,0,76880,760,0,360,0,1403560,0,0,115120,0,0,0,0,37200,0,15720,718480,363920,80480,67280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVL,56320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41960,0,0,0,0,0,0,0,0,0,79520,62800,0,0,0,0,601080,0,1743960,0,1319040,0,42400,0,0,0,137880,0,0,0,0,0,0,0,357280,0,121360,0,0,0,1243440,0,47920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107440,0,213640,0,80560,0,0,0,0,0,0,400,467840,24160,0,547200,0,0,0,535000,0,2735040,0,0,647720,0,57160,0,0,0,0,1445280,0,0,10800,270720,0,48240,0,0,1409840,15240,2083680,0,523920,0,293520,535360,0,0,0,123360,0,1155200,0,13760,92160,0,0,1141120,0,0,0,0,0,0,0,955160,0,0,0,128400,0,0,0,0,0,53840,278240,0,100240,0,0,518280,0,119000,0,0,0,0,0,0,0,446320,320080,76320,262920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLQVR,0,73640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41840,0,0,0,0,0,0,0,59960,0,28760,0,0,0,0,0,883280,0,1380560,0,1211520,0,0,0,0,0,110560,0,0,0,0,0,0,0,274080,0,175760,0,0,0,1448320,0,191760,0,0,0,0,480,0,0,0,0,0,0,0,0,0,117120,0,267120,0,34080,0,0,0,0,0,0,0,0,306400,2080,83640,0,486960,0,0,0,613640,3292480,0,0,0,669040,123320,0,0,0,0,0,1735840,0,0,0,186000,0,12040,1343200,0,0,0,2165960,357200,0,0,0,1159520,0,0,0,197840,0,1430480,116800,73360,0,0,0,1158480,0,0,0,0,0,0,0,733560,0,0,0,183200,0,0,0,48880,0,2320,398480,167680,0,0,0,555520,162080,0,0,0,0,0,0,0,337440,237320,0,599040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
