Unnamed: 1,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVWL_or_R_1,PVWL_or_R_2,PVWL_or_R_3,PVQL,PVQR,RICL,RICRa,RICRp,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08
AQR,0,323900,0,0,0,0,0,0,0,63000,0,0,0,0,0,0,93600,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,1479000,2613800,4573000,0,50200,0,0,0,0,0,42400,0,43800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340800,759100,0,0,0,0,116500,805200,0,0,167800,27500,0,0,356100,65800,0,0,1341800,1590000,507000,918000,0,176600,126800,0,205800,277700,507600,2104800,990000,2950500,2239600,0,295000,199800,350400,0,0,0,124200,325500,430300,0,0,20100,0,0,1184600,0,0,0,0,0,59300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151800,0,0,19600,0,377400,137800,138800,241200,425400,0,0,0,0,116400,0,0,0,0,0,0,35400,125900,396700,0,114400,0,0,8600,1093100,1019700,69800,614500,165800,318600,0,0,30800,0,0,0,0,635400,525400,199000,0,0,515400,0,0,1396700,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,376400,62400,1270200,0,149200,3211700,0,0,0,0,0,0,472800,345800,11000,900000,0,247400,375400,349200,0,697200,0,31200,0,0,4921500,13800,696400,0,2842900,54600,666100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92800,0,0,0,0,0,25200,0,600,0,0,639700,0,1011300,277100,3694000,36200,1462400,662400,1778800,1750800,343800,708600,0,475400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000,0,0,70900,0,0,0,0,0,0,0,0,604800,0,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400,0,0,3000,0,0,0,29400,0,0,0,0,0,1600,0,0,0,0,0,0,0,310400,0,0,0,31000,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASER,311400,133700,0,1562600,3965000,584500,0,0,0,0,0,472800,0,0,331700,0,281000,593000,353600,0,317700,0,606400,622800,59400,0,105000,6633900,46900,766600,397100,2465800,0,1593200,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,343700,0,0,0,0,0,0,0,2400,0,0,0,0,0,474800,1246700,110800,3959600,49600,3036400,2608600,3018600,764200,846600,96200,0,0,0,0,0,0,0,43500,0,0,0,0,0,0,0,0,342000,0,0,69400,0,28200,0,0,22000,0,0,0,381000,938300,21600,0,10800,0,0,0,46600,0,0,0,0,0,0,0,0,0,0,0,20600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,255000,0,0,0,0,0,0,158800,0,0,0,0,0,80600,0,0,0,0,0,0,0,232800,0,0,0,23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGL,14000,0,0,0,0,0,0,0,0,0,0,345800,0,0,0,0,0,5884300,0,789600,0,546100,0,0,0,0,377100,0,0,0,2311900,1317800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,0,0,0,0,0,0,0,0,0,0,0,0,987400,0,463000,0,57400,33700,43400,0,272000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355700,0,42200,0,0,0,0,0,0,0,0,0,0,0,350300,0,0,0,0,0,0,0,0,0,0,0,347400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR,0,35000,0,0,0,0,0,0,0,0,0,11000,331700,0,0,0,0,0,4838400,0,1656000,0,309200,0,0,0,0,517800,0,0,2664800,1414300,49100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548800,0,300700,0,37400,0,44600,0,243200,0,0,0,186400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4136200,506600,0,0,0,0,0,0,0,0,0,0,0,0,242800,0,0,0,0,0,0,0,0,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHL,674300,0,715800,0,0,0,0,0,0,0,0,900000,0,0,0,0,378500,0,0,0,0,94600,0,0,0,2800,1345300,0,1007200,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718000,0,64400,0,0,0,3951000,0,2013600,0,1231800,0,0,0,12600,0,414300,0,903100,95600,561100,0,336600,853600,65300,0,1220600,88000,0,0,0,0,0,0,0,27000,0,0,0,4393600,175400,0,0,127400,128800,0,1739100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583800,0,0,0,0,0,0,0,0,0,0,0,896200,0,0,285000,218900,100900,435000,584400,1125600,0,0,0,0,0,0,0,0,0,29800,0,171500,282500,0,287800,0,0,605000,15200,423400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHR,0,940000,0,467000,0,0,0,131400,0,0,93600,0,281000,0,0,378500,0,0,0,0,0,0,184000,0,0,76500,386700,2136400,16400,944600,0,0,0,0,0,0,0,0,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531800,0,0,0,0,0,2328200,0,2497400,108200,1004200,0,0,0,149900,67000,745800,0,910600,0,2364200,986600,100800,0,0,312900,1012600,0,0,0,0,0,0,0,0,5900,0,2800,0,3785700,0,0,0,0,385700,62400,1694800,398100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54500,0,0,0,0,0,0,630800,0,0,0,0,0,0,0,0,0,0,0,503000,0,64400,0,111400,20000,717000,995400,0,0,0,0,0,0,0,0,0,500,160600,229400,0,107100,0,640600,413600,0,0,0,134800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIL,0,0,925900,0,42900,0,0,0,0,0,0,247400,593000,5884300,0,0,0,0,116500,988300,0,282000,0,0,0,0,906200,0,254000,0,2974200,3693700,0,162600,0,0,0,75800,0,149600,0,0,0,131400,0,303200,0,0,0,0,0,0,0,93400,0,0,0,0,0,272600,0,71400,0,0,0,0,0,1070300,13600,389600,0,347400,913800,47400,0,8000,0,122800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139300,0,107400,0,0,0,0,0,0,0,0,0,0,0,71200,0,152000,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224900,0,0,0,0,72700,0,0,0,0,0,0,413200,0,0,0,0,0,0,0,0,0,0,0,89200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,0,0,932700,0,874400,0,0,0,0,0,375400,353600,0,4838400,0,0,116500,0,0,659400,0,381200,0,0,0,0,1289600,0,314700,2892800,4430200,233000,0,0,0,0,0,56600,0,112500,0,0,0,146200,0,293000,0,0,0,0,0,0,41800,99200,0,0,0,0,0,0,0,90400,0,0,0,0,0,1373400,0,189800,808200,405000,0,135100,0,0,0,1125600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153400,0,119700,0,0,0,0,0,0,35400,0,0,0,0,39400,0,109100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298600,0,0,0,0,0,219200,0,0,0,0,0,0,156400,0,0,0,0,0,0,0,0,0,0,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASJL,0,0,482900,0,0,0,0,0,0,0,0,349200,0,789600,0,0,0,988300,0,0,443000,2890000,130000,0,0,0,128600,0,28600,0,0,0,0,0,0,0,0,0,0,110800,0,0,0,61800,0,41100,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,31600,0,0,0,0,0,499400,0,0,0,0,0,0,0,0,0,0,0,0,0,97800,0,39600,0,0,0,0,0,0,0,0,0,0,0,0,44400,0,0,0,0,0,0,0,0,13600,0,0,25400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85400,0,0,0,39200,0,0,0,400,0,0,0,0,0,0,13000,0,0,0,0,0,1691000,0,1887000,1433100,433400,95000,0,169200,0,0,0,0,0,0,149800,0,0,0,0,0,0,2852600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
